,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-27,7.04,7.16,ABR,7.16,78700,7.06,7.17
1,2016-07-26,7.06,7.07,ABR,7.07,40500,7.11,7.15
2,2016-07-25,7.09,7.15,ABR,7.15,57000,7.16,7.17
3,2016-07-22,7.03,7.14,ABR,7.14,52900,7.13,7.16
4,2016-07-21,7.11,7.12,ABR,7.12,93100,7.17,7.22
5,2016-07-20,7.13,7.17,ABR,7.17,89500,7.20,7.25
6,2016-07-19,7.12,7.18,ABR,7.18,52800,7.19,7.20
7,2016-07-18,7.11,7.15,ABR,7.15,121900,7.17,7.23
8,2016-07-15,7.19,7.20,ABR,7.20,94100,7.25,7.28
9,2016-07-14,7.19,7.29,ABR,7.29,100800,7.25,7.30
10,2016-07-13,7.20,7.25,ABR,7.25,65400,7.20,7.25
11,2016-07-12,7.15,7.25,ABR,7.25,124600,7.18,7.25
12,2016-07-11,7.10,7.16,ABR,7.16,39700,7.18,7.18
13,2016-07-08,7.05,7.14,ABR,7.14,37400,7.10,7.16
14,2016-07-07,7.03,7.04,ABR,7.04,38700,7.06,7.12
15,2016-07-06,7.00,7.12,ABR,7.12,29600,7.10,7.15
16,2016-07-05,7.00,7.11,ABR,7.11,63100,7.10,7.12
17,2016-07-01,7.06,7.09,ABR,7.09,64700,7.17,7.20
18,2016-06-30,7.04,7.19,ABR,7.19,104800,7.13,7.20
19,2016-06-29,6.91,7.09,ABR,7.09,159300,6.96,7.14
20,2016-06-28,6.71,6.89,ABR,6.89,146900,6.71,6.90
21,2016-06-27,6.70,6.71,ABR,6.71,144000,6.83,6.90
22,2016-06-24,6.62,6.88,ABR,6.88,173200,6.67,6.89
23,2016-06-23,6.78,6.80,ABR,6.80,48400,6.82,6.82
24,2016-06-22,6.77,6.80,ABR,6.80,71400,6.77,6.84
25,2016-06-21,6.78,6.79,ABR,6.79,83500,6.86,6.86
26,2016-06-20,6.84,6.84,ABR,6.84,65600,6.84,6.94
27,2016-06-17,6.79,6.80,ABR,6.80,357200,6.79,6.83
28,2016-06-16,6.76,6.79,ABR,6.79,73300,6.80,6.85
29,2016-06-15,6.76,6.83,ABR,6.83,97300,6.82,6.89
30,2016-06-14,6.85,6.85,ABR,6.85,38600,6.88,6.89
31,2016-06-13,6.89,6.91,ABR,6.91,40300,6.99,6.99
32,2016-06-10,6.95,6.99,ABR,6.99,29400,7.00,7.05
33,2016-06-09,6.97,7.04,ABR,7.04,210800,7.02,7.09
34,2016-06-08,6.95,7.06,ABR,7.06,124900,6.97,7.08
35,2016-06-07,6.94,6.96,ABR,6.96,43000,6.99,7.00
36,2016-06-06,6.94,7.00,ABR,7.00,72800,6.96,7.01
37,2016-06-03,6.96,6.99,ABR,6.99,49900,7.01,7.05
38,2016-06-02,6.97,7.03,ABR,7.03,38600,7.03,7.04
39,2016-06-01,6.93,7.02,ABR,7.02,67800,7.01,7.04
40,2016-05-31,6.92,6.98,ABR,6.98,197300,6.96,7.09
41,2016-05-27,6.81,6.90,ABR,6.90,41000,6.85,6.91
42,2016-05-26,6.83,6.83,ABR,6.83,26900,6.85,6.88
43,2016-05-25,6.76,6.85,ABR,6.85,53200,6.78,6.89
44,2016-05-24,6.73,6.74,ABR,6.74,32400,6.77,6.79
45,2016-05-23,6.71,6.72,ABR,6.72,44000,6.79,6.80
46,2016-05-20,6.66,6.74,ABR,6.74,29000,6.72,6.76
47,2016-05-19,6.66,6.70,ABR,6.70,57800,6.71,6.74
48,2016-05-18,6.64,6.70,ABR,6.70,103100,6.70,6.82
49,2016-05-17,6.68,6.76,ABR,6.76,74300,6.90,6.90
50,2016-05-16,6.84,6.90,ABR,6.90,95100,6.98,7.00
51,2016-05-13,7.05,7.11,ABR,6.96,95600,7.13,7.14
52,2016-05-12,6.95,7.12,ABR,6.969789,147900,7.05,7.19
53,2016-05-11,7.02,7.04,ABR,6.891477,71000,7.10,7.11
54,2016-05-10,6.88,7.10,ABR,6.950211,116700,7.00,7.10
55,2016-05-09,6.88,7.00,ABR,6.852321,99200,6.88,7.00
56,2016-05-06,6.67,6.91,ABR,6.764219,130800,6.74,6.94
57,2016-05-05,6.62,6.75,ABR,6.607595,94500,6.62,6.79
58,2016-05-04,6.64,6.65,ABR,6.509705,57300,6.67,6.67
59,2016-05-03,6.61,6.66,ABR,6.519493,38400,6.74,6.74
60,2016-05-02,6.71,6.74,ABR,6.597806,55200,6.71,6.76
61,2016-04-29,6.63,6.68,ABR,6.539071,126900,6.72,6.75
62,2016-04-28,6.71,6.74,ABR,6.597806,32500,6.75,6.75
63,2016-04-27,6.70,6.78,ABR,6.636962,71400,6.75,6.79
64,2016-04-26,6.64,6.76,ABR,6.617384,69100,6.67,6.77
65,2016-04-25,6.68,6.69,ABR,6.548861,148600,6.75,6.82
66,2016-04-22,6.70,6.73,ABR,6.588017,59900,6.75,6.75
67,2016-04-21,6.71,6.76,ABR,6.617384,62100,6.74,6.79
68,2016-04-20,6.73,6.73,ABR,6.588017,85000,6.75,6.79
69,2016-04-19,6.73,6.74,ABR,6.597806,66900,6.80,6.80
70,2016-04-18,6.70,6.73,ABR,6.588017,66800,6.70,6.79
71,2016-04-15,6.69,6.71,ABR,6.568439,61800,6.69,6.78
72,2016-04-14,6.68,6.74,ABR,6.597806,45500,6.77,6.78
73,2016-04-13,6.74,6.74,ABR,6.597806,75300,6.75,6.80
74,2016-04-12,6.70,6.75,ABR,6.607595,73100,6.75,6.80
75,2016-04-11,6.70,6.72,ABR,6.578228,101000,6.70,6.79
76,2016-04-08,6.68,6.68,ABR,6.539071,67000,6.70,6.74
77,2016-04-07,6.61,6.68,ABR,6.539071,81300,6.66,6.72
78,2016-04-06,6.59,6.67,ABR,6.529283,71200,6.62,6.70
79,2016-04-05,6.61,6.65,ABR,6.509705,61700,6.68,6.71
80,2016-04-04,6.64,6.71,ABR,6.568439,153800,6.77,6.77
81,2016-04-01,6.67,6.77,ABR,6.627173,78200,6.74,6.79
82,2016-03-31,6.72,6.77,ABR,6.627173,85400,6.79,6.83
83,2016-03-30,6.75,6.78,ABR,6.636962,74500,6.85,6.90
84,2016-03-29,6.67,6.80,ABR,6.65654,63400,6.67,6.81
85,2016-03-28,6.57,6.73,ABR,6.588017,127500,6.80,6.82
86,2016-03-24,6.63,6.80,ABR,6.65654,131800,6.72,6.81
87,2016-03-23,6.74,6.75,ABR,6.607595,61100,6.82,6.82
88,2016-03-22,6.71,6.81,ABR,6.666329,66400,6.75,6.83
89,2016-03-21,6.66,6.82,ABR,6.676118,89000,6.72,6.83
90,2016-03-18,6.67,6.72,ABR,6.578228,240800,6.72,6.75
91,2016-03-17,6.65,6.77,ABR,6.627173,88800,6.75,6.86
92,2016-03-16,6.60,6.67,ABR,6.529283,125000,6.64,6.71
93,2016-03-15,6.55,6.61,ABR,6.470549,92800,6.69,6.74
94,2016-03-14,6.54,6.63,ABR,6.490127,107500,6.55,6.72
95,2016-03-11,6.57,6.72,ABR,6.578228,66500,6.66,6.75
96,2016-03-10,6.52,6.54,ABR,6.402025,56900,6.67,6.67
97,2016-03-09,6.60,6.62,ABR,6.480337,55600,6.69,6.69
98,2016-03-08,6.58,6.67,ABR,6.529283,75800,6.66,6.72
99,2016-03-07,6.80,6.84,ABR,6.548861,107500,6.84,6.88
100,2016-03-04,6.76,6.81,ABR,6.520138,111900,6.90,6.92
101,2016-03-03,6.58,6.89,ABR,6.596732,164200,6.58,6.95
102,2016-03-02,6.60,6.60,ABR,6.319076,96300,6.66,6.68
103,2016-03-01,6.61,6.66,ABR,6.376522,120700,6.80,6.86
104,2016-02-29,6.59,6.80,ABR,6.510564,180500,6.60,6.86
105,2016-02-26,6.44,6.61,ABR,6.328651,282100,6.45,6.65
106,2016-02-25,6.22,6.41,ABR,6.137163,72000,6.22,6.43
107,2016-02-24,6.20,6.22,ABR,5.95525,104200,6.34,6.36
108,2016-02-23,6.31,6.37,ABR,6.098866,76800,6.37,6.39
109,2016-02-22,6.26,6.35,ABR,6.079717,89100,6.27,6.39
110,2016-02-19,6.20,6.26,ABR,5.993548,79500,6.20,6.27
111,2016-02-18,6.20,6.24,ABR,5.974399,58400,6.32,6.35
112,2016-02-17,6.12,6.33,ABR,6.060568,102700,6.25,6.37
113,2016-02-16,6.05,6.20,ABR,5.936102,137700,6.21,6.21
114,2016-02-12,6.04,6.05,ABR,5.792487,111900,6.04,6.20
115,2016-02-11,6.01,6.04,ABR,5.782912,105700,6.09,6.17
