,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,CUE.AX,2016-07-28,0.07,0.07,127800,0.07,0.07,0.07
1,CUE.AX,2016-07-27,0.07,0.07,175000,0.07,0.07,0.07
2,CUE.AX,2016-07-26,0.07,0.07,10300,0.072,0.07,0.072
3,CUE.AX,2016-07-25,0.072,0.072,31200,0.072,0.072,0.072
4,CUE.AX,2016-07-22,0.071,0.071,64000,0.072,0.071,0.072
5,CUE.AX,2016-07-21,0.07,0.07,10000,0.07,0.07,0.07
6,CUE.AX,2016-07-20,0.069,0.069,000,0.069,0.069,0.069
7,CUE.AX,2016-07-19,0.069,0.069,206400,0.069,0.069,0.069
8,CUE.AX,2016-07-18,0.069,0.069,120200,0.071,0.069,0.071
9,CUE.AX,2016-07-15,0.07,0.07,167100,0.075,0.07,0.075
10,CUE.AX,2016-07-14,0.07,0.07,000,0.07,0.07,0.07
11,CUE.AX,2016-07-13,0.07,0.07,173800,0.071,0.07,0.071
12,CUE.AX,2016-07-12,0.072,0.072,000,0.072,0.072,0.072
13,CUE.AX,2016-07-11,0.072,0.069,236900,0.075,0.072,0.075
14,CUE.AX,2016-07-08,0.075,0.075,26800,0.075,0.075,0.075
15,CUE.AX,2016-07-07,0.075,0.075,14400,0.075,0.075,0.075
16,CUE.AX,2016-07-06,0.075,0.075,8500,0.075,0.075,0.075
17,CUE.AX,2016-07-05,0.073,0.073,13300,0.073,0.073,0.073
18,CUE.AX,2016-07-04,0.073,0.073,67100,0.075,0.073,0.076
19,CUE.AX,2016-07-01,0.073,0.073,112100,0.075,0.073,0.075
20,CUE.AX,2016-06-30,0.081,0.075,644900,0.078,0.081,0.082
21,CUE.AX,2016-06-29,0.079,0.07,168400,0.07,0.079,0.079
22,CUE.AX,2016-06-28,0.07,0.066,170300,0.067,0.07,0.07
23,CUE.AX,2016-06-27,0.068,0.068,37300,0.07,0.068,0.07
24,CUE.AX,2016-06-24,0.072,0.072,53400,0.075,0.072,0.075
25,CUE.AX,2016-06-23,0.075,0.075,30000,0.075,0.075,0.075
26,CUE.AX,2016-06-22,0.077,0.075,145600,0.075,0.077,0.077
27,CUE.AX,2016-06-21,0.075,0.075,48700,0.075,0.075,0.075
28,CUE.AX,2016-06-20,0.078,0.075,118000,0.077,0.078,0.08
29,CUE.AX,2016-06-17,0.075,0.071,74200,0.071,0.075,0.075
30,CUE.AX,2016-06-16,0.071,0.071,376000,0.071,0.071,0.076
31,CUE.AX,2016-06-15,0.07,0.064,663700,0.065,0.07,0.07
32,CUE.AX,2016-06-14,0.065,0.065,477600,0.065,0.065,0.066
33,CUE.AX,2016-06-13,0.066,0.066,000,0.066,0.066,0.066
34,CUE.AX,2016-06-10,0.066,0.065,192500,0.065,0.066,0.066
35,CUE.AX,2016-06-09,0.065,0.065,666900,0.067,0.065,0.067
36,CUE.AX,2016-06-08,0.067,0.061,664400,0.061,0.067,0.068
37,CUE.AX,2016-06-07,0.06,0.06,67700,0.061,0.06,0.061
38,CUE.AX,2016-06-06,0.061,0.061,000,0.061,0.061,0.061
39,CUE.AX,2016-06-03,0.061,0.06,87100,0.06,0.061,0.061
40,CUE.AX,2016-06-02,0.06,0.06,13400,0.06,0.06,0.06
41,CUE.AX,2016-06-01,0.06,0.06,60000,0.06,0.06,0.06
42,CUE.AX,2016-05-31,0.06,0.06,136200,0.06,0.06,0.061
43,CUE.AX,2016-05-30,0.063,0.063,20000,0.063,0.063,0.063
44,CUE.AX,2016-05-27,0.061,0.059,57000,0.061,0.061,0.061
45,CUE.AX,2016-05-26,0.065,0.059,200700,0.063,0.065,0.065
46,CUE.AX,2016-05-25,0.062,0.06,587900,0.06,0.062,0.065
47,CUE.AX,2016-05-24,0.06,0.059,39400,0.059,0.06,0.06
48,CUE.AX,2016-05-23,0.06,0.06,467800,0.061,0.06,0.062
49,CUE.AX,2016-05-20,0.061,0.06,53400,0.06,0.061,0.061
50,CUE.AX,2016-05-19,0.062,0.062,000,0.062,0.062,0.062
51,CUE.AX,2016-05-18,0.062,0.061,3500,0.061,0.062,0.062
52,CUE.AX,2016-05-17,0.062,0.06,19400,0.06,0.062,0.062
53,CUE.AX,2016-05-16,0.061,0.058,234200,0.06,0.061,0.061
54,CUE.AX,2016-05-13,0.062,0.062,170000,0.062,0.062,0.062
55,CUE.AX,2016-05-12,0.061,0.058,627300,0.06,0.061,0.061
56,CUE.AX,2016-05-11,0.06,0.056,154600,0.056,0.06,0.06
57,CUE.AX,2016-05-10,0.059,0.059,5100,0.059,0.059,0.059
58,CUE.AX,2016-05-09,0.06,0.06,226100,0.063,0.06,0.063
59,CUE.AX,2016-05-06,0.063,0.063,000,0.063,0.063,0.063
60,CUE.AX,2016-05-05,0.063,0.063,10400,0.063,0.063,0.063
61,CUE.AX,2016-05-04,0.065,0.063,102800,0.063,0.065,0.065
62,CUE.AX,2016-05-03,0.064,0.064,112200,0.064,0.064,0.065
63,CUE.AX,2016-05-02,0.064,0.064,000,0.064,0.064,0.064
64,CUE.AX,2016-04-29,0.064,0.063,227500,0.064,0.064,0.065
65,CUE.AX,2016-04-28,0.064,0.064,42500,0.064,0.064,0.064
66,CUE.AX,2016-04-27,0.064,0.064,769000,0.066,0.064,0.066
67,CUE.AX,2016-04-26,0.066,0.066,142700,0.066,0.066,0.066
68,CUE.AX,2016-04-25,0.066,0.066,000,0.066,0.066,0.066
69,CUE.AX,2016-04-22,0.066,0.066,217700,0.07,0.066,0.07
70,CUE.AX,2016-04-21,0.069,0.064,1157600,0.064,0.069,0.074
71,CUE.AX,2016-04-20,0.065,0.065,292400,0.065,0.065,0.065
72,CUE.AX,2016-04-19,0.066,0.064,410200,0.064,0.066,0.066
73,CUE.AX,2016-04-18,0.065,0.064,380200,0.066,0.065,0.066
74,CUE.AX,2016-04-15,0.065,0.064,487800,0.065,0.065,0.065
75,CUE.AX,2016-04-14,0.064,0.062,280700,0.062,0.064,0.064
76,CUE.AX,2016-04-13,0.061,0.06,672700,0.06,0.061,0.062
77,CUE.AX,2016-04-12,0.06,0.06,433500,0.06,0.06,0.06
78,CUE.AX,2016-04-11,0.062,0.062,35300,0.062,0.062,0.062
79,CUE.AX,2016-04-08,0.06,0.058,205900,0.058,0.06,0.062
80,CUE.AX,2016-04-07,0.061,0.061,108500,0.061,0.061,0.061
81,CUE.AX,2016-04-06,0.06,0.06,152000,0.06,0.06,0.06
82,CUE.AX,2016-04-05,0.06,0.06,36600,0.06,0.06,0.06
83,CUE.AX,2016-04-04,0.06,0.06,6000,0.06,0.06,0.06
84,CUE.AX,2016-04-01,0.06,0.06,92800,0.06,0.06,0.06
85,CUE.AX,2016-03-31,0.061,0.061,108400,0.061,0.061,0.061
86,CUE.AX,2016-03-30,0.061,0.061,97000,0.062,0.061,0.062
87,CUE.AX,2016-03-29,0.061,0.061,75000,0.061,0.061,0.061
88,CUE.AX,2016-03-28,0.06,0.06,000,0.06,0.06,0.06
89,CUE.AX,2016-03-25,0.06,0.06,000,0.06,0.06,0.06
90,CUE.AX,2016-03-24,0.06,0.06,71800,0.061,0.06,0.061
91,CUE.AX,2016-03-23,0.06,0.06,524700,0.061,0.06,0.061
92,CUE.AX,2016-03-22,0.061,0.061,41000,0.061,0.061,0.061
93,CUE.AX,2016-03-21,0.061,0.061,174400,0.061,0.061,0.061
94,CUE.AX,2016-03-18,0.06,0.06,34000,0.062,0.06,0.062
95,CUE.AX,2016-03-17,0.063,0.061,211800,0.061,0.063,0.063
96,CUE.AX,2016-03-16,0.064,0.064,000,0.064,0.064,0.064
97,CUE.AX,2016-03-15,0.064,0.064,000,0.064,0.064,0.064
98,CUE.AX,2016-03-14,0.064,0.059,228400,0.059,0.064,0.064
99,CUE.AX,2016-03-11,0.06,0.06,2100,0.06,0.06,0.06
100,CUE.AX,2016-03-10,0.059,0.059,60500,0.059,0.059,0.059
101,CUE.AX,2016-03-09,0.058,0.058,206000,0.063,0.058,0.063
102,CUE.AX,2016-03-08,0.063,0.063,23100,0.063,0.063,0.064
103,CUE.AX,2016-03-07,0.061,0.061,265300,0.062,0.061,0.062
104,CUE.AX,2016-03-04,0.062,0.061,77400,0.061,0.062,0.062
105,CUE.AX,2016-03-03,0.061,0.061,206600,0.062,0.061,0.062
106,CUE.AX,2016-03-02,0.061,0.061,31600,0.061,0.061,0.061
107,CUE.AX,2016-03-01,0.057,0.057,000,0.057,0.057,0.057
108,CUE.AX,2016-02-29,0.057,0.057,124000,0.06,0.057,0.06
109,CUE.AX,2016-02-26,0.057,0.057,54300,0.061,0.057,0.061
110,CUE.AX,2016-02-25,0.057,0.057,20000,0.06,0.057,0.06
111,CUE.AX,2016-02-24,0.06,0.06,74200,0.062,0.06,0.062
112,CUE.AX,2016-02-23,0.065,0.06,102700,0.06,0.065,0.065
113,CUE.AX,2016-02-22,0.06,0.06,7200,0.06,0.06,0.06
114,CUE.AX,2016-02-19,0.06,0.06,136000,0.06,0.06,0.06
115,CUE.AX,2016-02-18,0.06,0.057,365300,0.057,0.06,0.06
116,CUE.AX,2016-02-17,0.057,0.057,92400,0.057,0.057,0.057
117,CUE.AX,2016-02-16,0.057,0.057,000,0.057,0.057,0.057
118,CUE.AX,2016-02-15,0.057,0.057,50000,0.057,0.057,0.057
119,CUE.AX,2016-02-12,0.057,0.057,160100,0.057,0.057,0.057
120,CUE.AX,2016-02-11,0.057,0.057,000,0.057,0.057,0.057
121,CUE.AX,2016-02-10,0.057,0.057,28500,0.06,0.057,0.06
122,CUE.AX,2016-02-09,0.06,0.058,349600,0.062,0.06,0.062
123,CUE.AX,2016-02-08,0.062,0.062,3800,0.062,0.062,0.062
124,CUE.AX,2016-02-05,0.065,0.062,76100,0.063,0.065,0.065
125,CUE.AX,2016-02-04,0.065,0.06,776900,0.063,0.065,0.065
126,CUE.AX,2016-02-03,0.061,0.045,1088800,0.048,0.061,0.064
127,CUE.AX,2016-02-02,0.048,0.048,51300,0.049,0.048,0.049
128,CUE.AX,2016-02-01,0.049,0.049,30000,0.049,0.049,0.049
129,CUE.AX,2016-01-29,0.05,0.049,148000,0.05,0.05,0.05
130,CUE.AX,2016-01-28,0.048,0.048,50000,0.048,0.048,0.048
131,CUE.AX,2016-01-27,0.048,0.048,000,0.048,0.048,0.048
132,CUE.AX,2016-01-26,0.048,0.048,000,0.048,0.048,0.048
133,CUE.AX,2016-01-25,0.048,0.048,000,0.048,0.048,0.048
134,CUE.AX,2016-01-22,0.048,0.048,000,0.048,0.048,0.048
135,CUE.AX,2016-01-21,0.048,0.048,000,0.048,0.048,0.048
136,CUE.AX,2016-01-20,0.048,0.048,000,0.048,0.048,0.048
137,CUE.AX,2016-01-19,0.048,0.048,000,0.048,0.048,0.048
138,CUE.AX,2016-01-18,0.048,0.048,324100,0.048,0.048,0.048
139,CUE.AX,2016-01-15,0.05,0.05,246000,0.051,0.05,0.051
140,CUE.AX,2016-01-14,0.051,0.051,103800,0.055,0.051,0.055
141,CUE.AX,2016-01-13,0.056,0.056,000,0.056,0.056,0.056
142,CUE.AX,2016-01-12,0.056,0.056,183000,0.057,0.056,0.057
143,CUE.AX,2016-01-11,0.059,0.059,100000,0.059,0.059,0.059
144,CUE.AX,2016-01-08,0.059,0.059,15000,0.059,0.059,0.059
145,CUE.AX,2016-01-07,0.059,0.059,000,0.059,0.059,0.059
146,CUE.AX,2016-01-06,0.059,0.059,81500,0.059,0.059,0.059
147,CUE.AX,2016-01-05,0.06,0.06,140000,0.062,0.06,0.062
148,CUE.AX,2016-01-04,0.059,0.058,155900,0.058,0.059,0.06
149,CUE.AX,2016-01-01,0.058,0.058,000,0.058,0.058,0.058
150,CUE.AX,2015-12-31,0.058,0.058,000,0.058,0.058,0.058
151,CUE.AX,2015-12-30,0.058,0.056,51900,0.056,0.058,0.058
152,CUE.AX,2015-12-29,0.055,0.055,199800,0.057,0.055,0.059
153,CUE.AX,2015-12-28,0.056,0.056,000,0.056,0.056,0.056
154,CUE.AX,2015-12-25,0.056,0.056,000,0.056,0.056,0.056
155,CUE.AX,2015-12-24,0.056,0.056,000,0.056,0.056,0.056
156,CUE.AX,2015-12-23,0.056,0.056,127500,0.056,0.056,0.056
157,CUE.AX,2015-12-22,0.057,0.056,98800,0.056,0.057,0.057
158,CUE.AX,2015-12-21,0.057,0.056,82400,0.057,0.057,0.057
159,CUE.AX,2015-12-18,0.058,0.058,273200,0.059,0.058,0.059
160,CUE.AX,2015-12-17,0.058,0.057,62500,0.057,0.058,0.058
161,CUE.AX,2015-12-16,0.057,0.057,000,0.057,0.057,0.057
162,CUE.AX,2015-12-15,0.057,0.057,000,0.057,0.057,0.057
163,CUE.AX,2015-12-14,0.057,0.057,32300,0.057,0.057,0.057
164,CUE.AX,2015-12-11,0.059,0.059,59400,0.059,0.059,0.059
165,CUE.AX,2015-12-10,0.06,0.06,173000,0.062,0.06,0.062
166,CUE.AX,2015-12-09,0.057,0.057,160000,0.057,0.057,0.061
167,CUE.AX,2015-12-08,0.061,0.061,70600,0.062,0.061,0.062
168,CUE.AX,2015-12-07,0.064,0.064,135100,0.064,0.064,0.064
169,CUE.AX,2015-12-04,0.065,0.065,000,0.065,0.065,0.065
170,CUE.AX,2015-12-03,0.065,0.065,000,0.065,0.065,0.065
171,CUE.AX,2015-12-02,0.065,0.062,262100,0.064,0.065,0.065
172,CUE.AX,2015-12-01,0.064,0.064,35100,0.066,0.064,0.066
173,CUE.AX,2015-11-30,0.066,0.066,000,0.066,0.066,0.066
174,CUE.AX,2015-11-27,0.066,0.066,000,0.066,0.066,0.066
175,CUE.AX,2015-11-26,0.066,0.063,13000,0.063,0.066,0.066
176,CUE.AX,2015-11-25,0.063,0.063,355500,0.063,0.063,0.065
177,CUE.AX,2015-11-24,0.061,0.061,198100,0.063,0.061,0.063
178,CUE.AX,2015-11-23,0.064,0.062,165500,0.063,0.064,0.064
179,CUE.AX,2015-11-20,0.065,0.065,000,0.065,0.065,0.065
180,CUE.AX,2015-11-19,0.065,0.065,96000,0.066,0.065,0.066
181,CUE.AX,2015-11-18,0.066,0.066,4200,0.066,0.066,0.066
182,CUE.AX,2015-11-17,0.066,0.066,10700,0.066,0.066,0.066
183,CUE.AX,2015-11-16,0.067,0.067,000,0.067,0.067,0.067
184,CUE.AX,2015-11-13,0.067,0.067,000,0.067,0.067,0.067
185,CUE.AX,2015-11-12,0.067,0.067,200000,0.067,0.067,0.067
186,CUE.AX,2015-11-11,0.066,0.066,000,0.066,0.066,0.066
187,CUE.AX,2015-11-10,0.066,0.065,78400,0.065,0.066,0.066
188,CUE.AX,2015-11-09,0.065,0.065,15000,0.066,0.065,0.066
189,CUE.AX,2015-11-06,0.067,0.067,66000,0.067,0.067,0.067
190,CUE.AX,2015-11-05,0.067,0.067,115000,0.068,0.067,0.068
191,CUE.AX,2015-11-04,0.068,0.068,000,0.068,0.068,0.068
192,CUE.AX,2015-11-03,0.068,0.068,844600,0.068,0.068,0.068
193,CUE.AX,2015-11-02,0.069,0.069,96200,0.069,0.069,0.069
194,CUE.AX,2015-10-30,0.07,0.07,134600,0.07,0.07,0.07
195,CUE.AX,2015-10-29,0.075,0.071,470700,0.071,0.075,0.075
196,CUE.AX,2015-10-28,0.07,0.07,411900,0.072,0.07,0.072
197,CUE.AX,2015-10-27,0.073,0.073,000,0.073,0.073,0.073
198,CUE.AX,2015-10-26,0.073,0.072,40100,0.072,0.073,0.073
