,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,5.58,5.64,600740.SS,5.64,10176200,5.60,5.75
1,2016-07-27,5.42,5.60,600740.SS,5.60,14165200,6.00,6.03
2,2016-07-26,5.84,5.95,600740.SS,5.95,8012000,5.88,5.96
3,2016-07-25,5.81,5.87,600740.SS,5.87,6334200,5.81,5.93
4,2016-07-22,5.78,5.82,600740.SS,5.82,10822800,6.01,6.03
5,2016-07-21,5.92,6.04,600740.SS,6.04,9106400,5.94,6.07
6,2016-07-20,5.90,6.01,600740.SS,6.01,9499600,5.94,6.12
7,2016-07-19,5.87,5.94,600740.SS,5.94,4935000,5.89,5.97
8,2016-07-18,5.84,5.88,600740.SS,5.88,9581400,6.01,6.02
9,2016-07-15,5.99,6.05,600740.SS,6.05,10491500,6.03,6.13
10,2016-07-14,5.94,6.02,600740.SS,6.02,11096900,6.09,6.13
11,2016-07-13,6.05,6.13,600740.SS,6.13,14363800,6.19,6.20
12,2016-07-12,5.88,6.20,600740.SS,6.20,30204100,5.88,6.40
13,2016-07-11,5.82,5.89,600740.SS,5.89,16743100,5.89,6.05
14,2016-07-08,5.83,5.85,600740.SS,5.85,15855500,6.03,6.08
15,2016-07-07,5.70,6.08,600740.SS,6.08,26580600,5.77,6.15
16,2016-07-06,5.66,5.76,600740.SS,5.76,11175100,5.74,5.82
17,2016-07-05,5.58,5.79,600740.SS,5.79,18330200,5.63,5.99
18,2016-07-04,5.40,5.63,600740.SS,5.63,15793300,5.40,5.68
19,2016-07-01,5.43,5.47,600740.SS,5.47,5656800,5.47,5.55
20,2016-06-30,5.44,5.47,600740.SS,5.47,6429600,5.45,5.54
21,2016-06-29,5.42,5.46,600740.SS,5.46,6679400,5.54,5.57
22,2016-06-28,5.40,5.49,600740.SS,5.49,8114500,5.42,5.55
23,2016-06-27,5.21,5.46,600740.SS,5.46,8402300,5.22,5.51
24,2016-06-24,5.19,5.30,600740.SS,5.30,9504400,5.41,5.44
25,2016-06-23,5.36,5.40,600740.SS,5.40,6993700,5.44,5.50
26,2016-06-22,5.25,5.47,600740.SS,5.47,11244600,5.26,5.53
27,2016-06-21,5.23,5.27,600740.SS,5.27,6905500,5.36,5.46
28,2016-06-20,5.28,5.34,600740.SS,5.34,6140200,5.36,5.37
