,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-27,1.15,1.46,FAC,1.46,52500,1.22,1.46
1,2016-07-26,1.18,1.23,FAC,1.23,6600,1.19,1.23
2,2016-07-25,1.21,1.24,FAC,1.24,400,1.21,1.24
3,2016-07-22,1.15,1.26,FAC,1.26,65000,1.30,1.31
4,2016-07-21,1.30,1.31,FAC,1.31,4800,1.30,1.31
5,2016-07-20,1.29,1.31,FAC,1.31,11700,1.29,1.34
6,2016-07-19,1.20,1.25,FAC,1.25,12500,1.20,1.27
7,2016-07-18,1.15,1.25,FAC,1.25,3400,1.19,1.25
8,2016-07-15,1.18,1.21,FAC,1.21,4800,1.18,1.22
9,2016-07-14,1.14,1.14,FAC,1.14,2800,1.22,1.25
10,2016-07-13,1.18,1.19,FAC,1.19,4600,1.20,1.21
11,2016-07-12,1.19,1.21,FAC,1.21,60500,1.28,1.30
12,2016-07-11,1.22,1.24,FAC,1.24,4600,1.22,1.25
13,2016-07-08,1.21,1.22,FAC,1.22,5800,1.21,1.27
14,2016-07-07,1.23,1.23,FAC,1.23,7700,1.31,1.31
15,2016-07-06,1.29,1.29,FAC,1.29,9500,1.35,1.37
16,2016-07-05,1.29,1.29,FAC,1.29,3300,1.41,1.42
17,2016-07-01,1.34,1.36,FAC,1.36,231700,1.36,1.45
18,2016-06-30,1.40,1.40,FAC,1.40,24500,1.40,1.46
19,2016-06-29,1.22,1.34,FAC,1.34,19500,1.22,1.36
20,2016-06-28,1.22,1.22,FAC,1.22,1300,1.22,1.22
21,2016-06-27,1.23,1.23,FAC,1.23,1000,1.23,1.23
22,2016-06-24,1.22,1.25,FAC,1.25,6400,1.31,1.31
23,2016-06-23,1.27,1.27,FAC,1.27,9100,1.31,1.31
24,2016-06-22,1.31,1.31,FAC,1.31,7400,1.31,1.35
25,2016-06-21,1.31,1.31,FAC,1.31,14100,1.39,1.39
26,2016-06-20,1.31,1.40,FAC,1.40,22700,1.45,1.47
27,2016-06-17,1.45,1.46,FAC,1.46,300,1.45,1.46
28,2016-06-16,1.46,1.48,FAC,1.48,4200,1.48,1.52
29,2016-06-15,1.46,1.49,FAC,1.49,600,1.49,1.49
30,2016-06-14,1.45,1.47,FAC,1.47,3800,1.53,1.53
31,2016-06-13,1.49,1.49,FAC,1.49,7700,1.56,1.56
32,2016-06-10,1.49,1.57,FAC,1.57,6200,1.56,1.57
33,2016-06-09,1.53,1.54,FAC,1.54,39800,1.58,1.64
34,2016-06-08,1.58,1.61,FAC,1.61,5900,1.64,1.65
35,2016-06-07,1.60,1.60,FAC,1.60,400,1.60,1.60
36,2016-06-06,1.61,1.64,FAC,1.64,4500,1.61,1.64
37,2016-06-03,1.60,1.60,FAC,1.60,300,1.60,1.60
38,2016-06-02,1.49,1.56,FAC,1.56,3900,1.55,1.60
39,2016-06-01,1.49,1.52,FAC,1.52,8600,1.61,1.65
40,2016-05-31,1.53,1.61,FAC,1.61,3300,1.53,1.61
41,2016-05-27,1.50,1.59,FAC,1.59,9100,1.50,1.59
42,2016-05-26,1.50,1.50,FAC,1.50,3200,1.52,1.54
43,2016-05-25,1.54,1.54,FAC,1.54,104100,1.60,1.60
44,2016-05-24,1.52,1.58,FAC,1.58,10800,1.57,1.59
45,2016-05-23,1.39,1.59,FAC,1.59,82200,1.39,1.59
46,2016-05-20,1.27,1.35,FAC,1.35,37900,1.34,1.39
47,2016-05-19,1.32,1.34,FAC,1.34,110100,1.35,1.35
48,2016-05-18,1.28,1.37,FAC,1.37,22200,1.31,1.37
49,2016-05-17,1.01,1.32,FAC,1.32,387900,1.14,1.37
50,2016-05-16,1.27,1.28,FAC,1.28,24700,1.50,1.50
51,2016-05-13,1.50,1.50,FAC,1.50,2900,1.56,1.56
52,2016-05-12,1.56,1.56,FAC,1.56,6800,1.68,1.68
53,2016-05-11,1.64,1.74,FAC,1.74,10500,1.64,1.76
54,2016-05-10,1.64,1.70,FAC,1.70,1600,1.64,1.72
55,2016-05-09,1.64,1.65,FAC,1.65,3400,1.69,1.69
56,2016-05-06,1.66,1.70,FAC,1.70,6600,1.76,1.76
57,2016-05-05,1.77,1.77,FAC,1.77,3700,1.80,1.83
58,2016-05-04,1.74,1.77,FAC,1.77,1100,1.79,1.79
59,2016-05-03,1.77,1.79,FAC,1.79,3400,1.77,1.81
60,2016-05-02,1.72,1.75,FAC,1.75,6900,1.72,1.85
61,2016-04-29,1.68,1.70,FAC,1.70,8500,1.74,1.75
62,2016-04-28,1.61,1.70,FAC,1.70,1900,1.63,1.70
63,2016-04-27,1.65,1.69,FAC,1.69,1100,1.65,1.70
64,2016-04-26,1.53,1.70,FAC,1.70,18900,1.65,1.70
65,2016-04-25,1.68,1.69,FAC,1.69,9300,1.76,1.76
66,2016-04-22,1.62,1.78,FAC,1.78,25500,1.80,1.90
67,2016-04-21,1.80,1.82,FAC,1.82,2600,1.84,1.84
