,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,100.00,101.00,FGP.L,101.00,1859700,101.60,102.60
1,2016-07-27,98.45,100.80,FGP.L,100.80,1838200,98.50,100.80
2,2016-07-26,98.00,98.95,FGP.L,98.95,1845300,99.95,100.30
3,2016-07-25,98.00,99.70,FGP.L,99.70,1910800,98.90,100.80
4,2016-07-22,97.552,98.50,FGP.L,98.50,2250100,99.45,99.90
5,2016-07-21,98.50,99.05,FGP.L,99.05,1767200,100.20,101.30
6,2016-07-20,98.90,99.85,FGP.L,99.85,2862100,100.20,101.50
7,2016-07-19,97.25,100.30,FGP.L,100.30,1866000,99.75,101.30
8,2016-07-18,98.45,99.70,FGP.L,99.70,2090200,101.40,102.00
9,2016-07-15,97.95,100.00,FGP.L,100.00,2554300,102.70,102.70
10,2016-07-14,100.92,102.20,FGP.L,102.20,2032900,102.70,103.60
11,2016-07-13,101.50,101.50,FGP.L,101.50,2907600,102.90,103.20
12,2016-07-12,101.544,102.80,FGP.L,102.80,2393100,103.00,103.50
13,2016-07-11,98.20,102.20,FGP.L,102.20,2901200,98.95,102.60
14,2016-07-08,95.95,98.20,FGP.L,98.20,2054100,96.80,99.046
15,2016-07-07,94.267,97.05,FGP.L,97.05,3251700,95.00,98.55
16,2016-07-06,92.10,93.90,FGP.L,93.90,5231200,92.85,94.85
17,2016-07-05,92.931,93.75,FGP.L,93.75,2064900,96.60,97.05
18,2016-07-04,97.75,97.75,FGP.L,97.75,1760500,101.70,102.50
19,2016-07-01,98.65,101.40,FGP.L,101.40,2352200,100.80,102.50
20,2016-06-30,96.35,100.30,FGP.L,100.30,2427900,98.50,100.40
21,2016-06-29,93.55,98.25,FGP.L,98.25,4834800,93.90,98.70
22,2016-06-28,89.75,92.60,FGP.L,92.60,4819900,90.65,93.319
23,2016-06-27,87.829,88.70,FGP.L,88.70,7097500,95.25,95.78
24,2016-06-24,87.75,96.10,FGP.L,96.10,5228300,90.10,97.15
25,2016-06-23,99.85,103.20,FGP.L,103.20,3503800,101.10,104.10
26,2016-06-22,98.35,100.60,FGP.L,100.60,2860800,100.00,102.00
27,2016-06-21,97.40,98.00,FGP.L,98.00,2477100,98.55,100.40
28,2016-06-20,96.40,99.70,FGP.L,99.70,2558900,96.95,100.20
29,2016-06-17,93.85,96.20,FGP.L,96.20,4762300,94.00,97.75
30,2016-06-16,94.05,94.05,FGP.L,94.05,4677500,100.70,102.00
31,2016-06-15,101.60,101.60,FGP.L,101.60,4978500,109.40,110.87
32,2016-06-14,98.25,109.30,FGP.L,109.30,7926400,99.35,116.10
33,2016-06-13,103.10,103.10,FGP.L,103.10,1383400,104.00,106.10
34,2016-06-10,105.30,105.70,FGP.L,105.70,1315600,107.40,108.00
35,2016-06-09,105.87,108.00,FGP.L,108.00,1172900,106.90,108.60
36,2016-06-08,106.60,106.90,FGP.L,106.90,1527800,107.90,109.00
37,2016-06-07,107.22,107.90,FGP.L,107.90,1341100,107.40,109.178
38,2016-06-06,105.50,108.00,FGP.L,108.00,1318700,106.50,108.20
39,2016-06-03,105.472,106.50,FGP.L,106.50,1610000,107.30,108.70
40,2016-06-02,105.335,107.40,FGP.L,107.40,1747200,105.50,108.40
41,2016-06-01,105.60,106.20,FGP.L,106.20,1239500,107.40,108.00
42,2016-05-31,105.705,108.10,FGP.L,108.10,1781300,106.20,109.672
43,2016-05-30,108.90,108.90,FGP.L,108.90,000,108.90,108.90
44,2016-05-27,107.60,108.90,FGP.L,108.90,1489300,108.10,109.30
45,2016-05-26,107.90,108.50,FGP.L,108.50,1721700,107.90,109.50
46,2016-05-25,107.80,108.50,FGP.L,108.50,2121500,108.20,109.20
47,2016-05-24,106.10,108.20,FGP.L,108.20,2461600,106.50,108.70
48,2016-05-23,104.05,107.00,FGP.L,107.00,1990500,104.10,107.60
49,2016-05-20,103.10,104.70,FGP.L,104.70,1434800,103.20,105.10
50,2016-05-19,101.50,103.10,FGP.L,103.10,1657700,103.00,104.00
51,2016-05-18,100.30,102.30,FGP.L,102.30,1442100,100.30,102.412
52,2016-05-17,99.30,101.10,FGP.L,101.10,1296000,99.85,102.00
53,2016-05-16,97.60,99.70,FGP.L,99.70,1855600,98.80,100.50
54,2016-05-13,96.95,98.95,FGP.L,98.95,1875700,99.35,99.70
55,2016-05-12,98.15,100.00,FGP.L,100.00,3906500,99.50,100.20
56,2016-05-11,98.30,99.20,FGP.L,99.20,2112800,99.70,100.40
57,2016-05-10,99.90,100.10,FGP.L,100.10,1406400,100.30,101.20
58,2016-05-09,97.50,100.00,FGP.L,100.00,1119800,97.50,101.00
59,2016-05-06,97.75,98.80,FGP.L,98.80,1003300,99.45,100.60
60,2016-05-05,99.04,99.80,FGP.L,99.80,1222800,99.20,100.70
61,2016-05-04,97.55,98.85,FGP.L,98.85,1295800,98.60,99.25
62,2016-05-03,98.35,99.00,FGP.L,99.00,1662700,99.70,100.70
63,2016-04-29,99.85,99.85,FGP.L,99.85,1353200,102.20,102.60
64,2016-04-28,99.85,102.60,FGP.L,102.60,1603300,101.00,103.10
65,2016-04-27,96.85,100.30,FGP.L,100.30,2145600,96.95,101.40
66,2016-04-26,97.35,97.70,FGP.L,97.70,1511700,98.25,98.25
67,2016-04-25,95.80,98.25,FGP.L,98.25,1389400,97.35,98.30
68,2016-04-22,97.00,97.20,FGP.L,97.20,1013600,97.55,98.25
69,2016-04-21,96.35,97.60,FGP.L,97.60,1240700,97.70,98.80
70,2016-04-20,96.85,97.75,FGP.L,97.75,2627000,97.05,99.00
71,2016-04-19,97.149,97.15,FGP.L,97.15,1873600,97.15,98.35
72,2016-04-18,96.135,97.15,FGP.L,97.15,1436800,97.15,98.20
73,2016-04-15,98.10,98.10,FGP.L,98.10,1326500,100.10,100.10
74,2016-04-14,99.30,99.65,FGP.L,99.65,1478600,100.50,101.30
75,2016-04-13,98.90,100.40,FGP.L,100.40,1758000,98.90,101.20
76,2016-04-12,97.50,99.65,FGP.L,99.65,1483300,98.60,100.50
77,2016-04-11,97.85,97.85,FGP.L,97.85,2130000,99.20,99.40
78,2016-04-08,98.23,98.90,FGP.L,98.90,1419500,98.30,99.85
79,2016-04-07,96.40,98.40,FGP.L,98.40,3019500,96.75,99.05
80,2016-04-06,96.75,96.85,FGP.L,96.85,3090800,98.65,98.65
81,2016-04-05,96.941,97.75,FGP.L,97.75,1686400,98.05,98.60
82,2016-04-04,97.35,98.05,FGP.L,98.05,1885700,97.35,99.991
83,2016-04-01,95.40,97.55,FGP.L,97.55,2632200,95.40,97.70
84,2016-03-31,95.56,96.70,FGP.L,96.70,3801200,97.70,97.70
85,2016-03-30,95.15,95.60,FGP.L,95.60,1604000,95.80,96.50
86,2016-03-29,93.76,94.80,FGP.L,94.80,1534300,94.60,95.15
87,2016-03-28,93.65,93.65,FGP.L,93.65,000,93.65,93.65
88,2016-03-24,92.95,93.65,FGP.L,93.65,1827700,93.30,95.05
89,2016-03-23,92.50,94.00,FGP.L,94.00,3800300,92.55,94.85
90,2016-03-22,90.95,92.55,FGP.L,92.55,1523100,93.80,93.80
91,2016-03-21,93.65,93.85,FGP.L,93.85,1191600,94.15,95.40
92,2016-03-18,93.85,94.70,FGP.L,94.70,3642400,93.85,95.50
93,2016-03-17,93.318,94.15,FGP.L,94.15,1355000,95.85,96.20
94,2016-03-16,94.00,95.55,FGP.L,95.55,2257600,95.05,96.25
95,2016-03-15,93.80,94.30,FGP.L,94.30,1340300,95.10,95.15
96,2016-03-14,94.30,94.95,FGP.L,94.95,1778600,96.15,96.90
97,2016-03-11,93.40,95.60,FGP.L,95.60,2094300,94.75,96.263
98,2016-03-10,92.80,93.00,FGP.L,93.00,2654200,93.55,97.00
99,2016-03-09,93.00,93.35,FGP.L,93.35,1113400,94.45,94.60
100,2016-03-08,94.20,94.50,FGP.L,94.50,1101900,95.10,95.475
101,2016-03-07,94.55,95.20,FGP.L,95.20,1261000,95.75,96.60
102,2016-03-04,94.516,95.95,FGP.L,95.95,1598400,95.05,95.95
103,2016-03-03,93.25,94.45,FGP.L,94.45,1746700,95.20,95.20
104,2016-03-02,93.263,94.45,FGP.L,94.45,1830800,94.90,95.25
105,2016-03-01,91.20,93.90,FGP.L,93.90,1875400,92.85,94.30
106,2016-02-29,91.85,92.25,FGP.L,92.25,2620100,92.50,93.15
107,2016-02-26,91.65,92.80,FGP.L,92.80,2393200,92.30,92.95
