,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-27,30.95,31.11,MMHD.TA,31.11,13400,31.10,31.32
1,2016-07-26,30.75,31.10,MMHD.TA,31.10,18500,30.75,31.18
2,2016-07-25,30.56,31.00,MMHD.TA,31.00,18300,30.92,31.46
3,2016-07-21,31.19,31.54,MMHD.TA,31.54,11900,31.57,31.72
4,2016-07-20,30.92,31.57,MMHD.TA,31.57,11500,30.92,31.75
5,2016-07-19,30.93,31.14,MMHD.TA,31.14,3200,30.93,31.36
6,2016-07-18,30.93,31.06,MMHD.TA,31.06,18300,30.93,31.90
7,2016-07-14,30.03,30.62,MMHD.TA,30.62,14600,30.30,30.75
8,2016-07-13,29.75,30.31,MMHD.TA,30.31,12000,29.75,30.44
9,2016-07-12,29.32,30.25,MMHD.TA,30.25,29000,29.32,30.50
10,2016-07-11,29.42,29.68,MMHD.TA,29.68,27500,29.42,29.90
11,2016-07-07,29.20,29.40,MMHD.TA,29.40,17100,29.61,29.66
12,2016-07-06,29.58,29.62,MMHD.TA,29.62,16700,30.21,30.21
13,2016-07-05,30.03,30.21,MMHD.TA,30.21,12700,30.68,31.14
14,2016-07-04,29.85,30.37,MMHD.TA,30.37,22100,30.37,30.80
15,2016-06-30,29.56,29.90,MMHD.TA,29.90,72600,29.70,30.11
16,2016-06-29,29.81,29.97,MMHD.TA,29.97,11000,30.07,30.60
17,2016-06-28,30.03,30.05,MMHD.TA,30.05,7000,30.12,30.67
18,2016-06-27,29.90,30.12,MMHD.TA,30.12,15800,29.90,30.39
19,2016-06-23,30.71,30.83,MMHD.TA,30.83,6300,31.48,31.48
20,2016-06-22,30.51,31.02,MMHD.TA,31.02,7600,30.51,31.30
21,2016-06-21,30.89,31.23,MMHD.TA,31.23,7800,31.00,31.43
22,2016-06-20,31.13,31.22,MMHD.TA,31.22,10900,31.30,31.79
23,2016-06-16,29.99,30.21,MMHD.TA,30.21,276500,30.37,30.60
24,2016-06-15,30.37,30.51,MMHD.TA,30.51,38700,30.37,30.98
25,2016-06-14,30.37,30.60,MMHD.TA,30.60,178800,30.71,30.67
26,2016-06-13,30.45,30.71,MMHD.TA,30.71,39400,30.80,31.00
27,2016-06-09,30.80,31.18,MMHD.TA,31.18,56700,31.49,31.51
28,2016-06-08,31.21,31.49,MMHD.TA,31.49,29000,31.56,32.02
29,2016-06-07,31.56,31.77,MMHD.TA,31.77,18900,32.13,32.89
30,2016-06-06,32.00,32.13,MMHD.TA,32.13,17000,32.26,32.50
31,2016-06-01,31.30,31.73,MMHD.TA,31.73,14200,31.48,31.75
32,2016-05-31,30.67,31.50,MMHD.TA,31.50,73700,30.97,31.84
33,2016-05-30,29.91,30.97,MMHD.TA,30.97,37600,30.34,30.99
34,2016-05-26,30.06,30.13,MMHD.TA,30.13,21500,30.18,30.39
35,2016-05-25,29.87,30.02,MMHD.TA,30.02,35200,29.86,30.42
36,2016-05-24,29.63,29.86,MMHD.TA,29.86,35700,30.50,30.57
37,2016-05-23,29.91,30.22,MMHD.TA,30.22,87400,30.41,30.48
38,2016-05-19,30.52,30.60,MMHD.TA,30.60,9500,30.99,30.99
39,2016-05-18,30.40,30.62,MMHD.TA,30.62,4700,30.67,30.81
40,2016-05-17,30.00,30.67,MMHD.TA,30.67,22700,31.60,31.60
41,2016-05-16,30.63,30.69,MMHD.TA,30.69,23200,30.92,31.30
42,2016-05-12,31.66,31.66,MMHD.TA,31.66,000,31.66,31.66
43,2016-05-11,31.66,31.66,MMHD.TA,31.66,000,31.66,31.66
44,2016-05-10,31.21,31.66,MMHD.TA,31.66,11100,32.13,32.13
45,2016-05-09,31.12,31.55,MMHD.TA,31.55,26100,32.61,32.48
46,2016-05-05,32.06,32.36,MMHD.TA,32.36,15000,32.88,33.10
47,2016-05-04,32.62,32.88,MMHD.TA,32.88,53400,33.01,33.14
48,2016-05-03,32.53,33.01,MMHD.TA,33.01,31400,32.53,33.59
49,2016-05-02,32.73,33.50,MMHD.TA,33.50,27200,32.85,33.52
50,2016-04-28,32.82,32.82,MMHD.TA,32.82,000,32.82,32.82
51,2016-04-27,32.62,32.82,MMHD.TA,32.82,13500,33.79,33.79
52,2016-04-26,32.78,33.14,MMHD.TA,33.14,10600,33.50,33.86
53,2016-04-25,32.22,33.16,MMHD.TA,33.16,6300,32.22,33.98
54,2016-04-21,32.18,32.63,MMHD.TA,32.63,19100,32.27,32.85
55,2016-04-20,32.16,32.27,MMHD.TA,32.27,6200,32.43,33.00
56,2016-04-19,31.32,32.43,MMHD.TA,32.43,13400,31.32,32.59
57,2016-04-18,31.30,31.71,MMHD.TA,31.71,18800,32.18,32.18
58,2016-04-14,31.04,31.29,MMHD.TA,31.29,39300,31.34,31.72
59,2016-04-13,30.79,31.34,MMHD.TA,31.34,5300,30.79,31.54
60,2016-04-12,30.56,30.77,MMHD.TA,30.77,7600,30.54,31.18
61,2016-04-11,30.00,30.54,MMHD.TA,30.54,15100,30.07,30.99
62,2016-04-07,30.20,30.29,MMHD.TA,30.29,15800,30.99,30.99
63,2016-04-06,30.04,30.58,MMHD.TA,30.58,5800,30.04,31.00
64,2016-04-05,30.14,30.34,MMHD.TA,30.34,21300,31.49,31.49
65,2016-04-04,30.50,30.58,MMHD.TA,30.58,41800,30.95,31.06
66,2016-03-31,31.50,31.50,MMHD.TA,31.50,26300,31.95,32.17
67,2016-03-30,31.79,31.95,MMHD.TA,31.95,20700,32.20,32.26
68,2016-03-29,32.05,32.20,MMHD.TA,32.20,10000,32.05,32.46
69,2016-03-28,32.05,32.63,MMHD.TA,32.63,66200,32.05,32.80
70,2016-03-24,32.85,32.85,MMHD.TA,32.85,000,32.85,32.85
71,2016-03-23,31.71,32.85,MMHD.TA,32.85,20700,31.71,33.12
72,2016-03-22,32.01,32.11,MMHD.TA,32.11,17000,32.36,32.61
73,2016-03-21,31.62,32.08,MMHD.TA,32.08,15000,31.62,32.25
74,2016-03-17,31.01,31.14,MMHD.TA,31.14,22500,31.50,31.50
75,2016-03-16,30.78,31.18,MMHD.TA,31.18,6200,31.05,31.49
76,2016-03-15,30.48,31.03,MMHD.TA,31.03,20000,30.59,31.19
77,2016-03-14,30.60,30.60,MMHD.TA,30.60,66600,31.17,31.48
78,2016-03-10,30.85,31.19,MMHD.TA,31.19,6900,30.92,31.31
79,2016-03-09,30.86,30.92,MMHD.TA,30.92,10900,31.10,31.36
80,2016-03-08,30.96,31.10,MMHD.TA,31.10,13300,31.52,31.78
81,2016-03-07,31.26,31.54,MMHD.TA,31.54,26300,32.24,32.30
82,2016-03-03,31.75,32.06,MMHD.TA,32.06,11200,32.68,32.70
83,2016-03-02,32.50,32.68,MMHD.TA,32.68,4600,33.58,33.58
84,2016-03-01,31.89,32.52,MMHD.TA,32.52,17700,31.87,32.69
85,2016-02-29,31.57,31.87,MMHD.TA,31.87,12900,31.59,32.11
86,2016-02-25,31.85,31.94,MMHD.TA,31.94,18400,33.28,33.28
87,2016-02-24,31.93,32.48,MMHD.TA,32.48,115700,32.40,33.03
88,2016-02-23,31.88,32.30,MMHD.TA,32.30,137300,31.90,32.53
89,2016-02-22,30.78,31.90,MMHD.TA,31.90,22500,30.78,32.41
90,2016-02-18,31.09,31.49,MMHD.TA,31.49,23400,31.29,32.28
91,2016-02-17,29.52,30.90,MMHD.TA,30.90,33100,29.52,31.26
92,2016-02-16,30.08,30.40,MMHD.TA,30.40,10300,30.77,30.77
93,2016-02-15,29.85,30.36,MMHD.TA,30.36,12800,29.87,30.72
94,2016-02-11,28.10,28.78,MMHD.TA,28.78,32200,29.01,29.01
95,2016-02-10,28.06,28.84,MMHD.TA,28.84,7200,28.37,29.00
96,2016-02-09,28.26,28.37,MMHD.TA,28.37,12900,28.66,29.05
97,2016-02-08,28.60,28.66,MMHD.TA,28.66,16300,29.08,29.17
98,2016-02-03,30.00,30.08,MMHD.TA,30.08,19800,30.00,30.40
99,2016-02-02,30.11,30.32,MMHD.TA,30.32,19300,30.36,30.63
100,2016-02-01,30.25,30.36,MMHD.TA,30.36,192100,30.35,31.35
101,2016-01-28,30.08,30.08,MMHD.TA,30.08,87000,30.50,31.21
102,2016-01-27,30.88,31.01,MMHD.TA,31.01,26400,31.25,31.38
103,2016-01-26,31.20,31.23,MMHD.TA,31.23,16300,31.67,31.78
104,2016-01-25,31.61,31.67,MMHD.TA,31.67,62000,32.03,32.50
105,2016-01-21,31.40,31.75,MMHD.TA,31.75,15000,31.83,31.98
106,2016-01-20,30.93,31.83,MMHD.TA,31.83,10300,30.93,31.84
107,2016-01-19,31.63,32.50,MMHD.TA,32.50,16300,31.63,33.11
108,2016-01-18,31.11,31.62,MMHD.TA,31.62,16700,31.56,32.95
109,2016-01-14,30.92,31.29,MMHD.TA,31.29,22500,32.01,32.01
110,2016-01-13,32.04,32.28,MMHD.TA,32.28,25100,32.72,32.94
111,2016-01-12,32.40,32.72,MMHD.TA,32.72,21800,32.40,33.27
112,2016-01-11,32.39,32.72,MMHD.TA,32.72,11300,32.38,33.36
113,2016-01-07,32.02,32.26,MMHD.TA,32.26,52300,33.00,33.00
114,2016-01-06,33.09,33.15,MMHD.TA,33.15,23000,34.03,34.00
115,2016-01-05,33.98,34.03,MMHD.TA,34.03,29700,34.12,34.61
116,2016-01-04,33.70,34.11,MMHD.TA,34.11,27600,34.07,34.29
117,2015-12-31,33.31,33.40,MMHD.TA,33.40,51400,33.33,33.78
118,2015-12-30,33.30,33.47,MMHD.TA,33.47,30100,33.50,33.81
119,2015-12-29,33.00,33.50,MMHD.TA,33.50,19500,33.81,34.14
120,2015-12-28,32.63,33.81,MMHD.TA,33.81,65700,32.63,33.89
121,2015-12-24,32.02,32.62,MMHD.TA,32.62,63900,32.21,32.84
122,2015-12-23,31.93,32.05,MMHD.TA,32.05,21000,31.93,32.39
123,2015-12-22,31.77,32.05,MMHD.TA,32.05,51500,32.17,32.21
124,2015-12-21,31.75,32.17,MMHD.TA,32.17,16000,32.47,33.29
125,2015-12-17,31.82,32.97,MMHD.TA,32.97,24000,32.02,33.00
126,2015-12-16,31.81,32.27,MMHD.TA,32.27,35600,31.81,32.37
127,2015-12-15,32.06,32.37,MMHD.TA,32.37,84100,32.06,32.63
128,2015-12-14,31.89,32.06,MMHD.TA,32.06,149400,31.89,32.83
129,2015-12-10,31.75,32.22,MMHD.TA,32.22,23400,31.75,32.60
130,2015-12-09,31.76,31.93,MMHD.TA,31.93,54400,32.33,32.33
131,2015-12-08,32.16,32.40,MMHD.TA,32.40,19400,33.18,33.18
132,2015-12-07,32.82,32.91,MMHD.TA,32.91,11100,33.49,33.49
133,2015-12-03,33.14,33.71,MMHD.TA,33.71,17300,33.80,33.98
134,2015-12-02,33.04,33.67,MMHD.TA,33.67,10900,33.79,33.79
135,2015-12-01,32.60,33.03,MMHD.TA,33.03,13400,33.33,33.33
136,2015-11-30,31.81,32.60,MMHD.TA,32.60,22800,31.81,32.60
137,2015-11-26,31.00,32.13,MMHD.TA,32.13,83100,32.16,32.42
138,2015-11-25,32.32,32.41,MMHD.TA,32.41,71400,32.76,33.36
139,2015-11-24,32.55,32.76,MMHD.TA,32.76,27200,32.96,33.55
140,2015-11-23,33.15,33.35,MMHD.TA,33.35,77600,33.32,33.76
141,2015-11-19,33.54,33.88,MMHD.TA,33.88,16900,34.66,34.93
142,2015-11-18,33.51,34.66,MMHD.TA,34.66,17600,33.51,34.91
143,2015-11-17,34.12,34.30,MMHD.TA,34.30,19400,34.12,34.50
144,2015-11-16,33.91,34.12,MMHD.TA,34.12,9900,33.76,34.44
145,2015-11-12,33.20,34.18,MMHD.TA,34.18,125600,33.20,34.18
146,2015-11-11,33.12,33.58,MMHD.TA,33.58,47600,33.12,34.34
147,2015-11-10,33.08,33.20,MMHD.TA,33.20,76900,34.08,34.08
148,2015-11-09,32.05,33.29,MMHD.TA,33.29,126400,32.60,33.70
149,2015-11-05,33.23,33.25,MMHD.TA,33.25,26800,33.71,33.73
150,2015-11-04,33.21,33.71,MMHD.TA,33.71,19100,33.43,33.88
151,2015-11-03,33.12,33.43,MMHD.TA,33.43,25300,33.63,33.83
152,2015-11-02,33.33,33.62,MMHD.TA,33.62,15100,33.89,33.89
153,2015-10-29,33.72,33.83,MMHD.TA,33.83,24300,33.90,34.12
154,2015-10-28,34.00,34.13,MMHD.TA,34.13,45200,35.07,35.07
155,2015-10-27,34.10,34.10,MMHD.TA,34.10,20500,34.13,34.55
156,2015-10-26,33.91,34.13,MMHD.TA,34.13,20900,34.98,34.98
157,2015-10-22,34.31,34.42,MMHD.TA,34.42,29700,34.93,34.94
158,2015-10-21,34.21,34.93,MMHD.TA,34.93,17200,35.20,35.20
159,2015-10-20,34.79,34.89,MMHD.TA,34.89,9000,34.80,35.08
160,2015-10-19,34.68,34.80,MMHD.TA,34.80,14300,35.60,35.66
161,2015-10-15,34.55,34.59,MMHD.TA,34.59,15700,35.59,35.59
162,2015-10-14,34.17,34.76,MMHD.TA,34.76,75500,34.53,35.29
163,2015-10-13,34.42,34.53,MMHD.TA,34.53,31200,35.05,35.15
164,2015-10-12,35.44,35.54,MMHD.TA,35.54,10200,36.70,36.70
165,2015-10-08,35.44,35.56,MMHD.TA,35.56,5900,36.27,36.28
166,2015-10-07,35.29,36.27,MMHD.TA,36.27,28200,35.29,36.35
167,2015-10-06,34.28,35.28,MMHD.TA,35.28,18400,34.28,35.45
168,2015-10-05,34.27,34.27,MMHD.TA,34.27,000,34.27,34.27
169,2015-10-01,33.81,34.27,MMHD.TA,34.27,91300,33.81,34.86
170,2015-09-30,34.18,34.24,MMHD.TA,34.24,27900,34.18,34.52
