,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,001550.KS,2016-07-28,12150.00,12000.00,4600,12150.00,12150.00,12150.00
1,001550.KS,2016-07-27,12050.00,12050.00,3800,12250.00,12050.00,12250.00
2,001550.KS,2016-07-26,12150.00,12000.00,5600,12200.00,12150.00,12350.00
3,001550.KS,2016-07-25,12300.00,12000.00,3600,12150.00,12300.00,12300.00
4,001550.KS,2016-07-22,12150.00,12050.00,7000,12150.00,12150.00,12350.00
5,001550.KS,2016-07-21,12200.00,12050.00,5000,12150.00,12200.00,12300.00
6,001550.KS,2016-07-20,12300.00,12200.00,700,12450.00,12300.00,12450.00
7,001550.KS,2016-07-19,12300.00,12100.00,5500,12550.00,12300.00,12600.00
8,001550.KS,2016-07-18,12500.00,12050.00,4100,12200.00,12500.00,12500.00
9,001550.KS,2016-07-15,12300.00,12250.00,4400,12550.00,12300.00,12600.00
10,001550.KS,2016-07-14,12500.00,12300.00,2400,12450.00,12500.00,12500.00
11,001550.KS,2016-07-13,12400.00,12300.00,5100,12500.00,12400.00,12800.00
12,001550.KS,2016-07-12,12500.00,12000.00,18900,12050.00,12500.00,13050.00
13,001550.KS,2016-07-11,12000.00,11850.00,3800,12100.00,12000.00,12100.00
14,001550.KS,2016-07-08,12100.00,12100.00,3700,12300.00,12100.00,12350.00
15,001550.KS,2016-07-07,12300.00,12200.00,1000,12450.00,12300.00,12450.00
16,001550.KS,2016-07-06,12200.00,12200.00,13800,12550.00,12200.00,12550.00
17,001550.KS,2016-07-05,12600.00,12250.00,4700,12550.00,12600.00,12600.00
18,001550.KS,2016-07-04,12300.00,12100.00,6400,12400.00,12300.00,12400.00
19,001550.KS,2016-07-01,12250.00,12050.00,10300,12050.00,12250.00,12600.00
20,001550.KS,2016-06-30,12150.00,12000.00,6700,12100.00,12150.00,12300.00
21,001550.KS,2016-06-29,12000.00,11850.00,7600,11900.00,12000.00,12050.00
22,001550.KS,2016-06-28,11900.00,11400.00,6400,11400.00,11900.00,12000.00
23,001550.KS,2016-06-27,11700.00,11000.00,8300,11050.00,11700.00,11750.00
24,001550.KS,2016-06-24,11600.00,10950.00,40300,12700.00,11600.00,12800.00
25,001550.KS,2016-06-23,12700.00,12400.00,8600,12850.00,12700.00,12850.00
26,001550.KS,2016-06-22,12750.00,12650.00,9300,12850.00,12750.00,12850.00
27,001550.KS,2016-06-21,12800.00,12700.00,11800,12850.00,12800.00,12850.00
28,001550.KS,2016-06-20,12850.00,12600.00,10300,12750.00,12850.00,12850.00
29,001550.KS,2016-06-17,12750.00,12400.00,9500,12400.00,12750.00,12800.00
30,001550.KS,2016-06-16,12400.00,12250.00,6100,12550.00,12400.00,12600.00
31,001550.KS,2016-06-15,12550.00,12350.00,3100,12650.00,12550.00,12650.00
32,001550.KS,2016-06-14,12350.00,12350.00,7700,12800.00,12350.00,12800.00
33,001550.KS,2016-06-13,12600.00,12600.00,8900,12750.00,12600.00,12900.00
34,001550.KS,2016-06-10,12800.00,12650.00,8800,12700.00,12800.00,12800.00
35,001550.KS,2016-06-09,12700.00,12600.00,4300,12600.00,12700.00,12800.00
36,001550.KS,2016-06-08,12650.00,12600.00,9100,12800.00,12650.00,12800.00
37,001550.KS,2016-06-07,12800.00,12650.00,13700,12750.00,12800.00,12800.00
38,001550.KS,2016-06-06,12750.00,12750.00,000,12750.00,12750.00,12750.00
39,001550.KS,2016-06-03,12750.00,12700.00,11700,12700.00,12750.00,12850.00
40,001550.KS,2016-06-02,12800.00,12750.00,11000,12850.00,12800.00,12900.00
41,001550.KS,2016-06-01,12950.00,12800.00,17000,13150.00,12950.00,13150.00
42,001550.KS,2016-05-31,13150.00,12950.00,2500,13100.00,13150.00,13150.00
43,001550.KS,2016-05-30,13050.00,13000.00,3300,13050.00,13050.00,13150.00
44,001550.KS,2016-05-27,13050.00,12950.00,2500,13000.00,13050.00,13050.00
45,001550.KS,2016-05-26,13000.00,12900.00,3100,12900.00,13000.00,13100.00
46,001550.KS,2016-05-25,12900.00,12700.00,4600,12700.00,12900.00,13050.00
47,001550.KS,2016-05-24,12850.00,12700.00,7900,13050.00,12850.00,13050.00
48,001550.KS,2016-05-23,13050.00,12850.00,8800,13100.00,13050.00,13200.00
49,001550.KS,2016-05-20,13000.00,12750.00,8800,12800.00,13000.00,13150.00
50,001550.KS,2016-05-19,12950.00,12850.00,18100,13450.00,12950.00,13450.00
51,001550.KS,2016-05-18,13500.00,13100.00,9800,13100.00,13500.00,13550.00
52,001550.KS,2016-05-17,13100.00,13050.00,10300,13050.00,13100.00,13300.00
53,001550.KS,2016-05-16,13150.00,13000.00,10700,13050.00,13150.00,13200.00
54,001550.KS,2016-05-13,13350.00,13100.00,4400,13350.00,13350.00,13400.00
55,001550.KS,2016-05-12,13300.00,12800.00,18200,12950.00,13300.00,13350.00
56,001550.KS,2016-05-11,13100.00,13000.00,13200,13400.00,13100.00,13450.00
57,001550.KS,2016-05-10,13400.00,13200.00,12800,13400.00,13400.00,13650.00
58,001550.KS,2016-05-09,13450.00,13200.00,16800,13550.00,13450.00,13600.00
59,001550.KS,2016-05-06,13450.00,13450.00,000,13450.00,13450.00,13450.00
60,001550.KS,2016-05-05,13450.00,13450.00,000,13450.00,13450.00,13450.00
61,001550.KS,2016-05-04,13450.00,13300.00,9400,13800.00,13450.00,13800.00
62,001550.KS,2016-05-03,13800.00,13550.00,10000,13750.00,13800.00,13900.00
63,001550.KS,2016-05-02,13850.00,13400.00,18100,13550.00,13850.00,13900.00
64,001550.KS,2016-04-29,13550.00,13050.00,6800,13300.00,13550.00,13650.00
65,001550.KS,2016-04-28,13300.00,13150.00,9500,13600.00,13300.00,13600.00
66,001550.KS,2016-04-27,13550.00,13450.00,4900,13500.00,13550.00,13750.00
67,001550.KS,2016-04-26,13550.00,13400.00,8800,13700.00,13550.00,13700.00
68,001550.KS,2016-04-25,13700.00,13250.00,29000,13350.00,13700.00,13850.00
69,001550.KS,2016-04-22,13450.00,13150.00,15100,13150.00,13450.00,13550.00
70,001550.KS,2016-04-21,13150.00,12950.00,4300,13150.00,13150.00,13150.00
71,001550.KS,2016-04-20,13100.00,12950.00,3700,13100.00,13100.00,13150.00
72,001550.KS,2016-04-19,13100.00,12800.00,8100,12900.00,13100.00,13150.00
73,001550.KS,2016-04-18,12900.00,12800.00,3400,12950.00,12900.00,12950.00
74,001550.KS,2016-04-15,13000.00,12800.00,5100,12950.00,13000.00,13000.00
75,001550.KS,2016-04-14,13000.00,12650.00,5200,12850.00,13000.00,13050.00
76,001550.KS,2016-04-13,12850.00,12850.00,000,12850.00,12850.00,12850.00
77,001550.KS,2016-04-12,12850.00,12800.00,7700,13050.00,12850.00,13050.00
78,001550.KS,2016-04-11,13000.00,12850.00,1200,13150.00,13000.00,13150.00
79,001550.KS,2016-04-08,13000.00,12800.00,6800,12950.00,13000.00,13150.00
80,001550.KS,2016-04-07,13000.00,12850.00,5500,13100.00,13000.00,13200.00
81,001550.KS,2016-04-06,13200.00,13100.00,4600,13400.00,13200.00,13400.00
82,001550.KS,2016-04-05,13300.00,13050.00,3200,13500.00,13300.00,13500.00
83,001550.KS,2016-04-04,13400.00,13100.00,7500,13100.00,13400.00,13500.00
84,001550.KS,2016-04-01,13100.00,12900.00,3500,13100.00,13100.00,13150.00
85,001550.KS,2016-03-31,13000.00,12800.00,2500,12800.00,13000.00,13000.00
86,001550.KS,2016-03-30,12900.00,12750.00,3600,12900.00,12900.00,13050.00
87,001550.KS,2016-03-29,12900.00,12750.00,4800,13000.00,12900.00,13050.00
88,001550.KS,2016-03-28,13000.00,12800.00,4900,13350.00,13000.00,13400.00
89,001550.KS,2016-03-25,13200.00,12950.00,6400,13000.00,13200.00,13250.00
90,001550.KS,2016-03-24,12950.00,12550.00,8900,12550.00,12950.00,13000.00
91,001550.KS,2016-03-23,12750.00,12750.00,9400,13100.00,12750.00,13100.00
92,001550.KS,2016-03-22,13100.00,13050.00,21700,13500.00,13100.00,13600.00
93,001550.KS,2016-03-21,13550.00,12950.00,55800,12950.00,13550.00,13900.00
94,001550.KS,2016-03-18,12850.00,12850.00,14600,13250.00,12850.00,13300.00
95,001550.KS,2016-03-17,13100.00,12700.00,32700,12800.00,13100.00,13300.00
96,001550.KS,2016-03-16,12650.00,12450.00,9400,12600.00,12650.00,12700.00
97,001550.KS,2016-03-15,12450.00,12300.00,4200,12500.00,12450.00,12500.00
