,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,8860.00,9670.00,003680.KS,9670.00,414700,9050.00,9880.00
1,2016-07-27,8860.00,8860.00,003680.KS,8860.00,8600,8880.00,9000.00
2,2016-07-26,8850.00,8880.00,003680.KS,8880.00,14000,8870.00,9030.00
3,2016-07-25,8840.00,8890.00,003680.KS,8890.00,26600,8900.00,9190.00
4,2016-07-22,8850.00,8890.00,003680.KS,8890.00,10900,8900.00,9080.00
5,2016-07-21,8860.00,8900.00,003680.KS,8900.00,33700,8980.00,9070.00
6,2016-07-20,9030.00,9100.00,003680.KS,9100.00,34600,9150.00,9250.00
7,2016-07-19,8800.00,9100.00,003680.KS,9100.00,57800,8820.00,9140.00
8,2016-07-18,8700.00,8770.00,003680.KS,8770.00,17600,8700.00,8930.00
9,2016-07-15,8550.00,8700.00,003680.KS,8700.00,17900,8750.00,8820.00
10,2016-07-14,8550.00,8690.00,003680.KS,8690.00,31500,8760.00,8770.00
11,2016-07-13,8720.00,8730.00,003680.KS,8730.00,22000,8840.00,8870.00
12,2016-07-12,8750.00,8820.00,003680.KS,8820.00,9100,8980.00,9000.00
13,2016-07-11,8830.00,8930.00,003680.KS,8930.00,10600,8830.00,8980.00
14,2016-07-08,8790.00,8870.00,003680.KS,8870.00,19900,8870.00,9000.00
15,2016-07-07,8740.00,8820.00,003680.KS,8820.00,13300,8780.00,8900.00
16,2016-07-06,8560.00,8650.00,003680.KS,8650.00,24900,8770.00,8910.00
17,2016-07-05,8740.00,8740.00,003680.KS,8740.00,10900,8800.00,8960.00
18,2016-07-04,8810.00,8890.00,003680.KS,8890.00,12900,8890.00,9000.00
19,2016-07-01,8530.00,8890.00,003680.KS,8890.00,56100,8620.00,9070.00
20,2016-06-30,8500.00,8560.00,003680.KS,8560.00,29900,8790.00,8790.00
21,2016-06-29,8500.00,8690.00,003680.KS,8690.00,12100,8600.00,8760.00
22,2016-06-28,8280.00,8470.00,003680.KS,8470.00,15000,8280.00,8470.00
23,2016-06-27,8040.00,8300.00,003680.KS,8300.00,53200,8040.00,8490.00
24,2016-06-24,8200.00,8400.00,003680.KS,8400.00,91200,9130.00,9130.00
25,2016-06-23,8950.00,8980.00,003680.KS,8980.00,16400,9150.00,9150.00
26,2016-06-22,9030.00,9070.00,003680.KS,9070.00,17700,9050.00,9190.00
27,2016-06-21,8980.00,9050.00,003680.KS,9050.00,8600,9140.00,9140.00
28,2016-06-20,8820.00,9080.00,003680.KS,9080.00,16800,8850.00,9130.00
29,2016-06-17,8830.00,8840.00,003680.KS,8840.00,13400,8960.00,9150.00
30,2016-06-16,8910.00,8960.00,003680.KS,8960.00,12800,9010.00,9200.00
31,2016-06-15,8850.00,9060.00,003680.KS,9060.00,13800,9000.00,9100.00
32,2016-06-14,8950.00,8990.00,003680.KS,8990.00,31200,9140.00,9250.00
33,2016-06-13,9160.00,9160.00,003680.KS,9160.00,20700,9350.00,9350.00
34,2016-06-10,9210.00,9300.00,003680.KS,9300.00,12700,9260.00,9300.00
35,2016-06-09,9160.00,9260.00,003680.KS,9260.00,22500,9260.00,9320.00
36,2016-06-08,9260.00,9260.00,003680.KS,9260.00,34300,9410.00,9480.00
37,2016-06-07,9260.00,9380.00,003680.KS,9380.00,22100,9280.00,9420.00
38,2016-06-06,9300.00,9300.00,003680.KS,9300.00,000,9300.00,9300.00
39,2016-06-03,9190.00,9300.00,003680.KS,9300.00,29600,9430.00,9500.00
40,2016-06-02,9320.00,9430.00,003680.KS,9430.00,22600,9350.00,9550.00
41,2016-06-01,9330.00,9440.00,003680.KS,9440.00,62000,9610.00,9640.00
42,2016-05-31,9520.00,9680.00,003680.KS,9680.00,54800,9800.00,9850.00
43,2016-05-30,9330.00,9660.00,003680.KS,9660.00,296600,9480.00,10100.00
44,2016-05-27,9250.00,9380.00,003680.KS,9380.00,41900,9290.00,9460.00
