,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,13400.00,13650.00,033240.KS,13650.00,57200,13500.00,13800.00
1,2016-07-27,13200.00,13400.00,033240.KS,13400.00,24700,13200.00,13550.00
2,2016-07-26,13250.00,13350.00,033240.KS,13350.00,52600,13350.00,13600.00
3,2016-07-25,13250.00,13300.00,033240.KS,13300.00,24500,13300.00,13500.00
4,2016-07-22,13050.00,13300.00,033240.KS,13300.00,14900,13150.00,13350.00
5,2016-07-21,13050.00,13050.00,033240.KS,13050.00,40400,13350.00,13400.00
6,2016-07-20,13200.00,13350.00,033240.KS,13350.00,29900,13400.00,13400.00
7,2016-07-19,13250.00,13400.00,033240.KS,13400.00,29100,13300.00,13500.00
8,2016-07-18,13050.00,13350.00,033240.KS,13350.00,56800,13200.00,13500.00
9,2016-07-15,12900.00,13200.00,033240.KS,13200.00,69900,13150.00,13450.00
10,2016-07-14,12550.00,12950.00,033240.KS,12950.00,65700,12700.00,13050.00
11,2016-07-13,12600.00,12700.00,033240.KS,12700.00,39000,12750.00,12800.00
12,2016-07-12,12500.00,12700.00,033240.KS,12700.00,28600,12650.00,12700.00
13,2016-07-11,12300.00,12600.00,033240.KS,12600.00,25900,12400.00,12700.00
14,2016-07-08,12000.00,12300.00,033240.KS,12300.00,71800,12600.00,12800.00
15,2016-07-07,12400.00,12700.00,033240.KS,12700.00,36700,12450.00,12950.00
16,2016-07-06,12350.00,12450.00,033240.KS,12450.00,71500,12750.00,12800.00
17,2016-07-05,12500.00,12750.00,033240.KS,12750.00,27000,12800.00,12800.00
18,2016-07-04,12550.00,12700.00,033240.KS,12700.00,19900,12750.00,12800.00
19,2016-07-01,12400.00,12750.00,033240.KS,12750.00,59400,12400.00,12900.00
20,2016-06-30,12200.00,12250.00,033240.KS,12250.00,50200,12300.00,12550.00
21,2016-06-29,12150.00,12400.00,033240.KS,12400.00,49800,12250.00,12400.00
22,2016-06-28,12050.00,12150.00,033240.KS,12150.00,51600,12400.00,12450.00
23,2016-06-27,11550.00,12500.00,033240.KS,12500.00,131700,11650.00,12500.00
24,2016-06-24,11650.00,12000.00,033240.KS,12000.00,108300,12450.00,12600.00
25,2016-06-23,12250.00,12350.00,033240.KS,12350.00,23300,12400.00,12450.00
26,2016-06-22,12250.00,12350.00,033240.KS,12350.00,52900,12350.00,12700.00
27,2016-06-21,12250.00,12350.00,033240.KS,12350.00,22300,12250.00,12450.00
28,2016-06-20,12100.00,12250.00,033240.KS,12250.00,34600,12200.00,12300.00
29,2016-06-17,12000.00,12200.00,033240.KS,12200.00,74600,12350.00,12450.00
30,2016-06-16,12300.00,12300.00,033240.KS,12300.00,42700,12550.00,12550.00
31,2016-06-15,12350.00,12450.00,033240.KS,12450.00,27000,12500.00,12550.00
32,2016-06-14,12400.00,12500.00,033240.KS,12500.00,59800,12650.00,12750.00
33,2016-06-13,12300.00,12750.00,033240.KS,12750.00,102500,12500.00,12950.00
34,2016-06-10,12500.00,12550.00,033240.KS,12550.00,100300,13100.00,13100.00
35,2016-06-09,12600.00,13100.00,033240.KS,13100.00,96100,12750.00,13100.00
36,2016-06-08,12700.00,12800.00,033240.KS,12800.00,32400,12800.00,12950.00
37,2016-06-07,12750.00,12850.00,033240.KS,12850.00,40500,12850.00,13100.00
38,2016-06-06,12900.00,12900.00,033240.KS,12900.00,000,12900.00,12900.00
39,2016-06-03,12800.00,12900.00,033240.KS,12900.00,47300,12950.00,13250.00
40,2016-06-02,12850.00,13000.00,033240.KS,13000.00,31700,12900.00,13050.00
41,2016-06-01,12900.00,12950.00,033240.KS,12950.00,28100,12950.00,13100.00
42,2016-05-31,12850.00,13100.00,033240.KS,13100.00,53400,12850.00,13200.00
43,2016-05-30,12650.00,13000.00,033240.KS,13000.00,49500,12750.00,13050.00
