,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,6670.00,6810.00,102260.KS,6810.00,116400,6700.00,6820.00
1,2016-07-27,6650.00,6700.00,102260.KS,6700.00,128800,6670.00,6860.00
2,2016-07-26,6620.00,6670.00,102260.KS,6670.00,121600,6720.00,6780.00
3,2016-07-25,6710.00,6750.00,102260.KS,6750.00,102900,6800.00,6870.00
4,2016-07-22,6720.00,6770.00,102260.KS,6770.00,101400,6790.00,6820.00
5,2016-07-21,6720.00,6810.00,102260.KS,6810.00,148900,6770.00,6860.00
6,2016-07-20,6700.00,6740.00,102260.KS,6740.00,189300,6810.00,6820.00
7,2016-07-19,6800.00,6830.00,102260.KS,6830.00,168100,6870.00,6930.00
8,2016-07-18,6670.00,6820.00,102260.KS,6820.00,138600,6770.00,6850.00
9,2016-07-15,6760.00,6770.00,102260.KS,6770.00,136400,6880.00,6890.00
10,2016-07-14,6770.00,6820.00,102260.KS,6820.00,132300,6800.00,6870.00
11,2016-07-13,6710.00,6800.00,102260.KS,6800.00,372500,6850.00,6950.00
12,2016-07-12,6730.00,6760.00,102260.KS,6760.00,219500,6830.00,6840.00
13,2016-07-11,6500.00,6810.00,102260.KS,6810.00,299400,6600.00,6850.00
14,2016-07-08,6440.00,6490.00,102260.KS,6490.00,71900,6570.00,6580.00
15,2016-07-07,6500.00,6570.00,102260.KS,6570.00,133900,6510.00,6640.00
16,2016-07-06,6410.00,6470.00,102260.KS,6470.00,135800,6460.00,6540.00
17,2016-07-05,6410.00,6460.00,102260.KS,6460.00,88000,6480.00,6540.00
18,2016-07-04,6460.00,6500.00,102260.KS,6500.00,138600,6540.00,6620.00
19,2016-07-01,6420.00,6500.00,102260.KS,6500.00,154200,6510.00,6590.00
20,2016-06-30,6410.00,6470.00,102260.KS,6470.00,115400,6450.00,6550.00
21,2016-06-29,6240.00,6440.00,102260.KS,6440.00,196700,6250.00,6490.00
22,2016-06-28,6090.00,6200.00,102260.KS,6200.00,135700,6150.00,6240.00
23,2016-06-27,5900.00,6180.00,102260.KS,6180.00,191300,5900.00,6200.00
24,2016-06-24,6010.00,6120.00,102260.KS,6120.00,424100,6640.00,6650.00
