,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,0.30,0.305,PRT.AX,0.305,1071700,0.305,0.31
1,2016-07-27,0.30,0.31,PRT.AX,0.31,558400,0.30,0.31
2,2016-07-26,0.30,0.30,PRT.AX,0.30,1004000,0.305,0.305
3,2016-07-25,0.30,0.30,PRT.AX,0.30,2162300,0.305,0.315
4,2016-07-22,0.305,0.305,PRT.AX,0.305,1727500,0.315,0.315
5,2016-07-21,0.305,0.31,PRT.AX,0.31,2240700,0.305,0.315
6,2016-07-20,0.31,0.31,PRT.AX,0.31,830000,0.315,0.315
7,2016-07-19,0.305,0.305,PRT.AX,0.305,1662000,0.32,0.32
8,2016-07-18,0.305,0.315,PRT.AX,0.315,1260600,0.315,0.3175
9,2016-07-15,0.31,0.31,PRT.AX,0.31,570600,0.32,0.32
10,2016-07-14,0.315,0.32,PRT.AX,0.32,256800,0.32,0.32
11,2016-07-13,0.315,0.315,PRT.AX,0.315,239400,0.32,0.32
12,2016-07-12,0.315,0.315,PRT.AX,0.315,266500,0.315,0.32
13,2016-07-11,0.31,0.315,PRT.AX,0.315,855500,0.32,0.32
14,2016-07-08,0.31,0.32,PRT.AX,0.32,97900,0.315,0.32
15,2016-07-07,0.305,0.315,PRT.AX,0.315,410800,0.315,0.32
16,2016-07-06,0.30,0.305,PRT.AX,0.305,1473100,0.315,0.32
17,2016-07-05,0.315,0.32,PRT.AX,0.32,888400,0.32,0.325
18,2016-07-04,0.315,0.315,PRT.AX,0.315,478700,0.33,0.33
19,2016-07-01,0.32,0.33,PRT.AX,0.33,730500,0.32,0.33
20,2016-06-30,0.31,0.315,PRT.AX,0.315,980600,0.335,0.335
21,2016-06-29,0.305,0.32,PRT.AX,0.32,534800,0.31,0.32
22,2016-06-28,0.30,0.305,PRT.AX,0.305,283900,0.31,0.31
23,2016-06-27,0.305,0.31,PRT.AX,0.31,531400,0.31,0.32
24,2016-06-24,0.305,0.31,PRT.AX,0.31,657400,0.305,0.32
25,2016-06-23,0.30,0.305,PRT.AX,0.305,847500,0.315,0.3225
26,2016-06-22,0.31,0.315,PRT.AX,0.315,379000,0.33,0.3325
27,2016-06-21,0.33,0.33,PRT.AX,0.33,361800,0.33,0.335
28,2016-06-20,0.305,0.335,PRT.AX,0.335,1178900,0.307,0.335
29,2016-06-17,0.305,0.315,PRT.AX,0.315,950800,0.33,0.33
30,2016-06-16,0.32,0.325,PRT.AX,0.325,341700,0.335,0.335
31,2016-06-15,0.325,0.33,PRT.AX,0.33,587000,0.34,0.345
32,2016-06-14,0.335,0.335,PRT.AX,0.335,390600,0.335,0.345
33,2016-06-13,0.335,0.335,PRT.AX,0.335,000,0.335,0.335
34,2016-06-10,0.335,0.335,PRT.AX,0.335,323500,0.335,0.34
35,2016-06-09,0.335,0.34,PRT.AX,0.34,247800,0.335,0.34
36,2016-06-08,0.327,0.34,PRT.AX,0.34,694200,0.335,0.34
37,2016-06-07,0.33,0.33,PRT.AX,0.33,634500,0.335,0.34
38,2016-06-06,0.33,0.33,PRT.AX,0.33,538600,0.34,0.345
39,2016-06-03,0.32,0.33,PRT.AX,0.33,526700,0.33,0.34
40,2016-06-02,0.33,0.33,PRT.AX,0.33,289600,0.335,0.34
41,2016-06-01,0.332,0.335,PRT.AX,0.335,310100,0.337,0.34
42,2016-05-31,0.335,0.335,PRT.AX,0.335,723000,0.34,0.345
43,2016-05-30,0.33,0.335,PRT.AX,0.335,551400,0.33,0.34
44,2016-05-27,0.33,0.335,PRT.AX,0.335,192300,0.34,0.34
