,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,PX,2016-07-27,118.339996,117.830002,978900,118.470001,118.339996,118.800003
1,PX,2016-07-26,118.389999,117.489998,857700,117.800003,118.389999,118.580002
2,PX,2016-07-25,117.739998,117.089996,587800,117.57,117.739998,117.800003
3,PX,2016-07-22,117.699997,117.279999,571900,117.650002,117.699997,118.089996
4,PX,2016-07-21,117.68,117.349998,660900,118.150002,117.68,118.269997
5,PX,2016-07-20,118.269997,117.75,480900,118.07,118.269997,118.800003
6,PX,2016-07-19,118.18,117.720001,603400,118.419998,118.18,118.580002
7,PX,2016-07-18,118.660004,118.239998,579500,118.709999,118.660004,119.00
8,PX,2016-07-15,118.989998,117.160004,988100,118.830002,118.989998,119.129997
9,PX,2016-07-14,118.349998,117.839996,940400,118.099998,118.349998,118.720001
10,PX,2016-07-13,117.550003,116.339996,880900,117.459999,117.550003,117.669998
11,PX,2016-07-12,116.989998,115.099998,1344400,115.239998,116.989998,117.330002
12,PX,2016-07-11,114.360001,114.209999,988300,114.910004,114.360001,115.50
13,PX,2016-07-08,114.739998,111.889999,1024000,112.360001,114.739998,114.970001
14,PX,2016-07-07,111.839996,111.330002,716200,112.150002,111.839996,112.949997
15,PX,2016-07-06,111.830002,110.120003,1389200,113.50,111.830002,113.510002
16,PX,2016-07-05,111.480003,110.959999,1087400,112.400002,111.480003,112.970001
17,PX,2016-07-01,113.389999,112.019997,1436400,112.519997,113.389999,113.940002
18,PX,2016-06-30,112.389999,110.209999,1322200,111.00,112.389999,112.389999
19,PX,2016-06-29,110.650002,109.720001,1315800,109.970001,110.650002,110.699997
20,PX,2016-06-28,108.480003,107.029999,1345600,108.00,108.480003,109.25
21,PX,2016-06-27,107.010002,106.309998,1761100,108.949997,107.010002,109.269997
22,PX,2016-06-24,110.290001,109.779999,1903400,112.139999,110.290001,112.589996
23,PX,2016-06-23,115.199997,114.00,1383300,114.199997,115.199997,115.209999
24,PX,2016-06-22,112.860001,111.709999,1075300,112.239998,112.860001,112.949997
25,PX,2016-06-21,111.849998,111.50,1393900,112.93,111.849998,112.93
26,PX,2016-06-20,112.620003,112.459999,1401500,113.349998,112.620003,114.300003
27,PX,2016-06-17,112.099998,111.309998,1579200,112.25,112.099998,112.809998
28,PX,2016-06-16,112.120003,110.099998,1159100,111.220001,112.120003,112.260002
29,PX,2016-06-15,112.00,111.839996,1454900,112.57,112.00,113.209999
30,PX,2016-06-14,112.449997,111.949997,1212800,112.400002,112.449997,113.120003
31,PX,2016-06-13,112.879997,112.720001,1283800,113.459999,112.879997,114.470001
32,PX,2016-06-10,113.730003,112.379997,1847200,112.949997,113.730003,114.07
33,PX,2016-06-09,113.440002,112.519997,1765800,113.209999,113.440002,113.529999
34,PX,2016-06-08,113.669998,111.610001,1450200,112.239998,113.669998,113.779999
35,PX,2016-06-07,111.860001,111.779999,1101100,111.779999,111.860001,112.580002
36,PX,2016-06-06,111.650002,110.510002,1137600,110.580002,111.650002,112.269997
37,PX,2016-06-03,110.239998,109.580002,1168200,109.580002,110.239998,110.57
38,PX,2016-06-02,110.559998,109.940002,974500,110.57,109.809996,110.57
39,PX,2016-06-01,110.839996,109.019997,2096700,109.57,110.088095,111.029999
40,PX,2016-05-31,109.860001,109.809998,1726200,110.870003,109.114747,111.129997
41,PX,2016-05-27,110.769997,110.209999,750400,110.57,110.01857,111.110001
42,PX,2016-05-26,110.57,110.459999,637000,111.809998,109.81993,111.989998
43,PX,2016-05-25,111.629997,111.00,881900,111.269997,110.872737,112.010002
44,PX,2016-05-24,110.769997,110.57,1281000,110.970001,110.01857,111.519997
45,PX,2016-05-23,110.489998,110.010002,1093500,110.080002,109.740471,111.099998
46,PX,2016-05-20,110.080002,109.900002,1206600,110.790001,109.333256,111.050003
47,PX,2016-05-19,110.059998,109.510002,1429400,110.639999,109.313387,111.919998
48,PX,2016-05-18,110.779999,110.480003,935000,111.889999,110.028504,111.970001
49,PX,2016-05-17,112.279999,112.150002,1071100,112.75,111.518329,113.099998
50,PX,2016-05-16,112.949997,111.639999,735700,112.120003,112.183782,113.379997
51,PX,2016-05-13,111.959999,111.559998,799200,113.57,111.2005,114.129997
52,PX,2016-05-12,113.599998,113.489998,1156400,114.190002,112.829374,115.190002
53,PX,2016-05-11,113.43,113.309998,1049700,114.120003,112.660529,114.639999
54,PX,2016-05-10,114.019997,113.339996,979600,113.769997,113.246523,114.230003
55,PX,2016-05-09,113.029999,112.519997,1132900,114.300003,112.263241,114.300003
56,PX,2016-05-06,114.300003,113.089996,848400,113.459999,113.52463,114.550003
57,PX,2016-05-05,113.470001,113.279999,1084100,114.650002,112.700259,114.849998
58,PX,2016-05-04,113.940002,113.720001,1248200,114.68,113.167072,114.93
59,PX,2016-05-03,115.089996,114.209999,1477300,116.470001,114.309264,116.610001
60,PX,2016-05-02,117.400002,117.050003,1290900,117.57,116.603599,118.739998
61,PX,2016-04-29,117.459999,112.139999,1962600,113.669998,116.66319,118.349998
62,PX,2016-04-28,118.260002,117.269997,1193400,117.599998,117.457766,119.379997
63,PX,2016-04-27,118.449997,117.629997,1493700,119.489998,117.646472,119.529999
64,PX,2016-04-26,119.419998,118.32,903600,119.199997,118.609893,119.580002
65,PX,2016-04-25,119.190002,118.849998,654500,119.010002,118.381457,119.720001
66,PX,2016-04-22,119.620003,118.360001,658300,119.419998,118.808541,119.790001
67,PX,2016-04-21,118.849998,118.739998,573500,119.230003,118.04376,120.040001
68,PX,2016-04-20,119.290001,118.57,1079300,119.00,118.480778,119.709999
69,PX,2016-04-19,118.82,116.139999,1226200,116.529999,118.013965,118.860001
70,PX,2016-04-18,116.120003,115.349998,888300,115.599998,115.332284,116.209999
71,PX,2016-04-15,116.32,115.089996,987700,115.309998,115.530924,116.550003
72,PX,2016-04-14,115.529999,114.870003,748100,115.790001,114.746282,115.910004
73,PX,2016-04-13,115.57,113.839996,908700,114.660004,114.786012,115.620003
74,PX,2016-04-12,114.059998,112.360001,774500,112.980003,113.286253,114.419998
75,PX,2016-04-11,112.739998,112.709999,919900,112.769997,111.975208,113.449997
76,PX,2016-04-08,112.300003,111.959999,840200,112.470001,111.538198,113.279999
77,PX,2016-04-07,111.669998,111.290001,878400,112.529999,110.912466,112.75
78,PX,2016-04-06,113.279999,111.730003,976700,113.099998,112.511545,113.330002
79,PX,2016-04-05,112.989998,112.379997,1285900,113.82,112.223512,114.449997
80,PX,2016-04-04,114.709999,114.300003,977500,114.50,113.931845,115.599998
81,PX,2016-04-01,115.239998,112.720001,1171100,113.949997,114.458248,115.489998
82,PX,2016-03-31,114.449997,114.360001,1751700,114.93,113.673607,115.32
83,PX,2016-03-30,115.00,112.919998,1708100,113.18,114.219879,115.220001
84,PX,2016-03-29,112.459999,111.589996,960700,111.949997,111.697108,112.809998
85,PX,2016-03-28,112.449997,111.949997,852300,112.059998,111.687174,112.720001
86,PX,2016-03-24,111.739998,111.00,1106200,111.879997,110.981991,112.099998
87,PX,2016-03-23,112.800003,111.660004,1229500,112.389999,112.034806,113.360001
88,PX,2016-03-22,112.580002,111.82,1246700,112.629997,111.816297,112.860001
89,PX,2016-03-21,112.959999,112.75,1122600,112.879997,112.193716,113.400002
90,PX,2016-03-18,112.879997,112.809998,2287000,113.510002,112.114257,113.650002
91,PX,2016-03-17,113.120003,110.589996,2289100,110.660004,112.352635,113.550003
92,PX,2016-03-16,110.129997,108.82,1331000,109.260002,109.382912,110.660004
93,PX,2016-03-15,109.440002,108.57,1057300,108.949997,108.697598,109.639999
94,PX,2016-03-14,109.900002,109.589996,1279100,110.699997,109.154477,111.050003
95,PX,2016-03-11,111.110001,110.599998,2132100,111.080002,110.356268,112.209999
96,PX,2016-03-10,110.660004,109.300003,2592500,109.760002,109.909323,111.32
97,PX,2016-03-09,109.059998,107.849998,1416000,108.419998,108.320171,109.349998
98,PX,2016-03-08,108.139999,106.629997,1315000,107.529999,107.406414,108.690002
99,PX,2016-03-07,108.589996,107.629997,1851700,109.18,107.853358,109.730003
100,PX,2016-03-04,108.790001,105.919998,2152400,106.059998,108.052006,110.089996
101,PX,2016-03-03,105.839996,102.720001,1295700,103.57,105.122013,105.980003
102,PX,2016-03-02,104.139999,103.330002,1582700,104.709999,102.688638,105.260002
103,PX,2016-03-01,105.339996,102.389999,1591500,102.849998,103.871911,105.529999
104,PX,2016-02-29,101.790001,101.75,1325500,103.370003,100.37139,103.93
105,PX,2016-02-26,103.239998,102.440002,1582100,103.300003,101.801179,104.220001
106,PX,2016-02-25,102.610001,101.040001,1758900,102.209999,101.179962,102.910004
107,PX,2016-02-24,101.889999,100.800003,1493800,100.919998,100.469995,102.139999
108,PX,2016-02-23,102.220001,101.599998,1294600,103.529999,100.795398,103.809998
109,PX,2016-02-22,104.220001,103.57,1273100,103.889999,102.767525,105.050003
110,PX,2016-02-19,103.309998,102.970001,1354300,104.410004,101.870203,104.559998
111,PX,2016-02-18,104.50,104.080002,995300,104.309998,103.043621,104.860001
112,PX,2016-02-17,104.50,104.32,1449200,104.870003,103.043621,105.400002
113,PX,2016-02-16,104.00,103.459999,1878700,105.040001,102.55059,105.040001
114,PX,2016-02-12,103.830002,102.209999,978100,102.760002,102.382961,103.949997
115,PX,2016-02-11,102.059998,101.260002,1594100,101.739998,100.637624,103.160004
116,PX,2016-02-10,103.370003,103.00,1107300,104.309998,101.929372,105.290001
117,PX,2016-02-09,103.82,101.489998,1592800,101.769997,102.373098,104.199997
118,PX,2016-02-08,101.93,100.470001,2926200,104.519997,100.509439,104.800003
119,PX,2016-02-05,105.099998,103.68,2021200,104.970001,103.635258,105.519997
120,PX,2016-02-04,105.529999,103.349998,2169200,103.349998,104.059265,106.989998
121,PX,2016-02-03,103.290001,98.949997,2563200,99.330002,101.850485,103.300003
122,PX,2016-02-02,98.150002,97.779999,2462400,97.830002,96.78212,99.260002
123,PX,2016-02-01,100.529999,98.370003,2402500,99.830002,99.128948,100.980003
124,PX,2016-01-29,100.00,95.599998,3435200,96.769997,98.606336,100.019997
125,PX,2016-01-28,98.199997,97.910004,1815000,98.639999,96.831419,99.199997
126,PX,2016-01-27,98.099998,97.739998,2132200,97.809998,96.732814,99.629997
127,PX,2016-01-26,98.139999,95.940002,1350100,96.519997,96.772258,98.379997
128,PX,2016-01-25,96.129997,96.00,1400000,97.599998,94.790268,98.150002
129,PX,2016-01-22,98.089996,97.639999,1746800,99.400002,96.722951,99.690002
130,PX,2016-01-21,97.959999,97.190002,1653200,98.25,96.594766,98.790001
131,PX,2016-01-20,97.82,96.00,2844600,96.57,96.456718,98.809998
132,PX,2016-01-19,98.18,96.629997,1822000,98.480003,96.811701,98.599998
133,PX,2016-01-15,97.389999,96.510002,1584700,99.410004,96.03271,99.790001
134,PX,2016-01-14,99.790001,97.510002,1928500,98.239998,98.399264,100.339996
135,PX,2016-01-13,98.010002,97.550003,2652800,100.589996,96.644072,102.32
136,PX,2016-01-12,99.889999,98.300003,1736500,99.50,98.497869,100.010002
137,PX,2016-01-11,98.440002,97.629997,2389200,98.370003,97.06808,99.089996
138,PX,2016-01-08,97.849998,97.330002,2541000,98.040001,96.486298,99.220001
139,PX,2016-01-07,97.790001,97.599998,2002700,98.839996,96.427137,100.07
140,PX,2016-01-06,100.300003,99.639999,1885300,99.830002,98.902158,101.389999
141,PX,2016-01-05,101.32,99.959999,1589200,102.510002,99.907939,102.529999
142,PX,2016-01-04,101.669998,100.519997,1853500,101.029999,100.25306,101.769997
143,PX,2015-12-31,102.400002,102.279999,930900,102.800003,100.97289,103.709999
144,PX,2015-12-30,103.18,103.18,1261600,104.160004,101.742018,104.32
145,PX,2015-12-29,104.400002,104.029999,637900,104.669998,102.945016,104.839996
146,PX,2015-12-28,103.779999,103.220001,644100,104.019997,102.333654,104.099998
147,PX,2015-12-24,104.510002,104.139999,493100,104.379997,103.053484,104.849998
148,PX,2015-12-23,104.739998,103.389999,1655900,103.580002,103.280274,105.00
149,PX,2015-12-22,102.809998,102.019997,1553800,102.550003,101.377172,103.540001
150,PX,2015-12-21,102.120003,101.300003,1703000,102.040001,100.696793,102.589996
151,PX,2015-12-18,101.519997,101.470001,2015100,102.330002,100.105149,102.669998
152,PX,2015-12-17,102.919998,102.870003,1730100,106.269997,101.485639,106.510002
153,PX,2015-12-16,105.989998,104.559998,1670200,106.620003,104.512854,107.080002
154,PX,2015-12-15,105.809998,105.25,1446800,105.50,104.335362,106.50
155,PX,2015-12-14,104.720001,104.029999,1595400,105.160004,103.260556,105.550003
156,PX,2015-12-11,105.300003,104.940002,1939300,104.940002,103.832475,106.050003
157,PX,2015-12-10,106.68,106.279999,1510600,106.459999,105.19324,107.559998
158,PX,2015-12-09,107.059998,106.620003,1865100,106.93,105.567941,108.139999
159,PX,2015-12-08,106.720001,106.589996,2107300,108.190002,105.232683,109.160004
160,PX,2015-12-07,109.559998,109.089996,1149100,109.660004,108.033099,110.120003
161,PX,2015-12-04,110.279999,109.010002,1932200,109.57,108.743066,110.360001
162,PX,2015-12-03,109.059998,107.919998,1619700,110.129997,107.540068,110.50
163,PX,2015-12-02,110.360001,110.220001,1739200,111.550003,108.11692,112.120003
164,PX,2015-12-01,112.029999,110.169998,2185900,112.25,109.752975,112.360001
165,PX,2015-11-30,112.800003,112.57,2564700,113.660004,110.507329,114.18
166,PX,2015-11-27,113.910004,112.93,889900,113.080002,111.594769,114.260002
167,PX,2015-11-25,113.209999,113.07,1566200,113.720001,110.908992,114.099998
168,PX,2015-11-24,114.029999,113.260002,1422800,114.150002,111.712325,114.389999
169,PX,2015-11-23,114.580002,114.410004,1085600,114.989998,112.251149,115.50
170,PX,2015-11-20,115.050003,114.889999,1473800,115.669998,112.711597,116.970001
171,PX,2015-11-19,115.559998,114.879997,1408900,115.449997,113.211226,116.099998
172,PX,2015-11-18,115.580002,112.879997,1758700,113.510002,113.230824,115.709999
173,PX,2015-11-17,113.410004,112.32,5891100,116.019997,111.104931,118.580002
174,PX,2015-11-16,115.980003,113.400002,2451700,113.489998,113.622695,116.290001
175,PX,2015-11-13,113.510002,109.949997,3184700,110.160004,111.202897,116.07
176,PX,2015-11-12,110.160004,109.849998,1096900,109.949997,107.920988,111.010002
177,PX,2015-11-11,111.040001,110.290001,917700,111.779999,108.783099,111.989998
178,PX,2015-11-10,111.599998,110.660004,1324600,112.260002,109.331715,112.489998
179,PX,2015-11-09,112.50,111.709999,984000,113.239998,110.213424,113.550003
180,PX,2015-11-06,113.580002,112.50,936600,112.690002,111.271474,114.00
181,PX,2015-11-05,113.379997,112.410004,1704200,112.699997,111.075535,113.839996
182,PX,2015-11-04,113.019997,112.839996,1696100,113.879997,110.722851,114.129997
183,PX,2015-11-03,113.559998,111.800003,1502600,112.089996,111.251876,113.940002
184,PX,2015-11-02,112.379997,111.18,1663300,111.349998,110.09586,112.870003
185,PX,2015-10-30,111.089996,111.07,2628300,113.660004,108.832078,114.489998
186,PX,2015-10-29,112.75,110.300003,2939900,110.459999,110.458342,114.720001
187,PX,2015-10-28,109.910004,108.660004,1950900,109.389999,107.676069,110.709999
188,PX,2015-10-27,109.269997,108.699997,1236900,109.50,107.04907,110.440002
189,PX,2015-10-26,110.139999,109.93,1481900,111.529999,107.90139,111.949997
190,PX,2015-10-23,111.75,110.379997,1442600,111.00,109.478667,112.080002
191,PX,2015-10-22,110.260002,108.309998,1164100,108.82,108.018954,110.589996
192,PX,2015-10-21,107.879997,107.720001,964400,109.510002,105.687323,109.519997
193,PX,2015-10-20,109.360001,108.470001,1101000,109.150002,107.137245,109.93
194,PX,2015-10-19,109.129997,108.449997,1424500,108.540001,106.911916,109.410004
195,PX,2015-10-16,109.43,108.730003,1354800,110.230003,107.205822,110.239998
196,PX,2015-10-15,109.489998,108.620003,1588900,109.50,107.2646,109.949997
197,PX,2015-10-14,108.970001,107.940002,1693800,108.309998,106.755172,109.300003
198,PX,2015-10-13,108.370003,107.379997,1461400,107.480003,106.167369,108.43
199,PX,2015-10-12,108.529999,108.040001,674200,108.599998,106.324113,109.099998
200,PX,2015-10-09,108.650002,108.290001,1368100,109.099998,106.441677,109.519997
201,PX,2015-10-08,108.589996,106.970001,1339700,107.300003,106.382891,108.720001
202,PX,2015-10-07,107.239998,105.260002,1224600,106.239998,105.060332,107.239998
203,PX,2015-10-06,105.970001,105.470001,1739300,105.889999,103.816148,106.610001
204,PX,2015-10-05,106.339996,103.639999,1940900,104.019997,104.178623,106.510002
205,PX,2015-10-02,103.150002,99.589996,1874300,100.389999,101.053465,103.150002
206,PX,2015-10-01,101.410004,100.550003,2627200,102.099998,99.348833,102.550003
207,PX,2015-09-30,101.860001,101.029999,2388000,101.290001,99.789683,102.110001
208,PX,2015-09-29,100.550003,99.120003,1497700,99.269997,98.506312,100.730003
209,PX,2015-09-28,99.169998,99.080002,2025900,99.989998,97.154356,100.82
210,PX,2015-09-25,100.919998,100.599998,2011400,101.720001,98.868787,102.099998
211,PX,2015-09-24,101.00,98.550003,2723900,100.00,98.947162,101.43
212,PX,2015-09-23,100.639999,100.419998,2877200,103.230003,98.594479,103.610001
213,PX,2015-09-22,103.43,102.730003,1725600,103.93,101.327773,104.440002
214,PX,2015-09-21,105.25,104.739998,1655300,105.190002,103.110781,106.129997
215,PX,2015-09-18,105.129997,104.540001,3108300,105.360001,102.993217,106.160004
216,PX,2015-09-17,107.050003,106.620003,2397300,107.279999,104.874198,108.220001
217,PX,2015-09-16,107.449997,105.139999,1922100,105.139999,105.266062,107.50
218,PX,2015-09-15,105.699997,104.160004,1934500,104.889999,103.551631,105.910004
219,PX,2015-09-14,104.410004,103.93,1783900,104.839996,102.287857,105.00
220,PX,2015-09-11,104.769997,104.080002,2412500,104.93,102.640533,105.050003
221,PX,2015-09-10,105.190002,103.419998,3322600,103.779999,103.052003,105.800003
222,PX,2015-09-09,104.300003,103.75,2470200,105.029999,102.180093,105.400002
223,PX,2015-09-08,104.269997,102.040001,2592500,103.209999,102.150696,104.269997
224,PX,2015-09-04,101.440002,100.989998,2890000,101.800003,99.378222,102.370003
225,PX,2015-09-03,103.010002,102.339996,2336900,103.019997,100.916311,104.470001
226,PX,2015-09-02,102.949997,102.400002,1819000,103.400002,100.157055,103.760002
227,PX,2015-09-01,102.379997,101.980003,2145300,103.519997,99.602519,104.25
228,PX,2015-08-31,105.75,104.970001,1967400,105.790001,102.881096,106.18
229,PX,2015-08-28,106.190002,105.050003,2824700,105.050003,103.309162,106.769997
230,PX,2015-08-27,105.190002,103.900002,3116500,105.790001,102.336291,106.019997
231,PX,2015-08-26,104.050003,102.870003,3876200,105.040001,101.227219,105.129997
232,PX,2015-08-25,103.00,102.779999,3243100,107.790001,100.205701,107.800003
