,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-27,6.06,6.15,PZE,6.15,81700,6.15,6.16
1,2016-07-26,6.10,6.13,PZE,6.13,40800,6.16,6.23
2,2016-07-25,6.07,6.10,PZE,6.10,67000,6.18,6.20
3,2016-07-22,6.21,6.25,PZE,6.25,67300,6.27,6.30
4,2016-07-21,6.25,6.25,PZE,6.25,42200,6.31,6.32
5,2016-07-20,6.27,6.27,PZE,6.27,26700,6.38,6.38
6,2016-07-19,6.28,6.40,PZE,6.40,59000,6.28,6.40
7,2016-07-18,6.25,6.33,PZE,6.33,93500,6.25,6.37
8,2016-07-15,6.25,6.29,PZE,6.29,130900,6.34,6.38
9,2016-07-14,6.26,6.27,PZE,6.27,38300,6.38,6.47
10,2016-07-13,6.22,6.35,PZE,6.35,45400,6.26,6.37
11,2016-07-12,6.25,6.30,PZE,6.30,50900,6.30,6.32
12,2016-07-11,6.21,6.29,PZE,6.29,74800,6.30,6.30
13,2016-07-08,6.23,6.30,PZE,6.30,51400,6.32,6.32
14,2016-07-07,6.21,6.28,PZE,6.28,61100,6.29,6.34
15,2016-07-06,6.13,6.20,PZE,6.20,43400,6.23,6.23
16,2016-07-05,6.15,6.21,PZE,6.21,62100,6.18,6.28
17,2016-07-01,6.23,6.25,PZE,6.25,58900,6.26,6.34
18,2016-06-30,6.24,6.28,PZE,6.28,150600,6.30,6.38
19,2016-06-29,6.11,6.26,PZE,6.26,66100,6.21,6.30
20,2016-06-28,6.06,6.22,PZE,6.22,115800,6.13,6.24
21,2016-06-27,6.02,6.12,PZE,6.12,163800,6.08,6.13
22,2016-06-24,6.02,6.13,PZE,6.13,119200,6.12,6.15
23,2016-06-23,6.18,6.23,PZE,6.23,99100,6.20,6.29
24,2016-06-22,6.13,6.18,PZE,6.18,156200,6.19,6.30
25,2016-06-21,6.15,6.19,PZE,6.19,180800,6.24,6.26
26,2016-06-20,6.16,6.27,PZE,6.27,166200,6.20,6.32
27,2016-06-17,6.10,6.16,PZE,6.16,136200,6.15,6.21
28,2016-06-16,6.14,6.16,PZE,6.16,195900,6.15,6.22
29,2016-06-15,6.11,6.15,PZE,6.15,79200,6.15,6.20
