,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,SPLS,2016-07-27,9.25,9.14,3692000,9.25,9.25,9.32
1,SPLS,2016-07-26,9.20,9.07,3251900,9.13,9.20,9.29
2,SPLS,2016-07-25,9.11,9.01,2471700,9.04,9.11,9.13
3,SPLS,2016-07-22,9.07,8.95,2855500,9.00,9.07,9.09
4,SPLS,2016-07-21,9.00,9.00,3328700,9.07,9.00,9.20
5,SPLS,2016-07-20,9.07,9.02,5917000,9.04,9.07,9.17
6,SPLS,2016-07-19,9.04,8.94,3842800,9.02,9.04,9.09
7,SPLS,2016-07-18,9.07,8.99,4914500,9.02,9.07,9.13
8,SPLS,2016-07-15,9.00,9.00,5254500,9.17,9.00,9.17
9,SPLS,2016-07-14,9.12,9.07,4914800,9.17,9.12,9.28
10,SPLS,2016-07-13,9.06,9.01,6052600,9.11,9.06,9.16
11,SPLS,2016-07-12,9.15,9.00,9076100,9.02,9.15,9.24
12,SPLS,2016-07-11,8.92,8.84,6480200,8.86,8.92,9.08
13,SPLS,2016-07-08,8.85,8.61,6386200,8.65,8.85,8.88
14,SPLS,2016-07-07,8.57,8.50,6812600,8.59,8.57,8.80
15,SPLS,2016-07-06,8.70,8.33,9357000,8.33,8.70,8.74
16,SPLS,2016-07-05,8.55,8.46,6886800,8.83,8.55,8.88
17,SPLS,2016-07-01,8.84,8.59,6052000,8.64,8.84,8.89
18,SPLS,2016-06-30,8.62,8.43,7344200,8.60,8.62,8.62
19,SPLS,2016-06-29,8.57,8.47,6431600,8.54,8.57,8.64
20,SPLS,2016-06-28,8.45,8.15,11560700,8.15,8.45,8.47
21,SPLS,2016-06-27,8.07,8.06,12911100,8.61,8.07,8.63
22,SPLS,2016-06-24,8.71,8.57,16252700,8.61,8.71,8.78
23,SPLS,2016-06-23,8.95,8.75,4748700,8.78,8.95,8.95
24,SPLS,2016-06-22,8.69,8.68,7261400,8.73,8.69,8.85
25,SPLS,2016-06-21,8.86,8.76,6804100,9.03,8.74,9.03
26,SPLS,2016-06-20,8.96,8.84,8894200,8.86,8.838646,9.05
27,SPLS,2016-06-17,8.77,8.61,10944900,8.63,8.651219,8.90
28,SPLS,2016-06-16,8.70,8.57,7874000,8.66,8.582167,8.74
29,SPLS,2016-06-15,8.71,8.55,7518700,8.58,8.592032,8.83
30,SPLS,2016-06-14,8.55,8.43,9672600,8.59,8.434199,8.66
31,SPLS,2016-06-13,8.63,8.63,7316000,8.71,8.513115,8.77
32,SPLS,2016-06-10,8.71,8.51,6062200,8.66,8.592032,8.78
33,SPLS,2016-06-09,8.75,8.68,5806500,8.88,8.63149,8.90
34,SPLS,2016-06-08,8.90,8.86,4434000,8.88,8.779458,8.97
35,SPLS,2016-06-07,8.87,8.87,5102000,8.97,8.749864,8.98
36,SPLS,2016-06-06,8.97,8.85,9960300,8.86,8.84851,9.00
37,SPLS,2016-06-03,8.85,8.71,10096100,8.80,8.730136,8.90
38,SPLS,2016-06-02,8.83,8.74,6624600,8.76,8.710406,8.85
39,SPLS,2016-06-01,8.76,8.67,8055900,8.80,8.641355,8.80
40,SPLS,2016-05-31,8.80,8.71,10750800,8.73,8.680813,8.87
41,SPLS,2016-05-27,8.71,8.58,7120500,8.64,8.592032,8.74
42,SPLS,2016-05-26,8.59,8.53,9876500,8.54,8.473657,8.67
43,SPLS,2016-05-25,8.56,8.43,6176300,8.54,8.444064,8.57
44,SPLS,2016-05-24,8.48,8.17,12419700,8.28,8.365146,8.55
45,SPLS,2016-05-23,8.28,8.28,10446000,8.39,8.167855,8.42
46,SPLS,2016-05-20,8.10,8.03,7470600,8.14,7.990294,8.19
47,SPLS,2016-05-19,8.02,8.00,10187500,8.22,7.911377,8.29
48,SPLS,2016-05-18,8.24,8.15,14486800,8.23,8.128397,8.48
49,SPLS,2016-05-17,8.28,8.22,13950000,8.34,8.167855,8.39
50,SPLS,2016-05-16,8.34,8.18,9654000,8.29,8.227043,8.39
51,SPLS,2016-05-13,8.29,8.21,13048400,8.25,8.17772,8.43
52,SPLS,2016-05-12,8.22,8.21,25771300,8.51,8.108668,8.55
53,SPLS,2016-05-11,8.46,8.30,72158300,8.74,8.345418,8.82
54,SPLS,2016-05-10,10.36,10.17,7835700,10.36,10.219684,10.42
55,SPLS,2016-05-09,10.30,10.21,6830500,10.83,10.160497,10.83
56,SPLS,2016-05-06,10.26,9.90,10380900,10.15,10.121039,10.30
57,SPLS,2016-05-05,10.16,10.12,4883400,10.36,10.022393,10.40
58,SPLS,2016-05-04,10.36,10.19,5545100,10.26,10.219684,10.40
59,SPLS,2016-05-03,10.31,10.06,6187500,10.27,10.170362,10.34
60,SPLS,2016-05-02,10.38,10.12,7900400,10.26,10.239413,10.42
61,SPLS,2016-04-29,10.20,10.10,5940500,10.38,10.061851,10.40
62,SPLS,2016-04-28,10.38,10.38,4708200,10.63,10.239413,10.68
63,SPLS,2016-04-27,10.67,10.39,6401900,10.62,10.525485,10.69
64,SPLS,2016-04-26,10.64,10.45,9306600,10.50,10.495892,10.74
65,SPLS,2016-04-25,10.45,10.26,7808100,10.45,10.308465,10.49
66,SPLS,2016-04-22,10.50,10.47,8110200,10.60,10.357788,10.70
67,SPLS,2016-04-21,10.56,10.53,13693800,11.04,10.416976,11.04
68,SPLS,2016-04-20,10.89,10.60,10814100,10.92,10.742506,11.02
69,SPLS,2016-04-19,11.03,10.90,13102200,11.14,10.880609,11.37
70,SPLS,2016-04-18,11.12,11.02,7406700,11.13,10.96939,11.20
71,SPLS,2016-04-15,11.15,11.01,6101900,11.12,10.998984,11.18
72,SPLS,2016-04-14,11.12,10.97,7382000,11.24,10.96939,11.25
73,SPLS,2016-04-13,11.25,11.14,6872000,11.22,11.09763,11.31
74,SPLS,2016-04-12,11.21,10.98,7672900,11.10,11.058172,11.24
75,SPLS,2016-04-11,11.03,11.02,7417000,11.10,10.880609,11.31
76,SPLS,2016-04-08,11.02,10.80,7604000,11.01,10.870745,11.10
77,SPLS,2016-04-07,10.93,10.84,9577100,10.99,10.781964,11.21
78,SPLS,2016-04-06,11.04,10.83,11939400,10.85,10.890474,11.20
79,SPLS,2016-04-05,10.88,10.84,19360900,10.93,10.732641,11.34
80,SPLS,2016-04-04,11.04,11.00,9042100,11.09,10.890474,11.28
81,SPLS,2016-04-01,11.18,10.85,7843800,10.97,11.028578,11.22
82,SPLS,2016-03-31,11.03,10.86,9263500,10.98,10.880609,11.13
83,SPLS,2016-03-30,11.01,10.97,9147000,11.25,10.860881,11.30
84,SPLS,2016-03-29,11.10,10.71,15476600,10.74,10.949662,11.25
85,SPLS,2016-03-28,10.90,10.73,13609400,10.80,10.75237,11.05
86,SPLS,2016-03-24,10.76,10.52,20345000,10.62,10.614267,11.06
87,SPLS,2016-03-23,10.05,9.85,9317600,10.20,9.913883,10.43
