,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2015-08-19,143.77,142.875,THT.L,142.875,400,146.50,146.50
1,2015-08-18,141.10,142.50,THT.L,142.50,23600,147.00,147.00
2,2015-08-17,140.875,143.25,THT.L,143.25,700,140.875,140.875
3,2015-08-14,143.375,143.375,THT.L,143.375,000,143.375,143.375
4,2015-08-13,140.315,143.50,THT.L,143.50,100,140.50,140.50
5,2015-08-12,143.375,143.375,THT.L,143.375,000,143.375,143.375
6,2015-08-11,142.25,144.375,THT.L,144.375,10500,145.00,145.00
7,2015-08-10,145.00,145.125,THT.L,145.125,12300,145.00,145.64
8,2015-08-07,145.00,145.50,THT.L,145.50,16000,146.00,146.00
9,2015-08-06,145.00,145.00,THT.L,145.00,16800,145.00,146.28
10,2015-08-05,145.00,145.875,THT.L,145.875,8400,145.00,146.75
11,2015-08-04,145.00,145.25,THT.L,145.25,1900,145.00,145.00
12,2015-08-03,145.00,145.375,THT.L,145.375,5400,145.00,145.00
13,2015-07-31,145.00,145.125,THT.L,145.125,3900,145.25,145.25
14,2015-07-30,145.00,145.00,THT.L,145.00,53700,145.00,145.00
15,2015-07-29,145.00,145.125,THT.L,145.125,4500,145.00,145.00
16,2015-07-28,145.00,145.125,THT.L,145.125,8800,145.00,145.25
17,2015-07-27,145.00,145.50,THT.L,145.50,39700,147.00,147.00
18,2015-07-24,145.00,146.00,THT.L,146.00,5600,147.00,147.00
19,2015-07-23,145.00,147.00,THT.L,147.00,4200,147.00,147.00
20,2015-07-22,145.00,146.00,THT.L,146.00,4300,145.00,146.28
21,2015-07-21,145.00,145.00,THT.L,145.00,9500,146.00,146.00
22,2015-07-20,145.00,145.00,THT.L,145.00,6500,145.75,145.75
23,2015-07-17,145.00,145.125,THT.L,145.125,42100,145.00,146.00
24,2015-07-16,145.00,145.25,THT.L,145.25,24200,145.00,145.25
25,2015-07-15,145.00,145.125,THT.L,145.125,16500,145.00,145.15
26,2015-07-14,145.00,145.00,THT.L,145.00,86500,145.00,145.071
27,2015-07-13,145.005,145.25,THT.L,145.25,35800,145.25,145.80
28,2015-07-10,145.00,145.125,THT.L,145.125,630900,145.00,145.25
29,2015-07-09,145.00,145.00,THT.L,145.00,47900,145.00,145.25
30,2015-07-08,145.00,145.00,THT.L,145.00,44800,145.00,145.038
31,2015-07-07,145.00,145.00,THT.L,145.00,145000,145.00,145.25
32,2015-07-06,143.00,145.00,THT.L,145.00,557800,143.00,145.25
33,2015-07-03,145.00,145.00,THT.L,145.00,199900,145.00,145.25
34,2015-07-02,145.00,145.00,THT.L,145.00,480500,145.00,145.52
35,2015-07-01,143.75,144.00,THT.L,144.00,326700,143.75,145.00
36,2015-06-30,142.524,144.25,THT.L,144.25,2942800,144.25,145.00
37,2015-06-29,144.00,144.50,THT.L,144.50,4604700,144.25,145.00
38,2015-06-26,144.25,144.25,THT.L,144.25,510400,144.25,145.00
39,2015-06-25,144.25,144.25,THT.L,144.25,679100,144.50,145.00
40,2015-06-24,143.50,144.50,THT.L,144.50,2109900,144.25,145.00
41,2015-06-23,144.00,145.00,THT.L,145.00,2345500,144.75,145.00
42,2015-06-22,101.00,145.00,THT.L,145.00,33562700,102.25,145.25
43,2015-06-19,100.00,101.50,THT.L,101.50,94000,101.75,101.75
44,2015-06-18,100.00,100.625,THT.L,100.625,340400,100.00,102.00
45,2015-06-17,99.00,100.625,THT.L,100.625,434200,99.00,101.00
46,2015-06-16,99.00,99.00,THT.L,99.00,64300,101.00,101.53
47,2015-06-15,99.00,101.00,THT.L,101.00,176300,100.75,103.00
48,2015-06-12,99.75,101.50,THT.L,101.50,307600,104.75,105.00
49,2015-06-11,102.25,103.25,THT.L,103.25,287400,104.00,104.64
50,2015-06-10,104.325,105.00,THT.L,105.00,20100,105.75,105.75
51,2015-06-09,104.50,105.125,THT.L,105.125,229300,106.00,106.50
52,2015-06-08,107.00,107.25,THT.L,107.25,67900,107.00,107.32
53,2015-06-05,104.118,107.00,THT.L,107.00,316300,105.75,107.00
54,2015-06-04,103.46,106.00,THT.L,106.00,286400,105.75,106.00
55,2015-06-03,106.086,107.00,THT.L,107.00,299100,108.00,108.00
56,2015-06-02,105.25,108.50,THT.L,108.50,463900,105.25,108.963
57,2015-06-01,97.00,107.50,THT.L,107.50,476500,98.50,107.50
58,2015-05-29,98.64,99.75,THT.L,99.75,238700,99.00,100.00
59,2015-05-28,93.49,98.00,THT.L,98.00,408300,95.00,98.18
60,2015-05-27,93.63,94.00,THT.L,94.00,122900,95.00,95.75
61,2015-05-26,95.00,95.00,THT.L,95.00,141300,100.00,100.00
62,2015-05-25,100.00,100.00,THT.L,100.00,000,100.00,100.00
63,2015-05-22,96.00,100.00,THT.L,100.00,383900,97.00,100.00
64,2015-05-21,96.303,98.00,THT.L,98.00,381000,97.25,98.50
65,2015-05-20,97.625,98.00,THT.L,98.00,265200,97.75,98.75
66,2015-05-19,95.29,98.50,THT.L,98.50,487600,95.50,98.50
67,2015-05-18,92.00,98.625,THT.L,98.625,357900,93.25,98.91
68,2015-05-15,92.698,95.00,THT.L,95.00,636300,95.00,95.85
69,2015-05-14,92.00,95.00,THT.L,95.00,526200,92.00,96.20
70,2015-05-13,89.10,93.125,THT.L,93.125,275100,90.00,93.00
71,2015-05-12,86.00,89.25,THT.L,89.25,621900,86.00,92.00
72,2015-05-11,82.57,85.50,THT.L,85.50,100400,84.50,85.50
73,2015-05-08,83.00,84.00,THT.L,84.00,143500,83.00,84.809
74,2015-05-07,82.75,83.00,THT.L,83.00,749100,83.00,83.50
75,2015-05-06,81.25,83.75,THT.L,83.75,564600,81.25,84.50
76,2015-05-05,81.00,81.00,THT.L,81.00,162700,81.00,82.85
77,2015-05-04,80.50,80.50,THT.L,80.50,000,80.50,80.50
78,2015-05-01,80.025,80.50,THT.L,80.50,52300,81.268,82.553
79,2015-04-30,80.00,82.00,THT.L,82.00,374300,84.00,84.00
80,2015-04-29,71.532,83.75,THT.L,83.75,922700,75.50,83.75
81,2015-04-28,81.15,83.00,THT.L,83.00,222000,82.00,86.00
82,2015-04-27,77.25,83.00,THT.L,83.00,82900,77.25,83.00
83,2015-04-24,78.00,78.25,THT.L,78.25,51700,78.00,80.00
84,2015-04-23,77.00,78.75,THT.L,78.75,13400,77.50,79.308
85,2015-04-22,78.05,79.00,THT.L,79.00,29000,79.475,80.359
86,2015-04-21,78.313,79.00,THT.L,79.00,18500,81.00,81.00
87,2015-04-20,78.50,78.75,THT.L,78.75,169900,78.67,80.679
88,2015-04-17,77.50,78.00,THT.L,78.00,206400,81.00,82.904
89,2015-04-16,78.50,81.00,THT.L,81.00,514700,80.75,85.13
90,2015-04-15,77.50,77.50,THT.L,77.50,172600,77.75,80.00
91,2015-04-14,75.525,80.50,THT.L,80.50,246600,77.75,80.73
92,2015-04-13,75.00,75.00,THT.L,75.00,56400,75.25,76.80
93,2015-04-10,74.92,77.00,THT.L,77.00,462000,75.00,77.01
94,2015-04-09,73.00,73.50,THT.L,73.50,95400,73.00,74.00
95,2015-04-08,72.279,73.25,THT.L,73.25,224300,73.00,73.40
96,2015-04-07,70.30,73.25,THT.L,73.25,498700,71.00,73.75
97,2015-04-06,70.00,70.00,THT.L,70.00,000,70.00,70.00
98,2015-04-03,70.00,70.00,THT.L,70.00,000,70.00,70.00
99,2015-04-02,69.056,70.00,THT.L,70.00,531900,70.50,71.18
100,2015-04-01,66.50,68.00,THT.L,68.00,139700,70.00,70.64
101,2015-03-31,67.50,71.00,THT.L,71.00,102000,68.00,71.00
102,2015-03-30,67.50,68.50,THT.L,68.50,146700,68.50,69.14
103,2015-03-27,68.00,69.125,THT.L,69.125,77100,68.00,69.60
104,2015-03-26,68.304,69.00,THT.L,69.00,107200,69.50,69.80
105,2015-03-25,68.50,68.50,THT.L,68.50,22000,69.50,69.82
106,2015-03-24,68.10,69.50,THT.L,69.50,58100,70.00,70.27
107,2015-03-23,68.00,68.00,THT.L,68.00,29100,68.25,69.938
108,2015-03-20,68.25,69.375,THT.L,69.375,59400,68.75,69.87
109,2015-03-19,68.00,68.00,THT.L,68.00,68700,69.75,70.00
110,2015-03-18,68.50,70.00,THT.L,70.00,108700,71.25,71.253
111,2015-03-17,69.975,71.00,THT.L,71.00,51900,71.50,72.25
112,2015-03-16,69.10,70.00,THT.L,70.00,171800,72.00,72.00
113,2015-03-13,68.50,72.00,THT.L,72.00,102000,72.00,72.00
114,2015-03-12,70.49,72.00,THT.L,72.00,48300,71.00,72.00
115,2015-03-11,70.25,73.00,THT.L,73.00,41000,70.25,73.00
116,2015-03-10,71.00,71.00,THT.L,71.00,53200,72.00,72.445
117,2015-03-09,71.00,71.00,THT.L,71.00,73900,72.75,73.00
118,2015-03-06,70.98,72.375,THT.L,72.375,93000,72.50,72.82
119,2015-03-05,71.00,72.50,THT.L,72.50,224000,72.00,72.50
120,2015-03-04,68.844,72.00,THT.L,72.00,245200,69.50,72.00
121,2015-03-03,67.599,68.50,THT.L,68.50,176000,71.00,71.00
122,2015-03-02,67.00,69.00,THT.L,69.00,471400,69.00,72.21
123,2015-02-27,64.196,73.00,THT.L,73.00,767000,65.00,73.00
124,2015-02-26,62.00,63.25,THT.L,63.25,647600,67.75,68.50
125,2015-02-25,67.00,67.00,THT.L,67.00,606700,73.00,74.75
126,2015-02-24,74.00,74.50,THT.L,74.50,190700,75.75,77.535
127,2015-02-23,74.843,77.00,THT.L,77.00,170600,76.50,78.00
128,2015-02-20,75.047,77.50,THT.L,77.50,147800,78.00,78.00
129,2015-02-19,77.118,78.00,THT.L,78.00,155800,78.00,78.00
130,2015-02-18,77.10,78.00,THT.L,78.00,132000,79.75,79.75
131,2015-02-17,77.807,79.50,THT.L,79.50,119400,79.25,80.75
132,2015-02-16,79.60,80.00,THT.L,80.00,80300,81.25,82.75
133,2015-02-13,80.50,81.50,THT.L,81.50,75300,80.50,82.75
134,2015-02-12,80.25,81.50,THT.L,81.50,115000,83.00,83.00
135,2015-02-11,78.75,81.25,THT.L,81.25,241400,78.75,82.50
