,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,0.495,0.495,UOS.AX,0.495,000,0.495,0.495
1,2016-07-27,0.495,0.495,UOS.AX,0.495,6400,0.495,0.495
2,2016-07-26,0.49,0.49,UOS.AX,0.49,62400,0.49,0.49
3,2016-07-25,0.49,0.495,UOS.AX,0.495,231100,0.49,0.495
4,2016-07-22,0.485,0.485,UOS.AX,0.485,90900,0.485,0.485
5,2016-07-21,0.48,0.48,UOS.AX,0.48,000,0.48,0.48
6,2016-07-20,0.48,0.48,UOS.AX,0.48,89000,0.49,0.49
7,2016-07-19,0.49,0.49,UOS.AX,0.49,599300,0.50,0.50
8,2016-07-18,0.49,0.50,UOS.AX,0.50,1033900,0.49,0.50
9,2016-07-15,0.485,0.485,UOS.AX,0.485,000,0.485,0.485
10,2016-07-14,0.485,0.485,UOS.AX,0.485,127100,0.50,0.50
11,2016-07-13,0.49,0.49,UOS.AX,0.49,62600,0.49,0.49
12,2016-07-12,0.48,0.48,UOS.AX,0.48,26000,0.485,0.485
13,2016-07-11,0.487,0.487,UOS.AX,0.487,199400,0.49,0.49
14,2016-07-08,0.485,0.49,UOS.AX,0.49,109000,0.485,0.49
15,2016-07-07,0.485,0.485,UOS.AX,0.485,000,0.485,0.485
16,2016-07-06,0.475,0.485,UOS.AX,0.485,73600,0.475,0.485
17,2016-07-05,0.48,0.48,UOS.AX,0.48,62500,0.48,0.48
18,2016-07-04,0.48,0.48,UOS.AX,0.48,1400,0.48,0.48
19,2016-07-01,0.48,0.48,UOS.AX,0.48,59900,0.48,0.48
20,2016-06-30,0.475,0.475,UOS.AX,0.475,6500,0.475,0.475
21,2016-06-29,0.475,0.475,UOS.AX,0.475,000,0.475,0.475
22,2016-06-28,0.475,0.475,UOS.AX,0.475,000,0.475,0.475
23,2016-06-27,0.47,0.475,UOS.AX,0.475,22700,0.47,0.475
24,2016-06-24,0.465,0.465,UOS.AX,0.465,65500,0.47,0.47
25,2016-06-23,0.465,0.465,UOS.AX,0.465,4500,0.465,0.465
26,2016-06-22,0.465,0.465,UOS.AX,0.465,31400,0.465,0.465
27,2016-06-21,0.47,0.47,UOS.AX,0.47,20500,0.47,0.47
28,2016-06-20,0.48,0.48,UOS.AX,0.48,000,0.48,0.48
29,2016-06-17,0.465,0.48,UOS.AX,0.48,45500,0.465,0.48
30,2016-06-16,0.47,0.47,UOS.AX,0.47,5700,0.47,0.47
31,2016-06-15,0.47,0.47,UOS.AX,0.47,48200,0.47,0.47
32,2016-06-14,0.47,0.47,UOS.AX,0.47,000,0.47,0.47
33,2016-06-13,0.47,0.47,UOS.AX,0.47,000,0.47,0.47
34,2016-06-10,0.47,0.47,UOS.AX,0.47,000,0.47,0.47
35,2016-06-09,0.47,0.47,UOS.AX,0.47,000,0.47,0.47
36,2016-06-08,0.47,0.47,UOS.AX,0.47,40000,0.48,0.48
37,2016-06-07,0.47,0.48,UOS.AX,0.48,96400,0.47,0.48
38,2016-06-06,0.48,0.48,UOS.AX,0.48,60700,0.48,0.48
39,2016-06-03,0.48,0.485,UOS.AX,0.485,20900,0.48,0.485
40,2016-06-02,0.48,0.48,UOS.AX,0.48,41900,0.48,0.48
41,2016-06-01,0.48,0.48,UOS.AX,0.48,000,0.48,0.48
42,2016-05-31,0.47,0.48,UOS.AX,0.48,41900,0.475,0.48
43,2016-05-30,0.47,0.475,UOS.AX,0.475,158600,0.47,0.475
44,2016-05-27,0.465,0.465,UOS.AX,0.465,50600,0.465,0.465
45,2016-05-26,0.46,0.46,UOS.AX,0.46,60500,0.465,0.465
46,2016-05-25,0.46,0.46,UOS.AX,0.46,4300,0.46,0.46
47,2016-05-24,0.46,0.465,UOS.AX,0.465,73000,0.465,0.47
48,2016-05-23,0.46,0.46,UOS.AX,0.46,2000,0.46,0.46
49,2016-05-20,0.46,0.46,UOS.AX,0.46,000,0.46,0.46
50,2016-05-19,0.46,0.46,UOS.AX,0.46,19500,0.46,0.475
51,2016-05-18,0.46,0.46,UOS.AX,0.46,3400,0.46,0.46
52,2016-05-17,0.46,0.46,UOS.AX,0.46,10000,0.46,0.46
53,2016-05-16,0.46,0.46,UOS.AX,0.46,17400,0.475,0.475
54,2016-05-13,0.485,0.485,UOS.AX,0.485,000,0.485,0.485
55,2016-05-12,0.485,0.485,UOS.AX,0.46,37600,0.485,0.485
56,2016-05-11,0.485,0.49,UOS.AX,0.44103,51300,0.485,0.49
57,2016-05-10,0.475,0.475,UOS.AX,0.42753,20000,0.475,0.475
58,2016-05-09,0.485,0.485,UOS.AX,0.43653,27100,0.485,0.485
59,2016-05-06,0.47,0.485,UOS.AX,0.43653,48300,0.47,0.485
60,2016-05-05,0.465,0.465,UOS.AX,0.41853,000,0.465,0.465
61,2016-05-04,0.465,0.465,UOS.AX,0.41853,000,0.465,0.465
62,2016-05-03,0.465,0.465,UOS.AX,0.41853,68000,0.465,0.465
63,2016-05-02,0.465,0.465,UOS.AX,0.41853,47900,0.465,0.465
64,2016-04-29,0.465,0.465,UOS.AX,0.41853,16800,0.47,0.47
65,2016-04-28,0.465,0.465,UOS.AX,0.41853,15100,0.47,0.47
66,2016-04-27,0.46,0.465,UOS.AX,0.41853,73100,0.465,0.465
67,2016-04-26,0.465,0.465,UOS.AX,0.41853,100100,0.47,0.47
68,2016-04-25,0.465,0.465,UOS.AX,0.41853,000,0.465,0.465
69,2016-04-22,0.465,0.465,UOS.AX,0.41853,135800,0.475,0.475
70,2016-04-21,0.475,0.475,UOS.AX,0.42753,163000,0.48,0.485
71,2016-04-20,0.465,0.475,UOS.AX,0.42753,286500,0.475,0.475
72,2016-04-19,0.48,0.48,UOS.AX,0.43203,73700,0.485,0.49
73,2016-04-18,0.48,0.48,UOS.AX,0.43203,29200,0.48,0.48
74,2016-04-15,0.47,0.47,UOS.AX,0.42303,221100,0.49,0.49
75,2016-04-14,0.48,0.48,UOS.AX,0.43203,38200,0.48,0.485
76,2016-04-13,0.48,0.48,UOS.AX,0.43203,17800,0.48,0.48
77,2016-04-12,0.475,0.48,UOS.AX,0.43203,510400,0.475,0.48
78,2016-04-11,0.475,0.475,UOS.AX,0.42753,95900,0.49,0.49
79,2016-04-08,0.485,0.485,UOS.AX,0.43653,108400,0.49,0.49
80,2016-04-07,0.50,0.50,UOS.AX,0.45003,000,0.50,0.50
81,2016-04-06,0.49,0.50,UOS.AX,0.45003,46900,0.495,0.50
82,2016-04-05,0.49,0.49,UOS.AX,0.44103,66800,0.50,0.50
83,2016-04-04,0.50,0.50,UOS.AX,0.45003,41000,0.51,0.51
84,2016-04-01,0.49,0.49,UOS.AX,0.44103,18000,0.50,0.50
85,2016-03-31,0.50,0.52,UOS.AX,0.46803,26800,0.50,0.52
86,2016-03-30,0.49,0.49,UOS.AX,0.44103,000,0.49,0.49
87,2016-03-29,0.49,0.49,UOS.AX,0.44103,50000,0.49,0.49
88,2016-03-28,0.50,0.50,UOS.AX,0.45003,000,0.50,0.50
89,2016-03-25,0.50,0.50,UOS.AX,0.45003,000,0.50,0.50
90,2016-03-24,0.50,0.50,UOS.AX,0.45003,8000,0.50,0.50
91,2016-03-23,0.50,0.50,UOS.AX,0.45003,000,0.50,0.50
92,2016-03-22,0.50,0.50,UOS.AX,0.45003,000,0.50,0.50
93,2016-03-21,0.50,0.50,UOS.AX,0.45003,33600,0.51,0.51
94,2016-03-18,0.50,0.50,UOS.AX,0.45003,55000,0.50,0.50
95,2016-03-17,0.50,0.50,UOS.AX,0.45003,55000,0.50,0.50
96,2016-03-16,0.50,0.50,UOS.AX,0.45003,58300,0.50,0.51
97,2016-03-15,0.50,0.50,UOS.AX,0.45003,000,0.50,0.50
98,2016-03-14,0.495,0.50,UOS.AX,0.45003,50000,0.495,0.50
99,2016-03-11,0.485,0.485,UOS.AX,0.43653,68000,0.50,0.50
100,2016-03-10,0.50,0.50,UOS.AX,0.45003,112000,0.50,0.51
101,2016-03-09,0.50,0.50,UOS.AX,0.45003,20100,0.50,0.50
102,2016-03-08,0.50,0.50,UOS.AX,0.45003,42000,0.50,0.50
103,2016-03-07,0.50,0.50,UOS.AX,0.45003,7900,0.50,0.50
104,2016-03-04,0.50,0.50,UOS.AX,0.45003,2700,0.50,0.50
105,2016-03-03,0.50,0.50,UOS.AX,0.45003,000,0.50,0.50
106,2016-03-02,0.50,0.50,UOS.AX,0.45003,80000,0.50,0.50
107,2016-03-01,0.48,0.50,UOS.AX,0.45003,100000,0.48,0.50
108,2016-02-29,0.48,0.48,UOS.AX,0.43203,51500,0.48,0.48
109,2016-02-26,0.47,0.47,UOS.AX,0.42303,52200,0.47,0.47
110,2016-02-25,0.46,0.46,UOS.AX,0.41403,000,0.46,0.46
111,2016-02-24,0.46,0.46,UOS.AX,0.41403,46500,0.46,0.46
112,2016-02-23,0.49,0.49,UOS.AX,0.44103,000,0.49,0.49
113,2016-02-22,0.49,0.49,UOS.AX,0.44103,000,0.49,0.49
114,2016-02-19,0.49,0.49,UOS.AX,0.44103,000,0.49,0.49
115,2016-02-18,0.49,0.49,UOS.AX,0.44103,000,0.49,0.49
116,2016-02-17,0.49,0.49,UOS.AX,0.44103,000,0.49,0.49
117,2016-02-16,0.49,0.49,UOS.AX,0.44103,000,0.49,0.49
118,2016-02-15,0.47,0.49,UOS.AX,0.44103,42000,0.47,0.49
119,2016-02-12,0.45,0.47,UOS.AX,0.42303,60100,0.455,0.47
120,2016-02-11,0.465,0.465,UOS.AX,0.41853,000,0.465,0.465
121,2016-02-10,0.465,0.465,UOS.AX,0.41853,000,0.465,0.465
122,2016-02-09,0.465,0.465,UOS.AX,0.41853,000,0.465,0.465
123,2016-02-08,0.465,0.465,UOS.AX,0.41853,19800,0.465,0.465
124,2016-02-05,0.465,0.465,UOS.AX,0.41853,000,0.465,0.465
125,2016-02-04,0.45,0.465,UOS.AX,0.41853,143600,0.455,0.465
126,2016-02-03,0.46,0.465,UOS.AX,0.41853,37500,0.47,0.47
127,2016-02-02,0.475,0.475,UOS.AX,0.42753,000,0.475,0.475
128,2016-02-01,0.465,0.475,UOS.AX,0.42753,25300,0.47,0.475
129,2016-01-29,0.48,0.48,UOS.AX,0.43203,000,0.48,0.48
130,2016-01-28,0.475,0.48,UOS.AX,0.43203,160000,0.475,0.48
131,2016-01-27,0.475,0.48,UOS.AX,0.43203,14200,0.48,0.48
132,2016-01-26,0.48,0.48,UOS.AX,0.43203,000,0.48,0.48
133,2016-01-25,0.48,0.48,UOS.AX,0.43203,20000,0.48,0.48
134,2016-01-22,0.47,0.47,UOS.AX,0.42303,34800,0.47,0.47
135,2016-01-21,0.48,0.48,UOS.AX,0.43203,000,0.48,0.48
136,2016-01-20,0.48,0.48,UOS.AX,0.43203,47900,0.48,0.48
137,2016-01-19,0.47,0.47,UOS.AX,0.42303,000,0.47,0.47
138,2016-01-18,0.47,0.47,UOS.AX,0.42303,6100,0.48,0.48
139,2016-01-15,0.48,0.48,UOS.AX,0.43203,000,0.48,0.48
140,2016-01-14,0.48,0.48,UOS.AX,0.43203,10000,0.48,0.48
141,2016-01-13,0.48,0.48,UOS.AX,0.43203,7500,0.48,0.48
142,2016-01-12,0.48,0.48,UOS.AX,0.43203,14300,0.485,0.485
143,2016-01-11,0.50,0.50,UOS.AX,0.45003,000,0.50,0.50
144,2016-01-08,0.50,0.50,UOS.AX,0.45003,6900,0.51,0.51
145,2016-01-07,0.51,0.51,UOS.AX,0.45903,000,0.51,0.51
146,2016-01-06,0.51,0.51,UOS.AX,0.45903,000,0.51,0.51
147,2016-01-05,0.51,0.51,UOS.AX,0.45903,41300,0.525,0.525
148,2016-01-04,0.50,0.50,UOS.AX,0.45003,12500,0.50,0.50
149,2016-01-01,0.50,0.50,UOS.AX,0.45003,000,0.50,0.50
150,2015-12-31,0.50,0.50,UOS.AX,0.45003,000,0.50,0.50
151,2015-12-30,0.50,0.50,UOS.AX,0.45003,11900,0.50,0.50
152,2015-12-29,0.525,0.525,UOS.AX,0.47253,000,0.525,0.525
153,2015-12-28,0.525,0.525,UOS.AX,0.47253,000,0.525,0.525
154,2015-12-25,0.525,0.525,UOS.AX,0.47253,000,0.525,0.525
155,2015-12-24,0.525,0.525,UOS.AX,0.47253,000,0.525,0.525
156,2015-12-23,0.50,0.525,UOS.AX,0.47253,42900,0.50,0.525
157,2015-12-22,0.47,0.47,UOS.AX,0.42303,000,0.47,0.47
158,2015-12-21,0.47,0.47,UOS.AX,0.42303,2000,0.47,0.47
159,2015-12-18,0.475,0.475,UOS.AX,0.42753,17000,0.475,0.475
160,2015-12-17,0.475,0.475,UOS.AX,0.42753,4000,0.475,0.475
161,2015-12-16,0.47,0.47,UOS.AX,0.42303,000,0.47,0.47
162,2015-12-15,0.47,0.47,UOS.AX,0.42303,000,0.47,0.47
163,2015-12-14,0.47,0.47,UOS.AX,0.42303,8500,0.47,0.47
164,2015-12-11,0.47,0.48,UOS.AX,0.43203,185000,0.47,0.48
165,2015-12-10,0.475,0.475,UOS.AX,0.42753,000,0.475,0.475
166,2015-12-09,0.475,0.475,UOS.AX,0.42753,13700,0.475,0.475
167,2015-12-08,0.47,0.47,UOS.AX,0.42303,000,0.47,0.47
168,2015-12-07,0.47,0.47,UOS.AX,0.42303,9900,0.47,0.47
169,2015-12-04,0.47,0.495,UOS.AX,0.44553,40500,0.47,0.495
170,2015-12-03,0.485,0.485,UOS.AX,0.43653,7400,0.49,0.49
171,2015-12-02,0.485,0.49,UOS.AX,0.44103,61500,0.485,0.495
172,2015-12-01,0.505,0.505,UOS.AX,0.45453,000,0.505,0.505
173,2015-11-30,0.505,0.505,UOS.AX,0.45453,000,0.505,0.505
174,2015-11-27,0.50,0.505,UOS.AX,0.45453,41400,0.50,0.53
