,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,229.75,229.75,VOD.L,229.75,59077300,233.45,233.65
1,2016-07-27,231.20,232.85,VOD.L,232.85,32238900,232.50,234.85
2,2016-07-26,231.998,232.55,VOD.L,232.55,47213700,235.55,235.55
3,2016-07-25,233.955,234.90,VOD.L,234.90,41510000,236.70,238.20
4,2016-07-22,230.20,235.55,VOD.L,235.55,96655900,230.20,236.30
5,2016-07-21,222.30,225.10,VOD.L,225.10,44345700,226.00,226.11
6,2016-07-20,224.10,225.65,VOD.L,225.65,38561700,226.35,227.50
7,2016-07-19,223.651,224.70,VOD.L,224.70,39788800,225.45,227.90
8,2016-07-18,224.992,225.70,VOD.L,225.70,81512600,227.55,229.20
9,2016-07-15,225.17,227.90,VOD.L,227.90,51685900,227.00,227.90
10,2016-07-14,226.15,226.60,VOD.L,226.60,57375900,231.00,232.50
11,2016-07-13,226.813,229.10,VOD.L,229.10,79428300,230.25,230.70
12,2016-07-12,224.45,227.75,VOD.L,227.75,72955900,228.55,228.55
13,2016-07-11,227.15,230.00,VOD.L,230.00,37775300,229.00,236.12
14,2016-07-08,226.20,228.00,VOD.L,228.00,38159500,226.70,228.95
15,2016-07-07,226.20,226.25,VOD.L,226.25,47144400,227.30,228.90
16,2016-07-06,222.70,224.60,VOD.L,224.60,79922200,228.55,229.00
17,2016-07-05,225.10,228.55,VOD.L,228.55,62703400,225.10,229.80
18,2016-07-04,225.20,225.90,VOD.L,225.90,35488700,230.65,230.65
19,2016-07-01,227.704,229.20,VOD.L,229.20,62959800,228.90,230.90
20,2016-06-30,220.20,227.65,VOD.L,227.65,103587700,221.15,227.65
21,2016-06-29,220.40,222.60,VOD.L,222.60,85315100,222.00,225.00
22,2016-06-28,211.15,218.10,VOD.L,218.10,94097800,214.35,219.30
23,2016-06-27,208.45,209.30,VOD.L,209.30,126979000,211.40,217.528
24,2016-06-24,202.97,219.30,VOD.L,219.30,164157300,203.25,220.80
25,2016-06-23,215.002,217.90,VOD.L,217.90,49614800,218.20,220.25
26,2016-06-22,212.15,216.45,VOD.L,216.45,56119600,216.00,218.15
27,2016-06-21,212.85,214.55,VOD.L,214.55,56925700,215.25,215.726
28,2016-06-20,211.20,216.15,VOD.L,216.15,67983400,215.85,219.35
29,2016-06-17,210.15,211.20,VOD.L,211.20,71685200,210.95,213.45
30,2016-06-16,207.55,209.75,VOD.L,209.75,50169600,208.75,210.30
31,2016-06-15,210.299,211.20,VOD.L,211.20,54248600,210.60,213.50
32,2016-06-14,209.55,209.55,VOD.L,209.55,73413400,213.00,213.00
33,2016-06-13,210.90,211.10,VOD.L,211.10,57571300,212.90,213.75
34,2016-06-10,213.00,214.85,VOD.L,214.85,72622000,218.75,219.00
35,2016-06-09,219.65,219.65,VOD.L,219.65,50511800,222.50,229.376
36,2016-06-08,229.10,231.00,VOD.L,223.23,43734900,231.00,231.60
37,2016-06-07,230.05,231.15,VOD.L,223.375,37316200,232.55,233.252
38,2016-06-06,228.35,231.70,VOD.L,223.906,47071200,228.55,232.335
39,2016-06-03,226.65,228.40,VOD.L,220.717,35842000,230.70,231.05
40,2016-06-02,228.75,228.80,VOD.L,221.104,44327900,228.85,231.093
41,2016-06-01,227.35,229.50,VOD.L,221.78,35788000,231.20,231.95
42,2016-05-31,230.60,230.85,VOD.L,223.085,49696400,233.05,233.95
43,2016-05-30,232.60,232.60,VOD.L,224.776,000,232.60,232.60
44,2016-05-27,230.25,232.60,VOD.L,224.776,47960500,231.95,233.90
45,2016-05-26,228.00,232.05,VOD.L,224.245,39079900,228.00,232.05
46,2016-05-25,227.805,228.95,VOD.L,221.249,39920400,229.25,229.38
47,2016-05-24,224.15,226.70,VOD.L,219.075,49970400,224.75,227.05
48,2016-05-23,225.522,225.85,VOD.L,218.253,43222700,229.00,229.671
49,2016-05-20,226.965,229.10,VOD.L,221.394,47003500,227.90,229.25
50,2016-05-19,225.40,225.40,VOD.L,217.818,53861900,230.00,230.45
51,2016-05-18,228.00,229.65,VOD.L,221.925,66044700,228.00,230.30
52,2016-05-17,226.50,227.00,VOD.L,219.365,75424900,228.65,230.848
53,2016-05-16,222.10,223.65,VOD.L,216.127,27028300,224.50,225.10
54,2016-05-13,220.65,224.50,VOD.L,216.949,35264000,221.95,224.50
55,2016-05-12,220.20,222.75,VOD.L,215.257,44392400,222.45,226.40
56,2016-05-11,220.80,222.30,VOD.L,214.823,33022400,222.05,222.95
57,2016-05-10,219.35,221.95,VOD.L,214.484,34700000,220.75,222.35
58,2016-05-09,218.60,218.90,VOD.L,211.537,32309000,220.00,221.55
59,2016-05-06,216.243,218.75,VOD.L,211.392,38552400,218.50,218.75
60,2016-05-05,217.80,219.35,VOD.L,211.972,54473300,218.50,220.05
61,2016-05-04,216.55,217.95,VOD.L,210.619,46623200,219.75,220.00
62,2016-05-03,220.00,220.55,VOD.L,213.131,63526900,221.60,222.45
63,2016-04-29,219.10,219.20,VOD.L,211.827,56098100,222.30,222.90
64,2016-04-28,221.70,223.90,VOD.L,216.369,45955000,224.95,225.00
65,2016-04-27,223.25,224.85,VOD.L,217.287,52812900,225.95,226.45
66,2016-04-26,225.45,226.70,VOD.L,219.075,41600800,228.10,229.00
67,2016-04-25,225.25,227.35,VOD.L,219.703,40243600,228.20,229.369
68,2016-04-22,226.60,228.05,VOD.L,220.379,44370000,230.25,231.30
69,2016-04-21,230.30,231.35,VOD.L,223.568,52403100,233.70,233.70
70,2016-04-20,230.60,232.60,VOD.L,224.776,44456600,233.15,236.00
71,2016-04-19,228.05,232.35,VOD.L,224.535,52586300,228.05,233.35
72,2016-04-18,226.65,228.35,VOD.L,220.669,25621200,228.00,228.65
