,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,303.80,315.70,WMH.L,315.70,4524200,311.10,317.237
1,2016-07-27,312.80,312.90,WMH.L,312.90,5440900,322.50,323.70
2,2016-07-26,320.10,322.00,WMH.L,322.00,4524100,325.00,331.60
3,2016-07-25,328.80,328.80,WMH.L,328.80,23943200,348.00,353.60
4,2016-07-22,292.50,313.60,WMH.L,313.60,8697900,298.00,314.30
5,2016-07-21,273.40,304.30,WMH.L,304.30,22707800,277.00,306.50
6,2016-07-20,266.40,275.10,WMH.L,275.10,3525600,269.60,275.90
7,2016-07-19,267.10,269.00,WMH.L,269.00,2332400,267.60,273.40
8,2016-07-18,266.60,268.70,WMH.L,268.70,2437200,268.50,271.38
9,2016-07-15,264.40,266.40,WMH.L,266.40,3386500,268.80,269.10
10,2016-07-14,270.50,271.00,WMH.L,271.00,3072800,274.00,277.10
11,2016-07-13,267.00,271.20,WMH.L,271.20,4273500,273.70,276.885
12,2016-07-12,267.40,269.30,WMH.L,269.30,3060000,267.40,274.20
13,2016-07-11,261.50,267.80,WMH.L,267.80,3122700,262.40,270.60
14,2016-07-08,250.40,260.00,WMH.L,260.00,3561500,252.40,262.40
15,2016-07-07,246.80,252.80,WMH.L,252.80,5330200,246.80,258.60
16,2016-07-06,245.40,246.90,WMH.L,246.90,3627900,250.80,251.50
17,2016-07-05,243.30,249.80,WMH.L,249.80,3405100,251.70,252.50
18,2016-07-04,247.70,252.40,WMH.L,252.40,4475300,259.70,259.90
19,2016-07-01,250.80,258.10,WMH.L,258.10,3747600,259.80,260.267
20,2016-06-30,253.80,257.50,WMH.L,257.50,4938100,261.40,281.80
21,2016-06-29,255.651,263.40,WMH.L,263.40,4469500,261.50,263.60
22,2016-06-28,254.00,257.80,WMH.L,257.80,6141600,265.60,268.70
23,2016-06-27,252.20,253.00,WMH.L,253.00,5140900,274.30,278.10
24,2016-06-24,235.50,276.30,WMH.L,276.30,6175500,244.70,282.40
25,2016-06-23,292.80,300.20,WMH.L,300.20,3308900,295.80,302.00
26,2016-06-22,285.60,293.10,WMH.L,293.10,2469100,290.10,295.10
27,2016-06-21,283.00,288.10,WMH.L,288.10,3255200,289.80,291.10
28,2016-06-20,285.043,290.90,WMH.L,290.90,3864700,287.90,295.70
29,2016-06-17,272.60,282.40,WMH.L,282.40,6360800,272.60,283.60
30,2016-06-16,269.842,272.50,WMH.L,272.50,6057500,289.00,290.50
31,2016-06-15,285.799,293.30,WMH.L,293.30,3662800,286.70,296.70
32,2016-06-14,283.80,284.50,WMH.L,284.50,2745000,287.40,289.50
33,2016-06-13,288.80,288.80,WMH.L,288.80,2407500,292.90,294.40
34,2016-06-10,293.10,293.70,WMH.L,293.70,2379300,300.80,301.62
35,2016-06-09,301.10,302.60,WMH.L,302.60,1645100,303.40,304.00
36,2016-06-08,302.00,302.70,WMH.L,302.70,2394700,304.50,306.10
37,2016-06-07,305.40,305.40,WMH.L,305.40,2314400,310.90,311.60
38,2016-06-06,307.10,309.00,WMH.L,309.00,1623400,309.50,310.70
39,2016-06-03,306.90,308.00,WMH.L,308.00,2372000,307.70,309.80
40,2016-06-02,305.60,306.50,WMH.L,306.50,2265200,307.60,308.90
41,2016-06-01,306.90,307.30,WMH.L,307.30,2107100,312.20,312.20
42,2016-05-31,310.50,311.10,WMH.L,311.10,6232400,311.50,315.70
43,2016-05-30,312.50,312.50,WMH.L,312.50,000,312.50,312.50
44,2016-05-27,311.60,312.50,WMH.L,312.50,1428800,313.10,314.50
45,2016-05-26,310.70,312.60,WMH.L,312.60,2646100,310.70,313.50
46,2016-05-25,307.415,310.80,WMH.L,310.80,1956700,308.90,312.70
47,2016-05-24,307.40,308.00,WMH.L,308.00,2455300,309.20,311.322
48,2016-05-23,307.10,310.40,WMH.L,310.40,3310400,307.40,312.50
49,2016-05-20,306.70,308.20,WMH.L,308.20,3295700,306.70,312.70
50,2016-05-19,304.10,306.00,WMH.L,306.00,3038300,304.30,310.10
51,2016-05-18,301.10,306.10,WMH.L,306.10,2084200,302.00,307.00
52,2016-05-17,301.60,302.00,WMH.L,302.00,2864800,302.30,306.20
53,2016-05-16,298.20,301.60,WMH.L,301.60,2000700,302.80,306.078
54,2016-05-13,300.90,305.40,WMH.L,305.40,2758000,301.40,306.09
55,2016-05-12,294.10,302.30,WMH.L,302.30,4207400,298.70,305.60
56,2016-05-11,303.10,306.00,WMH.L,306.00,7309000,324.40,325.97
57,2016-05-10,319.60,324.30,WMH.L,324.30,4826700,320.10,325.80
58,2016-05-09,314.00,318.60,WMH.L,318.60,4370600,314.089,320.10
59,2016-05-06,313.40,314.10,WMH.L,314.10,3042000,313.70,317.60
60,2016-05-05,312.80,313.90,WMH.L,313.90,2126300,315.50,317.60
61,2016-05-04,313.30,315.10,WMH.L,315.10,3552500,313.30,318.60
62,2016-05-03,311.20,314.50,WMH.L,314.50,4095700,312.50,318.00
63,2016-04-29,312.20,312.70,WMH.L,312.70,3456300,312.90,317.40
64,2016-04-28,310.70,315.80,WMH.L,315.80,4761000,318.70,319.428
65,2016-04-27,323.10,324.40,WMH.L,316.00,2871500,324.00,328.00
