,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,GBG.AX,2016-07-28,0.019,0.017,290300,0.018,0.019,0.019
1,GBG.AX,2016-07-27,0.018,0.017,217600,0.018,0.018,0.018
2,GBG.AX,2016-07-26,0.018,0.018,110400,0.018,0.018,0.018
3,GBG.AX,2016-07-25,0.018,0.017,125400,0.017,0.018,0.018
4,GBG.AX,2016-07-22,0.017,0.017,193300,0.018,0.017,0.018
5,GBG.AX,2016-07-21,0.018,0.018,11400,0.018,0.018,0.018
6,GBG.AX,2016-07-20,0.018,0.018,19700,0.018,0.018,0.018
7,GBG.AX,2016-07-19,0.018,0.018,189200,0.018,0.018,0.018
8,GBG.AX,2016-07-18,0.018,0.018,736900,0.02,0.018,0.021
9,GBG.AX,2016-07-15,0.019,0.018,183500,0.019,0.019,0.019
10,GBG.AX,2016-07-14,0.02,0.02,166000,0.02,0.02,0.02
11,GBG.AX,2016-07-13,0.02,0.018,1498600,0.019,0.02,0.02
12,GBG.AX,2016-07-12,0.017,0.017,309800,0.017,0.017,0.018
13,GBG.AX,2016-07-11,0.017,0.017,398300,0.018,0.017,0.018
14,GBG.AX,2016-07-08,0.018,0.017,186200,0.017,0.018,0.018
15,GBG.AX,2016-07-07,0.018,0.018,187100,0.018,0.018,0.018
16,GBG.AX,2016-07-06,0.017,0.017,272100,0.018,0.017,0.018
17,GBG.AX,2016-07-05,0.018,0.017,327100,0.017,0.018,0.018
18,GBG.AX,2016-07-04,0.017,0.017,2600,0.017,0.017,0.017
19,GBG.AX,2016-07-01,0.016,0.015,336100,0.015,0.016,0.016
20,GBG.AX,2016-06-30,0.014,0.014,1778500,0.015,0.014,0.015
21,GBG.AX,2016-06-29,0.015,0.015,677200,0.016,0.015,0.016
22,GBG.AX,2016-06-28,0.016,0.015,99700,0.015,0.016,0.016
23,GBG.AX,2016-06-27,0.016,0.015,533100,0.016,0.016,0.016
24,GBG.AX,2016-06-24,0.016,0.016,144900,0.016,0.016,0.016
25,GBG.AX,2016-06-23,0.018,0.016,797300,0.017,0.018,0.018
26,GBG.AX,2016-06-22,0.017,0.016,693600,0.017,0.017,0.017
27,GBG.AX,2016-06-21,0.017,0.017,293700,0.019,0.017,0.019
28,GBG.AX,2016-06-20,0.018,0.018,1294300,0.018,0.018,0.018
29,GBG.AX,2016-06-17,0.018,0.018,394700,0.018,0.018,0.018
30,GBG.AX,2016-06-16,0.018,0.018,23800,0.018,0.018,0.018
31,GBG.AX,2016-06-15,0.018,0.018,54200,0.018,0.018,0.018
32,GBG.AX,2016-06-14,0.019,0.018,698500,0.019,0.019,0.019
33,GBG.AX,2016-06-13,0.019,0.019,000,0.019,0.019,0.019
34,GBG.AX,2016-06-10,0.019,0.018,150200,0.018,0.019,0.019
35,GBG.AX,2016-06-09,0.018,0.018,89300,0.018,0.018,0.018
36,GBG.AX,2016-06-08,0.019,0.018,137700,0.019,0.019,0.019
37,GBG.AX,2016-06-07,0.018,0.018,64200,0.018,0.018,0.018
38,GBG.AX,2016-06-06,0.018,0.018,6900,0.019,0.018,0.019
39,GBG.AX,2016-06-03,0.018,0.018,303600,0.018,0.018,0.018
40,GBG.AX,2016-06-02,0.018,0.018,158500,0.018,0.018,0.018
41,GBG.AX,2016-06-01,0.018,0.018,30700,0.018,0.018,0.018
42,GBG.AX,2016-05-31,0.018,0.018,492300,0.018,0.018,0.019
43,GBG.AX,2016-05-30,0.018,0.017,542700,0.017,0.018,0.019
44,GBG.AX,2016-05-27,0.017,0.017,700000,0.019,0.017,0.019
45,GBG.AX,2016-05-26,0.02,0.019,1369100,0.019,0.02,0.02
46,GBG.AX,2016-05-25,0.018,0.017,102900,0.017,0.018,0.018
47,GBG.AX,2016-05-24,0.017,0.017,446900,0.018,0.017,0.018
48,GBG.AX,2016-05-23,0.017,0.017,62100,0.017,0.017,0.017
49,GBG.AX,2016-05-20,0.018,0.017,744400,0.018,0.018,0.018
50,GBG.AX,2016-05-19,0.019,0.019,232700,0.019,0.019,0.019
51,GBG.AX,2016-05-18,0.019,0.019,207400,0.02,0.019,0.02
52,GBG.AX,2016-05-17,0.02,0.02,223000,0.02,0.02,0.02
53,GBG.AX,2016-05-16,0.02,0.02,401700,0.02,0.02,0.021
54,GBG.AX,2016-05-13,0.022,0.02,841800,0.022,0.022,0.022
55,GBG.AX,2016-05-12,0.022,0.021,81400,0.021,0.022,0.022
56,GBG.AX,2016-05-11,0.021,0.02,381500,0.021,0.021,0.021
57,GBG.AX,2016-05-10,0.02,0.02,582300,0.02,0.02,0.021
58,GBG.AX,2016-05-09,0.02,0.02,798000,0.021,0.02,0.021
59,GBG.AX,2016-05-06,0.021,0.021,417900,0.022,0.021,0.022
60,GBG.AX,2016-05-05,0.022,0.022,30500,0.022,0.022,0.022
61,GBG.AX,2016-05-04,0.021,0.021,205100,0.022,0.021,0.023
62,GBG.AX,2016-05-03,0.022,0.022,497100,0.024,0.022,0.024
63,GBG.AX,2016-05-02,0.022,0.022,834000,0.022,0.022,0.022
64,GBG.AX,2016-04-29,0.022,0.021,300900,0.021,0.022,0.0225
65,GBG.AX,2016-04-28,0.022,0.021,1399700,0.021,0.022,0.022
66,GBG.AX,2016-04-27,0.021,0.021,267900,0.022,0.021,0.022
67,GBG.AX,2016-04-26,0.023,0.023,1402000,0.023,0.023,0.023
68,GBG.AX,2016-04-25,0.024,0.024,000,0.024,0.024,0.024
69,GBG.AX,2016-04-22,0.024,0.023,440300,0.024,0.024,0.024
70,GBG.AX,2016-04-21,0.023,0.022,710200,0.022,0.023,0.023
71,GBG.AX,2016-04-20,0.024,0.021,504500,0.022,0.024,0.024
72,GBG.AX,2016-04-19,0.023,0.022,325500,0.023,0.023,0.023
73,GBG.AX,2016-04-18,0.024,0.022,504800,0.024,0.024,0.024
74,GBG.AX,2016-04-15,0.024,0.022,858200,0.023,0.024,0.025
75,GBG.AX,2016-04-14,0.023,0.022,382200,0.023,0.023,0.024
76,GBG.AX,2016-04-13,0.022,0.022,1154800,0.022,0.022,0.023
77,GBG.AX,2016-04-12,0.022,0.021,980600,0.021,0.022,0.022
78,GBG.AX,2016-04-11,0.02,0.019,488100,0.019,0.02,0.02
79,GBG.AX,2016-04-08,0.019,0.019,18200,0.019,0.019,0.019
80,GBG.AX,2016-04-07,0.019,0.019,348900,0.02,0.019,0.02
81,GBG.AX,2016-04-06,0.019,0.019,254600,0.019,0.019,0.019
82,GBG.AX,2016-04-05,0.02,0.02,204200,0.021,0.02,0.021
83,GBG.AX,2016-04-04,0.021,0.021,60000,0.021,0.021,0.021
84,GBG.AX,2016-04-01,0.022,0.02,648400,0.021,0.022,0.022
85,GBG.AX,2016-03-31,0.021,0.021,98800,0.021,0.021,0.021
86,GBG.AX,2016-03-30,0.021,0.021,23000,0.021,0.021,0.021
87,GBG.AX,2016-03-29,0.021,0.021,101200,0.022,0.021,0.022
88,GBG.AX,2016-03-28,0.021,0.021,000,0.021,0.021,0.021
89,GBG.AX,2016-03-25,0.021,0.021,000,0.021,0.021,0.021
90,GBG.AX,2016-03-24,0.021,0.021,341400,0.022,0.021,0.022
91,GBG.AX,2016-03-23,0.022,0.019,3810400,0.019,0.022,0.022
92,GBG.AX,2016-03-22,0.019,0.019,306100,0.02,0.019,0.02
93,GBG.AX,2016-03-21,0.02,0.018,216300,0.019,0.02,0.02
94,GBG.AX,2016-03-18,0.019,0.019,640800,0.02,0.019,0.02
95,GBG.AX,2016-03-17,0.018,0.017,136800,0.018,0.018,0.019
96,GBG.AX,2016-03-16,0.018,0.017,213800,0.017,0.018,0.018
97,GBG.AX,2016-03-15,0.018,0.017,1235300,0.019,0.018,0.019
98,GBG.AX,2016-03-14,0.019,0.018,78600,0.019,0.019,0.019
99,GBG.AX,2016-03-11,0.019,0.019,1192400,0.021,0.019,0.021
100,GBG.AX,2016-03-10,0.022,0.022,105000,0.022,0.022,0.022
101,GBG.AX,2016-03-09,0.021,0.02,123400,0.02,0.021,0.021
102,GBG.AX,2016-03-08,0.019,0.018,6187500,0.018,0.019,0.023
103,GBG.AX,2016-03-07,0.018,0.016,641500,0.017,0.018,0.018
104,GBG.AX,2016-03-04,0.018,0.018,280900,0.018,0.018,0.018
105,GBG.AX,2016-03-03,0.018,0.017,323300,0.017,0.018,0.018
106,GBG.AX,2016-03-02,0.017,0.016,1162300,0.017,0.017,0.02
107,GBG.AX,2016-03-01,0.016,0.016,126600,0.016,0.016,0.017
108,GBG.AX,2016-02-29,0.016,0.016,209500,0.016,0.016,0.017
109,GBG.AX,2016-02-26,0.016,0.016,361100,0.018,0.016,0.018
110,GBG.AX,2016-02-25,0.018,0.018,208800,0.018,0.018,0.018
111,GBG.AX,2016-02-24,0.018,0.017,524100,0.017,0.018,0.018
112,GBG.AX,2016-02-23,0.018,0.017,1560200,0.017,0.018,0.019
113,GBG.AX,2016-02-22,0.018,0.016,220900,0.017,0.018,0.019
114,GBG.AX,2016-02-19,0.019,0.016,591400,0.016,0.019,0.019
115,GBG.AX,2016-02-18,0.016,0.015,1872800,0.015,0.016,0.017
116,GBG.AX,2016-02-17,0.014,0.014,618700,0.016,0.014,0.018
117,GBG.AX,2016-02-16,0.015,0.014,1581600,0.014,0.015,0.016
118,GBG.AX,2016-02-15,0.015,0.013,846600,0.013,0.015,0.015
119,GBG.AX,2016-02-12,0.012,0.012,2200,0.012,0.012,0.012
120,GBG.AX,2016-02-11,0.012,0.012,180200,0.013,0.012,0.013
