,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2015-05-28,9.02,9.02,TOL.AX,9.02,000,9.02,9.02
1,2015-05-27,9.02,9.02,TOL.AX,9.02,000,9.02,9.02
2,2015-05-26,9.02,9.02,TOL.AX,9.02,000,9.02,9.02
3,2015-05-25,9.02,9.02,TOL.AX,9.02,000,9.02,9.02
4,2015-05-22,9.02,9.02,TOL.AX,9.02,000,9.02,9.02
5,2015-05-21,9.02,9.02,TOL.AX,9.02,000,9.02,9.02
6,2015-05-20,9.02,9.02,TOL.AX,9.02,000,9.02,9.02
7,2015-05-19,9.02,9.02,TOL.AX,9.02,000,9.02,9.02
8,2015-05-18,9.02,9.02,TOL.AX,9.02,000,9.02,9.02
9,2015-05-15,9.02,9.02,TOL.AX,9.02,000,9.02,9.02
10,2015-05-14,9.01,9.02,TOL.AX,9.02,17523900,9.02,9.03
11,2015-05-13,9.00,9.02,TOL.AX,9.02,1906000,9.00,9.03
12,2015-05-12,9.00,9.00,TOL.AX,9.00,2948800,9.00,9.01
13,2015-05-11,8.99,8.99,TOL.AX,8.99,4768100,9.00,9.01
14,2015-05-08,8.99,9.00,TOL.AX,9.00,2606500,8.99,9.01
15,2015-05-07,8.99,9.00,TOL.AX,9.00,3630500,8.99,9.00
16,2015-05-06,8.99,8.99,TOL.AX,8.99,3099700,9.00,9.00
17,2015-05-05,8.98,9.00,TOL.AX,9.00,7142900,8.99,9.00
18,2015-05-04,8.97,8.98,TOL.AX,8.98,3304700,8.98,8.99
19,2015-05-01,8.97,8.98,TOL.AX,8.98,1652500,8.97,8.98
20,2015-04-30,8.97,8.98,TOL.AX,8.98,3422100,8.97,8.98
21,2015-04-29,8.97,8.97,TOL.AX,8.97,12437900,8.97,8.99
22,2015-04-28,8.97,8.97,TOL.AX,8.97,1102500,8.97,8.99
23,2015-04-27,8.98,8.99,TOL.AX,8.99,989000,8.99,9.00
24,2015-04-24,8.97,8.99,TOL.AX,8.99,2345600,8.98,8.99
25,2015-04-23,8.97,8.98,TOL.AX,8.98,6365000,8.98,8.98
26,2015-04-22,8.97,8.97,TOL.AX,8.97,1924500,8.98,8.99
27,2015-04-21,8.97,8.97,TOL.AX,8.97,1754200,8.98,8.99
28,2015-04-20,8.97,8.97,TOL.AX,8.97,1353300,8.97,8.99
29,2015-04-17,8.97,8.98,TOL.AX,8.98,1958100,8.98,8.98
30,2015-04-16,8.96,8.98,TOL.AX,8.98,2143000,8.96,8.98
31,2015-04-15,8.96,8.96,TOL.AX,8.96,1341300,8.96,8.98
32,2015-04-14,8.95,8.97,TOL.AX,8.97,4019900,8.95,8.98
33,2015-04-13,8.95,8.97,TOL.AX,8.97,1323600,8.96,8.97
34,2015-04-10,8.95,8.96,TOL.AX,8.96,1752600,8.96,8.96
35,2015-04-09,8.95,8.95,TOL.AX,8.95,2133600,8.95,8.96
36,2015-04-08,8.94,8.97,TOL.AX,8.97,3595600,8.95,8.97
37,2015-04-07,8.94,8.94,TOL.AX,8.94,2660800,8.94,8.95
38,2015-04-06,8.93,8.93,TOL.AX,8.93,000,8.93,8.93
39,2015-04-03,8.93,8.93,TOL.AX,8.93,000,8.93,8.93
40,2015-04-02,8.91,8.93,TOL.AX,8.93,3371800,8.91,8.94
41,2015-04-01,8.87,8.90,TOL.AX,8.90,2245900,8.87,8.92
42,2015-03-31,8.86,8.86,TOL.AX,8.86,4959300,8.88,8.88
43,2015-03-30,8.86,8.87,TOL.AX,8.87,2029600,8.87,8.88
44,2015-03-27,8.86,8.86,TOL.AX,8.86,2679300,8.87,8.88
45,2015-03-26,8.86,8.86,TOL.AX,8.86,13868100,8.88,8.89
46,2015-03-25,8.88,8.88,TOL.AX,8.88,4267700,8.89,8.89
47,2015-03-24,8.88,8.88,TOL.AX,8.88,2432900,8.88,8.89
48,2015-03-23,8.88,8.88,TOL.AX,8.88,2170400,8.89,8.90
