,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,0.005,0.005,WVL.AX,0.005,900,0.005,0.005
1,2016-07-27,0.006,0.006,WVL.AX,0.006,884300,0.006,0.006
2,2016-07-26,0.007,0.007,WVL.AX,0.007,56500,0.008,0.008
3,2016-07-25,0.007,0.007,WVL.AX,0.007,1650000,0.007,0.007
4,2016-07-22,0.007,0.007,WVL.AX,0.007,500000,0.007,0.007
5,2016-07-21,0.004,0.004,WVL.AX,0.004,000,0.004,0.004
6,2016-07-20,0.004,0.004,WVL.AX,0.004,000,0.004,0.004
7,2016-07-19,0.004,0.004,WVL.AX,0.004,000,0.004,0.004
8,2016-07-18,0.004,0.004,WVL.AX,0.004,000,0.004,0.004
9,2016-07-15,0.004,0.004,WVL.AX,0.004,000,0.004,0.004
10,2016-07-14,0.004,0.004,WVL.AX,0.004,000,0.004,0.004
11,2016-07-13,0.004,0.004,WVL.AX,0.004,000,0.004,0.004
12,2016-07-12,0.004,0.004,WVL.AX,0.004,000,0.004,0.004
13,2016-07-11,0.004,0.004,WVL.AX,0.004,1565000,0.005,0.005
14,2016-07-08,0.005,0.005,WVL.AX,0.005,000,0.005,0.005
15,2016-07-07,0.005,0.005,WVL.AX,0.005,61800,0.005,0.005
16,2016-07-06,0.005,0.005,WVL.AX,0.005,000,0.005,0.005
17,2016-07-05,0.005,0.005,WVL.AX,0.005,2550000,0.005,0.005
18,2016-07-04,0.005,0.005,WVL.AX,0.005,000,0.005,0.005
19,2016-07-01,0.005,0.005,WVL.AX,0.005,600000,0.005,0.005
20,2016-06-30,0.005,0.005,WVL.AX,0.005,1000000,0.005,0.005
21,2016-06-29,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
22,2016-06-28,0.006,0.006,WVL.AX,0.006,999600,0.006,0.006
23,2016-06-27,0.006,0.006,WVL.AX,0.006,300,0.006,0.006
24,2016-06-24,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
25,2016-06-23,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
26,2016-06-22,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
27,2016-06-21,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
28,2016-06-20,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
29,2016-06-17,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
30,2016-06-16,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
31,2016-06-15,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
32,2016-06-14,0.006,0.006,WVL.AX,0.006,334200,0.007,0.007
33,2016-06-13,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
34,2016-06-10,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
35,2016-06-09,0.006,0.006,WVL.AX,0.006,69800,0.006,0.006
36,2016-06-08,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
37,2016-06-07,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
38,2016-06-06,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
39,2016-06-03,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
40,2016-06-02,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
41,2016-06-01,0.006,0.006,WVL.AX,0.006,000,0.006,0.006
42,2016-05-31,0.006,0.006,WVL.AX,0.006,55500,0.006,0.006
43,2016-05-30,0.008,0.008,WVL.AX,0.008,000,0.008,0.008
44,2016-05-27,0.008,0.008,WVL.AX,0.008,000,0.008,0.008
45,2016-05-26,0.008,0.008,WVL.AX,0.008,77500,0.008,0.008
46,2016-05-25,0.008,0.008,WVL.AX,0.008,130000,0.008,0.008
47,2016-05-24,0.007,0.007,WVL.AX,0.007,600,0.007,0.007
48,2016-05-23,0.007,0.007,WVL.AX,0.007,71400,0.007,0.007
49,2016-05-20,0.007,0.007,WVL.AX,0.007,343800,0.007,0.007
50,2016-05-19,0.007,0.007,WVL.AX,0.007,811700,0.007,0.007
51,2016-05-18,0.007,0.007,WVL.AX,0.007,000,0.007,0.007
52,2016-05-17,0.007,0.007,WVL.AX,0.007,400,0.007,0.007
53,2016-05-16,0.007,0.007,WVL.AX,0.007,000,0.007,0.007
54,2016-05-13,0.007,0.007,WVL.AX,0.007,000,0.007,0.007
55,2016-05-12,0.007,0.007,WVL.AX,0.007,51500,0.007,0.007
56,2016-05-11,0.007,0.007,WVL.AX,0.007,851400,0.007,0.008
57,2016-05-10,0.008,0.008,WVL.AX,0.008,600000,0.008,0.008
58,2016-05-09,0.008,0.007,WVL.AX,0.007,1500000,0.008,0.008
59,2016-05-06,0.007,0.007,WVL.AX,0.007,610000,0.008,0.008
60,2016-05-05,0.008,0.008,WVL.AX,0.008,459200,0.008,0.008
61,2016-05-04,0.008,0.008,WVL.AX,0.008,440700,0.008,0.008
62,2016-05-03,0.007,0.007,WVL.AX,0.007,600000,0.007,0.007
