,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,CHG.L,2016-07-27,141.00,137.85,166700,140.75,141.00,143.00
1,CHG.L,2016-07-26,139.00,137.25,148700,137.25,139.00,141.50
2,CHG.L,2016-07-25,137.25,135.30,253100,136.75,137.25,140.00
3,CHG.L,2016-07-22,135.50,133.50,142800,140.00,135.50,140.00
4,CHG.L,2016-07-21,136.25,128.25,567600,130.00,136.25,137.25
5,CHG.L,2016-07-20,126.50,126.00,113600,127.75,126.50,128.00
6,CHG.L,2016-07-19,124.00,123.00,512700,127.00,124.00,127.625
7,CHG.L,2016-07-18,126.25,125.00,158400,125.00,126.25,129.25
8,CHG.L,2016-07-15,127.75,125.00,382100,125.00,127.75,128.50
9,CHG.L,2016-07-14,125.25,124.00,160700,128.75,125.25,128.75
10,CHG.L,2016-07-13,127.25,124.75,293300,128.00,127.25,129.00
11,CHG.L,2016-07-12,127.25,125.00,152800,128.50,127.25,128.50
12,CHG.L,2016-07-11,128.00,126.00,171500,130.00,128.00,130.00
13,CHG.L,2016-07-08,126.50,126.00,156100,127.50,126.50,127.75
14,CHG.L,2016-07-07,125.25,124.75,184000,126.00,125.25,127.68
15,CHG.L,2016-07-06,125.75,120.00,363400,126.00,125.75,128.875
16,CHG.L,2016-07-05,126.75,125.50,93900,130.00,126.75,130.00
17,CHG.L,2016-07-04,128.75,128.75,129600,132.00,128.75,133.25
18,CHG.L,2016-07-01,130.50,124.00,204500,126.50,130.50,132.25
19,CHG.L,2016-06-30,127.00,122.25,692400,127.00,127.00,129.00
20,CHG.L,2016-06-29,125.75,121.25,604900,121.25,125.75,126.813
21,CHG.L,2016-06-28,122.00,120.25,168300,120.25,122.00,123.25
22,CHG.L,2016-06-27,120.00,118.25,281700,120.25,120.00,124.75
23,CHG.L,2016-06-24,121.00,106.75,359900,106.75,121.00,128.25
24,CHG.L,2016-06-23,126.50,121.00,414300,121.00,126.50,126.925
25,CHG.L,2016-06-22,127.00,112.938,1416800,116.25,127.00,127.00
26,CHG.L,2016-06-21,115.25,90.25,2030700,90.25,115.25,124.00
27,CHG.L,2016-06-20,139.75,135.00,102100,135.00,139.75,140.75
28,CHG.L,2016-06-17,132.00,126.60,206400,129.00,132.00,134.25
29,CHG.L,2016-06-16,128.25,125.50,334000,130.00,128.25,132.00
