,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,000140.KS,2016-07-27,13700.00,13650.00,22200,14050.00,13700.00,14100.00
1,000140.KS,2016-07-26,14000.00,13800.00,11500,13900.00,14000.00,14050.00
2,000140.KS,2016-07-25,13900.00,13850.00,14300,14150.00,13900.00,14200.00
3,000140.KS,2016-07-22,14150.00,13850.00,12100,13900.00,14150.00,14150.00
4,000140.KS,2016-07-21,13900.00,13750.00,16800,14050.00,13900.00,14150.00
5,000140.KS,2016-07-20,14100.00,13950.00,9300,14000.00,14100.00,14150.00
6,000140.KS,2016-07-19,14050.00,14000.00,15500,14200.00,14050.00,14200.00
7,000140.KS,2016-07-18,14050.00,13800.00,17700,13900.00,14050.00,14200.00
8,000140.KS,2016-07-15,13900.00,13600.00,21800,14000.00,13900.00,14000.00
9,000140.KS,2016-07-14,13700.00,13550.00,11900,13950.00,13700.00,13950.00
10,000140.KS,2016-07-13,13850.00,13800.00,9700,14000.00,13850.00,14100.00
11,000140.KS,2016-07-12,14000.00,13700.00,10500,13700.00,14000.00,14050.00
12,000140.KS,2016-07-11,13950.00,13700.00,10900,14050.00,13950.00,14050.00
13,000140.KS,2016-07-08,13800.00,13600.00,15100,13800.00,13800.00,14000.00
14,000140.KS,2016-07-07,13900.00,13600.00,14100,13800.00,13900.00,14000.00
15,000140.KS,2016-07-06,13850.00,13600.00,25800,13800.00,13850.00,13850.00
16,000140.KS,2016-07-05,13800.00,13500.00,9400,13650.00,13800.00,13850.00
17,000140.KS,2016-07-04,13750.00,13600.00,8000,13700.00,13750.00,13850.00
18,000140.KS,2016-07-01,13650.00,13450.00,10000,13450.00,13650.00,13750.00
19,000140.KS,2016-06-30,13400.00,13250.00,21200,13500.00,13400.00,13500.00
20,000140.KS,2016-06-29,13400.00,13250.00,21600,13350.00,13400.00,13600.00
21,000140.KS,2016-06-28,13350.00,12900.00,15100,13000.00,13350.00,13700.00
22,000140.KS,2016-06-27,13100.00,12850.00,24800,13300.00,13100.00,13400.00
23,000140.KS,2016-06-24,13350.00,13250.00,31200,13750.00,13350.00,13950.00
24,000140.KS,2016-06-23,13750.00,13700.00,11300,14000.00,13750.00,14000.00
25,000140.KS,2016-06-22,13950.00,13700.00,5400,14050.00,13950.00,14050.00
26,000140.KS,2016-06-21,13700.00,13650.00,9800,13750.00,13700.00,13850.00
27,000140.KS,2016-06-20,13850.00,13550.00,29100,13650.00,13850.00,14000.00
28,000140.KS,2016-06-17,13650.00,13400.00,28900,13600.00,13650.00,13750.00
