,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,18650.00,19050.00,003410.KS,19050.00,79100,18700.00,19200.00
1,2016-07-27,18700.00,19000.00,003410.KS,19000.00,60700,19000.00,19200.00
2,2016-07-26,18550.00,19000.00,003410.KS,19000.00,73800,18750.00,19250.00
3,2016-07-25,18550.00,18700.00,003410.KS,18700.00,113000,19050.00,19100.00
4,2016-07-22,19050.00,19050.00,003410.KS,19050.00,72300,19500.00,19550.00
5,2016-07-21,19250.00,19400.00,003410.KS,19400.00,91300,19500.00,19900.00
6,2016-07-20,19150.00,19600.00,003410.KS,19600.00,122900,19700.00,19800.00
7,2016-07-19,19650.00,19700.00,003410.KS,19700.00,146600,20150.00,20200.00
8,2016-07-18,19900.00,19950.00,003410.KS,19950.00,91900,19900.00,20450.00
9,2016-07-15,20050.00,20100.00,003410.KS,20100.00,143700,20550.00,20600.00
10,2016-07-14,20050.00,20500.00,003410.KS,20500.00,97500,20200.00,20650.00
11,2016-07-13,20150.00,20200.00,003410.KS,20200.00,160100,20150.00,20700.00
12,2016-07-12,19550.00,20550.00,003410.KS,20550.00,178300,19900.00,20750.00
13,2016-07-11,19900.00,20200.00,003410.KS,20200.00,98400,20200.00,20300.00
14,2016-07-08,19550.00,19800.00,003410.KS,19800.00,158400,20400.00,20400.00
15,2016-07-07,19500.00,20400.00,003410.KS,20400.00,314000,19800.00,20500.00
16,2016-07-06,18450.00,19400.00,003410.KS,19400.00,258600,18450.00,19550.00
17,2016-07-05,18100.00,18600.00,003410.KS,18600.00,94200,18300.00,18750.00
18,2016-07-04,18350.00,18350.00,003410.KS,18350.00,102100,18800.00,18950.00
19,2016-07-01,18650.00,18800.00,003410.KS,18800.00,290800,18750.00,19300.00
20,2016-06-30,18550.00,18700.00,003410.KS,18700.00,1115300,19200.00,21900.00
21,2016-06-29,17450.00,17550.00,003410.KS,17550.00,78400,17600.00,17750.00
22,2016-06-28,17450.00,17700.00,003410.KS,17700.00,54400,17550.00,17900.00
23,2016-06-27,17300.00,17850.00,003410.KS,17850.00,115900,17300.00,17900.00
24,2016-06-24,17100.00,17300.00,003410.KS,17300.00,189100,17700.00,18050.00
25,2016-06-23,17600.00,17700.00,003410.KS,17700.00,134800,18050.00,18200.00
26,2016-06-22,17650.00,17950.00,003410.KS,17950.00,70700,17950.00,18100.00
27,2016-06-21,17900.00,18000.00,003410.KS,18000.00,103500,18000.00,18200.00
28,2016-06-20,17650.00,17850.00,003410.KS,17850.00,106400,17800.00,18350.00
29,2016-06-17,17700.00,17700.00,003410.KS,17700.00,183500,18050.00,18450.00
30,2016-06-16,17900.00,18050.00,003410.KS,18050.00,133800,18650.00,18750.00
31,2016-06-15,18050.00,18500.00,003410.KS,18500.00,124700,18350.00,18750.00
32,2016-06-14,18300.00,18450.00,003410.KS,18450.00,137300,18600.00,19000.00
33,2016-06-13,18550.00,18800.00,003410.KS,18800.00,75800,19000.00,19000.00
34,2016-06-10,18600.00,19050.00,003410.KS,19050.00,137300,19000.00,19050.00
35,2016-06-09,18000.00,19100.00,003410.KS,19100.00,249800,18050.00,19100.00
36,2016-06-08,17850.00,18150.00,003410.KS,18150.00,121800,18250.00,18450.00
37,2016-06-07,17600.00,18600.00,003410.KS,18600.00,116600,17650.00,18750.00
38,2016-06-06,17700.00,17700.00,003410.KS,17700.00,000,17700.00,17700.00
39,2016-06-03,17450.00,17700.00,003410.KS,17700.00,60000,17500.00,17850.00
40,2016-06-02,17550.00,17550.00,003410.KS,17550.00,93700,17700.00,17950.00
41,2016-06-01,17750.00,17750.00,003410.KS,17750.00,68700,18000.00,18250.00
42,2016-05-31,17600.00,18300.00,003410.KS,18300.00,145700,17950.00,18300.00
43,2016-05-30,17500.00,18100.00,003410.KS,18100.00,91200,17850.00,18350.00
44,2016-05-27,17750.00,17950.00,003410.KS,17950.00,70400,18300.00,18300.00
45,2016-05-26,17850.00,17900.00,003410.KS,17900.00,111000,18400.00,18500.00
46,2016-05-25,17700.00,18400.00,003410.KS,18400.00,92000,18000.00,18450.00
47,2016-05-24,17432.20,18274.10,003410.KS,18274.10,216300,17977.00,18274.10
48,2016-05-23,16986.50,17679.90,003410.KS,17679.90,234100,18224.60,18472.20
49,2016-05-20,17531.30,18076.10,003410.KS,18076.10,80400,17531.30,18175.10
50,2016-05-19,17432.20,17778.90,003410.KS,17778.90,204500,18323.70,18472.20
51,2016-05-18,18274.10,18521.80,003410.KS,18521.80,81400,18620.80,18670.30
52,2016-05-17,18323.70,18620.80,003410.KS,18620.80,120700,18769.40,18769.40
53,2016-05-16,18521.80,18769.40,003410.KS,18769.40,122300,18769.40,18818.90
54,2016-05-13,18521.80,18620.80,003410.KS,18620.80,87600,18719.90,18918.00
55,2016-05-12,18274.10,18620.80,003410.KS,18620.80,73200,18274.10,18769.40
56,2016-05-11,18125.60,18274.10,003410.KS,18274.10,116500,18769.40,18769.40
57,2016-05-10,18323.70,18422.70,003410.KS,18422.70,131600,18670.30,18868.40
58,2016-05-09,18323.70,18422.70,003410.KS,18422.70,148100,18670.30,18719.90
59,2016-05-06,18274.10,18274.10,003410.KS,18274.10,000,18274.10,18274.10
60,2016-05-05,18274.10,18274.10,003410.KS,18274.10,000,18274.10,18274.10
61,2016-05-04,18274.10,18274.10,003410.KS,18274.10,159200,18323.70,18719.90
62,2016-05-03,18224.60,18472.20,003410.KS,18472.20,184600,18818.90,18918.00
63,2016-05-02,18571.30,18670.30,003410.KS,18670.30,347500,19908.40,20255.10
64,2016-04-29,19215.10,20799.80,003410.KS,20799.80,670800,19462.70,23375.10
65,2016-04-28,19017.00,19710.30,003410.KS,19710.30,272700,19314.10,20106.50
66,2016-04-27,18521.80,18967.50,003410.KS,18967.50,135600,18521.80,19066.50
67,2016-04-26,18521.80,18670.30,003410.KS,18670.30,85000,18670.30,18918.00
68,2016-04-25,18323.70,18670.30,003410.KS,18670.30,61500,18323.70,18868.40
69,2016-04-22,18274.10,18422.70,003410.KS,18422.70,54800,18422.70,18620.80
70,2016-04-21,18521.80,18620.80,003410.KS,18620.80,58600,18818.90,18868.40
71,2016-04-20,18571.30,18620.80,003410.KS,18620.80,74900,19017.00,19165.60
72,2016-04-19,18868.40,19165.60,003410.KS,19165.60,52900,19215.10,19215.10
73,2016-04-18,18967.50,19017.00,003410.KS,19017.00,75200,18967.50,19561.80
74,2016-04-15,18918.00,19264.60,003410.KS,19264.60,604300,19017.00,19413.20
75,2016-04-14,18323.70,19462.70,003410.KS,19462.70,149900,18323.70,19462.70
76,2016-04-13,18670.30,18670.30,003410.KS,18670.30,000,18670.30,18670.30
77,2016-04-12,18125.60,18670.30,003410.KS,18670.30,79800,18521.80,18818.90
78,2016-04-11,18373.20,18620.80,003410.KS,18620.80,68100,18571.30,18818.90
79,2016-04-08,18373.20,18719.90,003410.KS,18719.90,87200,18769.40,19017.00
80,2016-04-07,18818.90,18818.90,003410.KS,18818.90,89700,19017.00,19215.10
81,2016-04-06,18818.90,19017.00,003410.KS,19017.00,102800,18967.50,19215.10
82,2016-04-05,18818.90,19017.00,003410.KS,19017.00,87600,18818.90,19413.20
83,2016-04-04,18967.50,19017.00,003410.KS,19017.00,85000,18967.50,19314.10
84,2016-04-01,19017.00,19116.00,003410.KS,19116.00,95500,19512.20,19512.20
85,2016-03-31,19066.50,19215.10,003410.KS,19215.10,86900,19165.60,19611.30
86,2016-03-30,18571.30,19165.60,003410.KS,19165.60,110500,18818.90,19413.20
87,2016-03-29,18620.80,18818.90,003410.KS,18818.90,88100,19116.00,19116.00
88,2016-03-28,18769.40,18818.90,003410.KS,18818.90,61200,19116.00,19264.60
89,2016-03-25,18868.40,19116.00,003410.KS,19116.00,54200,19215.10,19264.60
90,2016-03-24,18868.40,19017.00,003410.KS,19017.00,152300,18868.40,19462.70
91,2016-03-23,18224.60,18670.30,003410.KS,18670.30,73100,18224.60,18918.00
92,2016-03-22,17927.50,18175.10,003410.KS,18175.10,48000,18125.60,18472.20
93,2016-03-21,17778.90,18026.50,003410.KS,18026.50,84700,18224.60,18422.70
94,2016-03-18,18125.60,18125.60,003410.KS,18125.60,161200,18918.00,19017.00
95,2016-03-17,18670.30,19066.50,003410.KS,19066.50,253000,18769.40,19314.10
96,2016-03-16,17729.40,18769.40,003410.KS,18769.40,154100,17828.40,18818.90
97,2016-03-15,17729.40,17729.40,003410.KS,17729.40,79400,18076.10,18224.60
98,2016-03-14,18076.10,18175.10,003410.KS,18175.10,73000,18175.10,18373.20
99,2016-03-11,18175.10,18373.20,003410.KS,18373.20,86100,18323.70,18571.30
100,2016-03-10,18125.60,18422.70,003410.KS,18422.70,155800,18868.40,18918.00
101,2016-03-09,18472.20,19017.00,003410.KS,19017.00,138800,18620.80,19017.00
102,2016-03-08,18373.20,18719.90,003410.KS,18719.90,58900,18373.20,18818.90
103,2016-03-07,18224.60,18670.30,003410.KS,18670.30,98200,18670.30,18967.50
104,2016-03-04,18422.70,18769.40,003410.KS,18769.40,94400,18818.90,19116.00
105,2016-03-03,18521.80,18769.40,003410.KS,18769.40,67900,18918.00,19066.50
106,2016-03-02,18670.30,19066.50,003410.KS,19066.50,110200,19165.60,19462.70
107,2016-03-01,19165.60,19165.60,003410.KS,19165.60,000,19165.60,19165.60
108,2016-02-29,19165.60,19165.60,003410.KS,19165.60,103300,19611.30,20106.50
109,2016-02-26,18967.50,19611.30,003410.KS,19611.30,90900,19017.00,19710.30
110,2016-02-25,18918.00,19017.00,003410.KS,19017.00,94000,19660.80,19809.40
111,2016-02-24,19264.60,19809.40,003410.KS,19809.40,96600,19512.20,19858.90
112,2016-02-23,18918.00,19413.20,003410.KS,19413.20,113900,19017.00,19710.30
113,2016-02-22,18224.60,18918.00,003410.KS,18918.00,133700,18323.70,19215.10
114,2016-02-19,17234.20,18571.30,003410.KS,18571.30,205800,17630.30,19512.20
115,2016-02-18,16838.00,17333.20,003410.KS,17333.20,139400,17333.20,17977.00
116,2016-02-17,16639.90,17085.60,003410.KS,17085.60,90400,16639.90,17184.60
117,2016-02-16,16689.40,16788.40,003410.KS,16788.40,79800,17184.60,17481.80
118,2016-02-15,16937.00,17184.60,003410.KS,17184.60,72300,16937.00,17729.40
119,2016-02-12,15996.10,16540.80,003410.KS,16540.80,134200,17432.20,17729.40
120,2016-02-11,16689.40,17283.70,003410.KS,17283.70,50300,17333.20,17333.20
121,2016-02-10,17432.20,17432.20,003410.KS,17432.20,000,17432.20,17432.20
122,2016-02-09,17432.20,17432.20,003410.KS,17432.20,000,17432.20,17432.20
123,2016-02-08,17432.20,17432.20,003410.KS,17432.20,000,17432.20,17432.20
124,2016-02-05,17283.70,17432.20,003410.KS,17432.20,31800,17778.90,17778.90
125,2016-02-04,16986.50,17778.90,003410.KS,17778.90,115400,17481.80,17828.40
126,2016-02-03,16441.80,17036.10,003410.KS,17036.10,64800,16788.40,17085.60
127,2016-02-02,16689.40,16788.40,003410.KS,16788.40,84800,16887.50,17432.20
128,2016-02-01,16937.00,17085.60,003410.KS,17085.60,92900,17184.60,17481.80
129,2016-01-29,16441.80,16838.00,003410.KS,16838.00,71400,16540.80,16937.00
130,2016-01-28,16144.60,16689.40,003410.KS,16689.40,126600,16144.60,17036.10
131,2016-01-27,15500.80,16293.20,003410.KS,16293.20,120700,15847.50,16540.80
132,2016-01-26,14956.10,15451.30,003410.KS,15451.30,49100,15451.30,15550.40
133,2016-01-25,14956.10,15401.80,003410.KS,15401.80,76300,15154.20,15599.90
134,2016-01-22,14510.40,15154.20,003410.KS,15154.20,130300,15055.10,15302.70
135,2016-01-21,14163.70,14807.50,003410.KS,14807.50,302400,15500.80,15550.40
136,2016-01-20,14609.40,15352.30,003410.KS,15352.30,89000,15946.50,15946.50
137,2016-01-19,15104.60,15847.50,003410.KS,15847.50,93300,15847.50,15897.00
138,2016-01-18,15649.40,15798.00,003410.KS,15798.00,70300,16144.60,16194.20
139,2016-01-15,15500.80,16045.60,003410.KS,16045.60,82200,15897.00,16144.60
140,2016-01-14,15253.20,15748.50,003410.KS,15748.50,63200,15847.50,15897.00
141,2016-01-13,15451.30,15897.00,003410.KS,15897.00,46300,15748.50,16194.20
142,2016-01-12,15203.70,15649.40,003410.KS,15649.40,78800,16342.70,16342.70
143,2016-01-11,15698.90,16095.10,003410.KS,16095.10,63400,15946.50,16342.70
144,2016-01-08,15996.10,16293.20,003410.KS,16293.20,74800,16144.60,16441.80
145,2016-01-07,15748.50,16045.60,003410.KS,16045.60,74200,16243.70,16441.80
146,2016-01-06,15599.90,16243.70,003410.KS,16243.70,129500,16045.60,16441.80
147,2016-01-05,15352.30,16144.60,003410.KS,16144.60,104000,15897.00,16243.70
148,2016-01-04,15005.60,15748.50,003410.KS,15748.50,141800,15996.10,16144.60
