,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-27,26.50,26.870001,CAL,26.870001,248300,26.65,27.01
1,2016-07-26,26.459999,26.549999,CAL,26.549999,241700,26.66,26.940001
2,2016-07-25,26.16,26.559999,CAL,26.559999,156800,26.24,26.59
3,2016-07-22,25.76,26.190001,CAL,26.190001,241900,26.309999,26.459999
4,2016-07-21,26.280001,26.370001,CAL,26.370001,173000,26.82,26.92
5,2016-07-20,26.15,26.940001,CAL,26.940001,220500,26.559999,27.01
6,2016-07-19,26.48,26.49,CAL,26.49,282600,27.209999,27.299999
7,2016-07-18,26.530001,27.17,CAL,27.17,362100,26.530001,27.209999
8,2016-07-15,26.34,26.52,CAL,26.52,299200,26.620001,26.73
9,2016-07-14,26.459999,26.49,CAL,26.49,194400,26.66,26.959999
10,2016-07-13,26.33,26.57,CAL,26.57,260400,26.690001,26.77
11,2016-07-12,26.129999,26.530001,CAL,26.530001,387300,26.459999,26.76
12,2016-07-11,25.48,26.43,CAL,26.43,424500,25.48,26.450001
13,2016-07-08,25.02,25.43,CAL,25.43,233800,25.02,25.58
14,2016-07-07,24.450001,24.68,CAL,24.68,187100,24.549999,24.91
15,2016-07-06,23.860001,24.49,CAL,24.49,211000,23.90,24.559999
16,2016-07-05,23.700001,23.98,CAL,23.98,173700,24.35,24.459999
17,2016-07-01,24.190001,24.360001,CAL,24.360001,200600,24.280001,24.57
18,2016-06-30,23.719999,24.209999,CAL,24.209999,407700,23.92,24.209999
19,2016-06-29,23.17,23.799999,CAL,23.799999,255100,23.219999,23.92
20,2016-06-28,22.84,22.92,CAL,22.92,273200,23.10,23.27
21,2016-06-27,22.40,22.84,CAL,22.84,328600,23.530001,23.530001
22,2016-06-24,22.82,23.690001,CAL,23.690001,581100,22.969999,23.83
23,2016-06-23,23.60,23.65,CAL,23.65,181700,23.940001,24.02
24,2016-06-22,23.66,23.690001,CAL,23.690001,177800,24.16,24.200001
25,2016-06-21,24.049999,24.110001,CAL,24.110001,216200,24.559999,24.58
26,2016-06-20,24.440001,24.48,CAL,24.48,333400,24.700001,25.16
27,2016-06-17,24.309999,24.49,CAL,24.49,490600,24.450001,24.83
28,2016-06-16,24.209999,24.379999,CAL,24.379999,262700,24.60,24.639999
29,2016-06-15,24.40,24.690001,CAL,24.690001,374700,24.40,25.129999
30,2016-06-14,24.01,24.280001,CAL,24.210001,256700,24.27,24.450001
31,2016-06-13,24.15,24.24,CAL,24.170115,420800,24.700001,24.85
32,2016-06-10,24.58,24.74,CAL,24.668674,289600,24.76,24.969999
33,2016-06-09,24.66,24.969999,CAL,24.89801,324700,25.120001,25.23
34,2016-06-08,24.92,25.209999,CAL,25.137318,228300,25.030001,25.33
35,2016-06-07,24.75,25.01,CAL,24.937896,203800,24.790001,25.299999
36,2016-06-06,24.870001,24.91,CAL,24.838184,279100,25.290001,25.290001
37,2016-06-03,24.90,25.110001,CAL,25.037608,389000,25.200001,25.41
38,2016-06-02,24.809999,25.190001,CAL,25.117377,291400,24.84,25.25
39,2016-06-01,24.41,24.790001,CAL,24.718531,359300,24.459999,25.02
40,2016-05-31,24.26,24.459999,CAL,24.38948,659300,25.43,25.43
41,2016-05-27,23.50,25.43,CAL,25.356685,2793500,24.110001,25.65
42,2016-05-26,21.389999,21.719999,CAL,21.65738,804500,21.49,21.780001
43,2016-05-25,21.379999,21.469999,CAL,21.408101,818500,21.549999,21.74
44,2016-05-24,21.27,21.559999,CAL,21.497842,830300,21.75,22.139999
45,2016-05-23,21.940001,22.07,CAL,22.006372,338300,22.200001,22.459999
46,2016-05-20,21.84,22.299999,CAL,22.235708,297800,22.00,22.309999
47,2016-05-19,21.83,22.01,CAL,21.946545,228700,21.940001,22.360001
48,2016-05-18,21.709999,21.950001,CAL,21.886719,305400,22.030001,22.280001
49,2016-05-17,22.02,22.17,CAL,22.106084,544000,23.02,23.15
50,2016-05-16,22.620001,22.99,CAL,22.923719,418500,23.01,23.200001
51,2016-05-13,22.549999,23.049999,CAL,22.983546,367900,22.870001,23.540001
52,2016-05-12,22.82,23.02,CAL,22.953633,260800,23.290001,23.49
53,2016-05-11,23.16,23.27,CAL,23.202913,428100,24.190001,24.190001
54,2016-05-10,24.219999,24.48,CAL,24.409423,214300,24.65,24.65
55,2016-05-09,24.309999,24.65,CAL,24.578933,445700,24.309999,24.950001
56,2016-05-06,23.49,24.34,CAL,24.269828,236100,23.889999,24.360001
57,2016-05-05,23.959999,23.98,CAL,23.910865,353100,24.84,24.98
58,2016-05-04,24.620001,24.90,CAL,24.828212,168700,24.91,25.09
59,2016-05-03,24.790001,25.01,CAL,24.937896,239300,25.040001,25.34
60,2016-05-02,25.040001,25.219999,CAL,25.14729,247800,25.360001,25.360001
61,2016-04-29,25.110001,25.209999,CAL,25.137318,183800,25.60,25.60
62,2016-04-28,25.469999,25.58,CAL,25.506252,153700,26.01,26.10
63,2016-04-27,25.84,26.18,CAL,26.104523,119900,26.309999,26.58
64,2016-04-26,25.74,26.41,CAL,26.333859,137500,25.75,26.440001
65,2016-04-25,25.450001,25.68,CAL,25.605964,169700,25.91,25.91
66,2016-04-22,25.49,25.889999,CAL,25.815358,345000,25.83,26.10
67,2016-04-21,25.700001,25.799999,CAL,25.725617,136800,26.43,26.43
68,2016-04-20,25.91,26.290001,CAL,26.214206,307200,26.07,26.459999
69,2016-04-19,26.040001,26.07,CAL,25.994839,163100,26.40,26.60
70,2016-04-18,26.10,26.290001,CAL,26.214206,124000,26.219999,26.33
71,2016-04-15,25.92,26.200001,CAL,26.124466,133200,25.99,26.25
72,2016-04-14,25.77,26.00,CAL,25.925042,218300,25.91,26.26
73,2016-04-13,25.389999,25.92,CAL,25.845272,549700,25.700001,25.92
74,2016-04-12,24.860001,25.459999,CAL,25.386597,271900,25.52,25.639999
75,2016-04-11,25.24,25.52,CAL,25.446426,346500,25.370001,25.719999
76,2016-04-08,25.120001,25.27,CAL,25.197147,385400,25.65,25.690001
77,2016-04-07,25.610001,25.68,CAL,25.605964,321600,26.469999,26.620001
78,2016-04-06,26.23,26.58,CAL,26.503369,220000,26.50,26.74
79,2016-04-05,26.379999,26.440001,CAL,26.363774,280800,26.700001,26.99
80,2016-04-04,26.809999,26.870001,CAL,26.792534,333300,27.889999,27.889999
81,2016-04-01,27.780001,27.780001,CAL,27.69991,304000,28.040001,28.389999
82,2016-03-31,27.969999,28.290001,CAL,28.20844,315900,28.049999,28.440001
83,2016-03-30,27.93,28.049999,CAL,27.969131,282000,28.32,28.58
84,2016-03-29,27.389999,28.27,CAL,28.188498,265500,27.52,28.299999
85,2016-03-28,26.790001,27.549999,CAL,27.470572,460800,26.93,28.01
86,2016-03-24,26.32,26.780001,CAL,26.702793,377700,26.76,26.950001
87,2016-03-23,26.67,26.76,CAL,26.682851,425000,26.91,27.09
88,2016-03-22,26.98,27.030001,CAL,26.952073,322900,27.209999,27.49
89,2016-03-21,27.190001,27.309999,CAL,27.231264,701400,27.309999,27.66
90,2016-03-18,26.799999,27.290001,CAL,27.211323,859000,26.799999,28.049999
91,2016-03-17,26.360001,26.67,CAL,26.59311,708900,26.639999,26.91
92,2016-03-16,26.540001,26.809999,CAL,26.662907,677100,27.00,28.42
93,2016-03-15,28.870001,28.98,CAL,28.821001,186500,29.16,29.23
94,2016-03-14,28.690001,29.209999,CAL,29.049739,204600,29.24,29.49
95,2016-03-11,28.49,29.290001,CAL,29.129302,288700,28.75,29.34
96,2016-03-10,28.120001,28.40,CAL,28.244183,250000,28.83,28.969999
