,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,FRO,2016-07-27,8.03,8.00,744100,8.21,8.03,8.25
1,FRO,2016-07-26,8.14,7.97,823700,7.98,8.14,8.23
2,FRO,2016-07-25,8.07,8.02,764000,8.15,8.07,8.16
3,FRO,2016-07-22,8.18,8.14,620600,8.24,8.18,8.26
4,FRO,2016-07-21,8.28,8.14,892000,8.15,8.28,8.37
5,FRO,2016-07-20,8.13,7.84,1099600,7.91,8.13,8.21
6,FRO,2016-07-19,7.81,7.80,726400,7.84,7.81,7.96
7,FRO,2016-07-18,7.90,7.70,853400,7.73,7.90,7.94
8,FRO,2016-07-15,7.85,7.79,614800,7.84,7.85,7.87
9,FRO,2016-07-14,7.83,7.80,936900,7.80,7.83,7.94
10,FRO,2016-07-13,7.71,7.71,945000,7.83,7.71,7.93
11,FRO,2016-07-12,7.87,7.70,1367700,7.75,7.87,8.00
12,FRO,2016-07-11,7.78,7.59,1171400,7.61,7.78,7.81
13,FRO,2016-07-08,7.53,7.24,1148100,7.25,7.53,7.56
14,FRO,2016-07-07,7.26,7.21,2093600,7.39,7.26,7.46
15,FRO,2016-07-06,7.57,7.36,1082000,7.42,7.57,7.61
16,FRO,2016-07-05,7.54,7.52,1866900,7.72,7.54,7.76
17,FRO,2016-07-01,7.87,7.75,1017400,7.75,7.87,7.95
18,FRO,2016-06-30,7.87,7.64,2273800,7.78,7.87,7.88
19,FRO,2016-06-29,8.10,8.01,910900,8.14,8.10,8.20
20,FRO,2016-06-28,7.96,7.80,1783200,7.84,7.96,8.00
21,FRO,2016-06-27,7.54,7.50,2441800,7.74,7.54,7.74
22,FRO,2016-06-24,7.98,7.81,4751300,7.82,7.98,8.18
23,FRO,2016-06-23,8.44,8.25,938900,8.43,8.44,8.45
24,FRO,2016-06-22,8.05,8.05,773600,8.15,8.05,8.21
25,FRO,2016-06-21,8.15,8.07,1007900,8.18,8.15,8.34
26,FRO,2016-06-20,8.34,8.25,1015300,8.45,8.34,8.54
27,FRO,2016-06-17,8.17,8.06,1029500,8.08,8.17,8.39
28,FRO,2016-06-16,8.06,7.82,1548200,8.00,8.06,8.12
29,FRO,2016-06-15,8.22,8.20,1460800,8.49,8.22,8.60
30,FRO,2016-06-14,8.43,8.35,1750000,8.79,8.43,8.88
31,FRO,2016-06-13,8.87,8.78,1277900,8.86,8.87,9.18
32,FRO,2016-06-10,9.08,9.01,1985200,9.50,9.08,9.52
33,FRO,2016-06-09,9.88,9.58,1788600,9.76,9.88,9.91
34,FRO,2016-06-08,10.26,9.84,3031600,9.86,9.860001,10.41
35,FRO,2016-06-07,9.78,9.49,1750000,9.49,9.398713,9.81
36,FRO,2016-06-06,9.41,9.00,2065600,9.03,9.043139,9.52
37,FRO,2016-06-03,8.96,8.67,1086700,9.00,8.610683,9.01
38,FRO,2016-06-02,9.00,8.54,1675400,8.66,8.649123,9.00
39,FRO,2016-06-01,8.64,8.48,1779000,8.76,8.303158,8.84
40,FRO,2016-05-31,8.88,8.39,3591400,8.39,8.533802,8.92
41,FRO,2016-05-27,8.02,7.78,827700,7.91,7.70733,8.04
42,FRO,2016-05-26,7.90,7.81,946700,8.05,7.592008,8.10
43,FRO,2016-05-25,7.84,7.71,1093800,7.79,7.534347,7.95
44,FRO,2016-05-24,7.77,7.63,652400,7.74,7.467076,7.83
45,FRO,2016-05-23,7.71,7.60,1069800,7.60,7.409415,7.86
46,FRO,2016-05-20,7.53,7.41,1134000,7.55,7.236433,7.59
47,FRO,2016-05-19,7.47,7.43,1443700,7.71,7.178772,7.72
48,FRO,2016-05-18,7.97,7.90,884000,8.00,7.659279,8.09
49,FRO,2016-05-17,8.14,8.05,733300,8.12,7.822652,8.38
50,FRO,2016-05-16,8.11,7.93,535700,7.93,7.793821,8.12
51,FRO,2016-05-13,7.83,7.68,556800,7.76,7.524737,7.96
52,FRO,2016-05-12,7.87,7.77,564400,8.03,7.563178,8.10
53,FRO,2016-05-11,7.97,7.81,1108300,7.92,7.659279,8.21
54,FRO,2016-05-10,8.12,7.78,950100,7.79,7.803431,8.15
55,FRO,2016-05-09,7.78,7.53,723200,7.67,7.476687,7.83
56,FRO,2016-05-06,7.80,7.54,816600,7.57,7.495907,7.86
57,FRO,2016-05-05,7.45,7.42,1578200,7.74,7.159552,7.82
58,FRO,2016-05-04,7.58,7.40,1931900,7.76,7.284484,7.88
59,FRO,2016-05-03,7.84,7.81,961000,8.01,7.534347,8.04
60,FRO,2016-05-02,8.31,8.03,866400,8.10,7.986024,8.31
61,FRO,2016-04-29,8.24,8.08,1388000,8.30,7.918752,8.46
62,FRO,2016-04-28,8.46,8.43,1346200,8.46,8.130176,8.74
63,FRO,2016-04-27,8.86,8.54,1547800,8.56,8.514581,9.00
64,FRO,2016-04-26,8.59,8.28,914700,8.34,8.255108,8.65
65,FRO,2016-04-25,8.33,8.27,783400,8.47,8.005244,8.49
66,FRO,2016-04-22,8.59,8.54,677000,8.63,8.255108,8.74
67,FRO,2016-04-21,8.46,8.24,940500,8.35,8.130176,8.67
68,FRO,2016-04-20,8.40,8.20,855600,8.20,8.072515,8.64
69,FRO,2016-04-19,8.54,8.20,1646600,8.29,8.207057,8.63
70,FRO,2016-04-18,7.84,7.74,840800,7.81,7.534347,8.04
71,FRO,2016-04-15,7.75,7.62,974600,7.86,7.447856,7.86
72,FRO,2016-04-14,8.06,8.01,692100,8.28,7.745771,8.29
73,FRO,2016-04-13,8.23,7.88,1172200,7.94,7.909142,8.30
74,FRO,2016-04-12,7.90,7.57,903700,7.65,7.592008,7.97
75,FRO,2016-04-11,7.80,7.69,758300,7.71,7.495907,7.98
76,FRO,2016-04-08,7.69,7.51,769300,7.51,7.390195,7.74
77,FRO,2016-04-07,7.43,7.40,1029600,7.49,7.140331,7.62
78,FRO,2016-04-06,7.88,7.45,906900,7.58,7.572788,7.91
79,FRO,2016-04-05,7.64,7.54,886000,7.71,7.342144,7.73
80,FRO,2016-04-04,7.89,7.88,909600,8.24,7.582398,8.27
81,FRO,2016-04-01,8.38,8.04,812100,8.20,8.053295,8.40
82,FRO,2016-03-31,8.37,8.21,1127500,8.39,8.043684,8.55
83,FRO,2016-03-30,8.10,7.92,920300,8.12,7.784211,8.22
84,FRO,2016-03-29,7.98,7.60,986000,7.78,7.668889,8.00
85,FRO,2016-03-28,7.63,7.51,784100,7.81,7.332534,7.90
86,FRO,2016-03-24,7.82,7.42,1029400,7.60,7.515127,7.84
87,FRO,2016-03-23,7.77,7.70,1049400,8.22,7.467076,8.25
88,FRO,2016-03-22,8.27,8.21,677700,8.22,7.947584,8.47
89,FRO,2016-03-21,8.49,8.41,1198200,8.65,8.159006,8.72
90,FRO,2016-03-18,8.94,8.91,1167600,9.22,8.591462,9.32
91,FRO,2016-03-17,9.38,9.20,465100,9.35,9.014308,9.46
92,FRO,2016-03-16,9.43,9.09,509100,9.11,9.062359,9.46
93,FRO,2016-03-15,9.18,9.04,441300,9.38,8.822106,9.39
94,FRO,2016-03-14,9.51,9.27,812100,9.62,9.13924,9.67
95,FRO,2016-03-11,9.55,8.92,1166600,9.01,9.177681,9.58
96,FRO,2016-03-10,8.50,8.25,1023300,8.86,8.168616,8.86
97,FRO,2016-03-09,8.62,8.51,1017200,8.65,8.283938,8.80
98,FRO,2016-03-08,8.83,8.76,1762300,9.81,8.149396,9.81
99,FRO,2016-03-07,9.70,9.57,781700,9.60,8.952337,9.82
