,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-27,9.51,9.78,HSC,9.78,743100,9.65,9.80
1,2016-07-26,9.38,9.60,HSC,9.60,862700,9.57,9.72
2,2016-07-25,9.47,9.56,HSC,9.56,935000,9.70,9.77
3,2016-07-22,9.59,9.70,HSC,9.70,925600,9.80,9.97
4,2016-07-21,9.60,9.81,HSC,9.81,740400,9.63,10.03
5,2016-07-20,9.43,9.63,HSC,9.63,1411200,9.65,9.70
6,2016-07-19,9.61,9.65,HSC,9.65,1065900,9.72,9.83
7,2016-07-18,9.53,9.82,HSC,9.82,982800,9.76,9.90
8,2016-07-15,9.08,9.85,HSC,9.85,3152800,9.10,10.00
9,2016-07-14,8.22,9.05,HSC,9.05,2831400,8.56,9.12
10,2016-07-13,7.85,8.05,HSC,8.05,1089300,8.16,8.23
11,2016-07-12,7.50,8.09,HSC,8.09,1254300,7.50,8.24
12,2016-07-11,7.19,7.49,HSC,7.49,883800,7.28,7.52
13,2016-07-08,7.02,7.25,HSC,7.25,984600,7.05,7.36
14,2016-07-07,6.81,6.93,HSC,6.93,678900,6.87,7.11
15,2016-07-06,6.55,6.83,HSC,6.83,642500,6.68,6.91
16,2016-07-05,6.55,6.75,HSC,6.75,892000,6.89,6.91
17,2016-07-01,6.64,7.01,HSC,7.01,892200,6.64,7.22
18,2016-06-30,6.36,6.64,HSC,6.64,743000,6.55,6.65
19,2016-06-29,6.25,6.44,HSC,6.44,876900,6.46,6.57
20,2016-06-28,6.00,6.22,HSC,6.22,1469800,6.06,6.29
21,2016-06-27,5.81,5.86,HSC,5.86,1077100,6.33,6.37
22,2016-06-24,6.27,6.50,HSC,6.50,3051300,6.59,6.69
23,2016-06-23,6.89,6.99,HSC,6.99,1087700,6.99,7.16
24,2016-06-22,6.70,6.86,HSC,6.86,903100,6.85,6.88
25,2016-06-21,6.66,6.81,HSC,6.81,591000,6.81,6.88
26,2016-06-20,6.81,6.82,HSC,6.82,611600,7.04,7.12
27,2016-06-17,6.61,6.86,HSC,6.86,793800,6.72,6.99
28,2016-06-16,6.23,6.63,HSC,6.63,823500,6.30,6.69
29,2016-06-15,6.35,6.37,HSC,6.37,522900,6.46,6.62
30,2016-06-14,6.22,6.43,HSC,6.43,522900,6.43,6.58
31,2016-06-13,6.47,6.49,HSC,6.49,723500,6.50,6.77
32,2016-06-10,6.48,6.53,HSC,6.53,496000,6.75,6.76
33,2016-06-09,6.72,6.86,HSC,6.86,466500,7.00,7.12
34,2016-06-08,6.86,7.19,HSC,7.19,1099900,6.89,7.34
35,2016-06-07,6.69,6.77,HSC,6.77,603400,6.89,6.96
36,2016-06-06,6.57,6.93,HSC,6.93,930600,6.75,6.99
37,2016-06-03,6.52,6.69,HSC,6.69,761800,6.76,6.80
