,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2012-09-24,7.60,7.60,OTE,7.60,000,7.60,7.60
1,2012-09-21,7.60,7.60,OTE,7.60,000,7.60,7.60
2,2012-09-20,7.60,7.60,OTE,7.60,000,7.60,7.60
3,2012-09-19,7.60,7.60,OTE,7.60,000,7.60,7.60
4,2012-09-18,7.60,7.60,OTE,7.60,000,7.60,7.60
5,2012-09-17,7.60,7.60,OTE,7.60,000,7.60,7.60
6,2012-09-14,7.60,7.60,OTE,7.60,000,7.60,7.60
7,2012-09-13,7.60,7.60,OTE,7.60,000,7.60,7.60
8,2012-09-12,7.60,7.60,OTE,7.60,000,7.60,7.60
9,2012-09-11,7.60,7.60,OTE,7.60,000,7.60,7.60
10,2012-09-10,7.60,7.60,OTE,7.60,000,7.60,7.60
11,2012-09-07,7.60,7.60,OTE,7.60,000,7.60,7.60
12,2012-09-06,7.60,7.60,OTE,7.60,000,7.60,7.60
13,2012-09-05,7.60,7.60,OTE,7.60,000,7.60,7.60
14,2012-09-04,7.60,7.60,OTE,7.60,000,7.60,7.60
15,2012-09-03,7.60,7.60,OTE,7.60,000,7.60,7.60
16,2012-08-31,7.60,7.60,OTE,7.60,000,7.60,7.60
17,2012-08-30,7.60,7.60,OTE,7.60,000,7.60,7.60
18,2012-08-29,7.60,7.60,OTE,7.60,000,7.60,7.60
19,2012-08-28,7.60,7.60,OTE,7.60,000,7.60,7.60
20,2012-08-27,7.60,7.60,OTE,7.60,000,7.60,7.60
21,2012-08-24,7.60,7.60,OTE,7.60,000,7.60,7.60
22,2012-08-23,7.60,7.60,OTE,7.60,000,7.60,7.60
23,2012-08-22,7.60,7.60,OTE,7.60,000,7.60,7.60
24,2012-08-21,7.60,7.60,OTE,7.60,000,7.60,7.60
25,2012-08-20,7.60,7.60,OTE,7.60,000,7.60,7.60
26,2012-08-17,7.60,7.60,OTE,7.60,000,7.60,7.60
27,2012-08-16,7.60,7.60,OTE,7.60,000,7.60,7.60
28,2012-08-15,7.60,7.60,OTE,7.60,000,7.60,7.60
29,2012-08-14,7.60,7.60,OTE,7.60,000,7.60,7.60
30,2012-08-13,7.60,7.60,OTE,7.60,000,7.60,7.60
31,2012-08-10,7.60,7.60,OTE,7.60,000,7.60,7.60
32,2012-08-09,7.60,7.60,OTE,7.60,000,7.60,7.60
33,2012-08-08,7.60,7.60,OTE,7.60,000,7.60,7.60
34,2012-08-07,7.60,7.60,OTE,7.60,000,7.60,7.60
35,2012-08-06,7.60,7.60,OTE,7.60,000,7.60,7.60
36,2012-08-03,7.60,7.60,OTE,7.60,000,7.60,7.60
37,2012-08-02,7.60,7.60,OTE,7.60,000,7.60,7.60
38,2012-08-01,7.60,7.60,OTE,7.60,000,7.60,7.60
39,2012-07-31,7.60,7.60,OTE,7.60,000,7.60,7.60
40,2012-07-30,7.60,7.60,OTE,7.60,000,7.60,7.60
41,2012-07-27,7.60,7.60,OTE,7.60,000,7.60,7.60
42,2012-07-26,7.60,7.60,OTE,7.60,000,7.60,7.60
43,2012-07-25,7.60,7.60,OTE,7.60,000,7.60,7.60
44,2012-07-24,7.60,7.60,OTE,7.60,000,7.60,7.60
45,2012-07-23,7.60,7.60,OTE,7.60,000,7.60,7.60
46,2012-07-20,7.60,7.60,OTE,7.60,000,7.60,7.60
47,2012-07-19,7.60,7.60,OTE,7.60,000,7.60,7.60
48,2012-07-18,7.60,7.60,OTE,7.60,000,7.60,7.60
49,2012-07-17,7.60,7.60,OTE,7.60,000,7.60,7.60
50,2012-07-16,7.60,7.60,OTE,7.60,000,7.60,7.60
51,2012-07-13,7.60,7.60,OTE,7.60,000,7.60,7.60
52,2012-07-12,7.60,7.60,OTE,7.60,000,7.60,7.60
53,2012-07-11,7.60,7.60,OTE,7.60,000,7.60,7.60
