,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,BCE,2016-07-27,47.450001,47.040001,598500,47.630001,47.450001,47.630001
1,BCE,2016-07-26,47.709999,47.630001,592100,47.779999,47.709999,47.93
2,BCE,2016-07-25,47.650002,47.490002,836200,47.82,47.650002,47.959999
3,BCE,2016-07-22,47.990002,47.799999,752300,48.049999,47.990002,48.200001
4,BCE,2016-07-21,47.93,47.759998,680900,47.799999,47.93,48.110001
5,BCE,2016-07-20,47.790001,47.689999,772000,47.799999,47.790001,48.02
6,BCE,2016-07-19,47.880001,47.669998,788800,47.919998,47.880001,47.990002
7,BCE,2016-07-18,48.169998,47.919998,631600,48.130001,48.169998,48.310001
8,BCE,2016-07-15,48.299999,48.09,659900,48.650002,48.299999,48.68
9,BCE,2016-07-14,48.59,48.470001,900600,48.82,48.59,48.82
10,BCE,2016-07-13,48.279999,47.720001,1037700,47.860001,48.279999,48.400002
11,BCE,2016-07-12,48.009998,47.34,3053000,47.68,48.009998,48.209999
12,BCE,2016-07-11,47.169998,46.759998,1471100,47.00,47.169998,47.25
13,BCE,2016-07-08,46.950001,46.93,965400,47.419998,46.950001,47.599998
14,BCE,2016-07-07,47.369999,47.259998,682200,47.889999,47.369999,47.939999
15,BCE,2016-07-06,47.580002,46.93,847900,47.389999,47.580002,47.68
16,BCE,2016-07-05,47.470001,47.130001,838700,47.220001,47.470001,47.889999
17,BCE,2016-07-01,47.610001,47.220001,403800,47.310001,47.610001,47.650002
18,BCE,2016-06-30,47.310001,46.84,906200,46.970001,47.310001,47.41
19,BCE,2016-06-29,46.91,46.459999,773100,46.580002,46.91,46.990002
20,BCE,2016-06-28,46.259998,46.040001,802800,46.209999,46.259998,46.48
21,BCE,2016-06-27,46.07,45.490002,934500,45.639999,46.07,46.139999
22,BCE,2016-06-24,46.080002,45.689999,913800,45.75,46.080002,46.619999
23,BCE,2016-06-23,47.169998,46.880001,829000,46.98,47.169998,47.220001
24,BCE,2016-06-22,46.509998,46.470001,750800,46.77,46.509998,46.849998
25,BCE,2016-06-21,46.650002,46.150002,693200,46.450001,46.650002,46.810001
26,BCE,2016-06-20,46.279999,46.049999,873900,46.470001,46.279999,46.560001
27,BCE,2016-06-17,45.919998,45.689999,924100,45.869999,45.919998,46.07
28,BCE,2016-06-16,45.689999,44.779999,1075500,45.110001,45.689999,45.73
29,BCE,2016-06-15,45.689999,45.669998,810500,45.939999,45.689999,46.23
30,BCE,2016-06-14,46.009998,45.439999,839700,45.529999,46.009998,46.139999
31,BCE,2016-06-13,45.689999,45.630001,814600,46.040001,45.689999,46.369999
32,BCE,2016-06-10,46.919998,46.580002,979700,47.299999,46.385997,47.560001
33,BCE,2016-06-09,47.369999,47.07,624700,47.310001,46.830877,47.50
34,BCE,2016-06-08,47.459999,47.259998,796700,47.799999,46.919853,47.849998
35,BCE,2016-06-07,47.310001,47.110001,830900,47.380001,46.771562,47.459999
36,BCE,2016-06-06,47.27,46.93,922000,47.09,46.732016,47.400002
37,BCE,2016-06-03,46.950001,46.68,644800,46.849998,46.415659,47.040001
38,BCE,2016-06-02,46.18,45.990002,645400,46.00,45.654422,46.299999
39,BCE,2016-06-01,46.27,45.869999,826900,46.00,45.743397,46.299999
40,BCE,2016-05-31,46.040001,45.919998,1058100,46.509998,45.516016,46.549999
41,BCE,2016-05-27,46.400002,46.330002,768300,46.610001,45.871919,46.66
42,BCE,2016-05-26,46.84,46.59,781700,46.82,46.30691,46.98
43,BCE,2016-05-25,46.509998,46.23,950600,46.549999,45.980664,46.599998
44,BCE,2016-05-24,46.290001,46.09,900500,46.389999,45.76317,46.560001
45,BCE,2016-05-23,46.209999,45.93,566500,46.110001,45.684079,46.349998
46,BCE,2016-05-20,46.009998,45.779999,783700,45.939999,45.486354,46.209999
47,BCE,2016-05-19,45.779999,45.50,857100,45.93,45.258973,45.93
48,BCE,2016-05-18,46.169998,46.049999,2192500,46.330002,45.644533,46.779999
49,BCE,2016-05-17,46.68,46.200001,2049800,46.34,46.148731,46.779999
50,BCE,2016-05-16,46.540001,46.259998,651500,46.349998,46.010325,46.709999
51,BCE,2016-05-13,46.169998,46.099998,541600,46.259998,45.644533,46.490002
52,BCE,2016-05-12,46.549999,46.209999,628600,46.669998,46.02021,46.799999
53,BCE,2016-05-11,46.349998,46.049999,647600,46.080002,45.822485,46.419998
54,BCE,2016-05-10,46.189999,45.77,655400,45.84,45.664306,46.259998
55,BCE,2016-05-09,45.619999,45.419998,701600,45.73,45.100794,45.98
56,BCE,2016-05-06,45.919998,45.48,602900,45.650002,45.397379,46.049999
57,BCE,2016-05-05,45.889999,45.700001,711300,46.200001,45.367721,46.209999
58,BCE,2016-05-04,45.93,45.529999,747000,45.650002,45.407267,46.139999
59,BCE,2016-05-03,45.990002,45.810001,908700,46.349998,45.466585,46.669998
60,BCE,2016-05-02,46.779999,46.630001,964700,47.240002,46.247591,47.549999
61,BCE,2016-04-29,46.91,46.540001,683200,46.84,46.376113,47.23
62,BCE,2016-04-28,46.869999,46.080002,698900,46.110001,46.336567,47.02
63,BCE,2016-04-27,46.130001,45.73,767500,46.029999,45.604991,46.23
64,BCE,2016-04-26,45.880001,45.849998,626800,46.169998,45.357837,46.240002
65,BCE,2016-04-25,46.02,45.799999,564800,45.98,45.496243,46.150002
66,BCE,2016-04-22,46.130001,45.720001,785600,46.349998,45.604991,46.619999
67,BCE,2016-04-21,46.16,46.009998,674000,46.939999,45.634649,47.099998
68,BCE,2016-04-20,47.099998,46.91,650400,47.02,46.563949,47.450001
69,BCE,2016-04-19,47.18,46.740002,695100,46.970001,46.64304,47.18
70,BCE,2016-04-18,46.639999,46.18,556500,46.18,46.109185,46.66
71,BCE,2016-04-15,46.529999,46.400002,681600,46.619999,46.000437,46.860001
72,BCE,2016-04-14,46.619999,46.360001,473400,46.619999,46.089413,46.720001
73,BCE,2016-04-13,46.57,46.380001,780100,46.77,46.039982,46.810001
74,BCE,2016-04-12,46.639999,46.080002,849300,46.150002,46.109185,46.790001
75,BCE,2016-04-11,45.950001,45.889999,718400,46.23,45.42704,46.310001
76,BCE,2016-04-08,46.009998,45.84,712900,45.849998,45.486354,46.189999
77,BCE,2016-04-07,45.380001,45.00,524500,45.110001,44.863527,45.490002
78,BCE,2016-04-06,45.360001,44.939999,641100,45.27,44.843754,45.459999
79,BCE,2016-04-05,45.299999,44.939999,649500,45.34,44.784436,45.52
80,BCE,2016-04-04,45.849998,45.470001,619000,45.59,45.328176,45.990002
81,BCE,2016-04-01,45.68,44.939999,583000,45.099998,45.160112,45.68
82,BCE,2016-03-31,45.540001,45.490002,645200,45.990002,45.021706,46.130001
83,BCE,2016-03-30,45.860001,45.57,580000,45.73,45.338064,46.220001
84,BCE,2016-03-29,45.43,44.799999,626800,44.970001,44.912957,45.560001
85,BCE,2016-03-28,44.950001,44.68,537800,44.919998,44.438421,45.02
86,BCE,2016-03-24,44.82,44.34,802000,44.349998,44.309899,44.900002
87,BCE,2016-03-23,44.66,43.990002,761000,44.09,44.15172,44.759998
88,BCE,2016-03-22,44.610001,44.419998,557600,44.52,44.10229,44.849998
89,BCE,2016-03-21,44.610001,44.310001,673000,44.310001,44.10229,44.75
90,BCE,2016-03-18,44.380001,44.380001,997100,45.139999,43.874908,45.139999
91,BCE,2016-03-17,45.18,44.810001,1217800,44.950001,44.665803,45.419998
92,BCE,2016-03-16,44.509998,43.669998,792800,43.77,44.003426,44.669998
93,BCE,2016-03-15,43.799999,43.349998,566400,43.380001,43.301508,43.810001
94,BCE,2016-03-14,43.68,43.209999,866500,43.490002,43.182874,43.740002
95,BCE,2016-03-11,43.540001,43.470001,1035300,44.130001,43.044468,44.220001
96,BCE,2016-03-10,44.040001,43.669998,1142800,44.709999,43.033593,44.950001
97,BCE,2016-03-09,44.830002,43.639999,1331000,43.77,43.805541,44.869999
98,BCE,2016-03-08,43.560001,43.110001,942800,43.209999,42.564563,43.880001
99,BCE,2016-03-07,43.389999,42.790001,942400,42.959999,42.398446,43.700001
100,BCE,2016-03-04,43.18,42.279999,1030600,42.57,42.193246,43.27
101,BCE,2016-03-03,42.560001,42.380001,1208700,43.09,41.587415,43.189999
102,BCE,2016-03-02,43.040001,42.779999,661000,43.380001,42.056446,43.41
