,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,WBK,2016-07-27,23.139999,22.959999,129700,23.16,23.139999,23.209999
1,WBK,2016-07-26,23.290001,23.10,201200,23.110001,23.290001,23.290001
2,WBK,2016-07-25,22.879999,22.799999,98600,22.870001,22.879999,22.93
3,WBK,2016-07-22,22.799999,22.700001,108700,22.77,22.799999,22.860001
4,WBK,2016-07-21,22.790001,22.74,111700,22.92,22.790001,23.00
5,WBK,2016-07-20,22.790001,22.60,86200,22.799999,22.790001,22.85
6,WBK,2016-07-19,22.57,22.43,140200,22.48,22.57,22.58
7,WBK,2016-07-18,22.91,22.85,112800,22.92,22.91,22.98
8,WBK,2016-07-15,22.809999,22.76,144000,22.940001,22.809999,22.99
9,WBK,2016-07-14,22.77,22.700001,454600,22.940001,22.77,22.959999
10,WBK,2016-07-13,22.530001,22.48,129700,22.59,22.530001,22.65
11,WBK,2016-07-12,22.549999,22.48,138200,22.49,22.549999,22.700001
12,WBK,2016-07-11,22.09,22.02,118700,22.02,22.09,22.18
13,WBK,2016-07-08,21.620001,21.40,109600,21.50,21.620001,21.620001
14,WBK,2016-07-07,21.16,21.030001,175600,21.389999,21.16,21.40
15,WBK,2016-07-06,21.370001,20.959999,159700,21.09,21.370001,21.370001
16,WBK,2016-07-05,21.200001,21.139999,161900,21.34,21.200001,21.379999
17,WBK,2016-07-01,22.00,21.860001,162000,22.00,22.00,22.059999
18,WBK,2016-06-30,22.09,21.77,118100,21.82,22.09,22.09
19,WBK,2016-06-29,21.74,21.57,157000,21.60,21.74,21.790001
20,WBK,2016-06-28,21.379999,21.129999,330300,21.25,21.379999,21.440001
21,WBK,2016-06-27,20.459999,20.32,344600,20.950001,20.459999,20.950001
22,WBK,2016-06-24,21.379999,21.26,181500,21.33,21.379999,21.76
23,WBK,2016-06-23,22.67,22.49,203200,22.74,22.67,22.74
24,WBK,2016-06-22,22.18,22.17,101200,22.299999,22.18,22.43
