,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-27,2.69,2.79,MWW,2.79,716600,2.73,2.79
1,2016-07-26,2.67,2.73,MWW,2.73,1093200,2.67,2.81
2,2016-07-25,2.67,2.68,MWW,2.68,719200,2.74,2.80
3,2016-07-22,2.67,2.78,MWW,2.78,871900,2.74,2.79
4,2016-07-21,2.69,2.74,MWW,2.74,688600,2.69,2.79
5,2016-07-20,2.62,2.71,MWW,2.71,745000,2.70,2.72
6,2016-07-19,2.69,2.71,MWW,2.71,663800,2.71,2.74
7,2016-07-18,2.55,2.70,MWW,2.70,760300,2.59,2.72
8,2016-07-15,2.57,2.62,MWW,2.62,398300,2.65,2.65
9,2016-07-14,2.62,2.62,MWW,2.62,456100,2.70,2.71
10,2016-07-13,2.61,2.66,MWW,2.66,640000,2.72,2.76
11,2016-07-12,2.64,2.72,MWW,2.72,1066600,2.65,2.74
12,2016-07-11,2.41,2.63,MWW,2.63,2231400,2.56,2.66
13,2016-07-08,2.49,2.61,MWW,2.61,837600,2.50,2.62
14,2016-07-07,2.40,2.47,MWW,2.47,683700,2.40,2.50
15,2016-07-06,2.33,2.41,MWW,2.41,1397700,2.42,2.44
16,2016-07-05,2.33,2.44,MWW,2.44,2364100,2.37,2.45
17,2016-07-01,2.35,2.37,MWW,2.37,2236700,2.40,2.44
18,2016-06-30,2.28,2.39,MWW,2.39,624400,2.32,2.40
19,2016-06-29,2.23,2.33,MWW,2.33,1006900,2.27,2.35
20,2016-06-28,2.13,2.25,MWW,2.25,1550200,2.30,2.34
21,2016-06-27,2.26,2.27,MWW,2.27,1555400,2.45,2.48
22,2016-06-24,2.47,2.52,MWW,2.52,1700500,2.63,2.63
23,2016-06-23,2.62,2.69,MWW,2.69,795500,2.64,2.74
24,2016-06-22,2.54,2.60,MWW,2.60,769200,2.56,2.62
25,2016-06-21,2.55,2.58,MWW,2.58,575200,2.60,2.64
26,2016-06-20,2.57,2.59,MWW,2.59,1072600,2.67,2.74
27,2016-06-17,2.63,2.65,MWW,2.65,2389500,2.67,2.76
28,2016-06-16,2.54,2.66,MWW,2.66,747100,2.64,2.67
29,2016-06-15,2.65,2.66,MWW,2.66,567800,2.70,2.73
30,2016-06-14,2.62,2.70,MWW,2.70,664500,2.75,2.77
31,2016-06-13,2.70,2.75,MWW,2.75,988500,2.70,2.85
32,2016-06-10,2.68,2.71,MWW,2.71,1060900,2.74,2.75
33,2016-06-09,2.75,2.76,MWW,2.76,1162500,2.86,2.86
34,2016-06-08,2.83,2.90,MWW,2.90,1576000,2.84,2.97
35,2016-06-07,2.71,2.84,MWW,2.84,769900,2.73,2.85
36,2016-06-06,2.70,2.73,MWW,2.73,1043000,2.70,2.74
37,2016-06-03,2.69,2.70,MWW,2.70,813400,2.69,2.73
38,2016-06-02,2.67,2.70,MWW,2.70,1320900,2.69,2.72
39,2016-06-01,2.59,2.69,MWW,2.69,1019900,2.60,2.70
40,2016-05-31,2.60,2.65,MWW,2.65,1255600,2.72,2.75
41,2016-05-27,2.54,2.71,MWW,2.71,843900,2.54,2.75
42,2016-05-26,2.55,2.55,MWW,2.55,1163700,2.61,2.67
43,2016-05-25,2.53,2.62,MWW,2.62,1830800,2.53,2.62
44,2016-05-24,2.46,2.53,MWW,2.53,3386900,2.59,2.61
45,2016-05-23,2.57,2.57,MWW,2.57,876800,2.60,2.66
46,2016-05-20,2.58,2.61,MWW,2.61,897200,2.61,2.69
47,2016-05-19,2.57,2.60,MWW,2.60,1064900,2.74,2.78
48,2016-05-18,2.68,2.75,MWW,2.75,979900,2.72,2.79
49,2016-05-17,2.71,2.74,MWW,2.74,1726000,2.74,2.86
50,2016-05-16,2.62,2.75,MWW,2.75,1518200,2.66,2.78
51,2016-05-13,2.55,2.66,MWW,2.66,2301000,2.58,2.73
52,2016-05-12,2.55,2.60,MWW,2.60,1001900,2.71,2.72
53,2016-05-11,2.70,2.70,MWW,2.70,1070100,2.81,2.81
54,2016-05-10,2.71,2.82,MWW,2.82,1139600,2.82,2.83
55,2016-05-09,2.71,2.82,MWW,2.82,868300,2.82,2.87
56,2016-05-06,2.68,2.83,MWW,2.83,1471600,2.69,2.86
57,2016-05-05,2.58,2.76,MWW,2.76,7887900,3.00,3.06
58,2016-05-04,3.01,3.06,MWW,3.06,2613000,3.17,3.25
59,2016-05-03,3.16,3.20,MWW,3.20,838100,3.26,3.28
60,2016-05-02,3.16,3.29,MWW,3.29,1402600,3.21,3.32
61,2016-04-29,3.16,3.20,MWW,3.20,3747400,3.28,3.37
62,2016-04-28,3.28,3.28,MWW,3.28,796300,3.40,3.48
63,2016-04-27,3.37,3.41,MWW,3.41,1136800,3.41,3.50
64,2016-04-26,3.30,3.43,MWW,3.43,1546900,3.30,3.47
65,2016-04-25,3.23,3.30,MWW,3.30,1470700,3.25,3.30
66,2016-04-22,3.22,3.25,MWW,3.25,1776500,3.28,3.32
67,2016-04-21,3.04,3.28,MWW,3.28,1331100,3.11,3.33
68,2016-04-20,3.25,3.26,MWW,3.26,867100,3.29,3.40
69,2016-04-19,3.24,3.28,MWW,3.28,1544000,3.25,3.39
70,2016-04-18,3.17,3.22,MWW,3.22,1179300,3.19,3.28
71,2016-04-15,3.19,3.19,MWW,3.19,542900,3.20,3.24
72,2016-04-14,3.17,3.21,MWW,3.21,1231000,3.19,3.28
73,2016-04-13,3.16,3.18,MWW,3.18,2067600,3.28,3.33
74,2016-04-12,3.16,3.25,MWW,3.25,873700,3.21,3.31
75,2016-04-11,3.10,3.21,MWW,3.21,963000,3.13,3.25
76,2016-04-08,3.08,3.10,MWW,3.10,510100,3.22,3.25
77,2016-04-07,3.14,3.17,MWW,3.17,1140900,3.16,3.37
78,2016-04-06,2.92,3.16,MWW,3.16,2154300,3.02,3.19
