,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,600076.SS,2016-07-28,13.94,13.60,7044500,14.00,13.94,14.05
1,600076.SS,2016-07-27,13.92,13.50,10325700,14.60,13.92,14.65
2,600076.SS,2016-07-26,14.53,14.38,4525200,14.46,14.53,14.60
3,600076.SS,2016-07-25,14.46,14.13,7326200,14.35,14.46,14.58
4,600076.SS,2016-07-22,14.31,14.03,10587700,14.45,14.31,14.65
5,600076.SS,2016-07-21,14.60,14.02,23805500,14.84,14.60,14.84
6,600076.SS,2016-07-20,14.77,14.40,12575000,14.79,14.77,15.07
7,600076.SS,2016-07-19,14.83,14.60,24440300,15.70,14.83,15.70
8,600076.SS,2016-07-18,15.80,15.20,18075100,15.90,15.80,16.06
9,600076.SS,2016-07-15,15.99,15.33,13774000,15.70,15.99,16.10
10,600076.SS,2016-07-14,15.63,14.73,15331000,14.92,15.63,15.70
11,600076.SS,2016-07-13,15.04,14.93,7581800,15.05,15.04,15.23
12,600076.SS,2016-07-12,14.96,14.72,7873500,14.93,14.96,15.06
13,600076.SS,2016-07-11,14.91,14.70,8437200,14.95,14.91,15.13
14,600076.SS,2016-07-08,14.81,14.80,9427500,15.27,14.81,15.27
15,600076.SS,2016-07-07,15.26,14.92,15819700,14.96,15.26,15.46
16,600076.SS,2016-07-06,14.81,14.66,7543600,15.01,14.81,15.02
17,600076.SS,2016-07-05,14.99,14.62,12233500,14.90,14.99,15.14
18,600076.SS,2016-07-04,14.83,14.52,12849300,14.79,14.83,15.15
19,600076.SS,2016-07-01,14.79,14.65,14870800,15.12,14.79,15.14
20,600076.SS,2016-06-30,15.15,14.31,33557300,14.78,15.15,15.54
21,600076.SS,2016-06-29,14.61,13.26,30166400,13.36,14.61,14.61
22,600076.SS,2016-06-28,13.28,13.15,7176100,13.26,13.28,13.40
23,600076.SS,2016-06-27,13.26,12.80,10542400,12.90,13.26,13.28
24,600076.SS,2016-06-24,12.91,12.44,10715900,12.91,12.91,13.05
25,600076.SS,2016-06-23,13.01,12.85,8830500,13.25,13.01,13.32
26,600076.SS,2016-06-22,13.14,12.85,10529400,12.90,13.14,13.17
27,600076.SS,2016-06-21,12.90,12.70,5815700,12.89,12.90,12.98
28,600076.SS,2016-06-20,12.77,12.66,7165500,13.00,12.77,13.01
29,600076.SS,2016-06-17,12.96,12.89,5911800,12.90,12.96,13.25
30,600076.SS,2016-06-16,12.93,12.79,7515600,12.95,12.93,13.09
31,600076.SS,2016-06-15,12.95,12.26,8265700,12.45,12.95,13.00
32,600076.SS,2016-06-14,12.55,12.16,9245000,12.65,12.55,12.67
33,600076.SS,2016-06-13,12.57,12.30,8710700,13.11,12.57,13.12
34,600076.SS,2016-06-10,13.27,13.27,000,13.27,13.27,13.27
35,600076.SS,2016-06-09,13.27,13.27,000,13.27,13.27,13.27
36,600076.SS,2016-06-08,13.27,13.03,9136700,13.31,13.27,13.35
37,600076.SS,2016-06-07,13.29,13.10,8433000,13.16,13.29,13.35
38,600076.SS,2016-06-06,13.18,13.03,12905300,13.18,13.18,13.32
39,600076.SS,2016-06-03,13.09,12.80,10846000,13.14,13.09,13.20
40,600076.SS,2016-06-02,13.06,12.80,14106900,13.30,13.06,13.30
41,600076.SS,2016-06-01,13.34,13.07,12430800,13.33,13.34,13.37
42,600076.SS,2016-05-31,13.32,12.89,15359200,12.89,13.32,13.34
43,600076.SS,2016-05-30,12.89,12.72,11363700,12.72,12.89,13.16
44,600076.SS,2016-05-27,12.84,12.80,7017500,12.91,12.84,13.09
45,600076.SS,2016-05-26,12.99,12.66,14932600,13.20,12.99,13.30
46,600076.SS,2016-05-25,13.04,12.75,17339100,12.88,13.04,13.13
47,600076.SS,2016-05-24,12.79,12.50,10196700,12.69,12.79,12.89
48,600076.SS,2016-05-23,12.68,12.28,11300600,12.31,12.68,12.86
49,600076.SS,2016-05-20,12.31,11.74,9161200,11.97,12.31,12.34
50,600076.SS,2016-05-19,12.02,11.60,9732900,11.99,12.02,12.12
51,600076.SS,2016-05-18,11.94,11.60,11225400,12.14,11.94,12.29
52,600076.SS,2016-05-17,12.22,12.17,10378300,12.20,12.22,12.60
53,600076.SS,2016-05-16,12.20,12.00,7224700,12.23,12.20,12.32
54,600076.SS,2016-05-13,12.23,12.11,5695500,12.21,12.23,12.37
55,600076.SS,2016-05-12,12.10,11.66,5950300,11.92,12.10,12.25
56,600076.SS,2016-05-11,12.18,12.03,6134200,12.40,12.18,12.43
57,600076.SS,2016-05-10,12.34,12.00,6784200,12.19,12.34,12.36
58,600076.SS,2016-05-09,12.19,12.00,9838500,12.50,12.19,12.64
59,600076.SS,2016-05-06,12.71,12.49,18763300,13.20,12.71,13.64
60,600076.SS,2016-05-05,13.18,13.03,7448000,13.29,13.18,13.49
61,600076.SS,2016-05-04,13.30,12.96,12670800,13.13,13.30,13.42
62,600076.SS,2016-05-03,13.15,12.50,10790900,12.50,13.15,13.26
63,600076.SS,2016-05-02,12.64,12.64,000,12.64,12.64,12.64
64,600076.SS,2016-04-29,12.64,12.43,6486400,12.51,12.64,12.79
65,600076.SS,2016-04-28,12.64,12.40,13296000,12.70,12.64,13.18
66,600076.SS,2016-04-27,12.75,12.74,20556900,13.17,12.75,13.57
67,600076.SS,2016-04-26,13.04,12.35,16848500,12.45,13.04,13.15
68,600076.SS,2016-04-25,12.41,12.30,8832100,12.50,12.41,12.80
69,600076.SS,2016-04-22,12.56,11.88,16789100,11.91,12.56,12.75
70,600076.SS,2016-04-21,12.01,11.66,12939800,11.90,12.01,12.18
71,600076.SS,2016-04-20,11.66,11.10,15156200,12.07,11.66,12.20
72,600076.SS,2016-04-19,12.03,11.90,7891100,11.99,12.03,12.18
73,600076.SS,2016-04-18,11.98,11.80,9999500,12.43,11.98,12.44
74,600076.SS,2016-04-15,12.43,12.22,9162600,12.39,12.43,12.64
75,600076.SS,2016-04-14,12.41,12.12,15403100,12.45,12.41,12.64
76,600076.SS,2016-04-13,12.54,12.45,16324700,12.66,12.54,12.87
77,600076.SS,2016-04-12,12.73,12.28,12938500,12.68,12.73,12.87
78,600076.SS,2016-04-11,12.72,12.00,15987000,12.00,12.72,12.78
79,600076.SS,2016-04-08,11.89,11.79,12023800,11.88,11.89,12.30
80,600076.SS,2016-04-07,12.10,11.77,15810000,12.06,12.10,12.41
81,600076.SS,2016-04-06,12.04,11.82,16753700,11.94,12.04,12.18
82,600076.SS,2016-04-05,12.04,11.31,21159800,11.32,12.04,12.18
83,600076.SS,2016-04-04,11.39,11.39,000,11.39,11.39,11.39
84,600076.SS,2016-04-01,11.39,10.81,23494300,11.15,11.39,11.87
85,600076.SS,2016-03-31,11.25,11.08,20144500,11.08,11.25,11.49
86,600076.SS,2016-03-30,11.15,10.70,20746800,10.70,11.15,11.16
87,600076.SS,2016-03-29,10.68,10.66,29463400,10.70,10.68,11.25
