,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,5.83,5.98,600550.SS,5.98,6871000,5.95,5.98
1,2016-07-27,5.82,5.93,600550.SS,5.93,12778200,6.27,6.33
2,2016-07-26,6.18,6.27,600550.SS,6.27,6351400,6.22,6.28
3,2016-07-25,6.18,6.21,600550.SS,6.21,5912400,6.23,6.27
4,2016-07-22,6.21,6.23,600550.SS,6.23,6800300,6.23,6.34
5,2016-07-21,6.21,6.23,600550.SS,6.23,5241100,6.22,6.28
6,2016-07-20,6.22,6.23,600550.SS,6.23,3720200,6.27,6.29
7,2016-07-19,6.18,6.27,600550.SS,6.27,4254900,6.18,6.29
8,2016-07-18,6.19,6.21,600550.SS,6.21,6561600,6.30,6.31
9,2016-07-15,6.29,6.30,600550.SS,6.30,7216000,6.39,6.44
10,2016-07-14,6.20,6.39,600550.SS,6.39,11648000,6.28,6.42
11,2016-07-13,6.27,6.29,600550.SS,6.29,9255400,6.36,6.37
12,2016-07-12,6.18,6.33,600550.SS,6.33,15476200,6.27,6.39
13,2016-07-11,6.02,6.28,600550.SS,6.28,25243400,6.04,6.55
14,2016-07-08,6.00,6.04,600550.SS,6.04,5942400,6.03,6.08
15,2016-07-07,6.02,6.05,600550.SS,6.05,8030100,6.06,6.12
16,2016-07-06,5.99,6.06,600550.SS,6.06,8294500,6.08,6.08
17,2016-07-05,5.99,6.10,600550.SS,6.10,10373900,6.02,6.12
18,2016-07-04,5.80,6.03,600550.SS,6.03,10428400,5.93,6.05
19,2016-07-01,5.87,5.91,600550.SS,5.91,5308200,5.89,5.95
20,2016-06-30,5.85,5.89,600550.SS,5.89,5588800,5.89,5.97
21,2016-06-29,5.87,5.89,600550.SS,5.89,6379800,5.92,5.94
22,2016-06-28,5.76,5.90,600550.SS,5.90,6370800,5.80,5.91
23,2016-06-27,5.68,5.83,600550.SS,5.83,5950000,5.68,5.85
24,2016-06-24,5.55,5.66,600550.SS,5.66,6087100,5.78,5.84
25,2016-06-23,5.74,5.78,600550.SS,5.78,5493200,5.76,5.81
26,2016-06-22,5.71,5.80,600550.SS,5.80,5201700,5.77,5.81
27,2016-06-21,5.73,5.76,600550.SS,5.76,5122300,5.83,5.88
28,2016-06-20,5.73,5.82,600550.SS,5.82,4671200,5.82,5.83
29,2016-06-17,5.72,5.85,600550.SS,5.85,6715600,5.77,5.85
30,2016-06-16,5.66,5.75,600550.SS,5.75,7524900,5.71,5.83
31,2016-06-15,5.48,5.75,600550.SS,5.75,7228200,5.50,5.78
32,2016-06-14,5.52,5.59,600550.SS,5.59,5929400,5.54,5.63
33,2016-06-13,5.56,5.58,600550.SS,5.58,7241900,5.84,5.87
34,2016-06-10,5.93,5.93,600550.SS,5.93,000,5.93,5.93
35,2016-06-09,5.93,5.93,600550.SS,5.93,000,5.93,5.93
36,2016-06-08,5.83,5.93,600550.SS,5.93,6582000,5.97,5.97
37,2016-06-07,5.90,5.97,600550.SS,5.97,5356400,5.98,6.01
38,2016-06-06,5.94,5.98,600550.SS,5.98,6058400,6.05,6.07
39,2016-06-03,5.99,6.02,600550.SS,6.02,9588900,6.05,6.11
40,2016-06-02,5.92,6.02,600550.SS,6.02,7755900,5.99,6.04
41,2016-06-01,5.91,5.98,600550.SS,5.98,8872200,5.93,6.08
42,2016-05-31,5.74,5.95,600550.SS,5.95,9238300,5.75,5.96
43,2016-05-30,5.67,5.74,600550.SS,5.74,3607500,5.80,5.80
44,2016-05-27,5.68,5.81,600550.SS,5.81,5767000,5.78,5.85
45,2016-05-26,5.60,5.77,600550.SS,5.77,6888200,5.78,5.82
46,2016-05-25,5.74,5.78,600550.SS,5.78,4235700,5.84,5.89
47,2016-05-24,5.78,5.82,600550.SS,5.82,5735800,5.92,5.93
48,2016-05-23,5.84,5.93,600550.SS,5.93,6808900,5.88,5.96
49,2016-05-20,5.61,5.86,600550.SS,5.86,7271300,5.74,5.86
50,2016-05-19,5.76,5.80,600550.SS,5.80,8607700,5.88,5.94
51,2016-05-18,5.68,5.87,600550.SS,5.87,12245900,6.13,6.13
52,2016-05-17,6.08,6.15,600550.SS,6.15,9535600,6.20,6.21
