,Date,Symbol,High,Adj_Close,Volume,Open,Close,Low
0,2016-07-27,WFT.TO,46.299999,46.07,373300,45.130001,46.07,45.029999
1,2016-07-26,WFT.TO,46.290001,44.66,342300,45.93,44.66,44.330002
2,2016-07-25,WFT.TO,45.959999,45.75,485700,44.580002,45.75,44.50
3,2016-07-22,WFT.TO,43.889999,43.849998,588600,42.799999,43.849998,41.52
4,2016-07-21,WFT.TO,44.43,43.810001,279900,43.669998,43.810001,43.360001
5,2016-07-20,WFT.TO,43.669998,43.610001,448000,42.259998,43.610001,42.220001
6,2016-07-19,WFT.TO,42.610001,42.439999,314900,41.23,42.439999,41.130001
7,2016-07-18,WFT.TO,41.59,41.57,385400,40.369999,41.57,40.189999
8,2016-07-15,WFT.TO,40.82,40.50,577300,38.07,40.50,38.02
9,2016-07-14,WFT.TO,38.16,38.049999,740400,37.00,38.049999,36.189999
10,2016-07-13,WFT.TO,37.299999,36.389999,393700,37.290001,36.389999,35.939999
11,2016-07-12,WFT.TO,37.709999,37.080002,613100,37.299999,37.080002,36.84
12,2016-07-11,WFT.TO,37.77,37.119999,515000,37.52,37.119999,36.740002
13,2016-07-08,WFT.TO,37.400002,37.200001,456900,36.450001,37.200001,36.27
14,2016-07-07,WFT.TO,36.98,36.189999,275400,36.619999,36.189999,35.919998
15,2016-07-06,WFT.TO,37.119999,36.700001,275800,37.00,36.700001,36.450001
16,2016-07-05,WFT.TO,37.669998,37.209999,213000,37.529999,37.209999,36.419998
17,2016-07-04,WFT.TO,38.450001,37.939999,128700,38.450001,37.939999,37.459999
18,2016-06-30,WFT.TO,38.360001,37.77,494400,36.700001,37.77,35.919998
19,2016-06-29,WFT.TO,37.060001,36.50,594300,36.75,36.50,36.419998
20,2016-06-28,WFT.TO,37.830002,36.389999,342400,36.77,36.389999,36.220001
21,2016-06-27,WFT.TO,37.41,36.220001,307900,37.220001,36.220001,35.349998
22,2016-06-24,WFT.TO,38.799999,37.580002,390400,37.939999,37.580002,37.240002
23,2016-06-23,WFT.TO,40.240002,39.010003,254800,39.57,39.080002,38.889999
24,2016-06-22,WFT.TO,39.93,39.059912,330200,39.41,39.130001,38.919998
25,2016-06-21,WFT.TO,40.139999,39.23959,245300,39.669998,39.310001,38.950001
26,2016-06-20,WFT.TO,40.240002,39.139767,445700,38.560001,39.209999,38.560001
27,2016-06-17,WFT.TO,38.75,37.812151,682000,38.389999,37.880001,36.830002
28,2016-06-16,WFT.TO,39.669998,39.509107,330800,38.599998,39.580002,38.400002
29,2016-06-15,WFT.TO,39.73,38.680592,337200,38.740002,38.75,38.25
30,2016-06-14,WFT.TO,39.450001,38.490934,328700,39.450001,38.560001,38.049999
31,2016-06-13,WFT.TO,39.939999,39.309464,299900,39.91,39.380001,39.200001
32,2016-06-10,WFT.TO,41.040001,40.078086,294300,40.700001,40.150002,39.84
33,2016-06-09,WFT.TO,42.099998,41.136185,335600,42.00,41.209999,40.709999
34,2016-06-08,WFT.TO,43.540001,42.184303,194100,43.509998,42.259998,42.009998
35,2016-06-07,WFT.TO,43.700001,43.152567,163900,42.50,43.23,42.18
36,2016-06-06,WFT.TO,43.759998,42.433855,195500,43.299999,42.509998,42.349998
37,2016-06-03,WFT.TO,44.889999,43.372174,212700,44.889999,43.450001,43.200001
38,2016-06-02,WFT.TO,44.970001,44.540077,168800,44.349998,44.619999,44.009998
39,2016-06-01,WFT.TO,45.709999,44.440257,282000,44.939999,44.52,44.400002
40,2016-05-31,WFT.TO,45.650002,44.719754,350800,45.00,44.799999,44.580002
41,2016-05-30,WFT.TO,45.610001,44.919397,115900,44.360001,45.00,44.360001
42,2016-05-27,WFT.TO,45.349998,44.669845,266800,43.709999,44.75,43.529999
43,2016-05-26,WFT.TO,44.009998,43.661655,227200,43.25,43.740002,42.779999
44,2016-05-25,WFT.TO,43.200001,42.962909,283400,41.029999,43.040001,40.900002
45,2016-05-24,WFT.TO,41.459999,40.647064,376600,40.049999,40.720001,40.00
46,2016-05-20,WFT.TO,40.259998,39.908388,243700,39.25,39.98,39.200001
47,2016-05-19,WFT.TO,40.139999,38.890215,406800,40.139999,38.959999,38.450001
48,2016-05-18,WFT.TO,41.349998,39.968282,329400,41.32,40.040001,39.790001
49,2016-05-17,WFT.TO,43.16,41.245988,256800,42.919998,41.32,40.810001
50,2016-05-16,WFT.TO,43.450001,42.773246,208600,42.849998,42.849998,42.689999
51,2016-05-13,WFT.TO,43.700001,42.383946,207200,42.689999,42.459999,42.119999
52,2016-05-12,WFT.TO,43.73,42.523694,228800,43.439999,42.599998,42.040001
53,2016-05-11,WFT.TO,44.830002,43.352209,250600,44.740002,43.43,42.990002
54,2016-05-10,WFT.TO,44.689999,44.300509,336000,42.23,44.380001,42.080002
55,2016-05-09,WFT.TO,42.299999,41.705163,191200,42.16,41.779999,41.080002
56,2016-05-06,WFT.TO,42.529999,42.274142,335700,40.00,42.349998,40.00
57,2016-05-05,WFT.TO,40.470001,39.878443,438400,40.25,39.950001,39.509998
58,2016-05-04,WFT.TO,41.950001,39.918372,346200,40.66,39.990002,39.860001
59,2016-05-03,WFT.TO,41.560001,40.587171,388400,41.52,40.66,39.889999
60,2016-05-02,WFT.TO,42.700001,41.725128,273000,41.369999,41.799999,41.369999
61,2016-04-29,WFT.TO,41.439999,41.265953,338600,39.900002,41.34,39.900002
62,2016-04-28,WFT.TO,43.110001,39.808569,559100,43.00,39.880001,39.860001
63,2016-04-27,WFT.TO,43.889999,43.062728,245700,43.82,43.139999,42.259998
64,2016-04-26,WFT.TO,44.200001,43.74151,490200,42.130001,43.82,42.130001
65,2016-04-25,WFT.TO,41.700001,40.746884,160300,41.279999,40.82,40.790001
66,2016-04-22,WFT.TO,42.869999,41.245988,393700,42.43,41.32,40.66
67,2016-04-21,WFT.TO,42.720001,42.413894,386200,41.889999,42.490002,41.709999
68,2016-04-20,WFT.TO,44.43,41.665238,857000,44.299999,41.740002,40.639999
69,2016-04-19,WFT.TO,45.57,44.320473,307600,45.57,44.400002,44.00
70,2016-04-18,WFT.TO,45.849998,45.478395,114000,44.509998,45.560001,44.509998
71,2016-04-15,WFT.TO,45.380001,44.719754,81900,45.16,44.799999,44.59
72,2016-04-14,WFT.TO,46.25,45.019216,295600,46.23,45.099998,44.84
73,2016-04-13,WFT.TO,46.57,45.917606,146100,46.509998,46.00,45.689999
74,2016-04-12,WFT.TO,47.240002,46.03739,145700,46.470001,46.119999,45.639999
75,2016-04-11,WFT.TO,46.130001,45.857712,177900,45.439999,45.939999,44.509998
76,2016-04-08,WFT.TO,47.700001,45.148985,280300,47.700001,45.23,44.950001
77,2016-04-07,WFT.TO,48.27,47.634526,230600,48.27,47.720001,46.450001
78,2016-04-06,WFT.TO,49.900002,48.742539,181200,48.740002,48.830002,48.23
79,2016-04-05,WFT.TO,49.580002,48.443073,156500,49.02,48.529999,48.529999
80,2016-04-04,WFT.TO,51.709999,49.421317,112000,51.709999,49.509998,49.400002
81,2016-04-01,WFT.TO,53.419998,51.068363,317000,51.779999,51.16,50.869999
82,2016-03-31,WFT.TO,53.900002,52.016662,500000,53.900002,52.110001,51.990002
83,2016-03-30,WFT.TO,54.18,53.813437,578600,52.02,53.91,52.02
84,2016-03-29,WFT.TO,52.060001,51.886894,304200,49.43,51.98,48.48
85,2016-03-28,WFT.TO,49.189999,49.032016,132500,47.639999,49.119999,46.889999
86,2016-03-24,WFT.TO,48.09,47.434884,219300,46.310001,47.52,46.310001
87,2016-03-23,WFT.TO,49.790001,47.365009,264400,49.700001,47.450001,47.049999
88,2016-03-22,WFT.TO,50.169998,49.610979,241400,49.450001,49.700001,49.310001
89,2016-03-21,WFT.TO,50.689999,49.810622,427200,49.150002,49.900002,49.00
90,2016-03-18,WFT.TO,50.560001,49.241643,259000,49.369999,49.330002,48.75
91,2016-03-17,WFT.TO,49.490002,49.291553,204700,46.599998,49.380001,46.50
92,2016-03-16,WFT.TO,46.720001,46.436675,404800,45.810001,46.59,45.810001
93,2016-03-15,WFT.TO,46.619999,45.639308,209400,46.450001,45.790001,45.560001
94,2016-03-14,WFT.TO,47.310001,46.845325,288700,46.889999,47.00,46.23
95,2016-03-11,WFT.TO,47.360001,47.094503,377300,46.700001,47.25,45.700001
96,2016-03-10,WFT.TO,47.02,45.838651,246100,45.880001,45.990002,45.459999
97,2016-03-09,WFT.TO,48.110001,46.197463,395000,48.110001,46.349998,45.810001
98,2016-03-08,WFT.TO,48.880001,47.78223,460900,46.32,47.939999,46.290001
99,2016-03-07,WFT.TO,47.32,46.596148,249500,46.34,46.75,46.27
100,2016-03-04,WFT.TO,46.599998,46.287167,403300,44.16,46.439999,44.060001
101,2016-03-03,WFT.TO,43.799999,43.476448,252600,42.380001,43.619999,42.380001
102,2016-03-02,WFT.TO,43.43,42.509642,227900,42.669998,42.650002,42.07
103,2016-03-01,WFT.TO,42.880001,42.509642,292700,42.400002,42.650002,41.459999
104,2016-02-29,WFT.TO,41.939999,41.692341,179900,41.380001,41.830002,40.77
105,2016-02-26,WFT.TO,41.099998,40.795302,92700,39.970001,40.93,39.810001
106,2016-02-25,WFT.TO,39.66,39.300238,220000,39.41,39.43,38.080002
107,2016-02-24,WFT.TO,39.77,39.230469,187900,39.50,39.360001,38.880001
108,2016-02-23,WFT.TO,41.130001,39.688954,129600,41.119999,39.82,39.77
109,2016-02-22,WFT.TO,42.259998,41.03451,163000,41.400002,41.169998,41.049999
110,2016-02-19,WFT.TO,41.240002,40.765402,342800,39.990002,40.900002,39.009998
111,2016-02-18,WFT.TO,40.849998,40.127505,184900,40.790001,40.259998,39.450001
112,2016-02-17,WFT.TO,41.290001,40.416551,404500,39.650002,40.549999,39.650002
113,2016-02-16,WFT.TO,42.529999,40.217209,395700,42.50,40.349998,39.080002
114,2016-02-12,WFT.TO,41.990002,40.835171,311700,40.630001,40.970001,40.27
115,2016-02-11,WFT.TO,42.869999,41.692341,160400,42.50,41.830002,40.25
116,2016-02-10,WFT.TO,44.200001,42.609312,208500,43.43,42.75,42.639999
117,2016-02-09,WFT.TO,43.139999,42.71895,209100,42.990002,42.860001,41.77
118,2016-02-08,WFT.TO,45.389999,43.356844,186600,45.150002,43.50,42.970001
119,2016-02-05,WFT.TO,47.389999,46.247301,215200,47.369999,46.400002,45.759998
