Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-12-23,17.0,20.0,16.75,18.5,180500,0,0
2004-12-27,20.399999618530273,23.0,20.100000381469727,22.950000762939453,193119,0,0
2004-12-28,23.649999618530273,26.0,23.0,24.799999237060547,183682,0,0
2004-12-29,25.0,25.25,23.0,23.649999618530273,77647,0,0
2004-12-30,22.950000762939453,23.0,21.649999618530273,21.75,79199,0,0
2004-12-31,22.049999237060547,23.25,22.049999237060547,23.0,33056,0,0
2005-01-03,23.25,24.200000762939453,23.0,23.5,41957,0,0
2005-01-04,23.5,23.600000381469727,23.0,23.100000381469727,16333,0,0
2005-01-05,23.25,23.25,22.600000381469727,23.0,14943,0,0
2005-01-06,22.25,22.649999618530273,22.100000381469727,22.25,13216,0,0
2005-01-07,22.25,22.75,22.25,22.5,6291,0,0
2005-01-10,22.299999237060547,22.299999237060547,21.200000762939453,21.399999618530273,13135,0,0
2005-01-11,21.149999618530273,21.149999618530273,20.149999618530273,20.149999618530273,27965,0,0
2005-01-12,20.0,20.450000762939453,20.0,20.25,10522,0,0
2005-01-13,20.450000762939453,20.5,20.0,20.100000381469727,8086,0,0
2005-01-14,20.149999618530273,20.200000762939453,19.5,19.850000381469727,16813,0,0
2005-01-18,18.850000381469727,19.0,18.0,18.350000381469727,19537,0,0
2005-01-19,18.25,19.799999237060547,18.049999237060547,19.649999618530273,29762,0,0
2005-01-20,19.5,19.5,18.899999618530273,19.100000381469727,6401,0,0
2005-01-21,19.25,19.399999618530273,18.600000381469727,19.049999237060547,6546,0,0
2005-01-24,19.100000381469727,19.100000381469727,18.5,19.0,5015,0,0
2005-01-25,19.100000381469727,20.450000762939453,19.0,20.399999618530273,30789,0,0
2005-01-26,21.0,21.450000762939453,20.049999237060547,20.600000381469727,36700,0,0
2005-01-27,20.649999618530273,20.75,20.0,20.450000762939453,18821,0,0
2005-01-28,20.600000381469727,20.600000381469727,20.200000762939453,20.5,9580,0,0
