Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1989-10-04,1.750862693786621,1.8062697410583495,1.7286998748779296,1.7730255126953125,20636000,0.0,0.0
1989-10-05,1.7841084343014342,1.8616783662275835,1.7730270154548415,1.8284341096878052,6453600,0.0,0.0
1989-10-06,1.8395147221220052,1.8616775500993787,1.8062704801559448,1.8062704801559448,2755200,0.0,0.0
1989-10-09,1.8062704801559448,1.8062704801559448,1.7730262381898845,1.8062704801559448,1084000,0.0,0.0
1989-10-10,1.8173506436524567,1.8173506436524567,1.7730250181975187,1.7951878309249878,1493600,0.0,0.0
1989-10-11,1.7730256785517153,1.7841070890426636,1.7508628575698189,1.7841070890426636,1260000,0.0,0.0
1989-10-12,1.7841064245612532,1.8062692372887221,1.7841064245612532,1.7951878309249878,602400,0.0,0.0
1989-10-13,1.7951892546887669,1.7951892546887669,1.7508635940791677,1.7619450092315674,3970400,0.0,0.0
1989-10-16,1.684375177455854,1.7508636713027956,1.684375177455854,1.7508636713027954,3924800,0.0,0.0
1989-10-17,1.7286998748779296,1.7730255126953125,1.7286998748779296,1.7730255126953125,1843200,0.0,0.0
1989-10-18,1.7730262381898845,1.8173518941446316,1.7619448242011977,1.8062704801559448,1128000,0.0,0.0
1989-10-19,1.795189066167258,1.8062704801559448,1.795189066167258,1.8062704801559448,1040000,0.0,0.0
1989-10-20,1.7951878309249878,1.7951878309249878,1.7841064245612532,1.7951878309249878,237600,0.0,0.0
1989-10-23,1.8062704801559448,1.8173518941446316,1.8062704801559448,1.8062704801559448,87200,0.0,0.0
1989-10-24,1.80627040455981,1.8173518180847168,1.795188991034903,1.8173518180847168,689600,0.0,0.0
1989-10-25,1.8062704801559448,1.8284333081333184,1.7841076521785713,1.8062704801559448,608000,0.0,0.0
1989-10-26,1.8062704801559448,1.8173518941446316,1.8062704801559448,1.8062704801559448,228800,0.0,0.0
1989-10-27,1.80626991002456,1.80626991002456,1.7730256785517153,1.7841070890426636,456000,0.0,0.0
1989-10-30,1.7841069221496582,1.7841069221496582,1.7730255126953125,1.7730255126953125,250400,0.0,0.0
1989-10-31,1.7730255126953125,1.7841069221496582,1.7730255126953125,1.7730255126953125,424800,0.0,0.0
1989-11-01,1.7841075775099964,1.8173518180847168,1.7841075775099964,1.8173518180847168,715200,0.0,0.0
1989-11-02,1.8395139225841273,1.872758150100708,1.8395139225841273,1.872758150100708,130400,0.0,0.0
1989-11-03,1.8616779327392579,1.9503292628696989,1.8616779327392579,1.9392478466033936,1118400,0.0,0.0
1989-11-06,1.92816687930714,1.92816687930714,1.8284341096878054,1.8284341096878052,264800,0.0,0.0
1989-11-07,1.8062705092651898,1.9060032367706299,1.7730262667633765,1.9060032367706299,727200,0.0,0.0
1989-11-08,1.9060026146899696,1.9281654357910156,1.8949212041394465,1.9281654357910156,236800,0.0,0.0
1989-11-09,1.928166065105172,1.928166065105172,1.9060032367706299,1.9060032367706299,60800,0.0,0.0
1989-11-10,1.9060031262839712,1.9060031262839712,1.80627040455981,1.8173518180847168,210400,0.0,0.0
1989-11-13,1.8173518941446316,1.8173518941446316,1.7841076521785713,1.8062704801559448,92800,0.0,0.0
1989-11-14,1.8284320500161912,1.8284320500161912,1.7619436118337841,1.7951878309249878,428000,0.0,0.0
1989-11-15,1.80627040455981,1.8284332316096235,1.795188991034903,1.8173518180847168,176000,0.0,0.0
1989-11-16,1.8062692026057874,1.8395134210586546,1.8062692026057874,1.8395134210586548,301600,0.0,0.0
1989-11-17,1.8395139225841273,1.872758150100708,1.8395139225841273,1.872758150100708,249600,0.0,0.0
1989-11-20,1.8838412818794479,1.8838412818794479,1.8505970239639282,1.8505970239639282,43200,0.0,0.0
1989-11-21,1.839514015710842,1.8949210643768313,1.839514015710842,1.894921064376831,108800,0.0,0.0
1989-11-22,1.9060020067475059,1.9503276348114014,1.9060020067475059,1.9503276348114014,255200,0.0,0.0
1989-11-24,1.9724914275388665,2.094386965195763,1.9724914275388665,2.0722241401672363,572000,0.0,0.0
1989-11-27,2.061143315356711,2.0833061467046323,2.0278990683348286,2.038980484008789,253600,0.0,0.0
1989-11-28,2.0389801151844678,2.0389801151844678,2.0057358741760254,2.0057358741760254,560000,0.0,0.0
1989-11-29,1.994654492958964,1.994654492958964,1.97249166525942,1.983573079109192,60800,0.0,0.0
