"Index","x"
"1991.1",6.621
"1991.11916495551",6.433
"1991.13832991102",6.582
"1991.15749486653",7.224
"1991.17665982204",6.875
"1991.19582477755",6.947
"1991.21498973306",7.328
"1991.23415468857",6.777
"1991.25331964408",7.503
"1991.27248459959",6.916
"1991.2916495551",7.045
"1991.31081451061",6.956
"1991.32997946612",6.976
"1991.34914442163",7.185
"1991.36830937714",6.899
"1991.38747433265",7.396
"1991.40663928816",7.287
"1991.42580424367",7.22
"1991.44496919918",7.651
"1991.46413415469",7.72
"1991.4832991102",7.543
"1991.50246406571",7.961
"1991.52162902122",7.327
"1991.54079397673",7.38
"1991.55995893224",7.501
"1991.57912388775",7.605
"1991.59828884326",7.584
"1991.61745379877",7.401
"1991.63661875428",7.505
"1991.65578370979",7.427
"1991.6749486653",6.993
"1991.69411362081",7.402
"1991.71327857632",7.391
"1991.73244353183",7.088
"1991.75160848734",6.949
"1991.77077344285",7.506
"1991.78993839836",7.396
"1991.80910335387",7.421
"1991.82826830938",7.159
"1991.84743326489",7.379
"1991.8665982204",7.369
"1991.88576317591",6.652
"1991.90492813142",6.769
"1991.92409308693",6.828
"1991.94325804244",7.344
"1991.96242299795",7.447
"1991.98158795346",7.186
"1992.00075290897",6.642
"1992.01991786448",6.788
"1992.03908281999",6.783
"1992.0582477755",7.037
"1992.07741273101",7.112
"1992.09657768652",7.039
"1992.11574264203",6.576
"1992.13490759754",7.002
"1992.15407255305",6.77
"1992.17323750856",7.002
"1992.19240246407",6.806
"1992.21156741958",7.221
"1992.23073237509",7.379
"1992.2498973306",7.027
"1992.26906228611",7.744
"1992.28822724162",6.464
"1992.30739219713",7.376
"1992.32655715264",7.899
"1992.34572210815",7.318
"1992.36488706366",7.174
"1992.38405201916",7.086
"1992.40321697467",7.774
"1992.42238193018",7.104
"1992.44154688569",7.129
"1992.4607118412",7.407
"1992.47987679671",7.701
"1992.49904175222",7.572
"1992.51820670773",7.813
"1992.53737166324",7.422
"1992.55653661875",7.792
"1992.57570157426",7.433
"1992.59486652977",7.796
"1992.61403148528",7.7
"1992.63319644079",7.365
"1992.6523613963",7.814
"1992.67152635181",7.326
"1992.69069130732",7.473
"1992.70985626283",7.181
"1992.72902121834",7.286
"1992.74818617385",7.293
"1992.76735112936",7.514
"1992.78651608487",7.204
"1992.80568104038",7.276
"1992.82484599589",7.509
"1992.8440109514",6.923
"1992.86317590691",7.056
"1992.88234086242",7.24
"1992.90150581793",7.138
"1992.92067077344",7.432
"1992.93983572895",7.354
"1992.95900068446",7.4
"1992.97816563997",7.596
"1992.99733059548",7.358
"1993.01649555099",6.852
"1993.0356605065",6.726
"1993.05482546201",7.131
"1993.07399041752",6.603
"1993.09315537303",7.322
"1993.11232032854",6.779
"1993.13148528405",7.325
"1993.15065023956",6.961
"1993.16981519507",7.188
"1993.18898015058",7.1
"1993.20814510609",7.239
"1993.2273100616",7.194
"1993.24647501711",6.964
"1993.26563997262",6.797
"1993.28480492813",7.561
"1993.30396988364",7.392
"1993.32313483915",7.47
"1993.34229979466",7.657
"1993.36146475017",7.649
"1993.38062970568",7.295
"1993.39979466119",7.364
"1993.4189596167",7.018
"1993.43812457221",7.74
"1993.45728952772",7.392
"1993.47645448323",7.804
"1993.49561943874",7.868
"1993.51478439425",7.578
"1993.53394934976",8.113
"1993.55311430527",7.916
"1993.57227926078",7.336
"1993.59144421629",8.033
"1993.6106091718",7.581
"1993.62977412731",8.187
"1993.64893908282",7.629
"1993.66810403833",7.386
"1993.68726899384",7.889
"1993.70643394935",7.478
"1993.72559890486",7.485
"1993.74476386037",7.387
"1993.76392881588",7.276
"1993.78309377139",7.613
"1993.8022587269",7.704
"1993.82142368241",7.788
"1993.84058863792",7.64
"1993.85975359343",7.552
"1993.87891854894",7.992
"1993.89808350445",6.845
"1993.91724845996",7.43
"1993.93641341547",8.074
"1993.95557837098",7.684
"1993.97474332649",7.411
"1993.993908282",7.567
"1994.01307323751",7.124
"1994.03223819302",7.124
"1994.05140314853",7.157
"1994.07056810404",6.321
"1994.08973305955",6.953
"1994.10889801506",7.487
"1994.12806297057",6.993
"1994.14722792608",7.372
"1994.16639288159",7.286
"1994.1855578371",7.214
"1994.20472279261",7.521
"1994.22388774812",7.481
"1994.24305270363",7.398
"1994.26221765914",7.187
"1994.28138261465",7.72
"1994.30054757016",7.042
"1994.31971252567",7.892
"1994.33887748118",6.824
"1994.35804243669",7.552
"1994.3772073922",7.938
"1994.39637234771",8.028
"1994.41553730322",7.461
"1994.43470225873",7.77
"1994.45386721424",7.65
"1994.47303216975",7.909
"1994.49219712526",7.93
"1994.51136208077",7.562
"1994.53052703628",8.006
"1994.54969199179",7.523
"1994.5688569473",7.581
