,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,A2A.MI,2016-07-27,1.27,1.244,8381500,1.244,1.27,1.273
1,A2A.MI,2016-07-26,1.247,1.232,8885800,1.243,1.247,1.253
2,A2A.MI,2016-07-25,1.243,1.224,7833700,1.225,1.243,1.244
3,A2A.MI,2016-07-22,1.226,1.212,8262800,1.212,1.226,1.233
4,A2A.MI,2016-07-21,1.219,1.21,6587200,1.22,1.219,1.222
5,A2A.MI,2016-07-20,1.22,1.204,7243000,1.21,1.22,1.22
6,A2A.MI,2016-07-19,1.202,1.195,4514500,1.202,1.202,1.21
7,A2A.MI,2016-07-18,1.204,1.195,4672800,1.209,1.204,1.219
8,A2A.MI,2016-07-15,1.21,1.192,5477300,1.192,1.21,1.213
9,A2A.MI,2016-07-14,1.198,1.182,9271900,1.192,1.198,1.203
10,A2A.MI,2016-07-13,1.195,1.179,10767700,1.194,1.195,1.202
11,A2A.MI,2016-07-12,1.20,1.177,9914100,1.177,1.20,1.203
12,A2A.MI,2016-07-11,1.177,1.163,4896800,1.177,1.177,1.182
13,A2A.MI,2016-07-08,1.171,1.126,10680000,1.14,1.171,1.176
14,A2A.MI,2016-07-07,1.146,1.144,6371400,1.153,1.146,1.177
15,A2A.MI,2016-07-06,1.147,1.144,6912300,1.169,1.147,1.18
16,A2A.MI,2016-07-05,1.17,1.156,10277300,1.182,1.17,1.189
17,A2A.MI,2016-07-04,1.188,1.177,7031600,1.188,1.188,1.192
18,A2A.MI,2016-07-01,1.177,1.165,7361900,1.18,1.177,1.19
19,A2A.MI,2016-06-30,1.178,1.121,12664400,1.124,1.178,1.178
20,A2A.MI,2016-06-29,1.127,1.104,10410900,1.11,1.127,1.134
21,A2A.MI,2016-06-28,1.089,1.081,12083900,1.081,1.089,1.118
22,A2A.MI,2016-06-27,1.069,1.064,14411400,1.08,1.069,1.115
23,A2A.MI,2016-06-24,1.086,1.032,36407200,1.05,1.086,1.13
24,A2A.MI,2016-06-23,1.202,1.165,12290400,1.169,1.202,1.202
25,A2A.MI,2016-06-22,1.159,1.154,13603200,1.172,1.159,1.176
26,A2A.MI,2016-06-21,1.173,1.162,9137700,1.183,1.173,1.186
27,A2A.MI,2016-06-20,1.183,1.173,11487300,1.178,1.183,1.205
28,A2A.MI,2016-06-17,1.19,1.154,15679400,1.161,1.149,1.191
29,A2A.MI,2016-06-16,1.16,1.141,11212600,1.153,1.12,1.17
30,A2A.MI,2016-06-15,1.173,1.173,8959300,1.182,1.1326,1.207
31,A2A.MI,2016-06-14,1.177,1.17,8888800,1.192,1.1364,1.198
32,A2A.MI,2016-06-13,1.207,1.201,9157500,1.211,1.1654,1.22
33,A2A.MI,2016-06-10,1.228,1.227,10751500,1.281,1.1857,1.283
34,A2A.MI,2016-06-09,1.282,1.253,16794700,1.271,1.2378,1.286
35,A2A.MI,2016-06-08,1.274,1.257,7519600,1.258,1.2301,1.284
36,A2A.MI,2016-06-07,1.266,1.265,9006000,1.272,1.2224,1.288
37,A2A.MI,2016-06-06,1.274,1.242,8221700,1.254,1.2301,1.282
38,A2A.MI,2016-06-03,1.256,1.255,8368100,1.284,1.2127,1.284
