,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,AEP.L,2016-07-27,415.50,415.50,8300,418.25,415.50,425.00
1,AEP.L,2016-07-26,416.25,416.25,9400,419.75,416.25,425.00
2,AEP.L,2016-07-25,418.50,419.00,2100,420.00,418.50,420.00
3,AEP.L,2016-07-22,416.125,414.00,5500,418.50,416.125,424.75
4,AEP.L,2016-07-21,415.75,415.00,9200,430.00,415.75,430.00
5,AEP.L,2016-07-20,410.50,410.50,18200,412.00,410.50,415.00
6,AEP.L,2016-07-19,412.00,410.00,11200,411.00,412.00,415.00
7,AEP.L,2016-07-18,411.00,411.00,34100,420.00,411.00,424.25
8,AEP.L,2016-07-15,411.00,411.00,6500,430.00,411.00,430.00
9,AEP.L,2016-07-14,410.00,410.00,17900,415.00,410.00,427.50
10,AEP.L,2016-07-13,404.50,404.00,14900,419.50,404.50,419.50
11,AEP.L,2016-07-12,405.00,405.00,23600,410.00,405.00,420.00
12,AEP.L,2016-07-11,410.00,410.00,30400,428.50,410.00,428.50
13,AEP.L,2016-07-08,420.00,415.25,2500,419.50,420.00,420.00
14,AEP.L,2016-07-07,405.125,404.00,7800,409.75,405.125,410.00
15,AEP.L,2016-07-06,400.50,400.00,9500,410.00,400.50,410.00
16,AEP.L,2016-07-05,411.125,400.00,19800,405.00,411.125,420.00
17,AEP.L,2016-07-04,405.00,405.00,26400,420.00,405.00,426.75
18,AEP.L,2016-07-01,410.00,396.00,22600,410.00,410.00,410.00
19,AEP.L,2016-06-30,396.00,395.00,30700,409.25,396.00,410.00
20,AEP.L,2016-06-29,392.00,391.00,10000,409.00,392.00,409.00
21,AEP.L,2016-06-28,390.00,390.00,50100,420.00,390.00,430.00
22,AEP.L,2016-06-27,390.00,390.00,59100,415.00,390.00,420.00
23,AEP.L,2016-06-24,410.00,380.00,49100,395.00,410.00,419.25
24,AEP.L,2016-06-23,402.75,402.75,17300,410.00,402.75,416.813
25,AEP.L,2016-06-22,407.00,407.00,34700,411.00,407.00,419.00
26,AEP.L,2016-06-21,412.00,411.00,8300,411.00,412.00,420.00
27,AEP.L,2016-06-20,409.25,405.00,93600,415.00,409.25,420.00
28,AEP.L,2016-06-17,401.00,401.00,749300,433.25,401.00,455.00
29,AEP.L,2016-06-16,435.00,435.00,15000,435.00,435.00,440.00
30,AEP.L,2016-06-15,436.25,435.25,43200,440.00,436.25,450.00
31,AEP.L,2016-06-14,443.50,440.00,39100,449.75,443.50,452.125
32,AEP.L,2016-06-13,451.00,445.00,20600,462.75,451.00,462.75
33,AEP.L,2016-06-10,451.125,450.00,7000,450.00,451.125,460.00
34,AEP.L,2016-06-09,452.25,450.438,9300,451.75,452.25,460.00
35,AEP.L,2016-06-08,454.75,445.00,9600,445.00,453.00,457.00
36,AEP.L,2016-06-07,446.00,446.00,43800,461.00,444.284,470.00
37,AEP.L,2016-06-06,458.25,458.25,32600,465.00,456.487,466.91
38,AEP.L,2016-06-03,462.75,460.00,43200,460.00,460.969,475.00
39,AEP.L,2016-06-02,470.00,460.00,36100,463.00,468.191,475.00
40,AEP.L,2016-06-01,455.00,455.00,9500,465.00,453.249,474.75
41,AEP.L,2016-05-31,465.00,462.00,20000,462.00,463.211,470.50
