,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,AFIL.TA,2016-07-27,1.262,1.215,4765100,1.215,1.262,1.32
1,AFIL.TA,2016-07-26,1.157,1.134,1280100,1.134,1.157,1.16
2,AFIL.TA,2016-07-25,1.116,1.09,634900,1.095,1.116,1.125
3,AFIL.TA,2016-07-21,1.123,1.12,565500,1.133,1.123,1.162
4,AFIL.TA,2016-07-20,1.133,1.108,787900,1.138,1.133,1.14
5,AFIL.TA,2016-07-19,1.138,1.128,1721800,1.18,1.138,1.192
6,AFIL.TA,2016-07-18,1.162,1.14,5844200,1.16,1.162,1.215
7,AFIL.TA,2016-07-14,1.094,1.08,213100,1.089,1.094,1.11
8,AFIL.TA,2016-07-13,1.089,1.08,637500,1.10,1.089,1.124
9,AFIL.TA,2016-07-12,1.09,1.086,307600,1.095,1.09,1.11
10,AFIL.TA,2016-07-11,1.095,1.08,367700,1.099,1.095,1.109
11,AFIL.TA,2016-07-07,1.088,1.084,200100,1.09,1.088,1.102
12,AFIL.TA,2016-07-06,1.099,1.084,749700,1.09,1.099,1.125
13,AFIL.TA,2016-07-05,1.078,1.073,456500,1.10,1.078,1.101
14,AFIL.TA,2016-07-04,1.101,1.094,902200,1.124,1.101,1.132
15,AFIL.TA,2016-06-30,1.037,1.034,259800,1.06,1.037,1.06
16,AFIL.TA,2016-06-29,1.051,1.05,295600,1.065,1.051,1.066
17,AFIL.TA,2016-06-28,1.034,1.03,664900,1.031,1.034,1.068
18,AFIL.TA,2016-06-27,1.072,1.052,394800,1.079,1.072,1.096
19,AFIL.TA,2016-06-23,1.112,1.095,757100,1.12,1.112,1.128
20,AFIL.TA,2016-06-22,1.106,1.05,1327800,1.10,1.106,1.141
21,AFIL.TA,2016-06-21,1.095,1.085,2650200,1.181,1.095,1.181
22,AFIL.TA,2016-06-20,1.178,1.10,3213300,1.11,1.178,1.189
23,AFIL.TA,2016-06-16,1.00,0.916,5419100,0.92,1.00,1.07
24,AFIL.TA,2016-06-15,0.909,0.875,2807800,0.95,0.909,0.98
25,AFIL.TA,2016-06-14,0.93,0.93,6193900,1.06,0.93,1.08
26,AFIL.TA,2016-06-13,1.07,1.07,878900,1.125,1.07,1.128
27,AFIL.TA,2016-06-09,1.155,1.125,591200,1.162,1.155,1.19
28,AFIL.TA,2016-06-08,1.181,1.161,393400,1.185,1.181,1.195
29,AFIL.TA,2016-06-07,1.18,1.171,573200,1.207,1.18,1.211
30,AFIL.TA,2016-06-06,1.195,1.18,353100,1.191,1.195,1.208
31,AFIL.TA,2016-06-01,1.268,1.20,3308900,1.21,1.268,1.272
32,AFIL.TA,2016-05-31,1.168,1.082,2326400,1.082,1.168,1.195
33,AFIL.TA,2016-05-30,1.078,1.032,1204700,1.08,1.078,1.086
34,AFIL.TA,2016-05-26,1.156,1.143,874400,1.207,1.156,1.207
35,AFIL.TA,2016-05-25,1.192,1.173,680200,1.20,1.192,1.215
36,AFIL.TA,2016-05-24,1.203,1.19,715100,1.22,1.203,1.235
37,AFIL.TA,2016-05-23,1.224,1.212,547800,1.247,1.224,1.27
38,AFIL.TA,2016-05-19,1.199,1.19,1473300,1.27,1.199,1.271
39,AFIL.TA,2016-05-18,1.27,1.221,5507800,1.35,1.27,1.36
40,AFIL.TA,2016-05-17,1.605,1.59,236000,1.59,1.605,1.63
41,AFIL.TA,2016-05-16,1.589,1.574,223300,1.574,1.589,1.60
42,AFIL.TA,2016-05-12,1.596,1.596,000,1.596,1.596,1.596
43,AFIL.TA,2016-05-11,1.596,1.596,000,1.596,1.596,1.596
44,AFIL.TA,2016-05-10,1.596,1.583,220200,1.602,1.596,1.622
45,AFIL.TA,2016-05-09,1.602,1.587,1616600,1.614,1.602,1.667
46,AFIL.TA,2016-05-05,1.575,1.55,240200,1.558,1.575,1.593
