,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,BKL.AX,2016-07-28,154.71001,154.495,107900,158.70,154.71001,159.17999
1,BKL.AX,2016-07-27,158.75,157.22,82300,159.39999,158.75,159.85001
2,BKL.AX,2016-07-26,158.67999,155.10001,97500,156.00,158.67999,159.55
3,BKL.AX,2016-07-25,155.00,150.69,103000,150.91,155.00,156.08
4,BKL.AX,2016-07-22,150.70,150.00999,83800,151.21001,150.70,152.00
5,BKL.AX,2016-07-21,150.94,150.31,85100,151.27,150.94,153.09
6,BKL.AX,2016-07-20,151.87,150.58,81400,152.66,151.87,154.77
7,BKL.AX,2016-07-19,151.13,150.20,62400,153.00,151.13,153.39999
8,BKL.AX,2016-07-18,151.97,151.00,123500,155.07001,151.97,155.92
9,BKL.AX,2016-07-15,154.80,146.80,139500,148.74001,154.80,154.80
10,BKL.AX,2016-07-14,148.50,144.895,190400,148.00999,148.50,151.69
11,BKL.AX,2016-07-13,146.00,138.83,238400,139.20,146.00,146.00
12,BKL.AX,2016-07-12,135.89999,135.25,87100,138.49001,135.89999,139.00
13,BKL.AX,2016-07-11,138.33,137.50,66200,139.38,138.33,139.39999
14,BKL.AX,2016-07-08,136.60001,132.10001,65500,132.10001,136.60001,136.94
15,BKL.AX,2016-07-07,133.00,130.72,87200,132.61,133.00,133.67999
16,BKL.AX,2016-07-06,132.17,130.10001,93100,131.80,132.17,133.19
17,BKL.AX,2016-07-05,131.85001,131.14,74800,136.00,131.85001,136.00
18,BKL.AX,2016-07-04,136.00,131.64999,56400,133.82001,136.00,136.00
19,BKL.AX,2016-07-01,133.14999,131.41,75700,131.50,133.14999,134.71001
20,BKL.AX,2016-06-30,131.39,130.89,108800,133.00,131.39,134.36
21,BKL.AX,2016-06-29,132.77,131.55,143200,132.17,132.77,134.00
22,BKL.AX,2016-06-28,131.31,130.75,105100,134.25,131.31,134.25
23,BKL.AX,2016-06-27,135.37,135.36,44300,137.82001,135.37,139.50
24,BKL.AX,2016-06-24,138.00,133.30,150800,140.41,138.00,141.03999
25,BKL.AX,2016-06-23,139.75999,137.50,47700,137.50,139.75999,140.99001
26,BKL.AX,2016-06-22,137.70,137.70,88100,142.00,137.70,142.53999
27,BKL.AX,2016-06-21,140.83,135.60001,141400,135.70,140.83,142.78
28,BKL.AX,2016-06-20,135.77,133.49001,108700,138.00,135.77,138.00
29,BKL.AX,2016-06-17,137.50,133.94,305100,135.14999,137.50,138.00
30,BKL.AX,2016-06-16,135.14999,132.11,188400,132.11,135.14999,135.74001
31,BKL.AX,2016-06-15,134.33,133.95,256300,138.87,134.33,138.91
32,BKL.AX,2016-06-14,136.85001,133.87,364800,140.00,136.85001,143.00
33,BKL.AX,2016-06-13,140.60001,140.60001,000,140.60001,140.60001,140.60001
34,BKL.AX,2016-06-10,140.60001,139.48,230600,148.75,140.60001,149.10001
35,BKL.AX,2016-06-09,148.86,147.08,80100,147.50,148.86,149.59
36,BKL.AX,2016-06-08,146.02,145.55,140900,150.00,146.02,150.33
37,BKL.AX,2016-06-07,150.60001,148.61,121200,152.60001,150.60001,153.00
38,BKL.AX,2016-06-06,152.03,147.07001,104200,149.00,152.03,152.50999
39,BKL.AX,2016-06-03,149.14999,147.72,83000,148.39999,149.14999,149.67999
40,BKL.AX,2016-06-02,147.19,146.25999,103300,148.00999,147.19,149.64999
41,BKL.AX,2016-06-01,148.00,147.11,181500,152.50,148.00,153.75999
42,BKL.AX,2016-05-31,151.20,148.34,567900,150.39999,151.20,154.88
43,BKL.AX,2016-05-30,151.50,150.06,307600,158.50,151.50,158.50
44,BKL.AX,2016-05-27,158.02,157.83,105500,161.88,158.02,162.55
45,BKL.AX,2016-05-26,161.50,156.98,140900,161.03,161.50,162.89999
46,BKL.AX,2016-05-25,161.95,161.59,97200,164.64999,161.95,166.95
47,BKL.AX,2016-05-24,162.64999,160.50,78600,161.42,162.64999,163.94
