,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,BNZL.L,2016-07-27,2352.00,2339.00,475600,2356.00,2352.00,2364.00
1,BNZL.L,2016-07-26,2353.00,2346.00,437900,2358.00,2353.00,2361.00
2,BNZL.L,2016-07-25,2351.00,2343.00,372500,2352.00,2351.00,2362.00
3,BNZL.L,2016-07-22,2352.00,2331.00,335900,2340.00,2352.00,2359.00
4,BNZL.L,2016-07-21,2346.00,2338.00,320000,2351.00,2346.00,2364.00
5,BNZL.L,2016-07-20,2361.00,2349.40,405400,2369.00,2361.00,2380.00
6,BNZL.L,2016-07-19,2358.00,2327.00,317300,2342.00,2358.00,2358.00
7,BNZL.L,2016-07-18,2343.00,2330.00,342300,2345.00,2343.00,2354.00
8,BNZL.L,2016-07-15,2346.00,2323.00,576400,2330.00,2346.00,2351.00
9,BNZL.L,2016-07-14,2326.00,2319.00,657900,2357.00,2326.00,2362.78
10,BNZL.L,2016-07-13,2349.00,2323.00,868500,2330.00,2349.00,2369.00
11,BNZL.L,2016-07-12,2330.00,2330.00,722500,2369.00,2330.00,2377.00
12,BNZL.L,2016-07-11,2377.00,2336.00,630300,2359.00,2377.00,2379.00
13,BNZL.L,2016-07-08,2339.00,2311.00,605100,2330.00,2339.00,2357.00
14,BNZL.L,2016-07-07,2329.00,2321.00,716900,2334.00,2329.00,2359.00
15,BNZL.L,2016-07-06,2319.00,2308.00,779500,2329.00,2319.00,2359.00
16,BNZL.L,2016-07-05,2332.00,2296.00,701300,2311.00,2332.00,2333.00
17,BNZL.L,2016-07-04,2307.00,2304.05,908400,2335.00,2307.00,2347.00
18,BNZL.L,2016-07-01,2317.00,2286.00,1307600,2297.00,2317.00,2331.00
19,BNZL.L,2016-06-30,2302.00,2229.00,1399900,2236.00,2302.00,2302.00
20,BNZL.L,2016-06-29,2230.00,2125.00,1433100,2125.00,2230.00,2233.00
21,BNZL.L,2016-06-28,2118.00,2061.52,900400,2071.00,2118.00,2129.00
22,BNZL.L,2016-06-27,2040.00,1985.00,1097700,1985.00,2040.00,2077.00
23,BNZL.L,2016-06-24,2064.00,1973.00,1426200,2070.00,2064.00,2089.00
24,BNZL.L,2016-06-23,2065.00,2045.00,483400,2048.00,2065.00,2075.00
25,BNZL.L,2016-06-22,2031.00,2021.00,465100,2035.00,2031.00,2048.00
26,BNZL.L,2016-06-21,2018.00,2002.00,571000,2018.00,2018.00,2025.00
27,BNZL.L,2016-06-20,2016.00,1993.00,596700,1995.00,2016.00,2027.37
28,BNZL.L,2016-06-17,1965.00,1956.00,817600,1966.00,1965.00,1974.00
29,BNZL.L,2016-06-16,1951.00,1949.50,584800,1964.00,1951.00,1976.00
30,BNZL.L,2016-06-15,1983.00,1970.00,707900,1993.00,1983.00,1993.00
