,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-27,6.84,7.00,CCO,7.00,30300,6.96,7.04
1,2016-07-26,6.72,6.89,CCO,6.89,38200,6.76,6.94
2,2016-07-25,6.72,6.74,CCO,6.74,33400,6.98,7.04
3,2016-07-22,6.89,6.97,CCO,6.97,55300,6.90,7.07
4,2016-07-21,6.79,6.91,CCO,6.91,44600,6.80,6.94
5,2016-07-20,6.76,6.81,CCO,6.81,65800,6.95,6.97
6,2016-07-19,6.68,6.83,CCO,6.83,85500,6.74,6.97
7,2016-07-18,6.58,6.76,CCO,6.76,61000,6.69,6.79
8,2016-07-15,6.62,6.72,CCO,6.72,47600,6.62,6.79
9,2016-07-14,6.64,6.68,CCO,6.68,146600,6.90,6.90
10,2016-07-13,6.60,6.80,CCO,6.80,74900,6.60,6.91
11,2016-07-12,6.57,6.60,CCO,6.60,224700,6.66,6.75
12,2016-07-11,6.57,6.58,CCO,6.58,121000,6.70,6.97
13,2016-07-08,6.31,6.59,CCO,6.59,46700,6.41,6.63
14,2016-07-07,6.22,6.32,CCO,6.32,65300,6.22,6.40
15,2016-07-06,5.92,6.24,CCO,6.24,239200,5.92,6.35
16,2016-07-05,5.98,5.99,CCO,5.99,289100,6.36,6.40
17,2016-07-01,6.14,6.43,CCO,6.43,81600,6.14,6.47
18,2016-06-30,6.17,6.22,CCO,6.22,95700,6.33,6.37
19,2016-06-29,6.09,6.30,CCO,6.30,90300,6.14,6.33
20,2016-06-28,5.98,6.06,CCO,6.06,169000,5.98,6.20
21,2016-06-27,5.90,5.98,CCO,5.98,113000,5.92,6.16
22,2016-06-24,6.08,6.08,CCO,6.08,358500,6.34,6.47
23,2016-06-23,6.58,6.60,CCO,6.60,89800,6.73,6.87
24,2016-06-22,6.54,6.65,CCO,6.65,211100,6.66,6.73
25,2016-06-21,6.55,6.61,CCO,6.61,419100,6.68,6.88
26,2016-06-20,6.30,6.59,CCO,6.59,128900,6.46,6.79
27,2016-06-17,6.26,6.35,CCO,6.35,294400,6.30,6.44
28,2016-06-16,6.31,6.37,CCO,6.37,94400,6.36,6.43
29,2016-06-15,6.32,6.33,CCO,6.33,82700,6.38,6.50
30,2016-06-14,6.28,6.35,CCO,6.35,78900,6.36,6.47
31,2016-06-13,6.22,6.31,CCO,6.31,98600,6.31,6.49
32,2016-06-10,6.18,6.32,CCO,6.32,80500,6.27,6.40
33,2016-06-09,6.21,6.34,CCO,6.34,180600,6.45,6.45
34,2016-06-08,6.38,6.49,CCO,6.49,84700,6.44,6.50
35,2016-06-07,6.36,6.39,CCO,6.39,70400,6.48,6.57
36,2016-06-06,6.44,6.46,CCO,6.46,88500,6.49,6.63
37,2016-06-03,6.44,6.47,CCO,6.47,97100,6.45,6.55
38,2016-06-02,6.42,6.48,CCO,6.48,210000,6.45,6.66
39,2016-06-01,6.41,6.48,CCO,6.48,340600,6.60,6.69
40,2016-05-31,6.33,6.43,CCO,6.43,148300,6.42,6.47
41,2016-05-27,6.36,6.39,CCO,6.39,68100,6.43,6.58
42,2016-05-26,6.25,6.40,CCO,6.40,111300,6.34,6.49
43,2016-05-25,6.25,6.30,CCO,6.30,40300,6.26,6.37
44,2016-05-24,6.22,6.25,CCO,6.25,39300,6.25,6.38
45,2016-05-23,6.11,6.25,CCO,6.25,78900,6.16,6.28
46,2016-05-20,6.00,6.12,CCO,6.12,81200,6.12,6.18
47,2016-05-19,6.01,6.09,CCO,6.09,83000,6.02,6.18
48,2016-05-18,5.88,6.09,CCO,6.09,143200,6.04,6.22
49,2016-05-17,6.09,6.11,CCO,6.11,77200,6.36,6.49
50,2016-05-16,6.11,6.42,CCO,6.42,158800,6.13,6.44
51,2016-05-13,5.91,6.07,CCO,6.07,150400,5.98,6.11
52,2016-05-12,6.02,6.09,CCO,6.09,193100,6.12,6.21
53,2016-05-11,5.97,6.08,CCO,6.08,187000,5.99,6.10
54,2016-05-10,5.82,5.99,CCO,5.99,103300,6.00,6.19
55,2016-05-09,5.79,6.00,CCO,6.00,168200,5.91,6.12
56,2016-05-06,5.70,5.88,CCO,5.88,176600,5.73,5.92
57,2016-05-05,5.58,5.69,CCO,5.69,222400,5.69,5.90
58,2016-05-04,5.31,5.62,CCO,5.62,164100,5.95,6.03
59,2016-05-03,5.00,5.20,CCO,5.20,147300,5.08,5.26
60,2016-05-02,5.02,5.10,CCO,5.10,135000,5.20,5.20
61,2016-04-29,4.95,5.11,CCO,5.11,86800,5.03,5.16
62,2016-04-28,4.95,4.99,CCO,4.99,53700,5.03,5.16
63,2016-04-27,4.91,5.00,CCO,5.00,78800,5.19,5.20
64,2016-04-26,4.91,5.09,CCO,5.09,67900,4.96,5.15
65,2016-04-25,4.80,4.88,CCO,4.88,32400,4.90,4.98
66,2016-04-22,4.92,4.92,CCO,4.92,94600,4.97,5.11
67,2016-04-21,4.77,4.96,CCO,4.96,78400,4.93,4.98
68,2016-04-20,4.65,4.88,CCO,4.88,82400,4.76,4.91
69,2016-04-19,4.55,4.75,CCO,4.75,126000,4.59,4.76
70,2016-04-18,4.37,4.61,CCO,4.61,121700,4.42,4.65
71,2016-04-15,4.40,4.44,CCO,4.44,42600,4.48,4.53
72,2016-04-14,4.28,4.45,CCO,4.45,104200,4.45,4.47
73,2016-04-13,4.14,4.43,CCO,4.43,114900,4.21,4.43
74,2016-04-12,4.13,4.17,CCO,4.17,55100,4.31,4.31
75,2016-04-11,4.06,4.26,CCO,4.26,82400,4.22,4.27
76,2016-04-08,4.13,4.17,CCO,4.17,134500,4.25,4.26
77,2016-04-07,4.12,4.24,CCO,4.24,107900,4.14,4.24
78,2016-04-06,4.08,4.15,CCO,4.15,151600,4.11,4.24
79,2016-04-05,4.06,4.10,CCO,4.10,136100,4.43,4.47
80,2016-04-04,4.49,4.50,CCO,4.50,130600,4.73,4.73
81,2016-04-01,4.40,4.64,CCO,4.64,135600,4.64,4.65
82,2016-03-31,4.57,4.70,CCO,4.70,137700,4.62,4.73
83,2016-03-30,4.59,4.60,CCO,4.60,136900,4.59,4.91
84,2016-03-29,4.38,4.57,CCO,4.57,202200,4.41,4.59
85,2016-03-28,4.41,4.45,CCO,4.45,50200,4.45,4.50
86,2016-03-24,4.37,4.45,CCO,4.45,121700,4.40,4.53
87,2016-03-23,4.25,4.42,CCO,4.42,101500,4.34,4.44
88,2016-03-22,4.31,4.35,CCO,4.35,72000,4.40,4.47
89,2016-03-21,4.40,4.45,CCO,4.45,86900,4.68,4.78
90,2016-03-18,4.45,4.71,CCO,4.71,199400,4.52,4.72
91,2016-03-17,4.40,4.49,CCO,4.49,105200,4.53,4.56
92,2016-03-16,4.25,4.49,CCO,4.49,128600,4.33,4.50
93,2016-03-15,4.09,4.28,CCO,4.28,138100,4.41,4.43
94,2016-03-14,4.44,4.48,CCO,4.48,165100,4.53,4.65
95,2016-03-11,4.28,4.49,CCO,4.49,205600,4.37,4.58
96,2016-03-10,4.15,4.24,CCO,4.24,52800,4.37,4.37
97,2016-03-09,4.24,4.25,CCO,4.25,127800,4.50,4.59
98,2016-03-08,4.27,4.46,CCO,4.46,256200,4.55,4.58
99,2016-03-07,4.17,4.45,CCO,4.45,202300,4.23,4.45
100,2016-03-04,4.04,4.20,CCO,4.20,235800,4.12,4.20
101,2016-03-03,3.70,4.08,CCO,4.08,266600,3.70,4.15
102,2016-03-02,3.53,3.73,CCO,3.73,343300,3.77,3.88
103,2016-03-01,3.57,3.78,CCO,3.78,143300,3.57,3.81
104,2016-02-29,3.57,3.61,CCO,3.61,158500,3.57,3.73
105,2016-02-26,3.37,3.55,CCO,3.55,252300,3.50,3.56
106,2016-02-25,3.11,3.50,CCO,3.50,198200,3.58,3.88
107,2016-02-24,3.30,3.45,CCO,3.45,164300,3.31,3.56
108,2016-02-23,3.41,3.41,CCO,3.41,71500,3.43,3.53
109,2016-02-22,3.45,3.48,CCO,3.48,167900,3.47,3.60
110,2016-02-19,3.45,3.45,CCO,3.45,116900,3.46,3.57
111,2016-02-18,3.48,3.56,CCO,3.56,135600,3.60,3.67
112,2016-02-17,2.97,3.66,CCO,3.66,385800,3.00,3.66
113,2016-02-16,3.50,3.53,CCO,3.53,85600,3.50,3.62
114,2016-02-12,3.52,3.55,CCO,3.55,107800,3.56,3.73
115,2016-02-11,3.41,3.69,CCO,3.69,144100,3.50,3.71
116,2016-02-10,3.58,3.69,CCO,3.69,140400,3.64,3.74
117,2016-02-09,3.56,3.68,CCO,3.68,238600,3.81,3.85
118,2016-02-08,3.65,3.92,CCO,3.92,404100,3.82,3.95
119,2016-02-05,3.82,3.83,CCO,3.83,599100,3.97,4.26
120,2016-02-04,5.34,5.50,CCO,4.006,261800,5.45,5.63
121,2016-02-03,4.88,5.48,CCO,3.991433,241100,4.88,5.54
122,2016-02-02,4.76,4.90,CCO,3.568982,128200,4.76,4.93
123,2016-02-01,4.80,4.81,CCO,3.503429,216100,4.87,5.01
124,2016-01-29,4.86,5.05,CCO,3.678236,215700,4.86,5.09
125,2016-01-28,4.79,4.91,CCO,3.576265,195100,4.82,4.95
126,2016-01-27,4.71,4.75,CCO,3.459727,282400,4.85,4.91
127,2016-01-26,4.73,4.95,CCO,3.6054,166400,4.75,4.98
128,2016-01-25,4.70,4.78,CCO,3.481578,149200,4.84,4.96
129,2016-01-22,4.65,4.96,CCO,3.612684,169700,4.65,5.00
130,2016-01-21,4.52,4.60,CCO,3.350473,99600,4.54,4.71
131,2016-01-20,4.40,4.56,CCO,3.321338,142000,4.55,4.63
132,2016-01-19,4.48,4.69,CCO,3.416025,128100,4.48,4.70
133,2016-01-15,4.50,4.60,CCO,3.350473,117600,4.73,4.74
134,2016-01-14,4.82,4.88,CCO,3.554415,460100,4.82,5.10
135,2016-01-13,4.71,4.85,CCO,3.532564,346800,5.19,5.25
136,2016-01-12,5.08,5.20,CCO,3.787491,224800,5.13,5.29
137,2016-01-11,5.00,5.11,CCO,3.721938,172400,5.09,5.13
138,2016-01-08,4.82,5.00,CCO,3.641818,238000,4.90,5.05
139,2016-01-07,5.32,5.50,CCO,3.566797,361900,5.80,5.83
