,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-27,29.01,29.360001,CFX,29.360001,1028100,29.76,29.969999
1,2016-07-26,28.43,29.57,CFX,29.57,489400,28.459999,29.639999
2,2016-07-25,28.120001,28.43,CFX,28.43,426200,28.389999,28.530001
3,2016-07-22,28.139999,28.52,CFX,28.52,1121900,28.700001,28.83
4,2016-07-21,28.370001,28.82,CFX,28.82,798900,28.48,29.059999
5,2016-07-20,27.58,28.440001,CFX,28.440001,646400,28.09,28.65
6,2016-07-19,28.00,28.10,CFX,28.10,849700,28.379999,28.620001
7,2016-07-18,28.450001,28.90,CFX,28.90,548000,28.76,28.969999
8,2016-07-15,28.50,28.83,CFX,28.83,338000,28.90,28.950001
9,2016-07-14,28.27,28.469999,CFX,28.469999,583600,28.450001,28.799999
10,2016-07-13,27.84,28.02,CFX,28.02,677800,28.59,28.799999
11,2016-07-12,28.58,28.58,CFX,28.58,823500,28.66,29.139999
12,2016-07-11,28.00,28.24,CFX,28.24,944300,28.110001,28.84
13,2016-07-08,27.190001,27.799999,CFX,27.799999,659900,27.190001,27.889999
14,2016-07-07,26.33,26.719999,CFX,26.719999,791700,26.41,27.25
15,2016-07-06,25.43,26.309999,CFX,26.309999,928200,25.530001,26.360001
16,2016-07-05,25.190001,25.790001,CFX,25.790001,736700,26.35,26.35
17,2016-07-01,26.34,26.559999,CFX,26.559999,1020000,26.35,27.16
18,2016-06-30,25.379999,26.459999,CFX,26.459999,1707600,25.90,26.610001
19,2016-06-29,25.639999,25.67,CFX,25.67,1343800,26.219999,26.41
20,2016-06-28,25.459999,25.780001,CFX,25.780001,1385000,25.75,26.01
21,2016-06-27,24.620001,25.18,CFX,25.18,1465300,26.24,26.540001
22,2016-06-24,26.59,26.889999,CFX,26.889999,2257200,29.120001,29.280001
23,2016-06-23,30.280001,30.799999,CFX,30.799999,859000,30.360001,30.83
24,2016-06-22,29.469999,29.889999,CFX,29.889999,1297100,29.50,30.040001
25,2016-06-21,29.059999,29.33,CFX,29.33,923800,29.43,29.59
26,2016-06-20,29.01,29.549999,CFX,29.549999,1218000,29.10,30.07
27,2016-06-17,27.959999,28.360001,CFX,28.360001,937300,28.01,28.76
28,2016-06-16,27.030001,27.860001,CFX,27.860001,682000,27.74,27.889999
29,2016-06-15,27.92,28.030001,CFX,28.030001,860900,28.200001,28.66
30,2016-06-14,27.40,28.16,CFX,28.16,820300,27.549999,28.16
31,2016-06-13,27.469999,27.73,CFX,27.73,716000,27.620001,28.219999
32,2016-06-10,27.76,27.870001,CFX,27.870001,1340700,28.73,28.76
33,2016-06-09,28.74,28.879999,CFX,28.879999,1011600,29.190001,29.190001
34,2016-06-08,29.379999,29.57,CFX,29.57,1200800,29.610001,29.76
35,2016-06-07,29.24,29.379999,CFX,29.379999,847400,29.610001,29.77
36,2016-06-06,28.17,29.379999,CFX,29.379999,791500,28.450001,29.469999
37,2016-06-03,27.76,28.18,CFX,28.18,1044500,28.16,28.48
38,2016-06-02,26.91,28.10,CFX,28.10,762300,26.92,28.120001
39,2016-06-01,26.389999,27.07,CFX,27.07,622500,26.74,27.17
40,2016-05-31,26.91,27.09,CFX,27.09,664800,26.93,27.34
41,2016-05-27,26.469999,26.799999,CFX,26.799999,494400,26.799999,26.889999
42,2016-05-26,26.77,26.77,CFX,26.77,728100,27.27,27.629999
43,2016-05-25,26.969999,27.27,CFX,27.27,1114700,27.190001,27.66
44,2016-05-24,25.790001,26.92,CFX,26.92,3092300,26.07,27.030001
45,2016-05-23,25.299999,25.780001,CFX,25.780001,853400,25.379999,26.040001
46,2016-05-20,24.940001,25.610001,CFX,25.610001,782300,25.049999,25.620001
47,2016-05-19,24.67,24.959999,CFX,24.959999,1090100,25.139999,25.35
48,2016-05-18,25.32,25.459999,CFX,25.459999,1293500,25.700001,26.18
49,2016-05-17,25.48,26.219999,CFX,26.219999,1473100,25.950001,26.639999
50,2016-05-16,25.18,25.379999,CFX,25.379999,647000,25.299999,25.809999
51,2016-05-13,24.870001,24.959999,CFX,24.959999,893600,25.52,26.01
52,2016-05-12,25.459999,25.709999,CFX,25.709999,987500,26.360001,26.450001
53,2016-05-11,25.84,25.99,CFX,25.99,1520600,26.049999,26.450001
54,2016-05-10,25.41,26.030001,CFX,26.030001,1875700,25.469999,26.34
55,2016-05-09,24.719999,25.35,CFX,25.35,2097100,25.33,25.469999
56,2016-05-06,24.93,25.40,CFX,25.40,3289800,25.110001,25.51
57,2016-05-05,25.33,25.360001,CFX,25.360001,1935800,26.120001,26.309999
58,2016-05-04,25.940001,26.059999,CFX,26.059999,4095900,28.129999,28.450001
59,2016-05-03,28.280001,28.309999,CFX,28.309999,3915500,32.049999,32.360001
60,2016-05-02,31.51,32.049999,CFX,32.049999,1151500,32.41,32.459999
61,2016-04-29,31.85,32.43,CFX,32.43,856600,32.32,32.599998
62,2016-04-28,32.25,32.34,CFX,32.34,609600,33.450001,33.490002
63,2016-04-27,32.91,33.57,CFX,33.57,706200,32.98,33.630001
64,2016-04-26,31.91,32.900002,CFX,32.900002,699600,32.27,32.93
65,2016-04-25,31.790001,32.00,CFX,32.00,534700,32.290001,32.689999
66,2016-04-22,32.00,32.470001,CFX,32.470001,634900,32.110001,32.639999
67,2016-04-21,31.860001,32.139999,CFX,32.139999,1113000,31.950001,32.639999
68,2016-04-20,31.690001,31.85,CFX,31.85,920100,32.130001,32.27
69,2016-04-19,30.99,32.150002,CFX,32.150002,1803600,31.18,32.16
70,2016-04-18,29.82,30.98,CFX,30.98,945100,30.41,31.459999
71,2016-04-15,30.690001,31.200001,CFX,31.200001,536600,31.16,31.43
72,2016-04-14,31.299999,31.440001,CFX,31.440001,1242700,31.620001,31.790001
73,2016-04-13,29.639999,31.43,CFX,31.43,1491400,29.639999,31.43
74,2016-04-12,28.450001,29.40,CFX,29.40,892800,28.700001,29.809999
75,2016-04-11,27.799999,28.57,CFX,28.57,442000,28.379999,28.870001
76,2016-04-08,27.67,28.129999,CFX,28.129999,696800,28.09,28.98
77,2016-04-07,27.440001,27.620001,CFX,27.620001,576700,27.690001,27.940001
78,2016-04-06,27.469999,28.049999,CFX,28.049999,713900,28.32,28.360001
79,2016-04-05,28.01,28.09,CFX,28.09,851600,28.629999,28.75
80,2016-04-04,28.969999,29.07,CFX,29.07,1135600,29.540001,30.26
81,2016-04-01,27.799999,29.450001,CFX,29.450001,1213800,28.120001,29.57
82,2016-03-31,28.450001,28.59,CFX,28.59,828200,28.75,29.059999
83,2016-03-30,28.57,28.82,CFX,28.82,506000,29.299999,29.360001
84,2016-03-29,27.299999,28.870001,CFX,28.870001,887100,27.93,28.98
85,2016-03-28,27.66,28.309999,CFX,28.309999,1460500,28.469999,28.52
86,2016-03-24,27.60,28.379999,CFX,28.379999,1309700,28.34,28.690001
87,2016-03-23,28.610001,28.780001,CFX,28.780001,925900,29.459999,29.620001
88,2016-03-22,29.48,29.74,CFX,29.74,733200,29.49,30.129999
89,2016-03-21,29.459999,29.889999,CFX,29.889999,635300,29.73,30.18
90,2016-03-18,29.00,29.82,CFX,29.82,2822900,29.209999,30.059999
91,2016-03-17,28.16,29.059999,CFX,29.059999,1199300,28.309999,29.49
92,2016-03-16,27.08,28.370001,CFX,28.370001,832800,27.57,28.450001
93,2016-03-15,26.84,27.51,CFX,27.51,1271700,27.700001,27.700001
94,2016-03-14,27.780001,28.02,CFX,28.02,958800,28.040001,28.700001
95,2016-03-11,27.74,28.540001,CFX,28.540001,992100,27.91,28.84
96,2016-03-10,26.82,27.35,CFX,27.35,966000,27.32,27.52
97,2016-03-09,27.09,27.35,CFX,27.35,768400,27.639999,27.85
98,2016-03-08,26.790001,27.33,CFX,27.33,2343200,27.90,28.02
99,2016-03-07,27.25,28.34,CFX,28.34,1251300,27.43,28.370001
100,2016-03-04,26.57,27.450001,CFX,27.450001,1253600,27.23,28.360001
101,2016-03-03,26.57,27.120001,CFX,27.120001,1692300,26.57,27.709999
102,2016-03-02,25.559999,26.51,CFX,26.51,1235500,25.60,26.549999
103,2016-03-01,24.969999,25.77,CFX,25.77,1676200,25.57,26.030001
104,2016-02-29,25.09,25.309999,CFX,25.309999,931700,25.77,26.00
105,2016-02-26,25.120001,25.73,CFX,25.73,764800,25.309999,25.99
106,2016-02-25,24.59,25.10,CFX,25.10,1391000,25.35,25.459999
107,2016-02-24,24.370001,25.370001,CFX,25.370001,901700,24.82,25.43
108,2016-02-23,25.27,25.290001,CFX,25.290001,822300,25.68,25.959999
109,2016-02-22,25.33,25.799999,CFX,25.799999,898700,25.77,26.200001
110,2016-02-19,24.83,25.299999,CFX,25.299999,661000,25.50,25.709999
111,2016-02-18,25.370001,25.870001,CFX,25.870001,1089000,26.33,26.43
112,2016-02-17,25.450001,26.190001,CFX,26.190001,994700,25.67,26.52
113,2016-02-16,24.57,25.33,CFX,25.33,707900,25.23,25.52
114,2016-02-12,24.16,24.950001,CFX,24.950001,935700,24.42,25.24
115,2016-02-11,23.440001,24.02,CFX,24.02,1061700,23.92,24.76
116,2016-02-10,24.32,24.35,CFX,24.35,1112600,24.83,25.26
117,2016-02-09,24.280001,24.83,CFX,24.83,1246600,24.709999,25.370001
118,2016-02-08,24.370001,25.00,CFX,25.00,1376600,25.15,25.35
119,2016-02-05,24.35,25.440001,CFX,25.440001,1755300,24.889999,25.799999
120,2016-02-04,22.16,24.68,CFX,24.68,2536000,22.50,25.190001
121,2016-02-03,20.219999,21.389999,CFX,21.389999,1537000,21.040001,21.530001
122,2016-02-02,20.48,20.66,CFX,20.66,910900,20.889999,20.91
123,2016-02-01,20.809999,21.280001,CFX,21.280001,1652400,21.76,21.780001
124,2016-01-29,21.049999,22.139999,CFX,22.139999,1078700,21.200001,22.18
125,2016-01-28,20.879999,21.10,CFX,21.10,1042500,21.51,21.75
126,2016-01-27,20.50,21.190001,CFX,21.190001,1520700,21.049999,21.76
127,2016-01-26,19.60,20.969999,CFX,20.969999,1050400,19.76,21.09
128,2016-01-25,19.41,19.43,CFX,19.43,1873800,19.799999,20.309999
129,2016-01-22,19.76,20.049999,CFX,20.049999,1410900,20.10,21.18
130,2016-01-21,18.219999,19.58,CFX,19.58,2189200,18.610001,19.92
131,2016-01-20,18.27,19.290001,CFX,19.290001,2397500,18.959999,19.76
132,2016-01-19,19.08,19.360001,CFX,19.360001,1574400,20.40,20.799999
133,2016-01-15,19.51,20.030001,CFX,20.030001,1196100,19.99,20.27
134,2016-01-14,19.959999,20.73,CFX,20.73,1446000,20.24,21.040001
135,2016-01-13,20.219999,20.35,CFX,20.35,1003300,20.82,21.299999
136,2016-01-12,20.219999,20.709999,CFX,20.709999,1789800,20.77,21.18
137,2016-01-11,20.02,20.389999,CFX,20.389999,1295400,20.459999,20.60
