,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2014-04-03,15.50,15.81,CSE,15.81,2389500,15.67,15.87
1,2014-04-02,15.00,15.43,CSE,15.43,2653800,15.00,15.43
2,2014-04-01,14.55,15.15,CSE,15.15,2125800,14.60,15.18
3,2014-03-31,14.27,14.59,CSE,14.59,1340600,14.28,14.59
4,2014-03-28,14.15,14.23,CSE,14.23,1231400,14.20,14.45
5,2014-03-27,14.16,14.19,CSE,14.19,6427300,14.61,14.67
6,2014-03-26,14.50,14.61,CSE,14.61,7328600,14.75,14.77
7,2014-03-25,14.62,14.69,CSE,14.69,1878000,14.70,14.83
8,2014-03-24,14.67,14.70,CSE,14.70,2576700,14.86,14.95
9,2014-03-21,14.85,14.85,CSE,14.85,3297500,15.11,15.22
10,2014-03-20,14.88,15.05,CSE,15.05,4065400,14.90,15.20
11,2014-03-19,14.67,14.92,CSE,14.92,3235100,14.75,15.10
12,2014-03-18,14.70,14.77,CSE,14.77,1691200,14.75,14.86
13,2014-03-17,14.67,14.71,CSE,14.71,917000,14.72,14.88
14,2014-03-14,14.66,14.69,CSE,14.69,3363700,14.72,14.89
15,2014-03-13,14.73,14.79,CSE,14.79,1787300,15.01,15.04
16,2014-03-12,14.82,14.95,CSE,14.95,1630100,14.94,15.00
17,2014-03-11,14.93,14.98,CSE,14.98,2329700,15.10,15.10
18,2014-03-10,14.96,15.06,CSE,15.06,1868000,15.13,15.18
19,2014-03-07,15.08,15.13,CSE,15.13,1464100,15.25,15.47
20,2014-03-06,15.11,15.21,CSE,15.21,1121100,15.17,15.25
21,2014-03-05,15.03,15.13,CSE,15.13,895100,15.16,15.22
22,2014-03-04,14.83,15.16,CSE,15.16,2176800,14.85,15.19
23,2014-03-03,14.44,14.79,CSE,14.79,3007800,14.57,14.79
24,2014-02-28,14.45,14.70,CSE,14.70,1593600,14.50,14.70
25,2014-02-27,14.31,14.49,CSE,14.49,2040200,14.38,14.49
26,2014-02-26,13.84,14.41,CSE,14.41,3920500,13.95,14.42
27,2014-02-25,13.80,13.90,CSE,13.90,1753500,13.89,13.95
28,2014-02-24,13.63,13.87,CSE,13.87,1322800,13.64,13.89
29,2014-02-21,13.29,13.67,CSE,13.67,1803000,13.35,13.69
30,2014-02-20,13.01,13.28,CSE,13.28,4165800,13.14,13.32
31,2014-02-19,13.15,13.18,CSE,13.170001,2727300,13.54,13.57
32,2014-02-18,13.55,13.55,CSE,13.53972,1883400,13.59,13.82
33,2014-02-14,13.57,13.59,CSE,13.579689,1462800,13.73,13.82
34,2014-02-13,13.54,13.73,CSE,13.719582,1886200,13.72,13.76
35,2014-02-12,13.80,13.84,CSE,13.8295,782100,13.84,14.00
36,2014-02-11,13.63,13.83,CSE,13.819507,637200,13.68,13.93
37,2014-02-10,13.56,13.68,CSE,13.669621,1020900,13.71,13.80
38,2014-02-07,13.52,13.68,CSE,13.669621,929900,13.63,13.75
39,2014-02-06,13.41,13.57,CSE,13.559704,767500,13.41,13.57
40,2014-02-05,13.32,13.43,CSE,13.419811,748700,13.48,13.51
41,2014-02-04,13.16,13.51,CSE,13.49975,1127400,13.16,13.52
42,2014-02-03,13.11,13.13,CSE,13.120038,1423600,13.69,13.74
43,2014-01-31,13.65,13.73,CSE,13.719582,744200,13.77,13.86
44,2014-01-30,13.76,13.92,CSE,13.909439,870200,13.90,14.03
45,2014-01-29,13.80,13.82,CSE,13.809514,975100,14.05,14.12
46,2014-01-28,14.16,14.18,CSE,14.169242,1069500,14.18,14.36
47,2014-01-27,14.12,14.13,CSE,14.11928,1637600,14.53,14.65
48,2014-01-24,14.42,14.55,CSE,14.538961,1781300,14.56,14.64
49,2014-01-23,14.15,14.61,CSE,14.598915,2062400,14.61,14.61
50,2014-01-22,14.62,14.68,CSE,14.668862,1142800,14.67,14.74
51,2014-01-21,14.52,14.69,CSE,14.678854,835600,14.55,14.75
52,2014-01-17,14.39,14.45,CSE,14.439036,834000,14.46,14.48
53,2014-01-16,14.31,14.44,CSE,14.429044,678900,14.41,14.46
54,2014-01-15,14.38,14.44,CSE,14.429044,1149900,14.51,14.57
55,2014-01-14,14.48,14.50,CSE,14.488999,980300,14.69,14.72
56,2014-01-13,14.55,14.58,CSE,14.568938,3762900,14.73,14.81
57,2014-01-10,14.68,14.75,CSE,14.738809,704500,14.78,14.84
58,2014-01-09,14.63,14.77,CSE,14.758794,1473600,14.69,14.78
59,2014-01-08,14.55,14.64,CSE,14.628893,1351200,14.59,14.64
60,2014-01-07,14.13,14.56,CSE,14.548954,1846200,14.19,14.72
61,2014-01-06,14.04,14.09,CSE,14.07931,775500,14.18,14.22
62,2014-01-03,14.05,14.12,CSE,14.109287,607600,14.05,14.19
63,2014-01-02,14.05,14.05,CSE,14.03934,1391800,14.31,14.34
64,2013-12-31,14.24,14.37,CSE,14.359097,674900,14.27,14.39
65,2013-12-30,14.18,14.27,CSE,14.259174,555400,14.29,14.32
66,2013-12-27,14.27,14.31,CSE,14.299143,492100,14.39,14.44
67,2013-12-26,14.40,14.41,CSE,14.399067,550400,14.50,14.54
68,2013-12-24,14.46,14.48,CSE,14.469013,555900,14.50,14.56
69,2013-12-23,14.21,14.50,CSE,14.488999,1723100,14.23,14.56
70,2013-12-20,14.17,14.19,CSE,14.179234,3046900,14.24,14.35
71,2013-12-19,14.24,14.24,CSE,14.229196,628500,14.32,14.43
72,2013-12-18,14.19,14.37,CSE,14.359097,1890300,14.34,14.41
73,2013-12-17,14.24,14.33,CSE,14.319128,777700,14.38,14.39
74,2013-12-16,14.16,14.38,CSE,14.36909,1652600,14.17,14.43
75,2013-12-13,13.97,14.16,CSE,14.149257,894400,14.18,14.24
76,2013-12-12,14.12,14.13,CSE,14.11928,829600,14.22,14.32
77,2013-12-11,14.12,14.21,CSE,14.199219,1108800,14.18,14.26
78,2013-12-10,14.16,14.19,CSE,14.169241,772900,14.32,14.40
79,2013-12-09,14.27,14.36,CSE,14.338992,1156800,14.48,14.64
80,2013-12-06,14.19,14.33,CSE,14.309036,1654400,14.23,14.36
81,2013-12-05,14.09,14.13,CSE,14.109329,1284800,14.09,14.22
82,2013-12-04,13.90,14.16,CSE,14.139285,1418000,13.91,14.17
83,2013-12-03,13.78,13.95,CSE,13.929592,1244100,13.96,14.08
84,2013-12-02,13.96,13.97,CSE,13.949563,729400,14.02,14.23
85,2013-11-29,14.00,14.06,CSE,14.039432,261400,14.06,14.11
86,2013-11-27,14.05,14.08,CSE,14.059402,627400,14.13,14.24
87,2013-11-26,13.88,14.12,CSE,14.099343,1182600,13.91,14.13
88,2013-11-25,13.83,13.88,CSE,13.859695,970000,13.95,13.97
89,2013-11-22,13.67,13.95,CSE,13.929592,1030600,13.72,13.96
90,2013-11-21,13.52,13.74,CSE,13.719899,1581800,13.53,13.84
91,2013-11-20,13.46,13.53,CSE,13.510206,504800,13.53,13.61
92,2013-11-19,13.36,13.53,CSE,13.510206,828800,13.41,13.55
93,2013-11-18,13.34,13.40,CSE,13.380396,690300,13.44,13.54
94,2013-11-15,13.32,13.44,CSE,13.420338,974600,13.53,13.53
95,2013-11-14,13.41,13.51,CSE,13.490236,1658800,13.45,13.57
96,2013-11-13,13.31,13.42,CSE,13.400367,1009700,13.36,13.43
97,2013-11-12,13.36,13.40,CSE,13.380396,822900,13.43,13.48
98,2013-11-11,13.41,13.43,CSE,13.410353,694500,13.57,13.58
99,2013-11-08,13.18,13.58,CSE,13.560133,723000,13.20,13.63
100,2013-11-07,13.15,13.17,CSE,13.150733,596400,13.36,13.41
101,2013-11-06,13.21,13.29,CSE,13.270558,2945200,13.24,13.33
102,2013-11-05,13.06,13.17,CSE,13.150733,860200,13.08,13.26
