,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,DOF.OL,2016-07-27,1.10,1.08,661300,1.16,1.10,1.16
1,DOF.OL,2016-07-26,1.12,1.07,2076600,1.08,1.12,1.17
2,DOF.OL,2016-07-25,1.03,1.02,1270700,1.05,1.03,1.06
3,DOF.OL,2016-07-22,1.05,1.03,1873300,1.09,1.05,1.09
4,DOF.OL,2016-07-21,1.10,1.10,1670600,1.16,1.10,1.18
5,DOF.OL,2016-07-20,1.14,1.14,1232500,1.22,1.14,1.27
6,DOF.OL,2016-07-19,1.17,1.15,1506500,1.22,1.17,1.22
7,DOF.OL,2016-07-18,1.19,1.14,3472700,1.30,1.19,1.35
8,DOF.OL,2016-07-15,1.18,1.01,1626700,1.04,1.18,1.27
9,DOF.OL,2016-07-14,1.02,1.01,299500,1.02,1.02,1.03
10,DOF.OL,2016-07-13,1.01,1.01,1030500,1.03,1.01,1.04
11,DOF.OL,2016-07-12,1.00,1.00,1415300,1.05,1.00,1.05
12,DOF.OL,2016-07-11,1.05,1.03,588300,1.07,1.05,1.08
13,DOF.OL,2016-07-08,1.04,1.04,835000,1.12,1.04,1.14
14,DOF.OL,2016-07-07,1.07,1.05,561900,1.13,1.07,1.13
15,DOF.OL,2016-07-06,1.01186,0.99411,590900,1.07399,1.01186,1.07399
16,DOF.OL,2016-07-05,1.03849,1.02073,465600,1.06511,1.03849,1.10949
17,DOF.OL,2016-07-04,1.04736,1.04736,360100,1.04736,1.04736,1.06511
18,DOF.OL,2016-07-01,1.02961,1.00298,246200,1.04736,1.02961,1.05624
19,DOF.OL,2016-06-30,1.01186,1.00298,883900,1.03849,1.01186,1.05624
20,DOF.OL,2016-06-29,1.02073,1.00298,459200,1.04736,1.02073,1.05624
21,DOF.OL,2016-06-28,1.00298,0.97635,420400,0.97635,1.00298,1.04736
22,DOF.OL,2016-06-27,0.97635,0.9586,334300,1.00298,0.97635,1.02961
23,DOF.OL,2016-06-24,1.00298,0.94973,1017600,0.99411,1.00298,1.01186
24,DOF.OL,2016-06-23,1.04736,1.00298,337600,1.02961,1.04736,1.04736
25,DOF.OL,2016-06-22,0.98523,0.98523,292500,0.99411,0.98523,1.02961
26,DOF.OL,2016-06-21,0.98523,0.97635,1189500,1.05624,0.98523,1.05624
27,DOF.OL,2016-06-20,1.02961,1.02073,815800,1.02073,1.02961,1.05624
28,DOF.OL,2016-06-17,1.00298,1.00298,624400,1.02961,1.00298,1.04736
29,DOF.OL,2016-06-16,1.00298,0.98523,1594500,1.09174,1.00298,1.09174
30,DOF.OL,2016-06-15,1.10949,1.09174,562100,1.10949,1.10949,1.145
31,DOF.OL,2016-06-14,1.10949,1.08287,1368400,1.17163,1.10949,1.17163
32,DOF.OL,2016-06-13,1.15387,1.13612,2164200,1.25151,1.15387,1.26038
33,DOF.OL,2016-06-10,1.30476,1.28701,981200,1.33139,1.30476,1.38465
34,DOF.OL,2016-06-09,1.33139,1.33139,2169100,1.45566,1.33139,1.49116
35,DOF.OL,2016-06-08,1.4024,1.38465,4189500,1.56217,1.4024,1.67755
36,DOF.OL,2016-06-07,1.52666,1.50891,9931400,1.92608,1.52666,1.92608
37,DOF.OL,2016-06-06,3.79003,3.68352,43300,3.68352,3.79003,3.81666
38,DOF.OL,2016-06-03,3.63914,3.57701,7800,3.57701,3.63914,3.66577
39,DOF.OL,2016-06-02,3.55038,3.52375,68400,3.55038,3.55038,3.65689
40,DOF.OL,2016-06-01,3.55038,3.55038,52600,3.63026,3.55038,3.63026
41,DOF.OL,2016-05-31,3.61251,3.61251,1200,3.61251,3.61251,3.61251
42,DOF.OL,2016-05-30,3.55038,3.51488,43500,3.82553,3.55038,3.82553
43,DOF.OL,2016-05-27,3.82553,3.56813,85600,3.65689,3.82553,3.82553
44,DOF.OL,2016-05-26,3.67464,3.63026,10200,3.6924,3.67464,3.6924
45,DOF.OL,2016-05-25,3.63026,3.58588,20500,3.65689,3.63026,3.65689
46,DOF.OL,2016-05-24,3.67464,3.59476,37200,3.67464,3.67464,3.68352
47,DOF.OL,2016-05-23,3.71902,3.63914,66400,3.65689,3.71902,3.7279
48,DOF.OL,2016-05-20,3.78115,3.64802,36000,3.79891,3.78115,3.80778
49,DOF.OL,2016-05-19,3.71902,3.63914,5200,3.63914,3.71902,3.7279
50,DOF.OL,2016-05-18,3.61251,3.55926,84800,3.64802,3.61251,3.68352
51,DOF.OL,2016-05-17,3.64802,3.64802,000,3.64802,3.64802,3.64802
52,DOF.OL,2016-05-16,3.64802,3.64802,000,3.64802,3.64802,3.64802
53,DOF.OL,2016-05-13,3.64802,3.45274,52000,3.67464,3.64802,3.68352
54,DOF.OL,2016-05-12,3.62139,3.59476,43700,3.71015,3.62139,3.71015
55,DOF.OL,2016-05-11,3.64802,3.64802,71100,3.68352,3.64802,3.73677
56,DOF.OL,2016-05-10,3.68352,3.68352,41800,3.83441,3.68352,3.83441
57,DOF.OL,2016-05-09,3.63914,3.63914,58600,3.71015,3.63914,3.71902
