,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,285.00,286.75,DVO.L,286.75,80600,290.00,290.00
1,2016-07-27,276.25,285.00,DVO.L,285.00,103000,284.75,286.50
2,2016-07-26,275.00,276.75,DVO.L,276.75,58900,283.25,284.985
3,2016-07-25,278.00,278.50,DVO.L,278.50,99100,281.50,287.313
4,2016-07-22,281.50,282.50,DVO.L,282.50,68300,285.00,290.00
5,2016-07-21,281.50,288.00,DVO.L,288.00,149300,281.50,290.668
6,2016-07-20,271.00,284.50,DVO.L,284.50,132000,271.00,290.00
7,2016-07-19,271.75,273.50,DVO.L,273.50,43100,280.00,280.00
8,2016-07-18,271.00,277.50,DVO.L,277.50,72600,271.00,279.75
9,2016-07-15,271.00,274.00,DVO.L,274.00,48800,280.00,280.00
10,2016-07-14,272.75,272.75,DVO.L,272.75,93900,275.00,280.05
11,2016-07-13,274.00,277.25,DVO.L,277.25,139100,284.50,284.50
12,2016-07-12,277.00,277.25,DVO.L,277.25,131000,287.00,288.90
13,2016-07-11,283.00,287.00,DVO.L,287.00,144400,283.00,291.04
14,2016-07-08,277.816,289.00,DVO.L,289.00,230700,285.00,289.75
15,2016-07-07,272.05,280.75,DVO.L,280.75,147300,273.50,283.649
16,2016-07-06,265.75,265.75,DVO.L,265.75,136500,270.00,275.00
17,2016-07-05,270.00,270.00,DVO.L,270.00,95700,270.00,275.00
18,2016-07-04,265.875,275.00,DVO.L,275.00,256400,268.00,278.00
19,2016-07-01,258.00,264.75,DVO.L,264.75,113100,260.00,267.78
20,2016-06-30,256.91,259.25,DVO.L,259.25,159000,264.50,264.50
21,2016-06-29,247.00,259.50,DVO.L,259.50,120700,247.00,263.00
22,2016-06-28,245.15,249.25,DVO.L,249.25,148500,245.50,255.00
23,2016-06-27,245.75,246.25,DVO.L,246.25,148100,253.00,255.00
24,2016-06-24,240.00,249.00,DVO.L,249.00,409800,254.00,255.856
25,2016-06-23,246.50,253.25,DVO.L,253.25,402800,246.50,255.00
26,2016-06-22,247.00,248.00,DVO.L,248.00,340600,253.50,256.00
27,2016-06-21,246.00,248.25,DVO.L,248.25,83900,255.00,255.00
28,2016-06-20,250.00,250.00,DVO.L,250.00,125100,253.00,255.89
29,2016-06-17,244.00,246.00,DVO.L,246.00,189100,244.00,247.75
30,2016-06-16,243.455,244.00,DVO.L,244.00,195200,252.50,252.50
31,2016-06-15,246.00,248.00,DVO.L,248.00,216500,251.50,254.188
32,2016-06-14,250.50,251.25,DVO.L,251.25,175700,254.50,263.50
33,2016-06-13,256.25,256.25,DVO.L,256.25,78200,257.00,264.31
34,2016-06-10,257.25,257.50,DVO.L,257.50,44100,260.00,263.765
35,2016-06-09,258.00,258.00,DVO.L,258.00,70800,260.00,262.25
36,2016-06-08,258.00,261.00,DVO.L,261.00,76100,258.00,269.50
37,2016-06-07,256.50,262.50,DVO.L,262.50,327500,258.00,265.25
38,2016-06-06,255.00,256.00,DVO.L,256.00,96300,260.00,262.15
39,2016-06-03,256.00,261.75,DVO.L,261.75,102400,256.00,263.75
40,2016-06-02,252.00,256.25,DVO.L,256.25,126000,252.00,256.75
41,2016-06-01,251.75,252.00,DVO.L,252.00,123000,258.00,258.00
42,2016-05-31,250.25,250.75,DVO.L,250.75,2092100,256.75,256.75
43,2016-05-30,251.00,251.00,DVO.L,251.00,000,251.00,251.00
44,2016-05-27,250.25,251.00,DVO.L,251.00,105400,255.00,256.25
45,2016-05-26,251.25,254.25,DVO.L,254.25,427900,252.75,255.00
46,2016-05-25,252.50,254.00,DVO.L,254.00,257200,256.00,256.00
47,2016-05-24,252.00,253.50,DVO.L,253.50,261000,252.50,255.00
48,2016-05-23,248.00,252.75,DVO.L,252.75,304800,248.00,254.00
49,2016-05-20,245.50,248.00,DVO.L,248.00,260000,260.00,261.90
50,2016-05-19,260.00,260.25,DVO.L,260.25,254100,268.00,275.75
51,2016-05-18,266.75,270.25,DVO.L,270.25,69700,273.00,273.00
52,2016-05-17,266.50,266.50,DVO.L,266.50,95000,277.00,277.00
53,2016-05-16,267.41,271.50,DVO.L,271.50,855800,275.00,277.36
54,2016-05-13,265.00,268.00,DVO.L,268.00,474800,265.25,271.75
55,2016-05-12,270.00,270.75,DVO.L,270.75,70800,270.00,275.75
56,2016-05-11,270.00,272.50,DVO.L,272.50,249900,270.00,275.185
57,2016-05-10,272.25,273.00,DVO.L,273.00,97100,280.00,280.70
58,2016-05-09,267.00,275.00,DVO.L,275.00,64700,271.363,279.75
59,2016-05-06,262.25,270.75,DVO.L,270.75,103300,270.00,272.00
60,2016-05-05,265.00,265.25,DVO.L,265.25,129200,268.25,273.20
61,2016-05-04,267.75,267.75,DVO.L,267.75,271900,273.00,275.646
62,2016-05-03,273.25,274.00,DVO.L,274.00,152000,280.00,282.083
63,2016-04-29,277.50,279.25,DVO.L,279.25,83500,288.00,288.00
64,2016-04-28,280.00,280.25,DVO.L,280.25,211300,280.00,287.25
65,2016-04-27,274.50,281.75,DVO.L,281.75,213000,274.50,285.00
66,2016-04-26,263.00,273.25,DVO.L,273.25,553200,263.00,277.50
67,2016-04-25,263.00,264.75,DVO.L,264.75,72300,266.00,268.83
68,2016-04-22,264.75,264.75,DVO.L,264.75,114500,273.00,273.00
69,2016-04-21,265.40,266.25,DVO.L,266.25,94500,267.00,271.25
70,2016-04-20,262.00,268.00,DVO.L,268.00,113800,262.00,270.00
71,2016-04-19,258.00,264.25,DVO.L,264.25,204800,265.00,270.50
72,2016-04-18,265.00,265.00,DVO.L,265.00,181900,272.00,277.00
73,2016-04-15,272.00,274.75,DVO.L,274.75,70000,272.50,278.75
74,2016-04-14,254.087,271.25,DVO.L,271.25,190700,284.00,285.709
75,2016-04-13,283.75,283.75,DVO.L,283.75,62200,288.00,288.00
76,2016-04-12,286.00,286.00,DVO.L,286.00,27700,286.00,287.125
77,2016-04-11,283.25,283.25,DVO.L,283.25,45700,288.00,295.00
78,2016-04-08,285.00,288.00,DVO.L,288.00,69400,288.00,293.719
79,2016-04-07,280.25,291.00,DVO.L,291.00,816800,285.00,291.00
80,2016-04-06,283.00,285.00,DVO.L,285.00,108400,286.00,288.156
81,2016-04-05,285.00,285.00,DVO.L,285.00,86200,292.00,292.00
82,2016-04-04,287.00,289.50,DVO.L,289.50,85400,291.25,292.00
83,2016-04-01,287.75,287.75,DVO.L,287.75,98700,297.00,297.00
84,2016-03-31,291.00,294.25,DVO.L,294.25,152500,295.00,296.15
85,2016-03-30,288.00,292.00,DVO.L,292.00,97900,292.00,292.50
86,2016-03-29,288.00,288.00,DVO.L,288.00,33300,294.00,294.00
87,2016-03-28,288.75,288.75,DVO.L,288.75,000,288.75,288.75
88,2016-03-24,288.75,288.75,DVO.L,288.75,31500,295.00,295.00
89,2016-03-23,293.00,295.00,DVO.L,288.90,80500,300.00,300.00
90,2016-03-22,292.50,293.00,DVO.L,286.941,829300,295.00,296.691
91,2016-03-21,291.00,291.25,DVO.L,285.228,183400,291.00,294.75
92,2016-03-18,289.75,289.75,DVO.L,283.759,265800,305.00,305.00
93,2016-03-17,296.00,301.00,DVO.L,294.776,39700,310.00,310.00
94,2016-03-16,303.25,307.50,DVO.L,301.142,65300,307.00,309.75
95,2016-03-15,304.25,307.00,DVO.L,300.652,51600,308.75,309.00
96,2016-03-14,304.25,306.75,DVO.L,300.407,73600,308.00,308.397
97,2016-03-11,302.50,305.75,DVO.L,299.428,57300,305.00,308.00
98,2016-03-10,305.75,306.75,DVO.L,300.407,125400,312.25,316.00
99,2016-03-09,312.00,316.25,DVO.L,309.711,98600,312.00,319.00
100,2016-03-08,315.00,317.00,DVO.L,310.445,188500,315.00,319.00
101,2016-03-07,315.00,315.25,DVO.L,308.731,350000,318.00,319.00
102,2016-03-04,311.50,317.00,DVO.L,310.445,227000,315.00,318.00
103,2016-03-03,310.00,315.00,DVO.L,308.486,304600,315.00,320.00
104,2016-03-02,307.25,312.75,DVO.L,306.283,329400,312.75,315.00
105,2016-03-01,301.343,311.50,DVO.L,305.059,94200,315.00,315.00
106,2016-02-29,302.00,310.00,DVO.L,303.59,151900,308.75,317.00
