,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,600157.SS,2016-07-28,3.99,3.93,32070200,4.01,3.99,4.03
1,600157.SS,2016-07-27,4.00,3.96,57793700,4.18,4.00,4.23
2,600157.SS,2016-07-26,4.18,4.13,27867400,4.15,4.18,4.20
3,600157.SS,2016-07-25,4.15,4.12,17664100,4.16,4.15,4.18
4,600157.SS,2016-07-22,4.14,4.12,29551300,4.20,4.14,4.20
5,600157.SS,2016-07-21,4.20,4.18,26255500,4.20,4.20,4.24
6,600157.SS,2016-07-20,4.22,4.16,32147600,4.20,4.22,4.24
7,600157.SS,2016-07-19,4.21,4.14,25419600,4.18,4.21,4.23
8,600157.SS,2016-07-18,4.19,4.14,37707600,4.26,4.19,4.27
9,600157.SS,2016-07-15,4.28,4.26,38842600,4.32,4.28,4.39
10,600157.SS,2016-07-14,4.31,4.22,52260300,4.26,4.31,4.33
11,600157.SS,2016-07-13,4.27,4.21,69834700,4.33,4.27,4.33
12,600157.SS,2016-07-12,4.33,4.06,153992500,4.09,4.33,4.50
13,600157.SS,2016-07-11,4.09,4.01,64391100,4.04,4.09,4.12
14,600157.SS,2016-07-08,4.02,4.02,30148100,4.07,4.02,4.07
15,600157.SS,2016-07-07,4.08,4.02,50143700,4.05,4.08,4.11
16,600157.SS,2016-07-06,4.04,4.00,29296100,4.05,4.04,4.06
17,600157.SS,2016-07-05,4.04,3.99,53638900,3.99,4.04,4.07
18,600157.SS,2016-07-04,3.99,3.90,59343500,3.92,3.99,4.03
19,600157.SS,2016-07-01,3.93,3.92,17957100,3.94,3.93,3.97
20,600157.SS,2016-06-30,3.94,3.93,21098700,3.98,3.94,3.98
21,600157.SS,2016-06-29,3.98,3.95,26841100,4.00,3.98,4.00
22,600157.SS,2016-06-28,3.97,3.92,29728400,3.97,3.97,3.98
23,600157.SS,2016-06-27,3.97,3.88,32750100,3.91,3.97,4.02
24,600157.SS,2016-06-24,3.92,3.85,35709300,3.97,3.92,4.01
25,600157.SS,2016-06-23,4.01,3.93,50488000,3.97,4.01,4.09
26,600157.SS,2016-06-22,3.96,3.89,32286200,3.90,3.96,3.98
27,600157.SS,2016-06-21,3.89,3.87,23037700,3.92,3.89,3.95
28,600157.SS,2016-06-20,3.90,3.88,33973700,3.97,3.90,3.97
29,600157.SS,2016-06-17,3.98,3.88,37712300,3.92,3.98,4.02
30,600157.SS,2016-06-16,3.91,3.86,27263800,3.97,3.91,3.97
31,600157.SS,2016-06-15,3.96,3.83,25427200,3.86,3.96,3.98
32,600157.SS,2016-06-14,3.90,3.86,17628500,3.92,3.90,3.92
33,600157.SS,2016-06-13,3.90,3.87,34698400,4.04,3.90,4.05
34,600157.SS,2016-06-10,4.08,4.08,000,4.08,4.08,4.08
35,600157.SS,2016-06-09,4.08,4.08,000,4.08,4.08,4.08
36,600157.SS,2016-06-08,4.08,4.05,18300800,4.09,4.08,4.12
37,600157.SS,2016-06-07,4.09,4.06,17218600,4.07,4.09,4.13
38,600157.SS,2016-06-06,4.09,4.08,18340900,4.12,4.09,4.15
39,600157.SS,2016-06-03,4.12,4.11,24857300,4.16,4.12,4.17
40,600157.SS,2016-06-02,4.15,4.10,29703400,4.12,4.15,4.17
41,600157.SS,2016-06-01,4.13,4.10,33899500,4.13,4.13,4.17
42,600157.SS,2016-05-31,4.13,4.00,40471300,4.00,4.13,4.14
43,600157.SS,2016-05-30,4.01,3.97,11343000,4.02,4.01,4.03
44,600157.SS,2016-05-27,4.02,3.97,11826700,4.00,4.02,4.04
45,600157.SS,2016-05-26,4.02,3.93,17894800,4.03,4.02,4.05
46,600157.SS,2016-05-25,4.03,4.00,21969500,4.06,4.03,4.09
47,600157.SS,2016-05-24,4.06,4.02,22794800,4.03,4.06,4.06
48,600157.SS,2016-05-23,4.07,4.02,22309300,4.02,4.07,4.10
49,600157.SS,2016-05-20,4.01,3.87,31206800,3.92,4.01,4.02
50,600157.SS,2016-05-19,3.94,3.94,18962400,3.98,3.94,4.01
51,600157.SS,2016-05-18,3.97,3.90,30269500,4.08,3.97,4.08
52,600157.SS,2016-05-17,4.10,4.06,26928600,4.09,4.10,4.16
53,600157.SS,2016-05-16,4.10,4.04,21421600,4.08,4.10,4.13
54,600157.SS,2016-05-13,4.09,4.03,22400000,4.16,4.09,4.19
55,600157.SS,2016-05-12,4.15,4.00,27632300,4.12,4.15,4.16
56,600157.SS,2016-05-11,4.12,4.08,36811000,4.20,4.12,4.21
57,600157.SS,2016-05-10,4.16,3.94,73812000,3.96,4.16,4.23
58,600157.SS,2016-05-09,3.94,3.91,49876900,4.11,3.94,4.12
59,600157.SS,2016-05-06,4.12,4.08,61437400,4.38,4.12,4.39
60,600157.SS,2016-05-05,4.38,4.33,34907300,4.37,4.38,4.41
61,600157.SS,2016-05-04,4.39,4.36,44961700,4.45,4.39,4.45
62,600157.SS,2016-05-03,4.46,4.37,44330300,4.45,4.46,4.46
63,600157.SS,2016-05-02,4.41,4.41,000,4.41,4.41,4.41
64,600157.SS,2016-04-29,4.41,4.39,34786500,4.40,4.41,4.51
65,600157.SS,2016-04-28,4.49,4.32,84487100,4.34,4.49,4.56
66,600157.SS,2016-04-27,4.34,4.33,42767400,4.42,4.34,4.42
67,600157.SS,2016-04-26,4.41,4.29,55556300,4.52,4.41,4.52
68,600157.SS,2016-04-25,4.46,4.41,50905100,4.56,4.46,4.56
69,600157.SS,2016-04-22,4.52,4.36,77849200,4.45,4.52,4.58
70,600157.SS,2016-04-21,4.54,4.46,124393400,4.57,4.54,4.68
71,600157.SS,2016-04-20,4.54,4.33,182535800,4.70,4.54,4.83
72,600157.SS,2016-04-19,4.74,4.61,251273300,4.96,4.74,4.97
73,600157.SS,2016-04-18,4.83,4.32,295999300,4.39,4.83,4.83
74,600157.SS,2016-04-15,4.39,4.16,175365300,4.31,4.39,4.39
75,600157.SS,2016-04-14,3.99,3.99,000,3.99,3.99,3.99
76,600157.SS,2016-04-13,3.99,3.99,000,3.99,3.99,3.99
77,600157.SS,2016-04-12,3.99,3.99,000,3.99,3.99,3.99
78,600157.SS,2016-04-11,3.99,3.99,000,3.99,3.99,3.99
79,600157.SS,2016-04-08,3.99,3.82,65359900,3.90,3.99,4.02
80,600157.SS,2016-04-07,3.91,3.89,42543100,3.99,3.91,4.01
81,600157.SS,2016-04-06,3.98,3.95,27730000,3.98,3.98,4.02
82,600157.SS,2016-04-05,4.02,3.91,58395700,3.93,4.02,4.03
83,600157.SS,2016-04-04,3.94,3.94,000,3.94,3.94,3.94
84,600157.SS,2016-04-01,3.94,3.87,41285000,3.90,3.94,3.95
85,600157.SS,2016-03-31,3.91,3.86,36962800,3.94,3.91,3.98
86,600157.SS,2016-03-30,3.92,3.84,27954400,3.84,3.92,3.93
87,600157.SS,2016-03-29,3.84,3.80,25788700,3.88,3.84,3.88
88,600157.SS,2016-03-28,3.87,3.84,31123900,3.91,3.87,3.93
89,600157.SS,2016-03-25,3.90,3.86,20654300,3.88,3.90,3.92
90,600157.SS,2016-03-24,3.90,3.89,37997300,3.97,3.90,3.97
91,600157.SS,2016-03-23,3.99,3.92,40466200,4.00,3.99,4.05
92,600157.SS,2016-03-22,3.99,3.97,36508700,4.00,3.99,4.03
93,600157.SS,2016-03-21,4.03,3.95,61251600,4.00,4.03,4.04
94,600157.SS,2016-03-18,3.95,3.86,48468900,3.88,3.95,4.00
95,600157.SS,2016-03-17,3.86,3.80,28109900,3.84,3.86,3.89
96,600157.SS,2016-03-16,3.80,3.80,15663400,3.86,3.80,3.87
97,600157.SS,2016-03-15,3.84,3.80,26322100,3.92,3.84,3.92
98,600157.SS,2016-03-14,3.90,3.84,26338400,3.85,3.90,3.95
99,600157.SS,2016-03-11,3.81,3.75,17625200,3.80,3.81,3.84
100,600157.SS,2016-03-10,3.81,3.80,22010200,3.86,3.81,3.90
101,600157.SS,2016-03-09,3.85,3.80,36020800,3.87,3.85,3.92
102,600157.SS,2016-03-08,4.02,3.91,56273800,4.13,4.02,4.15
103,600157.SS,2016-03-07,4.07,3.98,77930000,4.01,4.07,4.09
104,600157.SS,2016-03-04,3.98,3.78,92496000,3.90,3.98,4.05
105,600157.SS,2016-03-03,3.91,3.90,58510100,3.93,3.91,4.03
106,600157.SS,2016-03-02,3.90,3.68,61140000,3.70,3.90,3.92
107,600157.SS,2016-03-01,3.71,3.58,44820000,3.65,3.71,3.82
108,600157.SS,2016-02-29,3.62,3.55,56254300,3.72,3.62,3.83
109,600157.SS,2016-02-26,3.84,3.63,47221400,3.76,3.84,3.86
110,600157.SS,2016-02-25,3.72,3.65,50131500,4.02,3.72,4.07
111,600157.SS,2016-02-24,4.05,3.96,38645600,4.00,4.05,4.07
112,600157.SS,2016-02-23,4.02,3.95,45687300,4.08,4.02,4.08
113,600157.SS,2016-02-22,4.08,3.96,71334000,3.96,4.08,4.25
114,600157.SS,2016-02-19,3.92,3.85,22835900,3.91,3.92,3.95
115,600157.SS,2016-02-18,3.91,3.90,42726300,3.90,3.91,4.07
116,600157.SS,2016-02-17,3.90,3.85,34138400,3.87,3.90,3.94
117,600157.SS,2016-02-16,3.89,3.78,39688000,3.78,3.89,3.92
118,600157.SS,2016-02-15,3.80,3.60,28139200,3.61,3.80,3.84
119,600157.SS,2016-02-12,3.76,3.76,000,3.76,3.76,3.76
120,600157.SS,2016-02-11,3.76,3.76,000,3.76,3.76,3.76
121,600157.SS,2016-02-10,3.76,3.76,000,3.76,3.76,3.76
122,600157.SS,2016-02-09,3.76,3.76,000,3.76,3.76,3.76
123,600157.SS,2016-02-08,3.76,3.76,000,3.76,3.76,3.76
124,600157.SS,2016-02-05,3.76,3.71,34048100,3.73,3.76,3.77
125,600157.SS,2016-02-04,3.72,3.67,28887600,3.70,3.72,3.74
126,600157.SS,2016-02-03,3.67,3.60,20226100,3.64,3.67,3.69
127,600157.SS,2016-02-02,3.70,3.61,23483300,3.67,3.70,3.72
128,600157.SS,2016-02-01,3.63,3.56,26722000,3.77,3.63,3.77
129,600157.SS,2016-01-29,3.66,3.49,32153700,3.50,3.66,3.68
130,600157.SS,2016-01-28,3.52,3.50,37371300,3.65,3.52,3.76
131,600157.SS,2016-01-27,3.64,3.44,52740300,3.79,3.64,3.82
132,600157.SS,2016-01-26,3.73,3.72,54688400,4.04,3.73,4.08
133,600157.SS,2016-01-25,4.13,4.05,58665800,4.12,4.13,4.21
134,600157.SS,2016-01-22,4.04,3.99,30816000,4.05,4.04,4.12
135,600157.SS,2016-01-21,3.97,3.95,35782000,4.05,3.97,4.13
136,600157.SS,2016-01-20,4.07,4.02,36480000,4.18,4.07,4.18
137,600157.SS,2016-01-19,4.15,4.01,39075600,4.10,4.15,4.15
138,600157.SS,2016-01-18,4.05,3.80,50711500,3.92,4.05,4.09
139,600157.SS,2016-01-15,3.99,3.95,44414600,4.11,3.99,4.17
140,600157.SS,2016-01-14,4.20,3.89,59015700,4.00,4.20,4.28
141,600157.SS,2016-01-13,4.08,4.05,61549100,4.19,4.08,4.34
142,600157.SS,2016-01-12,4.15,4.03,66886300,4.21,4.15,4.27
143,600157.SS,2016-01-11,4.24,4.24,159522700,4.50,4.24,4.63
144,600157.SS,2016-01-08,4.71,4.18,186809900,4.46,4.71,4.79
145,600157.SS,2016-01-07,4.35,4.35,33409400,4.74,4.35,4.76
146,600157.SS,2016-01-06,4.83,4.36,116850100,4.40,4.83,4.83
147,600157.SS,2016-01-05,4.39,4.10,63303400,4.24,4.39,4.52
148,600157.SS,2016-01-04,4.30,4.30,43017100,4.77,4.30,4.77
149,600157.SS,2016-01-01,4.77,4.77,000,4.77,4.77,4.77
150,600157.SS,2015-12-31,4.77,4.75,32479900,4.85,4.77,4.90
151,600157.SS,2015-12-30,4.84,4.79,32858500,4.86,4.84,4.88
152,600157.SS,2015-12-29,4.85,4.71,44272400,4.86,4.85,4.88
153,600157.SS,2015-12-28,4.82,4.81,53690800,5.02,4.82,5.06
154,600157.SS,2015-12-25,5.02,5.00,37289500,5.01,5.02,5.07
155,600157.SS,2015-12-24,5.06,4.91,82585300,4.91,5.06,5.15
156,600157.SS,2015-12-23,4.97,4.88,61167300,5.00,4.97,5.02
157,600157.SS,2015-12-22,4.99,4.94,56459000,4.98,4.99,5.04
158,600157.SS,2015-12-21,4.98,4.82,101535800,4.85,4.98,5.07
159,600157.SS,2015-12-18,4.82,4.69,72416400,4.74,4.82,4.86
160,600157.SS,2015-12-17,4.75,4.64,57286700,4.67,4.75,4.80
161,600157.SS,2015-12-16,4.63,4.60,32952400,4.61,4.63,4.71
162,600157.SS,2015-12-15,4.61,4.57,35012500,4.69,4.61,4.72
163,600157.SS,2015-12-14,4.67,4.43,44784400,4.47,4.67,4.68
164,600157.SS,2015-12-11,4.50,4.43,37736300,4.56,4.50,4.57
165,600157.SS,2015-12-10,4.55,4.54,28280800,4.55,4.55,4.62
166,600157.SS,2015-12-09,4.56,4.52,30923000,4.59,4.56,4.64
167,600157.SS,2015-12-08,4.59,4.57,43221000,4.76,4.59,4.76
168,600157.SS,2015-12-07,4.77,4.74,35844200,4.80,4.77,4.83
169,600157.SS,2015-12-04,4.79,4.72,50874000,4.89,4.79,4.90
170,600157.SS,2015-12-03,4.90,4.80,50948700,4.84,4.90,4.93
171,600157.SS,2015-12-02,4.84,4.61,61512200,4.82,4.84,4.87
172,600157.SS,2015-12-01,4.81,4.69,52902800,4.80,4.81,4.90
173,600157.SS,2015-11-30,4.82,4.50,82738100,4.86,4.82,4.95
174,600157.SS,2015-11-27,4.89,4.86,139174500,5.15,4.89,5.30
175,600157.SS,2015-11-26,5.17,5.14,82062200,5.17,5.17,5.25
176,600157.SS,2015-11-25,5.15,5.08,50681400,5.09,5.15,5.19
177,600157.SS,2015-11-24,5.13,5.05,57920100,5.15,5.13,5.17
178,600157.SS,2015-11-23,5.17,5.13,109103600,5.33,5.17,5.36
179,600157.SS,2015-11-20,5.32,5.17,146092200,5.20,5.32,5.37
180,600157.SS,2015-11-19,5.21,5.12,64112700,5.14,5.21,5.23
181,600157.SS,2015-11-18,5.14,5.07,68163200,5.16,5.14,5.25
182,600157.SS,2015-11-17,5.16,5.11,118957900,5.16,5.16,5.29
183,600157.SS,2015-11-16,5.11,4.93,49454600,4.96,5.11,5.11
184,600157.SS,2015-11-13,5.05,5.02,77274300,5.12,5.05,5.16
185,600157.SS,2015-11-12,5.19,5.14,100571900,5.26,5.19,5.28
186,600157.SS,2015-11-11,5.30,5.23,130431200,5.40,5.30,5.45
187,600157.SS,2015-11-10,5.27,5.11,147360100,5.17,5.27,5.32
188,600157.SS,2015-11-09,5.21,5.16,192621300,5.21,5.21,5.38
189,600157.SS,2015-11-06,5.26,5.11,135341100,5.12,5.26,5.37
190,600157.SS,2015-11-05,5.18,5.08,139030200,5.14,5.18,5.31
191,600157.SS,2015-11-04,5.15,4.84,109290500,4.84,5.15,5.18
192,600157.SS,2015-11-03,4.83,4.80,40307100,4.85,4.83,4.93
193,600157.SS,2015-11-02,4.85,4.80,52799900,4.89,4.85,4.98
194,600157.SS,2015-10-30,4.93,4.87,51275000,4.96,4.93,4.98
195,600157.SS,2015-10-29,4.96,4.87,64392300,5.00,4.96,5.04
196,600157.SS,2015-10-28,4.98,4.96,65435900,5.05,4.98,5.15
197,600157.SS,2015-10-27,5.09,4.86,89230400,5.18,5.09,5.18
198,600157.SS,2015-10-26,5.18,5.11,90946800,5.27,5.18,5.28
199,600157.SS,2015-10-23,5.17,5.05,104920700,5.09,5.17,5.29
200,600157.SS,2015-10-22,5.09,4.86,103991100,4.90,5.09,5.13
201,600157.SS,2015-10-21,4.98,4.98,165670300,5.42,4.98,5.47
202,600157.SS,2015-10-20,5.53,5.23,171574900,5.30,5.53,5.69
203,600157.SS,2015-10-19,5.33,5.21,160082400,5.25,5.33,5.48
204,600157.SS,2015-10-16,5.31,5.15,209172300,5.30,5.31,5.35
205,600157.SS,2015-10-15,5.38,5.10,298443000,5.17,5.38,5.50
206,600157.SS,2015-10-14,5.03,4.52,147843900,4.55,5.03,5.03
207,600157.SS,2015-10-13,4.57,4.46,64016500,4.51,4.57,4.59
208,600157.SS,2015-10-12,4.56,4.36,113187700,4.39,4.56,4.64
209,600157.SS,2015-10-09,4.38,4.25,75423200,4.27,4.38,4.42
210,600157.SS,2015-10-08,4.27,4.23,47491500,4.31,4.27,4.34
211,600157.SS,2015-10-07,4.13,4.13,000,4.13,4.13,4.13
