,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-01,4.49,4.49,600656.SS,4.49,000,4.49,4.49
1,2016-06-30,4.49,4.49,600656.SS,4.49,000,4.49,4.49
2,2016-06-29,4.49,4.49,600656.SS,4.49,000,4.49,4.49
3,2016-06-28,4.49,4.49,600656.SS,4.49,000,4.49,4.49
4,2016-06-27,4.49,4.49,600656.SS,4.49,000,4.49,4.49
5,2016-06-24,4.49,4.49,600656.SS,4.49,000,4.49,4.49
6,2016-06-23,4.49,4.49,600656.SS,4.49,000,4.49,4.49
7,2016-06-22,4.49,4.49,600656.SS,4.49,000,4.49,4.49
8,2016-06-21,4.49,4.49,600656.SS,4.49,000,4.49,4.49
9,2016-06-20,4.49,4.49,600656.SS,4.49,000,4.49,4.49
10,2016-06-17,4.49,4.49,600656.SS,4.49,000,4.49,4.49
11,2016-06-16,4.49,4.49,600656.SS,4.49,000,4.49,4.49
12,2016-06-15,4.49,4.49,600656.SS,4.49,000,4.49,4.49
13,2016-06-14,4.49,4.49,600656.SS,4.49,000,4.49,4.49
14,2016-06-13,4.49,4.49,600656.SS,4.49,000,4.49,4.49
15,2016-06-10,4.49,4.49,600656.SS,4.49,000,4.49,4.49
16,2016-06-09,4.49,4.49,600656.SS,4.49,000,4.49,4.49
17,2016-06-08,4.49,4.49,600656.SS,4.49,000,4.49,4.49
18,2016-06-07,4.49,4.49,600656.SS,4.49,000,4.49,4.49
19,2016-06-06,4.49,4.49,600656.SS,4.49,000,4.49,4.49
20,2016-06-03,4.49,4.49,600656.SS,4.49,000,4.49,4.49
21,2016-06-02,4.49,4.49,600656.SS,4.49,000,4.49,4.49
22,2016-06-01,4.49,4.49,600656.SS,4.49,000,4.49,4.49
23,2016-05-31,4.49,4.49,600656.SS,4.49,000,4.49,4.49
24,2016-05-30,4.49,4.49,600656.SS,4.49,000,4.49,4.49
25,2016-05-27,4.49,4.49,600656.SS,4.49,000,4.49,4.49
26,2016-05-26,4.49,4.49,600656.SS,4.49,000,4.49,4.49
27,2016-05-25,4.49,4.49,600656.SS,4.49,000,4.49,4.49
28,2016-05-24,4.49,4.49,600656.SS,4.49,000,4.49,4.49
29,2016-05-23,4.49,4.49,600656.SS,4.49,000,4.49,4.49
30,2016-05-20,4.49,4.49,600656.SS,4.49,000,4.49,4.49
31,2016-05-19,4.49,4.49,600656.SS,4.49,000,4.49,4.49
32,2016-05-18,4.49,4.49,600656.SS,4.49,000,4.49,4.49
33,2016-05-17,4.49,4.49,600656.SS,4.49,000,4.49,4.49
34,2016-05-16,4.49,4.49,600656.SS,4.49,000,4.49,4.49
35,2016-05-13,4.49,4.49,600656.SS,4.49,000,4.49,4.49
36,2016-05-12,4.49,4.49,600656.SS,4.49,000,4.49,4.49
37,2016-05-11,4.21,4.49,600656.SS,4.49,19750000,4.43,4.59
38,2016-05-10,4.28,4.37,600656.SS,4.37,13468400,4.64,4.71
39,2016-05-09,4.42,4.63,600656.SS,4.63,9816600,4.48,4.80
40,2016-05-06,4.42,4.47,600656.SS,4.47,7951900,4.71,4.71
41,2016-05-05,4.47,4.69,600656.SS,4.69,11277900,4.50,4.72
42,2016-05-04,4.34,4.50,600656.SS,4.50,8378600,4.41,4.52
43,2016-05-03,4.35,4.39,600656.SS,4.39,8980600,4.65,4.68
44,2016-05-02,4.62,4.62,600656.SS,4.62,000,4.62,4.62
45,2016-04-29,4.61,4.62,600656.SS,4.62,8070100,4.87,4.94
46,2016-04-28,4.67,4.86,600656.SS,4.86,7940700,4.80,4.90
47,2016-04-27,4.84,4.89,600656.SS,4.89,4866900,4.91,4.96
48,2016-04-26,4.88,4.89,600656.SS,4.89,5458500,4.89,5.04
49,2016-04-25,4.64,4.84,600656.SS,4.84,3978400,4.68,4.85
50,2016-04-22,4.56,4.66,600656.SS,4.66,3842700,4.64,4.75
51,2016-04-21,4.60,4.67,600656.SS,4.67,4466800,4.66,4.80
52,2016-04-20,4.53,4.65,600656.SS,4.65,8936900,4.85,5.04
53,2016-04-19,4.81,4.83,600656.SS,4.83,5681700,4.97,5.00
54,2016-04-18,4.58,4.96,600656.SS,4.96,12580400,4.59,5.05
55,2016-04-15,4.43,4.59,600656.SS,4.59,6963100,4.50,4.64
56,2016-04-14,4.37,4.47,600656.SS,4.47,5785300,4.40,4.51
57,2016-04-13,4.32,4.38,600656.SS,4.38,7065100,4.32,4.41
58,2016-04-12,4.27,4.34,600656.SS,4.34,7826100,4.47,4.47
59,2016-04-11,4.28,4.44,600656.SS,4.44,6733200,4.31,4.46
60,2016-04-08,4.25,4.30,600656.SS,4.30,8635700,4.36,4.43
61,2016-04-07,4.21,4.34,600656.SS,4.34,14921700,4.25,4.41
62,2016-04-06,4.12,4.21,600656.SS,4.21,16251800,4.12,4.38
63,2016-04-05,3.92,4.10,600656.SS,4.10,36204300,4.06,4.30
64,2016-04-04,4.30,4.30,600656.SS,4.30,000,4.30,4.30
65,2016-04-01,4.30,4.30,600656.SS,4.30,39394800,4.30,4.33
