,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,FIBI.TA,2016-07-27,57.07,54.07,4100,54.07,57.07,57.10
1,FIBI.TA,2016-07-26,56.16,55.95,1600,56.45,56.16,56.48
2,FIBI.TA,2016-07-25,56.48,55.00,4000,55.00,56.48,56.80
3,FIBI.TA,2016-07-21,56.03,53.66,3800,53.66,56.03,56.32
4,FIBI.TA,2016-07-20,56.42,54.02,10000,54.02,56.42,56.50
5,FIBI.TA,2016-07-19,55.47,55.11,5300,55.11,55.47,55.83
6,FIBI.TA,2016-07-18,55.14,54.69,3000,55.30,55.14,55.80
7,FIBI.TA,2016-07-14,55.30,54.70,3500,54.70,55.30,55.45
8,FIBI.TA,2016-07-13,54.70,54.51,9100,55.03,54.70,55.43
9,FIBI.TA,2016-07-12,55.26,54.98,10900,54.82,55.26,55.74
10,FIBI.TA,2016-07-11,54.82,54.80,5000,54.96,54.82,54.96
11,FIBI.TA,2016-07-07,54.62,53.58,4200,53.58,54.62,55.79
12,FIBI.TA,2016-07-06,54.92,54.33,4100,55.50,54.92,55.25
13,FIBI.TA,2016-07-05,55.50,54.79,1900,56.01,55.50,56.10
14,FIBI.TA,2016-07-04,56.01,55.13,1100,56.13,56.01,56.13
15,FIBI.TA,2016-06-30,56.35,56.24,12400,57.91,56.35,57.91
16,FIBI.TA,2016-06-29,56.86,56.20,7600,57.74,56.86,57.74
17,FIBI.TA,2016-06-28,56.88,53.76,7600,53.76,56.88,56.99
18,FIBI.TA,2016-06-27,55.95,55.00,10200,55.88,55.95,56.10
19,FIBI.TA,2016-06-23,58.09,57.81,4700,58.10,58.09,58.75
20,FIBI.TA,2016-06-22,58.10,55.48,6800,55.48,58.10,58.70
21,FIBI.TA,2016-06-21,57.48,56.12,6500,57.77,57.48,57.77
22,FIBI.TA,2016-06-20,57.35,54.53,12200,55.56,57.35,57.74
23,FIBI.TA,2016-06-16,54.10,52.13,31400,52.62,54.10,54.77
24,FIBI.TA,2016-06-15,52.62,52.26,19200,52.26,52.62,53.00
25,FIBI.TA,2016-06-14,52.23,52.23,66000,52.97,52.23,53.00
26,FIBI.TA,2016-06-13,52.97,52.65,8900,53.25,52.97,53.25
27,FIBI.TA,2016-06-09,53.36,53.10,15200,53.59,53.36,53.76
28,FIBI.TA,2016-06-08,53.59,53.47,7300,53.69,53.59,53.98
29,FIBI.TA,2016-06-07,53.69,53.47,10600,53.63,53.69,53.89
30,FIBI.TA,2016-06-06,53.63,53.47,5900,53.47,53.63,53.73
31,FIBI.TA,2016-06-01,54.01,53.93,6700,54.43,54.01,54.59
32,FIBI.TA,2016-05-31,54.43,54.14,8100,54.29,54.43,55.10
33,FIBI.TA,2016-05-30,54.29,53.45,11000,53.43,54.29,55.00
34,FIBI.TA,2016-05-26,53.20,52.80,10100,53.35,53.20,53.93
35,FIBI.TA,2016-05-25,53.35,53.21,7300,53.40,53.35,53.99
36,FIBI.TA,2016-05-24,53.40,53.06,8900,54.30,53.40,55.04
37,FIBI.TA,2016-05-23,53.49,52.60,11200,53.53,53.49,54.32
38,FIBI.TA,2016-05-19,53.62,53.52,21500,54.08,53.62,54.51
