,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,LONN.VX,2016-07-26,182.60,180.60,28700,181.20,182.60,184.00
1,LONN.VX,2016-07-25,181.00,180.60,30100,181.60,181.00,182.50
2,LONN.VX,2016-07-22,181.70,177.10,42900,177.90,181.70,181.70
3,LONN.VX,2016-07-21,178.70,175.90,46400,178.80,178.70,179.90
4,LONN.VX,2016-07-20,179.10,177.20,139500,178.80,179.10,183.20
5,LONN.VX,2016-07-19,169.30,169.30,24400,170.40,169.30,170.90
6,LONN.VX,2016-07-18,170.30,167.10,27600,168.10,170.30,170.60
7,LONN.VX,2016-07-15,167.70,166.90,26400,167.20,167.70,168.30
8,LONN.VX,2016-07-14,167.30,167.00,22600,168.60,167.30,168.60
9,LONN.VX,2016-07-13,167.70,165.10,31300,165.20,167.70,168.65
10,LONN.VX,2016-07-12,165.20,164.90,17100,165.60,165.20,165.60
11,LONN.VX,2016-07-11,165.20,162.30,44000,162.30,165.20,165.90
12,LONN.VX,2016-07-08,161.50,158.80,36400,159.50,161.50,161.50
13,LONN.VX,2016-07-07,160.70,158.20,43000,158.50,160.70,161.40
14,LONN.VX,2016-07-06,157.10,155.60,63900,160.00,157.10,160.10
15,LONN.VX,2016-07-05,160.90,160.80,49100,165.70,160.90,166.10
16,LONN.VX,2016-07-04,166.00,164.80,13800,166.90,166.00,167.10
17,LONN.VX,2016-07-01,166.50,161.20,38800,161.40,166.50,166.60
18,LONN.VX,2016-06-30,161.20,160.25,53800,161.10,161.20,163.30
19,LONN.VX,2016-06-29,161.40,157.70,21800,158.40,161.40,161.70
20,LONN.VX,2016-06-28,157.30,154.80,24100,156.30,157.30,157.40
21,LONN.VX,2016-06-27,153.10,153.10,31900,157.70,153.10,158.80
22,LONN.VX,2016-06-24,159.00,154.70,70300,155.30,159.00,160.90
23,LONN.VX,2016-06-23,161.80,160.70,26800,160.90,161.80,163.10
24,LONN.VX,2016-06-22,161.00,159.50,33700,161.60,161.00,162.10
25,LONN.VX,2016-06-21,160.90,159.90,28500,161.00,160.90,161.60
26,LONN.VX,2016-06-20,161.20,158.10,43400,158.10,161.20,161.90
27,LONN.VX,2016-06-17,156.00,154.50,44800,154.90,156.00,156.60
28,LONN.VX,2016-06-16,153.60,152.80,33900,154.80,153.60,155.40
29,LONN.VX,2016-06-15,157.00,156.70,29200,157.80,157.00,158.90
30,LONN.VX,2016-06-14,156.50,155.90,43800,158.50,156.50,158.50
31,LONN.VX,2016-06-13,159.70,159.20,27200,160.10,159.70,161.00
32,LONN.VX,2016-06-10,162.10,161.00,43700,166.60,162.10,166.60
33,LONN.VX,2016-06-09,166.10,166.10,28800,167.70,166.10,167.70
34,LONN.VX,2016-06-08,169.10,168.70,19500,169.40,169.10,170.10
35,LONN.VX,2016-06-07,170.60,168.70,28700,170.20,170.60,170.90
36,LONN.VX,2016-06-06,170.50,169.80,21300,170.50,170.50,171.10
37,LONN.VX,2016-06-03,170.80,169.80,45600,171.30,170.80,172.00
38,LONN.VX,2016-06-02,171.10,169.70,16500,170.60,171.10,171.60
