,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2013-11-05,8.51,8.53,LSE,8.53,291400,8.52,8.55
1,2013-11-04,8.51,8.53,LSE,8.53,1285400,8.51,8.53
2,2013-11-01,8.50,8.51,LSE,8.51,316600,8.50,8.52
3,2013-10-31,8.50,8.50,LSE,8.50,821200,8.51,8.53
4,2013-10-30,8.51,8.51,LSE,8.51,298000,8.53,8.53
5,2013-10-29,8.51,8.52,LSE,8.52,592500,8.52,8.54
6,2013-10-28,8.51,8.51,LSE,8.51,414400,8.52,8.53
7,2013-10-25,8.51,8.52,LSE,8.52,591400,8.53,8.53
8,2013-10-24,8.50,8.51,LSE,8.51,395100,8.50,8.52
9,2013-10-23,8.47,8.49,LSE,8.49,531400,8.47,8.49
10,2013-10-22,8.46,8.48,LSE,8.48,599800,8.47,8.48
11,2013-10-21,8.46,8.46,LSE,8.46,890300,8.47,8.48
12,2013-10-18,8.47,8.48,LSE,8.48,368900,8.48,8.48
13,2013-10-17,8.47,8.48,LSE,8.48,344900,8.47,8.48
14,2013-10-16,8.47,8.48,LSE,8.48,281100,8.48,8.48
15,2013-10-15,8.46,8.47,LSE,8.47,202700,8.46,8.48
16,2013-10-14,8.46,8.46,LSE,8.46,1444100,8.46,8.48
17,2013-10-11,8.46,8.47,LSE,8.47,917600,8.46,8.48
18,2013-10-10,8.47,8.48,LSE,8.48,262600,8.48,8.485
19,2013-10-09,8.46,8.49,LSE,8.49,625000,8.48,8.49
20,2013-10-08,8.46,8.46,LSE,8.46,479100,8.48,8.48
21,2013-10-07,8.46,8.47,LSE,8.47,287200,8.46,8.48
22,2013-10-04,8.46,8.49,LSE,8.49,378700,8.47,8.49
23,2013-10-03,8.47,8.48,LSE,8.48,1759800,8.48,8.49
24,2013-10-02,8.46,8.49,LSE,8.49,1156000,8.47,8.49
25,2013-10-01,8.45,8.49,LSE,8.49,591100,8.46,8.49
26,2013-09-30,8.46,8.49,LSE,8.49,528100,8.47,8.49
27,2013-09-27,8.47,8.48,LSE,8.48,188400,8.47,8.49
28,2013-09-26,8.455,8.47,LSE,8.47,543200,8.48,8.49
29,2013-09-25,8.48,8.48,LSE,8.48,266500,8.50,8.50
30,2013-09-24,8.47,8.49,LSE,8.49,270200,8.49,8.50
31,2013-09-23,8.46,8.49,LSE,8.49,572900,8.46,8.49
32,2013-09-20,8.45,8.45,LSE,8.45,1250600,8.48,8.49
33,2013-09-19,8.47,8.48,LSE,8.48,578000,8.50,8.50
34,2013-09-18,8.54,8.55,LSE,8.4725,999500,8.54,8.56
35,2013-09-17,8.52,8.56,LSE,8.4824,524800,8.53,8.56
36,2013-09-16,8.52,8.53,LSE,8.4527,366800,8.54,8.55
37,2013-09-13,8.51,8.53,LSE,8.4527,243000,8.52,8.54
38,2013-09-12,8.50,8.51,LSE,8.4329,367200,8.50,8.52
