,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,4295.00,4355.00,024070.KS,4355.00,14500,4330.00,4360.00
1,2016-07-27,4325.00,4330.00,024070.KS,4330.00,5200,4360.00,4380.00
2,2016-07-26,4325.00,4325.00,024070.KS,4325.00,14500,4350.00,4360.00
3,2016-07-25,4280.00,4330.00,024070.KS,4330.00,22100,4305.00,4365.00
4,2016-07-22,4320.00,4325.00,024070.KS,4325.00,3900,4390.00,4390.00
5,2016-07-21,4305.00,4320.00,024070.KS,4320.00,27400,4360.00,4430.00
6,2016-07-20,4360.00,4390.00,024070.KS,4390.00,3000,4385.00,4390.00
7,2016-07-19,4360.00,4390.00,024070.KS,4390.00,4000,4420.00,4420.00
8,2016-07-18,4380.00,4410.00,024070.KS,4410.00,10700,4420.00,4420.00
9,2016-07-15,4385.00,4390.00,024070.KS,4390.00,6100,4415.00,4415.00
10,2016-07-14,4355.00,4395.00,024070.KS,4395.00,2700,4355.00,4395.00
11,2016-07-13,4365.00,4400.00,024070.KS,4400.00,3500,4420.00,4420.00
12,2016-07-12,4325.00,4390.00,024070.KS,4390.00,3000,4395.00,4395.00
13,2016-07-11,4355.00,4395.00,024070.KS,4395.00,5200,4400.00,4400.00
14,2016-07-08,4330.00,4375.00,024070.KS,4375.00,2000,4420.00,4420.00
15,2016-07-07,4335.00,4380.00,024070.KS,4380.00,5900,4335.00,4395.00
16,2016-07-06,4335.00,4355.00,024070.KS,4355.00,3100,4400.00,4400.00
17,2016-07-05,4335.00,4375.00,024070.KS,4375.00,2200,4375.00,4375.00
18,2016-07-04,4315.00,4335.00,024070.KS,4335.00,9500,4420.00,4420.00
19,2016-07-01,4330.00,4410.00,024070.KS,4410.00,3800,4420.00,4420.00
20,2016-06-30,4350.00,4415.00,024070.KS,4415.00,1100,4420.00,4420.00
21,2016-06-29,4300.00,4410.00,024070.KS,4410.00,2900,4420.00,4420.00
22,2016-06-28,4255.00,4380.00,024070.KS,4380.00,5000,4330.00,4395.00
23,2016-06-27,4190.00,4330.00,024070.KS,4330.00,25400,4200.00,4460.00
24,2016-06-24,4410.00,4480.00,024070.KS,4480.00,2000,4520.00,4520.00
25,2016-06-23,4450.00,4495.00,024070.KS,4495.00,2700,4485.00,4495.00
26,2016-06-22,4400.00,4485.00,024070.KS,4485.00,5000,4545.00,4545.00
27,2016-06-21,4475.00,4485.00,024070.KS,4485.00,2200,4510.00,4530.00
28,2016-06-20,4490.00,4510.00,024070.KS,4510.00,2800,4515.00,4515.00
29,2016-06-17,4465.00,4515.00,024070.KS,4515.00,600,4535.00,4535.00
30,2016-06-16,4485.00,4485.00,024070.KS,4485.00,1600,4495.00,4560.00
31,2016-06-15,4490.00,4545.00,024070.KS,4545.00,1700,4490.00,4550.00
32,2016-06-14,4485.00,4535.00,024070.KS,4535.00,1400,4575.00,4575.00
33,2016-06-13,4500.00,4545.00,024070.KS,4545.00,5000,4560.00,4560.00
34,2016-06-10,4485.00,4540.00,024070.KS,4540.00,3800,4550.00,4580.00
35,2016-06-09,4485.00,4550.00,024070.KS,4550.00,10600,4580.00,4585.00
36,2016-06-08,4530.00,4580.00,024070.KS,4580.00,1700,4590.00,4590.00
37,2016-06-07,4505.00,4505.00,024070.KS,4505.00,7300,4610.00,4610.00
38,2016-06-06,4595.00,4595.00,024070.KS,4595.00,000,4595.00,4595.00
39,2016-06-03,4550.00,4595.00,024070.KS,4595.00,400,4555.00,4595.00
40,2016-06-02,4530.00,4545.00,024070.KS,4545.00,4400,4640.00,4640.00
41,2016-06-01,4555.00,4640.00,024070.KS,4640.00,5700,4640.00,4640.00
42,2016-05-31,4560.00,4640.00,024070.KS,4640.00,2200,4640.00,4640.00
43,2016-05-30,4570.00,4640.00,024070.KS,4640.00,2900,4630.00,4645.00
44,2016-05-27,4580.00,4630.00,024070.KS,4630.00,5300,4580.00,4630.00
45,2016-05-26,4575.00,4585.00,024070.KS,4585.00,1000,4600.00,4625.00
46,2016-05-25,4550.00,4575.00,024070.KS,4575.00,3900,4630.00,4630.00
47,2016-05-24,4590.00,4640.00,024070.KS,4640.00,1100,4640.00,4640.00
48,2016-05-23,4500.00,4640.00,024070.KS,4640.00,1500,4640.00,4640.00
49,2016-05-20,4520.00,4520.00,024070.KS,4520.00,4400,4550.00,4600.00
50,2016-05-19,4535.00,4545.00,024070.KS,4545.00,3700,4545.00,4545.00
51,2016-05-18,4540.00,4545.00,024070.KS,4545.00,8500,4575.00,4645.00
52,2016-05-17,4575.00,4575.00,024070.KS,4575.00,3700,4645.00,4645.00
53,2016-05-16,4560.00,4610.00,024070.KS,4610.00,2300,4630.00,4655.00
54,2016-05-13,4590.00,4600.00,024070.KS,4600.00,2900,4650.00,4650.00
55,2016-05-12,4580.00,4600.00,024070.KS,4600.00,3600,4620.00,4655.00
56,2016-05-11,4550.00,4605.00,024070.KS,4605.00,2700,4620.00,4620.00
57,2016-05-10,4550.00,4610.00,024070.KS,4610.00,6400,4630.00,4630.00
58,2016-05-09,4550.00,4630.00,024070.KS,4630.00,7900,4650.00,4650.00
59,2016-05-06,4600.00,4600.00,024070.KS,4600.00,000,4600.00,4600.00
60,2016-05-05,4600.00,4600.00,024070.KS,4600.00,000,4600.00,4600.00
61,2016-05-04,4600.00,4600.00,024070.KS,4600.00,8100,4610.00,4645.00
62,2016-05-03,4605.00,4615.00,024070.KS,4615.00,5000,4605.00,4720.00
63,2016-05-02,4610.00,4630.00,024070.KS,4630.00,1500,4640.00,4675.00
64,2016-04-29,4625.00,4665.00,024070.KS,4665.00,600,4700.00,4700.00
65,2016-04-28,4625.00,4670.00,024070.KS,4670.00,2900,4730.00,4730.00
66,2016-04-27,4590.00,4680.00,024070.KS,4680.00,20500,4680.00,4730.00
67,2016-04-26,4585.00,4650.00,024070.KS,4650.00,11600,4620.00,4665.00
68,2016-04-25,4585.00,4600.00,024070.KS,4600.00,20500,4695.00,4695.00
69,2016-04-22,4600.00,4630.00,024070.KS,4630.00,11200,4700.00,4725.00
70,2016-04-21,4660.00,4675.00,024070.KS,4675.00,8600,4710.00,4710.00
71,2016-04-20,4670.00,4710.00,024070.KS,4710.00,5300,4775.00,4775.00
72,2016-04-19,4710.00,4720.00,024070.KS,4720.00,7300,4750.00,4765.00
73,2016-04-18,4690.00,4705.00,024070.KS,4705.00,6200,4790.00,4820.00
74,2016-04-15,4715.00,4790.00,024070.KS,4790.00,4400,4840.00,4840.00
75,2016-04-14,4810.00,4820.00,024070.KS,4820.00,7200,4825.00,4830.00
76,2016-04-13,4820.00,4820.00,024070.KS,4820.00,000,4820.00,4820.00
77,2016-04-12,4785.00,4820.00,024070.KS,4820.00,5800,4785.00,4835.00
78,2016-04-11,4790.00,4825.00,024070.KS,4825.00,3300,4800.00,4835.00
79,2016-04-08,4800.00,4825.00,024070.KS,4825.00,9400,4860.00,4860.00
80,2016-04-07,4730.00,4870.00,024070.KS,4870.00,8600,4850.00,4930.00
81,2016-04-06,4605.00,4860.00,024070.KS,4860.00,27100,4605.00,4870.00
82,2016-04-05,4615.00,4635.00,024070.KS,4635.00,1900,4620.00,4635.00
83,2016-04-04,4540.00,4620.00,024070.KS,4620.00,10300,4540.00,4625.00
84,2016-04-01,4570.00,4625.00,024070.KS,4625.00,7700,4600.00,4645.00
85,2016-03-31,4540.00,4600.00,024070.KS,4600.00,5900,4550.00,4610.00
86,2016-03-30,4560.00,4560.00,024070.KS,4560.00,7100,4575.00,4620.00
87,2016-03-29,4540.00,4570.00,024070.KS,4570.00,11500,4580.00,4610.00
88,2016-03-28,4515.00,4580.00,024070.KS,4580.00,12900,4515.00,4595.00
89,2016-03-25,4525.00,4575.00,024070.KS,4575.00,3600,4595.00,4595.00
90,2016-03-24,4545.00,4590.00,024070.KS,4590.00,3700,4570.00,4590.00
91,2016-03-23,4475.00,4575.00,024070.KS,4575.00,13600,4545.00,4580.00
92,2016-03-22,4500.00,4535.00,024070.KS,4535.00,6200,4500.00,4545.00
93,2016-03-21,4435.00,4525.00,024070.KS,4525.00,12800,4455.00,4580.00
94,2016-03-18,4375.00,4450.00,024070.KS,4450.00,13200,4430.00,4450.00
95,2016-03-17,4390.00,4430.00,024070.KS,4430.00,12000,4430.00,4440.00
96,2016-03-16,4380.00,4385.00,024070.KS,4385.00,4600,4430.00,4430.00
97,2016-03-15,4395.00,4400.00,024070.KS,4400.00,3900,4435.00,4435.00
98,2016-03-14,4390.00,4425.00,024070.KS,4425.00,3300,4420.00,4425.00
99,2016-03-11,4395.00,4420.00,024070.KS,4420.00,10000,4440.00,4450.00
100,2016-03-10,4365.00,4405.00,024070.KS,4405.00,16600,4395.00,4430.00
101,2016-03-09,4375.00,4380.00,024070.KS,4380.00,5400,4385.00,4410.00
102,2016-03-08,4350.00,4385.00,024070.KS,4385.00,12500,4380.00,4390.00
103,2016-03-07,4300.00,4375.00,024070.KS,4375.00,19500,4300.00,4385.00
104,2016-03-04,4265.00,4295.00,024070.KS,4295.00,32900,4280.00,4295.00
105,2016-03-03,4235.00,4265.00,024070.KS,4265.00,36400,4260.00,4290.00
106,2016-03-02,4240.00,4260.00,024070.KS,4260.00,98400,4360.00,4370.00
107,2016-03-01,4360.00,4360.00,024070.KS,4360.00,000,4360.00,4360.00
108,2016-02-29,4360.00,4360.00,024070.KS,4360.00,27800,4500.00,4520.00
109,2016-02-26,4430.00,4500.00,024070.KS,4500.00,21900,4515.00,4520.00
110,2016-02-25,4460.00,4500.00,024070.KS,4500.00,32400,4580.00,4580.00
111,2016-02-24,4545.00,4560.00,024070.KS,4560.00,29000,4550.00,4575.00
112,2016-02-23,4500.00,4510.00,024070.KS,4510.00,4200,4550.00,4555.00
113,2016-02-22,4495.00,4515.00,024070.KS,4515.00,22000,4540.00,4545.00
114,2016-02-19,4475.00,4535.00,024070.KS,4535.00,53100,4610.00,4645.00
115,2016-02-18,4545.00,4620.00,024070.KS,4620.00,8100,4545.00,4630.00
