,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2014-11-26,1.895,1.895,OKN.AX,1.895,000,1.895,1.895
1,2014-11-25,1.895,1.895,OKN.AX,1.895,000,1.895,1.895
2,2014-11-24,1.895,1.895,OKN.AX,1.895,000,1.895,1.895
3,2014-11-21,1.895,1.895,OKN.AX,1.895,000,1.895,1.895
4,2014-11-20,1.895,1.895,OKN.AX,1.895,000,1.895,1.895
5,2014-11-19,1.895,1.895,OKN.AX,1.895,000,1.895,1.895
6,2014-11-18,1.895,1.895,OKN.AX,1.895,000,1.895,1.895
7,2014-11-17,1.895,1.895,OKN.AX,1.895,000,1.895,1.895
8,2014-11-14,1.895,1.895,OKN.AX,1.895,000,1.895,1.895
9,2014-11-13,1.895,1.895,OKN.AX,1.895,000,1.895,1.895
10,2014-11-12,1.895,1.895,OKN.AX,1.895,000,1.895,1.895
11,2014-11-11,1.895,1.895,OKN.AX,1.895,000,1.895,1.895
12,2014-11-10,1.895,1.895,OKN.AX,1.895,35800,1.895,1.90
13,2014-11-07,1.895,1.895,OKN.AX,1.895,100,1.895,1.895
14,2014-11-06,1.895,1.90,OKN.AX,1.90,1055400,1.90,1.905
15,2014-11-05,1.89,1.89,OKN.AX,1.89,3096800,1.89,1.90
16,2014-11-04,1.885,1.895,OKN.AX,1.895,201500,1.885,1.895
17,2014-11-03,1.88,1.89,OKN.AX,1.89,50600,1.88,1.90
18,2014-10-31,1.875,1.89,OKN.AX,1.89,94900,1.875,1.89
19,2014-10-30,1.875,1.89,OKN.AX,1.89,98800,1.875,1.89
20,2014-10-29,1.875,1.875,OKN.AX,1.875,195800,1.875,1.885
21,2014-10-28,1.875,1.875,OKN.AX,1.875,39700,1.875,1.88
22,2014-10-27,1.875,1.89,OKN.AX,1.89,305100,1.875,1.89
23,2014-10-24,1.875,1.88,OKN.AX,1.88,5100,1.875,1.88
24,2014-10-23,1.875,1.875,OKN.AX,1.875,3500,1.875,1.875
25,2014-10-22,1.875,1.875,OKN.AX,1.875,100700,1.875,1.88
26,2014-10-21,1.875,1.875,OKN.AX,1.875,96300,1.875,1.88
27,2014-10-20,1.875,1.875,OKN.AX,1.875,000,1.875,1.875
28,2014-10-17,1.87,1.875,OKN.AX,1.875,78200,1.87,1.875
29,2014-10-16,1.87,1.87,OKN.AX,1.87,29300,1.87,1.875
30,2014-10-15,1.87,1.875,OKN.AX,1.875,268000,1.875,1.88
31,2014-10-14,1.87,1.872,OKN.AX,1.872,33900,1.87,1.875
32,2014-10-13,1.87,1.87,OKN.AX,1.87,33800,1.87,1.875
33,2014-10-10,1.87,1.872,OKN.AX,1.872,91200,1.87,1.875
34,2014-10-09,1.87,1.872,OKN.AX,1.872,5900,1.87,1.872
35,2014-10-08,1.87,1.87,OKN.AX,1.87,54600,1.875,1.875
36,2014-10-07,1.87,1.87,OKN.AX,1.87,3300,1.87,1.87
37,2014-10-06,1.87,1.875,OKN.AX,1.875,23400,1.87,1.875
38,2014-10-03,1.87,1.87,OKN.AX,1.87,74700,1.87,1.87
39,2014-10-02,1.87,1.87,OKN.AX,1.87,486100,1.87,1.875
40,2014-10-01,1.87,1.87,OKN.AX,1.87,59700,1.87,1.88
41,2014-09-30,1.87,1.875,OKN.AX,1.875,310200,1.87,1.875
42,2014-09-29,1.86,1.865,OKN.AX,1.865,408100,1.865,1.865
43,2014-09-26,1.865,1.865,OKN.AX,1.865,374500,1.865,1.865
44,2014-09-25,1.86,1.86,OKN.AX,1.86,118400,1.862,1.8625
45,2014-09-24,1.85,1.86,OKN.AX,1.86,12154200,1.87,1.87
46,2014-09-23,1.865,1.865,OKN.AX,1.865,244500,1.87,1.87
47,2014-09-22,1.87,1.87,OKN.AX,1.87,97800,1.87,1.875
48,2014-09-19,1.87,1.87,OKN.AX,1.87,153200,1.87,1.8725
49,2014-09-18,1.87,1.87,OKN.AX,1.87,1090900,1.875,1.875
50,2014-09-17,1.87,1.875,OKN.AX,1.875,69900,1.87,1.875
51,2014-09-16,1.87,1.87,OKN.AX,1.87,99400,1.87,1.875
52,2014-09-15,1.87,1.87,OKN.AX,1.87,50000,1.88,1.88
53,2014-09-12,1.87,1.87,OKN.AX,1.87,48500,1.87,1.875
54,2014-09-11,1.88,1.88,OKN.AX,1.88,91000,1.88,1.88
55,2014-09-10,1.87,1.87,OKN.AX,1.87,22200,1.875,1.875
56,2014-09-09,1.865,1.865,OKN.AX,1.865,112800,1.87,1.87
57,2014-09-08,1.865,1.865,OKN.AX,1.865,188700,1.87,1.875
58,2014-09-05,1.865,1.865,OKN.AX,1.865,201400,1.87,1.872
59,2014-09-04,1.87,1.87,OKN.AX,1.87,132700,1.875,1.875
60,2014-09-03,1.87,1.875,OKN.AX,1.875,124900,1.87,1.875
61,2014-09-02,1.87,1.87,OKN.AX,1.87,52200,1.87,1.88
62,2014-09-01,1.865,1.875,OKN.AX,1.875,88000,1.865,1.88
63,2014-08-29,1.865,1.865,OKN.AX,1.865,60100,1.865,1.87
64,2014-08-28,1.865,1.875,OKN.AX,1.875,178700,1.875,1.885
65,2014-08-27,1.87,1.875,OKN.AX,1.875,67600,1.895,1.895
66,2014-08-26,1.905,1.905,OKN.AX,1.865,78400,1.91,1.91
67,2014-08-25,1.90,1.905,OKN.AX,1.865,41700,1.90,1.91
