,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,113000.00,113000.00,TRA,113000.00,800,113000.00,114000.00
1,2016-07-26,110000.00,114000.00,TRA,114000.00,100,115000.00,115000.00
2,2016-07-25,112000.00,115000.00,TRA,115000.00,5300,113000.00,115000.00
3,2016-07-22,114000.00,114000.00,TRA,114000.00,400,114000.00,114000.00
4,2016-07-21,112000.00,112000.00,TRA,112000.00,2700,112000.00,115000.00
5,2016-07-20,110000.00,112000.00,TRA,112000.00,400,112000.00,112000.00
6,2016-07-19,111000.00,112000.00,TRA,112000.00,1100,112000.00,112000.00
7,2016-07-18,108000.00,112000.00,TRA,112000.00,2800,108000.00,112000.00
8,2016-07-15,108000.00,111000.00,TRA,111000.00,17800,108000.00,117000.00
9,2016-07-14,113000.00,116000.00,TRA,116000.00,2600,115000.00,117000.00
10,2016-07-13,114000.00,115000.00,TRA,115000.00,200,116000.00,117000.00
11,2016-07-12,116000.00,117000.00,TRA,117000.00,2400,118000.00,118000.00
12,2016-07-11,113000.00,118000.00,TRA,118000.00,10600,118000.00,118000.00
13,2016-07-08,117000.00,118000.00,TRA,118000.00,7000,120000.00,120000.00
14,2016-07-07,116000.00,119000.00,TRA,119000.00,4100,119000.00,119000.00
15,2016-07-06,115000.00,119000.00,TRA,119000.00,7200,115000.00,120000.00
16,2016-07-05,118000.00,120000.00,TRA,120000.00,20900,119000.00,120000.00
17,2016-07-04,115000.00,118000.00,TRA,118000.00,22800,115000.00,120000.00
18,2016-07-01,113000.00,113000.00,TRA,113000.00,1000,115000.00,115000.00
19,2016-06-30,115000.00,115000.00,TRA,115000.00,13900,115000.00,118000.00
20,2016-06-29,113000.00,113000.00,TRA,113000.00,8300,113000.00,115000.00
21,2016-06-28,112000.00,112000.00,TRA,112000.00,5100,113000.00,116000.00
22,2016-06-27,113000.00,113000.00,TRA,113000.00,000,113000.00,113000.00
23,2016-06-24,111000.00,113000.00,TRA,113000.00,6300,115000.00,116000.00
24,2016-06-23,115000.00,116000.00,TRA,116000.00,8500,115000.00,118000.00
25,2016-06-22,113000.00,115000.00,TRA,115000.00,2800,116000.00,116000.00
26,2016-06-21,116000.00,116000.00,TRA,116000.00,2000,117000.00,117000.00
27,2016-06-20,115000.00,115000.00,TRA,115000.00,8100,120000.00,120000.00
28,2016-06-17,117000.00,118000.00,TRA,118000.00,10300,120000.00,120000.00
29,2016-06-16,117000.00,120000.00,TRA,120000.00,11000,120000.00,121000.00
30,2016-06-15,115000.00,115000.00,TRA,115000.00,48800,120000.00,120000.00
31,2016-06-14,106000.00,113000.00,TRA,113000.00,40900,106000.00,113000.00
32,2016-06-13,103000.00,106000.00,TRA,106000.00,12300,103000.00,106000.00
33,2016-06-10,101000.00,103000.00,TRA,103000.00,43300,107000.00,107000.00
34,2016-06-09,137999.96,140999.60,TRA,99714.00,202100,137999.96,140999.60
35,2016-06-08,131999.98,137999.96,TRA,97592.67,131300,135000.04,137999.96
36,2016-06-07,129999.94,133000.00,TRA,94056.73,18300,140000.00,140000.00
37,2016-06-06,137999.96,138999.98,TRA,98299.88,27800,142000.60,142000.60
38,2016-06-03,129000.06,134000.01,TRA,94763.94,15800,129000.06,134000.01
39,2016-06-02,127000.01,128000.04,TRA,90520.79,16200,133000.00,133000.00
40,2016-06-01,126000.00,127000.01,TRA,89813.58,600,126000.00,127000.01
41,2016-05-31,123999.96,126000.00,TRA,89106.38,5000,126000.00,126000.00
42,2016-05-30,124999.98,126000.00,TRA,89106.38,9400,124999.98,127000.01
43,2016-05-27,121000.04,126000.00,TRA,89106.38,2100,126000.00,127000.01
44,2016-05-26,121000.04,128000.04,TRA,90520.79,000,121000.04,128000.04
45,2016-05-25,120000.01,128000.04,TRA,90520.79,3000,120000.01,128000.04
46,2016-05-24,119000.00,120000.01,TRA,84863.23,700,119000.00,120000.01
47,2016-05-23,119000.00,119000.00,TRA,84156.02,2800,119000.00,119000.00
48,2016-05-20,119000.00,119000.00,TRA,84156.02,2900,119000.00,120000.01
49,2016-05-19,115000.06,121000.04,TRA,85570.44,1100,122000.06,122000.06
50,2016-05-18,122000.06,122000.06,TRA,86277.64,000,122000.06,122000.06
51,2016-05-17,116999.96,120000.01,TRA,84863.23,4200,116999.96,120000.01
52,2016-05-16,116999.96,116999.96,TRA,82741.61,7900,120000.01,120000.01
53,2016-05-13,116999.96,117999.98,TRA,83448.82,700,117999.98,119000.00
54,2016-05-12,115999.94,117999.98,TRA,83448.82,200,115999.94,117999.98
55,2016-05-11,115000.06,115000.06,TRA,81327.29,000,115000.06,115000.06
56,2016-05-10,115000.06,115000.06,TRA,81327.29,400,116999.96,116999.96
57,2016-05-09,116999.96,117999.98,TRA,83448.82,700,120000.01,120000.01
58,2016-05-06,115000.06,116999.96,TRA,82741.61,19600,116999.96,116999.96
59,2016-05-05,113000.01,115000.06,TRA,81327.29,1500,114000.04,115000.06
60,2016-05-04,114000.04,115999.94,TRA,82034.40,800,115000.06,115999.94
61,2016-05-03,114000.04,114000.04,TRA,80620.09,000,114000.04,114000.04
62,2016-05-02,114000.04,114000.04,TRA,80620.09,000,114000.04,114000.04
63,2016-04-29,114000.04,114000.04,TRA,80620.09,6100,117999.98,117999.98
64,2016-04-28,114000.04,116999.96,TRA,82741.61,300,114000.04,116999.96
65,2016-04-27,113000.01,116999.96,TRA,82741.61,100,113000.01,116999.96
66,2016-04-26,112000.00,116999.96,TRA,82741.61,100,112000.00,116999.96
67,2016-04-25,112000.00,117999.98,TRA,83448.82,400,119000.00,119000.00
68,2016-04-22,114000.04,119000.00,TRA,84156.02,5300,114000.04,119000.00
69,2016-04-21,109999.96,113000.01,TRA,79912.87,2200,113000.01,113000.01
70,2016-04-20,109999.96,109999.96,TRA,77791.25,12600,109999.96,110999.98
71,2016-04-19,112000.00,112000.00,TRA,79205.67,600,114000.04,114000.04
72,2016-04-18,112000.00,112000.00,TRA,79205.67,000,112000.00,112000.00
73,2016-04-15,112000.00,112000.00,TRA,79205.67,1200,113000.01,113000.01
74,2016-04-14,109999.96,112000.00,TRA,79205.67,900,112000.00,112000.00
75,2016-04-13,112000.00,112000.00,TRA,79205.67,1800,114000.04,114000.04
76,2016-04-12,112000.00,112000.00,TRA,79205.67,500,113000.01,113000.01
77,2016-04-11,109999.96,114000.04,TRA,80620.09,6000,112000.00,114000.04
78,2016-04-08,112000.00,112000.00,TRA,79205.67,7600,119000.00,119000.00
79,2016-04-07,115000.06,115000.06,TRA,81327.29,2500,115000.06,115999.94
80,2016-04-06,108000.06,117999.98,TRA,83448.82,19900,109999.96,117999.98
81,2016-04-05,108999.94,110999.98,TRA,78498.46,1300,108999.94,110999.98
82,2016-04-04,102999.96,108999.94,TRA,77084.05,7300,102999.96,108999.94
83,2016-04-01,101000.06,108999.94,TRA,77084.05,21600,102999.96,110999.98
84,2016-03-31,108000.06,108000.06,TRA,76376.94,12600,115000.06,115000.06
85,2016-03-30,114000.04,115000.06,TRA,81327.29,33600,114000.04,116999.96
86,2016-03-29,107000.04,109999.96,TRA,77791.25,4600,110999.98,115000.06
87,2016-03-28,101999.94,108000.06,TRA,76376.94,42800,101999.94,108000.06
88,2016-03-25,99499.96,101000.06,TRA,71426.58,18800,101000.06,101000.06
89,2016-03-24,98000.00,101000.06,TRA,71426.58,3900,98000.00,101000.06
90,2016-03-23,99499.96,100000.04,TRA,70719.38,9300,99499.96,100000.04
91,2016-03-22,99499.96,100000.04,TRA,70719.38,5300,100000.04,100000.04
92,2016-03-21,98499.94,99499.96,TRA,70365.72,1400,98499.94,100000.04
93,2016-03-18,100000.04,100000.04,TRA,70719.38,200,100000.04,100000.04
94,2016-03-17,99000.01,100000.04,TRA,70719.38,900,99000.01,100000.04
95,2016-03-16,95500.01,95999.96,TRA,67890.54,1600,99000.01,99000.01
96,2016-03-15,94999.94,94999.94,TRA,67183.34,3500,96999.98,96999.98
97,2016-03-14,96999.98,96999.98,TRA,68597.76,4500,101000.06,101000.06
98,2016-03-11,100000.04,100000.04,TRA,70719.38,900,102999.96,105000.00
