,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,0.33,0.335,WPI,0.335,370000,0.335,0.335
1,2016-07-27,0.33,0.33,WPI,0.33,120000,0.33,0.33
2,2016-07-26,0.325,0.325,WPI,0.325,60000,0.325,0.325
3,2016-07-25,0.335,0.335,WPI,0.335,000,0.335,0.335
4,2016-07-22,0.33,0.335,WPI,0.335,50000,0.33,0.335
5,2016-07-21,0.33,0.33,WPI,0.33,10000,0.33,0.33
6,2016-07-20,0.33,0.33,WPI,0.33,000,0.33,0.33
7,2016-07-19,0.33,0.33,WPI,0.33,50000,0.33,0.33
8,2016-07-18,0.33,0.33,WPI,0.33,40000,0.34,0.34
9,2016-07-15,0.33,0.33,WPI,0.33,90000,0.335,0.335
10,2016-07-14,0.32,0.335,WPI,0.335,1650000,0.33,0.335
11,2016-07-13,0.33,0.34,WPI,0.34,600000,0.335,0.34
12,2016-07-12,0.33,0.335,WPI,0.335,230000,0.33,0.34
13,2016-07-11,0.33,0.34,WPI,0.34,20000,0.33,0.34
14,2016-07-08,0.33,0.33,WPI,0.33,50000,0.34,0.35
15,2016-07-07,0.325,0.325,WPI,0.325,60000,0.325,0.35
16,2016-07-06,0.325,0.325,WPI,0.325,000,0.325,0.325
17,2016-07-05,0.325,0.325,WPI,0.325,150000,0.325,0.345
18,2016-07-04,0.33,0.33,WPI,0.33,970000,0.335,0.35
19,2016-07-01,0.335,0.335,WPI,0.335,160000,0.34,0.35
20,2016-06-30,0.335,0.335,WPI,0.335,80000,0.335,0.35
21,2016-06-29,0.335,0.335,WPI,0.335,20000,0.35,0.35
22,2016-06-28,0.325,0.33,WPI,0.33,40000,0.325,0.35
23,2016-06-27,0.33,0.33,WPI,0.33,000,0.33,0.33
24,2016-06-24,0.33,0.33,WPI,0.33,1500000,0.335,0.335
25,2016-06-23,0.335,0.35,WPI,0.35,30000,0.335,0.35
26,2016-06-22,0.335,0.335,WPI,0.335,90000,0.355,0.355
27,2016-06-21,0.35,0.35,WPI,0.35,100000,0.355,0.355
28,2016-06-20,0.33,0.33,WPI,0.33,20000,0.345,0.345
29,2016-06-17,0.33,0.355,WPI,0.355,20000,0.33,0.355
30,2016-06-16,0.33,0.33,WPI,0.33,40000,0.33,0.33
31,2016-06-15,0.325,0.325,WPI,0.325,20000,0.335,0.335
32,2016-06-14,0.33,0.33,WPI,0.33,000,0.33,0.33
33,2016-06-13,0.325,0.33,WPI,0.33,70000,0.335,0.35
34,2016-06-10,0.33,0.355,WPI,0.355,30000,0.33,0.355
35,2016-06-09,0.32,0.325,WPI,0.325,2710000,0.325,0.345
36,2016-06-08,0.325,0.33,WPI,0.33,1100000,0.34,0.34
37,2016-06-07,0.34,0.34,WPI,0.34,540000,0.34,0.34
38,2016-06-06,0.34,0.34,WPI,0.34,520000,0.365,0.365
39,2016-06-03,0.345,0.345,WPI,0.345,1270000,0.345,0.355
40,2016-06-02,0.345,0.345,WPI,0.345,270000,0.345,0.355
41,2016-06-01,0.34,0.34,WPI,0.34,220000,0.34,0.365
42,2016-05-31,0.335,0.36,WPI,0.36,630000,0.335,0.365
43,2016-05-30,0.34,0.34,WPI,0.34,340000,0.34,0.34
44,2016-05-27,0.34,0.36,WPI,0.36,50000,0.34,0.36
45,2016-05-26,0.35,0.35,WPI,0.35,200000,0.35,0.35
46,2016-05-25,0.34,0.34,WPI,0.34,90000,0.34,0.34
47,2016-05-24,0.34,0.34,WPI,0.34,300000,0.35,0.35
48,2016-05-23,0.36,0.36,WPI,0.36,420000,0.36,0.37
49,2016-05-20,0.35,0.35,WPI,0.35,290000,0.37,0.385
50,2016-05-19,0.37,0.37,WPI,0.37,410000,0.37,0.39
51,2016-05-18,0.37,0.37,WPI,0.37,60000,0.38,0.38
52,2016-05-17,0.37,0.39,WPI,0.39,870000,0.375,0.40
53,2016-05-16,0.365,0.385,WPI,0.385,480000,0.385,0.385
54,2016-05-13,0.355,0.385,WPI,0.385,2630000,0.38,0.41
55,2016-05-12,0.345,0.37,WPI,0.37,290000,0.345,0.38
56,2016-05-11,0.345,0.37,WPI,0.37,240000,0.365,0.375
57,2016-05-10,0.33,0.35,WPI,0.35,2370000,0.33,0.38
58,2016-05-06,0.325,0.335,WPI,0.335,20000,0.325,0.335
59,2016-05-05,0.33,0.33,WPI,0.33,430000,0.33,0.33
60,2016-05-04,0.345,0.345,WPI,0.345,000,0.345,0.345
61,2016-05-03,0.345,0.345,WPI,0.345,000,0.345,0.345
62,2016-05-02,0.325,0.345,WPI,0.345,120000,0.34,0.345
63,2016-04-29,0.345,0.345,WPI,0.345,000,0.345,0.345
64,2016-04-28,0.325,0.345,WPI,0.345,310000,0.33,0.345
65,2016-04-27,0.34,0.34,WPI,0.34,000,0.34,0.34
66,2016-04-26,0.335,0.34,WPI,0.34,250000,0.335,0.34
67,2016-04-25,0.325,0.345,WPI,0.345,130000,0.325,0.345
68,2016-04-22,0.34,0.34,WPI,0.34,30000,0.345,0.345
69,2016-04-21,0.325,0.325,WPI,0.325,250000,0.325,0.325
70,2016-04-20,0.335,0.335,WPI,0.335,000,0.335,0.335
71,2016-04-19,0.335,0.335,WPI,0.335,40000,0.345,0.345
72,2016-04-18,0.325,0.335,WPI,0.335,320000,0.325,0.335
73,2016-04-15,0.325,0.33,WPI,0.33,220000,0.325,0.33
74,2016-04-14,0.33,0.335,WPI,0.335,20000,0.33,0.335
75,2016-04-13,0.33,0.33,WPI,0.33,1490000,0.33,0.345
76,2016-04-12,0.325,0.34,WPI,0.34,200000,0.325,0.34
77,2016-04-11,0.325,0.325,WPI,0.325,30000,0.325,0.325
78,2016-04-08,0.325,0.325,WPI,0.325,230000,0.325,0.325
79,2016-04-07,0.325,0.325,WPI,0.325,000,0.325,0.325
80,2016-04-06,0.325,0.325,WPI,0.325,000,0.325,0.325
81,2016-04-05,0.325,0.325,WPI,0.325,000,0.325,0.325
82,2016-04-04,0.325,0.325,WPI,0.325,780000,0.345,0.345
83,2016-04-01,0.36,0.36,WPI,0.36,000,0.36,0.36
