,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,0.83,0.865,WTP.AX,0.865,12500,0.835,0.865
1,2016-07-27,0.85,0.85,WTP.AX,0.85,43300,0.855,0.855
2,2016-07-26,0.85,0.85,WTP.AX,0.85,70600,0.855,0.855
3,2016-07-25,0.85,0.85,WTP.AX,0.85,102700,0.88,0.88
4,2016-07-22,0.85,0.855,WTP.AX,0.855,53300,0.85,0.86
5,2016-07-21,0.86,0.86,WTP.AX,0.86,28300,0.87,0.88
6,2016-07-20,0.86,0.86,WTP.AX,0.86,68600,0.88,0.90
7,2016-07-19,0.85,0.88,WTP.AX,0.88,20100,0.85,0.88
8,2016-07-18,0.83,0.83,WTP.AX,0.83,11100,0.85,0.85
9,2016-07-15,0.82,0.82,WTP.AX,0.82,206400,0.85,0.905
10,2016-07-14,0.82,0.825,WTP.AX,0.825,20900,0.85,0.85
11,2016-07-13,0.85,0.85,WTP.AX,0.85,1300,0.86,0.86
12,2016-07-12,0.87,0.87,WTP.AX,0.87,32000,0.875,0.875
13,2016-07-11,0.85,0.86,WTP.AX,0.86,41600,0.86,0.86
14,2016-07-08,0.862,0.87,WTP.AX,0.87,71400,0.87,0.87
15,2016-07-07,0.85,0.87,WTP.AX,0.87,23300,0.85,0.87
16,2016-07-06,0.85,0.87,WTP.AX,0.87,15300,0.87,0.87
17,2016-07-05,0.85,0.87,WTP.AX,0.87,23900,0.87,0.87
18,2016-07-04,0.835,0.87,WTP.AX,0.87,35500,0.85,0.87
19,2016-07-01,0.82,0.83,WTP.AX,0.83,5309800,0.82,0.855
20,2016-06-30,0.815,0.82,WTP.AX,0.82,80500,0.83,0.84
21,2016-06-29,0.80,0.80,WTP.AX,0.80,123500,0.81,0.825
22,2016-06-28,0.765,0.805,WTP.AX,0.805,205600,0.78,0.805
23,2016-06-27,0.765,0.785,WTP.AX,0.785,547300,0.785,0.795
24,2016-06-24,0.75,0.75,WTP.AX,0.75,364400,0.805,0.805
25,2016-06-23,0.785,0.80,WTP.AX,0.80,123000,0.785,0.81
26,2016-06-22,0.77,0.80,WTP.AX,0.80,54400,0.77,0.805
27,2016-06-21,0.76,0.765,WTP.AX,0.765,510500,0.765,0.785
28,2016-06-20,0.765,0.765,WTP.AX,0.765,26300,0.80,0.81
29,2016-06-17,0.76,0.80,WTP.AX,0.80,152000,0.76,0.80
30,2016-06-16,0.76,0.76,WTP.AX,0.76,43600,0.76,0.78
31,2016-06-15,0.755,0.76,WTP.AX,0.76,118500,0.79,0.79
32,2016-06-14,0.755,0.755,WTP.AX,0.755,110400,0.765,0.79
33,2016-06-13,0.765,0.765,WTP.AX,0.765,000,0.765,0.765
34,2016-06-10,0.765,0.765,WTP.AX,0.765,10200,0.765,0.78
35,2016-06-09,0.76,0.795,WTP.AX,0.795,129700,0.772,0.795
36,2016-06-08,0.76,0.775,WTP.AX,0.775,28300,0.79,0.79
37,2016-06-07,0.76,0.76,WTP.AX,0.76,122900,0.765,0.77
38,2016-06-06,0.765,0.77,WTP.AX,0.77,48200,0.79,0.79
39,2016-06-03,0.78,0.79,WTP.AX,0.79,83300,0.79,0.795
40,2016-06-02,0.765,0.79,WTP.AX,0.79,136800,0.772,0.79
41,2016-06-01,0.76,0.785,WTP.AX,0.785,55700,0.785,0.785
42,2016-05-31,0.76,0.76,WTP.AX,0.76,34000,0.765,0.765
43,2016-05-30,0.765,0.765,WTP.AX,0.765,20600,0.782,0.7825
44,2016-05-27,0.765,0.765,WTP.AX,0.765,31800,0.77,0.77
45,2016-05-26,0.77,0.775,WTP.AX,0.775,38500,0.785,0.805
46,2016-05-25,0.795,0.805,WTP.AX,0.805,135700,0.80,0.805
47,2016-05-24,0.79,0.81,WTP.AX,0.81,208500,0.80,0.82
48,2016-05-23,0.77,0.80,WTP.AX,0.80,24500,0.78,0.80
49,2016-05-20,0.77,0.77,WTP.AX,0.77,109600,0.77,0.785
50,2016-05-19,0.765,0.77,WTP.AX,0.77,173100,0.765,0.795
51,2016-05-18,0.76,0.765,WTP.AX,0.765,261200,0.765,0.79
52,2016-05-17,0.785,0.795,WTP.AX,0.795,230400,0.805,0.805
53,2016-05-16,0.76,0.815,WTP.AX,0.815,370400,0.81,0.815
54,2016-05-13,0.78,0.78,WTP.AX,0.78,251800,0.80,0.80
55,2016-05-12,0.775,0.80,WTP.AX,0.80,55400,0.785,0.80
56,2016-05-11,0.755,0.785,WTP.AX,0.785,72000,0.77,0.785
57,2016-05-10,0.755,0.77,WTP.AX,0.77,148700,0.795,0.805
58,2016-05-09,0.795,0.795,WTP.AX,0.795,214300,0.815,0.825
59,2016-05-06,0.805,0.805,WTP.AX,0.805,600,0.82,0.82
60,2016-05-05,0.805,0.805,WTP.AX,0.805,18100,0.82,0.82
