,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,5560.00,5680.00,003480.KS,5680.00,18900,5570.00,5720.00
1,2016-07-27,5330.00,5560.00,003480.KS,5560.00,40700,5330.00,5600.00
2,2016-07-26,5320.00,5420.00,003480.KS,5420.00,7700,5380.00,5450.00
3,2016-07-25,5280.00,5400.00,003480.KS,5400.00,12400,5300.00,5430.00
4,2016-07-22,5090.00,5260.00,003480.KS,5260.00,18700,5130.00,5310.00
5,2016-07-21,5040.00,5130.00,003480.KS,5130.00,13700,5060.00,5140.00
6,2016-07-20,4985.00,5060.00,003480.KS,5060.00,19400,5130.00,5180.00
7,2016-07-19,5120.00,5150.00,003480.KS,5150.00,5900,5160.00,5170.00
8,2016-07-18,5100.00,5150.00,003480.KS,5150.00,10600,5150.00,5170.00
9,2016-07-15,5060.00,5100.00,003480.KS,5100.00,12000,5100.00,5140.00
10,2016-07-14,5060.00,5090.00,003480.KS,5090.00,6200,5100.00,5120.00
11,2016-07-13,5060.00,5100.00,003480.KS,5100.00,13800,5150.00,5190.00
12,2016-07-12,5000.00,5100.00,003480.KS,5100.00,6600,5090.00,5110.00
13,2016-07-11,4945.00,5070.00,003480.KS,5070.00,6500,4945.00,5080.00
14,2016-07-08,4975.00,5010.00,003480.KS,5010.00,8100,5090.00,5110.00
15,2016-07-07,5000.00,5040.00,003480.KS,5040.00,13600,5000.00,5100.00
16,2016-07-06,4990.00,5030.00,003480.KS,5030.00,8300,5210.00,5210.00
17,2016-07-05,5090.00,5170.00,003480.KS,5170.00,9000,5230.00,5230.00
18,2016-07-04,5120.00,5150.00,003480.KS,5150.00,14100,5280.00,5280.00
19,2016-07-01,5060.00,5100.00,003480.KS,5100.00,15200,5120.00,5200.00
20,2016-06-30,4840.00,5230.00,003480.KS,5230.00,37000,4840.00,5290.00
21,2016-06-29,4830.00,4850.00,003480.KS,4850.00,8000,4850.00,4950.00
22,2016-06-28,4700.00,4850.00,003480.KS,4850.00,12100,4700.00,4990.00
23,2016-06-27,4720.00,4845.00,003480.KS,4845.00,22400,4830.00,4940.00
24,2016-06-24,4845.00,4995.00,003480.KS,4995.00,22400,5130.00,5180.00
25,2016-06-23,5020.00,5110.00,003480.KS,5110.00,9800,5150.00,5150.00
26,2016-06-22,5010.00,5180.00,003480.KS,5180.00,15300,5220.00,5220.00
27,2016-06-21,4910.00,5060.00,003480.KS,5060.00,41500,4965.00,5300.00
28,2016-06-20,4845.00,4990.00,003480.KS,4990.00,18500,4950.00,5000.00
29,2016-06-17,4840.00,4855.00,003480.KS,4855.00,5000,4870.00,4960.00
30,2016-06-16,4860.00,4860.00,003480.KS,4860.00,11000,5100.00,5100.00
31,2016-06-15,4805.00,5040.00,003480.KS,5040.00,27600,4975.00,5080.00
32,2016-06-14,4700.00,4975.00,003480.KS,4975.00,7800,5100.00,5100.00
33,2016-06-13,4940.00,4950.00,003480.KS,4950.00,6700,5150.00,5150.00
34,2016-06-10,4920.00,5100.00,003480.KS,5100.00,19200,4920.00,5100.00
35,2016-06-09,4930.00,4980.00,003480.KS,4980.00,23000,5120.00,5120.00
36,2016-06-08,4975.00,4980.00,003480.KS,4980.00,26500,5150.00,5150.00
37,2016-06-07,4965.00,5060.00,003480.KS,5060.00,30200,5030.00,5160.00
38,2016-06-06,5030.00,5030.00,003480.KS,5030.00,000,5030.00,5030.00
39,2016-06-03,4875.00,5030.00,003480.KS,5030.00,24600,4875.00,5070.00
40,2016-06-02,4880.00,4900.00,003480.KS,4900.00,23200,4885.00,5050.00
41,2016-06-01,4835.00,4900.00,003480.KS,4900.00,42500,4885.00,4925.00
