,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,17.64,17.81,600329.SS,17.81,6245500,17.81,18.04
1,2016-07-27,17.60,17.89,600329.SS,17.89,10824400,18.57,18.75
2,2016-07-26,18.38,18.55,600329.SS,18.55,4898700,18.49,18.58
3,2016-07-25,17.92,18.47,600329.SS,18.47,9955600,18.09,18.52
4,2016-07-22,17.94,17.96,600329.SS,17.96,5390500,18.23,18.44
5,2016-07-21,17.85,18.22,600329.SS,18.22,11382100,17.85,18.50
6,2016-07-20,17.74,17.86,600329.SS,17.86,2736900,17.86,17.95
7,2016-07-19,17.59,17.86,600329.SS,17.86,7614100,18.04,18.09
8,2016-07-18,18.01,18.04,600329.SS,18.04,5124200,18.15,18.30
9,2016-07-15,18.09,18.33,600329.SS,18.33,6295600,18.36,18.45
10,2016-07-14,18.10,18.54,600329.SS,18.39,10235000,18.48,18.69
11,2016-07-13,17.96,18.46,600329.SS,18.311,11785900,18.20,18.50
12,2016-07-12,17.66,18.06,600329.SS,17.914,8243400,17.78,18.07
13,2016-07-11,17.70,17.84,600329.SS,17.696,6995700,17.80,18.08
14,2016-07-08,17.65,17.82,600329.SS,17.676,5635200,17.88,17.89
15,2016-07-07,17.61,17.83,600329.SS,17.686,10015000,17.67,18.10
16,2016-07-06,17.27,17.69,600329.SS,17.547,7368800,17.32,17.77
17,2016-07-05,17.26,17.37,600329.SS,17.229,4691700,17.32,17.45
18,2016-07-04,17.05,17.31,600329.SS,17.17,5917300,17.05,17.32
19,2016-07-01,17.05,17.14,600329.SS,17.001,4450000,17.28,17.33
20,2016-06-30,17.12,17.27,600329.SS,17.13,4049000,17.13,17.33
21,2016-06-29,17.14,17.18,600329.SS,17.041,6337800,17.24,17.43
22,2016-06-28,16.88,17.24,600329.SS,17.101,7163700,16.91,17.28
23,2016-06-27,16.86,17.07,600329.SS,16.932,4211700,16.90,17.08
24,2016-06-24,16.30,16.72,600329.SS,16.585,5605400,17.00,17.11
25,2016-06-23,16.71,17.09,600329.SS,16.952,6762500,16.80,17.19
