,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,888.L,2016-07-27,227.25,222.25,537400,224.75,227.25,228.75
1,888.L,2016-07-26,230.00,227.667,377800,231.00,230.00,232.00
2,888.L,2016-07-25,229.50,227.25,670900,227.25,229.50,233.75
3,888.L,2016-07-22,222.00,216.50,242300,220.25,222.00,223.25
4,888.L,2016-07-21,220.00,215.00,221100,222.00,220.00,222.00
5,888.L,2016-07-20,222.00,215.75,132900,217.75,222.00,222.25
6,888.L,2016-07-19,217.75,213.75,138400,214.75,217.75,219.25
7,888.L,2016-07-18,217.75,215.00,200400,215.00,217.75,221.75
8,888.L,2016-07-15,213.25,207.50,166800,213.75,213.25,213.75
9,888.L,2016-07-14,214.75,213.00,162300,213.25,214.75,219.25
10,888.L,2016-07-13,213.00,209.75,147900,213.50,213.00,216.50
11,888.L,2016-07-12,214.50,210.392,162200,213.75,214.50,214.75
12,888.L,2016-07-11,210.00,205.50,283900,208.00,210.00,211.00
13,888.L,2016-07-08,209.75,205.75,381300,208.50,209.75,210.75
14,888.L,2016-07-07,205.00,196.81,147500,198.25,205.00,205.75
15,888.L,2016-07-06,196.00,193.75,976300,202.25,196.00,202.25
16,888.L,2016-07-05,197.50,196.25,416300,201.00,197.50,204.50
17,888.L,2016-07-04,204.50,202.00,119800,206.75,204.50,206.75
18,888.L,2016-07-01,202.50,198.25,406000,202.50,202.50,204.25
19,888.L,2016-06-30,204.75,196.25,252100,200.75,204.75,204.75
20,888.L,2016-06-29,199.25,195.313,693100,199.50,199.25,200.00
21,888.L,2016-06-28,195.50,190.00,1249300,192.75,195.50,198.75
22,888.L,2016-06-27,189.00,188.50,740100,213.50,189.00,215.50
23,888.L,2016-06-24,208.25,190.00,1062000,210.75,208.25,214.25
24,888.L,2016-06-23,225.25,224.00,162300,229.50,225.25,229.75
25,888.L,2016-06-22,226.25,223.75,176200,224.50,226.25,228.25
26,888.L,2016-06-21,226.50,224.25,246200,228.00,226.50,229.00
27,888.L,2016-06-20,228.75,211.00,453700,211.00,228.75,229.50
28,888.L,2016-06-17,213.25,210.00,500600,210.00,213.25,216.25
29,888.L,2016-06-16,211.25,211.25,141500,211.50,211.25,218.938
30,888.L,2016-06-15,217.75,208.25,219800,208.25,217.75,219.00
31,888.L,2016-06-14,213.75,209.163,234500,214.50,213.75,217.00
32,888.L,2016-06-13,216.00,216.00,339900,225.00,216.00,225.00
33,888.L,2016-06-10,226.00,225.00,194500,225.00,226.00,230.25
34,888.L,2016-06-09,229.75,225.00,182100,225.00,229.75,233.00
35,888.L,2016-06-08,230.50,226.00,237000,226.00,230.50,233.302
36,888.L,2016-06-07,232.00,229.00,335600,230.25,232.00,232.00
37,888.L,2016-06-06,230.50,230.25,134200,234.00,230.50,234.00
38,888.L,2016-06-03,234.00,232.25,279600,232.50,234.00,237.00
39,888.L,2016-06-02,234.25,231.313,278300,233.00,234.25,234.25
40,888.L,2016-06-01,231.75,229.00,279100,232.50,231.75,234.25
41,888.L,2016-05-31,232.75,225.00,934100,226.00,232.75,233.25
42,888.L,2016-05-30,227.00,227.00,000,227.00,227.00,227.00
43,888.L,2016-05-27,227.00,223.795,398500,228.50,227.00,228.50
44,888.L,2016-05-26,227.75,226.75,200100,230.00,227.75,230.25
45,888.L,2016-05-25,228.25,227.00,344500,230.00,228.25,230.50
46,888.L,2016-05-24,228.75,224.25,439100,226.50,228.75,228.75
47,888.L,2016-05-23,225.25,225.00,432400,225.50,225.25,228.25
48,888.L,2016-05-20,227.75,222.438,522900,222.50,227.75,232.00
49,888.L,2016-05-19,223.25,215.50,913700,215.50,223.25,224.50
50,888.L,2016-05-18,221.50,218.00,408500,222.00,221.50,222.00
51,888.L,2016-05-17,219.00,214.50,843100,218.50,219.00,219.00
52,888.L,2016-05-16,215.75,212.75,270800,217.00,215.75,217.00
53,888.L,2016-05-13,214.00,212.25,440800,214.75,214.00,215.25
54,888.L,2016-05-12,214.00,212.00,1235800,215.25,214.00,216.00
55,888.L,2016-05-11,214.75,205.00,55996100,217.50,214.75,222.25
56,888.L,2016-05-10,222.00,214.50,625700,214.50,222.00,222.00
57,888.L,2016-05-09,219.50,212.50,288900,212.50,219.50,219.50
58,888.L,2016-05-06,217.75,215.50,455800,215.50,217.75,220.00
59,888.L,2016-05-05,217.25,212.031,290400,214.75,217.25,219.50
60,888.L,2016-05-04,215.25,210.00,305600,210.75,215.25,215.75
61,888.L,2016-05-03,215.50,211.25,281100,211.25,215.50,217.25
62,888.L,2016-04-29,216.00,214.75,341100,219.00,216.00,219.50
