,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,ABG.MC,2016-07-27,0.54,0.51,278800,0.518,0.54,0.54
1,ABG.MC,2016-07-26,0.505,0.495,199800,0.50,0.505,0.521
2,ABG.MC,2016-07-25,0.512,0.503,802800,0.56,0.512,0.569
3,ABG.MC,2016-07-22,0.52,0.477,221700,0.48,0.52,0.52
4,ABG.MC,2016-07-21,0.485,0.48,53100,0.497,0.485,0.497
5,ABG.MC,2016-07-20,0.48,0.468,88100,0.468,0.48,0.503
6,ABG.MC,2016-07-19,0.48,0.48,26600,0.497,0.48,0.497
7,ABG.MC,2016-07-18,0.491,0.486,126400,0.488,0.491,0.503
8,ABG.MC,2016-07-15,0.478,0.465,91900,0.473,0.478,0.483
9,ABG.MC,2016-07-14,0.489,0.473,360400,0.473,0.489,0.503
10,ABG.MC,2016-07-13,0.479,0.479,157000,0.49,0.479,0.49
11,ABG.MC,2016-07-12,0.497,0.493,233700,0.52,0.497,0.525
12,ABG.MC,2016-07-11,0.505,0.491,258000,0.508,0.505,0.516
13,ABG.MC,2016-07-08,0.485,0.474,351400,0.50,0.485,0.504
14,ABG.MC,2016-07-07,0.508,0.465,954000,0.465,0.508,0.549
15,ABG.MC,2016-07-06,0.465,0.435,230700,0.453,0.465,0.486
16,ABG.MC,2016-07-05,0.475,0.465,370300,0.507,0.475,0.508
17,ABG.MC,2016-07-04,0.507,0.503,349700,0.534,0.507,0.559
18,ABG.MC,2016-07-01,0.55,0.55,2087900,0.58,0.55,0.669
19,ABG.MC,2016-06-30,0.563,0.408,1311000,0.41,0.563,0.563
20,ABG.MC,2016-06-29,0.387,0.385,156200,0.385,0.387,0.40
21,ABG.MC,2016-06-28,0.386,0.386,50800,0.40,0.386,0.41
22,ABG.MC,2016-06-27,0.39,0.365,210300,0.401,0.39,0.401
23,ABG.MC,2016-06-24,0.355,0.355,455500,0.36,0.355,0.413
24,ABG.MC,2016-06-23,0.396,0.381,133700,0.381,0.396,0.41
25,ABG.MC,2016-06-22,0.392,0.391,49900,0.41,0.392,0.41
26,ABG.MC,2016-06-21,0.389,0.381,155500,0.402,0.389,0.402
27,ABG.MC,2016-06-20,0.381,0.379,188800,0.383,0.381,0.394
28,ABG.MC,2016-06-17,0.359,0.359,465400,0.389,0.359,0.394
29,ABG.MC,2016-06-16,0.381,0.38,85400,0.389,0.381,0.39
30,ABG.MC,2016-06-15,0.381,0.38,106000,0.40,0.381,0.40
31,ABG.MC,2016-06-14,0.38,0.38,201000,0.386,0.38,0.408
32,ABG.MC,2016-06-13,0.391,0.374,165800,0.40,0.391,0.41
33,ABG.MC,2016-06-10,0.41,0.402,138200,0.439,0.41,0.439
34,ABG.MC,2016-06-09,0.433,0.431,196200,0.461,0.433,0.462
35,ABG.MC,2016-06-08,0.463,0.46,44200,0.466,0.463,0.479
