,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,BA,2016-07-27,135.960007,135.710007,5650800,136.139999,135.960007,139.449997
1,BA,2016-07-26,134.850006,132.509995,4646100,132.899994,134.850006,134.970001
2,BA,2016-07-25,132.940002,132.380005,3042000,133.179993,132.940002,133.300003
3,BA,2016-07-22,133.470001,130.570007,4838700,131.75,133.470001,133.490005
4,BA,2016-07-21,133.529999,133.029999,2814100,134.759995,133.529999,134.979996
5,BA,2016-07-20,134.720001,134.039993,2669400,134.550003,134.720001,135.179993
6,BA,2016-07-19,134.660004,132.830002,3390000,132.910004,134.660004,135.669998
7,BA,2016-07-18,133.429993,131.949997,3338400,132.380005,133.429993,133.889999
8,BA,2016-07-15,132.389999,131.449997,2944900,131.800003,132.389999,132.75
9,BA,2016-07-14,131.550003,130.199997,3984100,131.630005,131.550003,131.919998
10,BA,2016-07-13,130.110001,129.369995,3061400,131.279999,130.110001,131.389999
11,BA,2016-07-12,130.809998,130.330002,4318400,132.800003,130.809998,133.00
12,BA,2016-07-11,132.039993,130.800003,3929900,130.839996,132.039993,133.25
13,BA,2016-07-08,130.089996,127.660004,3597800,128.600006,130.089996,130.460007
14,BA,2016-07-07,127.169998,126.260002,3049400,126.919998,127.169998,128.169998
15,BA,2016-07-06,126.959999,123.959999,3981700,127.25,126.959999,127.309998
16,BA,2016-07-05,126.970001,126.629997,4829400,128.429993,126.970001,129.00
17,BA,2016-07-01,129.690002,129.160004,3247900,129.539993,129.690002,130.339996
18,BA,2016-06-30,129.869995,127.080002,4110800,127.080002,129.869995,129.869995
19,BA,2016-06-29,126.989998,124.160004,4916700,125.489998,126.989998,127.32
20,BA,2016-06-28,123.889999,122.699997,4438100,124.50,123.889999,124.760002
21,BA,2016-06-27,122.699997,122.349998,6169000,125.68,122.699997,125.75
22,BA,2016-06-24,126.519997,126.209999,9707300,128.139999,126.519997,129.389999
23,BA,2016-06-23,133.550003,132.729996,4113900,133.910004,133.550003,134.550003
24,BA,2016-06-22,131.770004,131.580002,2640800,132.100006,131.770004,133.160004
25,BA,2016-06-21,131.520004,131.490005,2841100,133.190002,131.520004,133.279999
26,BA,2016-06-20,132.75,131.210007,4331900,131.360001,132.75,133.899994
27,BA,2016-06-17,129.820007,128.809998,6739600,129.830002,129.820007,129.990005
28,BA,2016-06-16,129.369995,126.900002,4066100,129.320007,129.369995,129.889999
29,BA,2016-06-15,130.160004,129.970001,3324800,130.880005,130.160004,131.759995
30,BA,2016-06-14,130.50,128.50,3717000,129.630005,130.50,130.600006
31,BA,2016-06-13,129.919998,129.880005,3645000,130.789993,129.919998,131.509995
32,BA,2016-06-10,131.139999,130.369995,3828600,131.759995,131.139999,132.119995
33,BA,2016-06-09,133.100006,131.919998,3811200,132.100006,133.100006,133.820007
34,BA,2016-06-08,133.00,132.039993,3883700,132.520004,133.00,133.529999
35,BA,2016-06-07,131.929993,131.820007,4424000,132.410004,131.929993,133.389999
36,BA,2016-06-06,131.899994,127.449997,6996200,127.599998,131.899994,132.080002
37,BA,2016-06-03,127.379997,125.949997,5485600,126.419998,127.379997,127.580002
38,BA,2016-06-02,126.849998,125.32,4802100,126.650002,126.849998,127.029999
39,BA,2016-06-01,126.410004,124.779999,4679600,126.00,126.410004,126.50
40,BA,2016-05-31,126.150002,126.040001,6894400,129.880005,126.150002,129.979996
41,BA,2016-05-27,129.220001,128.830002,3043700,128.960007,129.220001,129.699997
42,BA,2016-05-26,129.309998,128.320007,2586300,128.479996,129.309998,129.899994
43,BA,2016-05-25,128.860001,127.370003,4656700,128.00,128.860001,129.779999
44,BA,2016-05-24,127.50,126.32,5102400,127.760002,127.50,128.809998
45,BA,2016-05-23,127.580002,125.879997,3977700,127.400002,127.580002,128.410004
46,BA,2016-05-20,127.389999,127.209999,3297700,129.130005,127.389999,129.25
47,BA,2016-05-19,128.080002,127.089996,5061600,130.240005,128.080002,130.429993
48,BA,2016-05-18,130.990005,130.339996,4060400,132.449997,130.990005,133.179993
49,BA,2016-05-17,132.559998,131.960007,4032000,133.619995,132.559998,134.490005
50,BA,2016-05-16,134.139999,131.550003,3165400,131.630005,134.139999,134.410004
51,BA,2016-05-13,132.119995,131.910004,3965900,133.740005,132.119995,134.940002
52,BA,2016-05-12,134.419998,133.490005,4591300,133.490005,134.419998,135.039993
53,BA,2016-05-11,133.00,132.940002,3284100,133.809998,133.00,134.990005
54,BA,2016-05-10,134.720001,132.789993,3382700,133.179993,133.630001,135.240005
55,BA,2016-05-09,132.100006,131.820007,3431100,132.800003,131.031204,133.809998
56,BA,2016-05-06,133.259995,131.759995,2466000,132.110001,132.181807,133.630005
57,BA,2016-05-05,132.080002,131.119995,4199200,131.729996,131.011362,132.639999
58,BA,2016-05-04,130.889999,130.529999,3340500,131.589996,129.830988,132.309998
59,BA,2016-05-03,132.490005,131.460007,4028700,132.699997,131.418048,133.309998
60,BA,2016-05-02,134.009995,133.229996,3703800,134.380005,132.925739,135.00
61,BA,2016-04-29,134.800003,132.809998,3716700,134.419998,133.709356,135.229996
62,BA,2016-04-28,134.800003,134.50,4938800,136.289993,133.709356,137.720001
63,BA,2016-04-27,137.080002,131.949997,6930800,133.199997,135.970908,137.889999
64,BA,2016-04-26,133.240005,131.059998,6103400,131.25,132.16198,133.270004
