,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,BBY.L,2016-07-27,224.60,218.50,1100800,219.00,224.60,227.20
1,BBY.L,2016-07-26,219.60,217.20,1532100,221.10,219.60,223.50
2,BBY.L,2016-07-25,222.50,215.30,1841700,218.30,222.50,225.40
3,BBY.L,2016-07-22,216.60,215.90,961500,224.00,216.60,224.20
4,BBY.L,2016-07-21,223.00,219.30,1375000,222.90,223.00,224.30
5,BBY.L,2016-07-20,220.90,220.50,1659200,222.00,220.90,223.60
6,BBY.L,2016-07-19,220.40,215.90,1141400,220.00,220.40,221.90
7,BBY.L,2016-07-18,219.20,217.00,1122400,218.60,219.20,220.862
8,BBY.L,2016-07-15,216.80,213.70,1106600,216.60,216.80,220.40
9,BBY.L,2016-07-14,217.50,215.40,1169900,221.20,217.50,222.00
10,BBY.L,2016-07-13,217.30,215.50,1650300,218.90,217.30,219.80
11,BBY.L,2016-07-12,218.70,213.276,1381200,216.80,218.70,219.30
12,BBY.L,2016-07-11,215.50,203.50,2006900,204.60,215.50,216.40
13,BBY.L,2016-07-08,202.00,197.20,2792500,202.50,202.00,203.00
14,BBY.L,2016-07-07,202.90,199.60,3082600,201.20,202.90,207.20
15,BBY.L,2016-07-06,199.50,195.50,2727600,199.20,199.50,200.50
16,BBY.L,2016-07-05,201.80,199.10,2301600,215.00,201.80,216.24
17,BBY.L,2016-07-04,211.80,211.10,2075800,220.40,211.80,221.00
18,BBY.L,2016-07-01,219.80,212.20,2041900,216.60,219.80,221.50
19,BBY.L,2016-06-30,215.00,206.80,2261300,209.40,215.00,215.20
20,BBY.L,2016-06-29,210.10,199.858,2541700,205.00,210.10,210.10
21,BBY.L,2016-06-28,203.30,194.70,4185100,195.40,203.30,205.40
22,BBY.L,2016-06-27,190.80,184.90,5516300,229.40,190.80,233.20
23,BBY.L,2016-06-24,232.70,217.10,2511600,224.00,232.70,237.70
24,BBY.L,2016-06-23,254.60,246.79,2394300,249.40,254.60,261.00
25,BBY.L,2016-06-22,248.00,241.14,1478000,245.80,248.00,249.00
26,BBY.L,2016-06-21,244.30,240.191,1364100,243.10,244.30,244.30
27,BBY.L,2016-06-20,242.20,233.551,1690800,234.40,242.20,242.70
28,BBY.L,2016-06-17,230.40,224.20,1855400,224.40,230.40,230.60
29,BBY.L,2016-06-16,223.90,222.90,2062800,224.90,223.90,226.60
30,BBY.L,2016-06-15,227.40,226.10,1399400,229.70,227.40,231.20
31,BBY.L,2016-06-14,227.30,222.60,1866100,225.00,227.30,229.60
32,BBY.L,2016-06-13,227.60,226.60,1363100,230.70,227.60,231.58
33,BBY.L,2016-06-10,230.20,229.40,1604700,233.30,230.20,233.333
34,BBY.L,2016-06-09,232.60,230.54,864400,234.80,232.60,234.80
35,BBY.L,2016-06-08,233.90,226.80,1505800,235.30,233.90,235.30
36,BBY.L,2016-06-07,234.20,233.50,633800,236.90,234.20,238.00
37,BBY.L,2016-06-06,235.60,232.30,925600,235.90,235.60,239.60
38,BBY.L,2016-06-03,237.50,237.10,1037100,241.30,237.50,243.30
39,BBY.L,2016-06-02,239.00,235.97,937500,238.20,239.00,240.40
40,BBY.L,2016-06-01,240.00,239.00,2199800,242.20,240.00,246.12
41,BBY.L,2016-05-31,247.80,242.20,1467600,243.60,247.80,250.30
42,BBY.L,2016-05-30,245.00,245.00,000,245.00,245.00,245.00
43,BBY.L,2016-05-27,245.00,241.10,851400,244.30,245.00,245.006
44,BBY.L,2016-05-26,243.20,241.00,854400,241.00,243.20,246.80
45,BBY.L,2016-05-25,245.20,239.56,1138300,242.90,245.20,246.10
46,BBY.L,2016-05-24,241.40,238.70,651600,242.00,241.40,242.00
47,BBY.L,2016-05-23,240.90,238.10,788100,238.10,240.90,242.20
48,BBY.L,2016-05-20,240.00,236.60,780600,238.30,240.00,240.20
49,BBY.L,2016-05-19,236.60,236.40,1041900,240.30,236.60,242.70
50,BBY.L,2016-05-18,242.50,237.40,1387200,241.90,242.50,244.20
51,BBY.L,2016-05-17,243.90,237.10,1717400,237.10,243.90,245.40
52,BBY.L,2016-05-16,236.80,234.60,1335400,237.00,236.80,238.32
53,BBY.L,2016-05-13,234.90,232.70,1520200,235.90,234.90,236.10
54,BBY.L,2016-05-12,236.00,234.60,2394200,241.90,236.00,241.90
55,BBY.L,2016-05-11,237.40,232.88,1053400,236.20,237.40,237.50
56,BBY.L,2016-05-10,235.90,234.40,1141300,239.60,235.90,239.60
57,BBY.L,2016-05-09,237.20,235.70,973100,235.757,237.20,239.10
58,BBY.L,2016-05-06,236.50,234.10,774300,236.90,236.50,238.00
59,BBY.L,2016-05-05,236.90,234.66,688200,238.40,236.90,240.00
