,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,BMN.AX,2016-07-28,0.026,0.026,1000,0.026,0.026,0.026
1,BMN.AX,2016-07-27,0.027,0.025,213900,0.025,0.027,0.027
2,BMN.AX,2016-07-26,0.027,0.025,648000,0.026,0.027,0.027
3,BMN.AX,2016-07-25,0.026,0.026,160000,0.026,0.026,0.026
4,BMN.AX,2016-07-22,0.027,0.027,000,0.027,0.027,0.027
5,BMN.AX,2016-07-21,0.027,0.027,80000,0.028,0.027,0.028
6,BMN.AX,2016-07-20,0.028,0.027,108000,0.029,0.028,0.029
7,BMN.AX,2016-07-19,0.029,0.029,60100,0.029,0.029,0.029
8,BMN.AX,2016-07-18,0.03,0.028,387400,0.028,0.03,0.03
9,BMN.AX,2016-07-15,0.027,0.027,148000,0.028,0.027,0.028
10,BMN.AX,2016-07-14,0.028,0.028,280300,0.028,0.028,0.028
11,BMN.AX,2016-07-13,0.026,0.026,406700,0.026,0.026,0.026
12,BMN.AX,2016-07-12,0.026,0.026,140000,0.027,0.026,0.03
13,BMN.AX,2016-07-11,0.027,0.026,61400,0.027,0.027,0.027
14,BMN.AX,2016-07-08,0.026,0.026,15400,0.026,0.026,0.026
15,BMN.AX,2016-07-07,0.025,0.025,300000,0.026,0.025,0.026
16,BMN.AX,2016-07-06,0.026,0.025,1106800,0.027,0.026,0.028
17,BMN.AX,2016-07-05,0.025,0.025,110500,0.026,0.025,0.026
18,BMN.AX,2016-07-04,0.026,0.026,649200,0.027,0.026,0.028
19,BMN.AX,2016-07-01,0.027,0.027,10900,0.027,0.027,0.027
20,BMN.AX,2016-06-30,0.027,0.027,744200,0.028,0.027,0.028
21,BMN.AX,2016-06-29,0.028,0.027,111000,0.028,0.028,0.028
22,BMN.AX,2016-06-28,0.028,0.027,101500,0.027,0.028,0.028
23,BMN.AX,2016-06-27,0.03,0.026,148100,0.026,0.03,0.03
24,BMN.AX,2016-06-24,0.032,0.026,669200,0.028,0.032,0.032
25,BMN.AX,2016-06-23,0.028,0.027,37400,0.028,0.028,0.028
26,BMN.AX,2016-06-22,0.027,0.027,125700,0.027,0.027,0.028
27,BMN.AX,2016-06-21,0.028,0.028,143100,0.028,0.028,0.028
28,BMN.AX,2016-06-20,0.027,0.027,425200,0.03,0.027,0.03
